ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 60 60 60 200 200 200 600 600 600
1367452_at 10.2115555 10.225296 10.182758 10.229983 10.185286 10.292962 10.261751 10.26765 10.287158 10.204233 10.298038 10.382111
1367453_at 10.084598 10.02138 10.035771 10.0842285 10.076687 10.222044 10.071181 9.989634 9.99835 10.101171 10.068388 10.036918
1367454_at 9.839919 9.912146 9.884191 10.000571 9.931166 9.898229 9.828957 9.971255 9.854824 9.905574 9.8348465 10.033749
1367455_at 11.32201 11.526591 11.374267 11.387429 11.42345 11.323626 11.338819 11.396338 11.43879 11.414446 11.3681345 11.352201
1367456_at 11.827182 11.850169 11.869966 11.840321 11.76821 11.889983 11.845021 11.905513 11.871469 11.83585 11.799247 11.928344
1367457_at 8.993625 9.012031 9.066443 9.00301 9.055525 8.935778 8.866146 9.078876 9.155408 9.038345 8.892944 8.905353
1367458_at 8.295413 8.186228 8.194494 8.24836 8.350555 8.392894 8.364728 8.398404 8.3951645 8.367997 8.40441 8.337674
1367459_at 12.117154 12.110456 12.072058 12.089689 12.0523815 12.096955 12.124299 12.101105 12.08902 12.120938 12.064891 12.119581
1367460_at 11.558249 11.409982 11.411395 11.500585 11.395297 11.419802 11.370167 11.457009 11.410815 11.464897 11.375491 11.35904
1367461_at 10.411333 10.148986 10.207009 10.321627 10.2469845 10.246196 10.125144 10.327111 10.053303 10.257666 10.306449 10.206492
1367462_at 10.41637 10.445579 10.615766 10.746382 10.571522 10.412213 10.780279 10.68662 10.780608 10.403094 10.444688 10.550717
1367463_at 11.159702 11.121883 11.205403 11.074222 11.301185 10.865057 11.234304 11.074105 10.964239 11.170703 10.839052 11.289563
1367464_at 9.654343 9.445436 9.549032 9.56772 9.654779 9.685735 9.702486 9.676464 9.556717 9.6462345 9.651991 9.674344
1367465_at 10.327803 10.216612 10.141184 10.293618 10.354982 10.302523 10.364231 10.219814 10.23705 10.261461 10.354654 10.44517
1367466_at 10.236329 10.199064 10.134151 10.170655 10.221983 10.141508 10.166897 10.22494 10.136964 10.095259 10.116024 10.046747
1367467_at 11.482651 11.477897 11.498809 11.583747 11.580403 11.360691 11.620617 11.4919615 11.455926 11.516302 11.50926 11.567039
1367468_at 9.914937 9.796939 10.053473 9.9762945 9.953487 10.000317 10.105906 9.851311 9.90817 9.879907 9.738412 9.991231
1367469_at 12.095871 11.934249 11.840607 11.95246 11.8098135 11.994063 11.7968855 11.788993 11.7500105 11.799502 11.722578 11.946438
