ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 10 10 10 30 30 30 100 100 100
1367452_at 10.140661 10.331104 10.196319 10.088896 10.241325 10.126651 10.119068 10.254219 10.177258 10.168662 10.279138 10.006538
1367453_at 10.004663 10.000722 9.904766 9.795713 9.850382 9.908967 10.007716 9.86124 9.930362 9.902801 10.041999 9.9070015
1367454_at 9.942287 10.021047 10.028472 10.016228 9.917132 9.861029 9.895503 9.959805 10.028951 10.003326 10.031279 10.01165
1367455_at 11.332338 11.387704 11.260105 11.332727 11.254259 11.291191 11.25534 11.292469 11.346022 11.268112 11.236593 11.276636
1367456_at 11.882119 11.909466 11.906076 11.948848 11.897765 11.78485 11.854432 11.905802 11.860152 11.890936 11.812666 11.94191
1367457_at 9.010587 9.165312 9.089365 8.983532 9.1484375 8.96222 9.065671 9.093707 9.133506 9.110399 9.036829 8.978994
1367458_at 8.295378 8.262759 8.265738 8.359291 8.19236 8.287186 8.496804 8.31967 8.238008 8.327805 8.432036 8.269841
1367459_at 12.090816 12.172172 12.154598 12.135697 12.09515 12.036329 12.054854 12.152404 12.190565 12.099495 12.099276 12.161907
1367460_at 11.331159 11.421624 11.3987055 11.410423 11.36037 11.38473 11.282278 11.426486 11.412022 11.292107 11.293905 11.348844
1367461_at 10.344588 10.4203415 10.277992 10.400173 10.248859 10.19077 10.242901 10.366685 10.316675 10.22733 10.12132 10.333301
1367462_at 10.448656 10.312138 10.45152 10.360378 10.108142 10.502849 10.060953 10.10426 10.393664 9.913728 10.334795 9.847048
1367463_at 11.122351 11.213182 11.281093 11.118214 10.85314 10.84337 11.049626 11.096534 11.150634 11.171369 10.859179 10.798658
1367464_at 9.510842 9.518875 9.406735 9.404503 9.271549 9.571811 9.3794775 9.299698 9.559646 9.370623 9.411711 9.351146
1367465_at 10.104319 10.309226 10.171894 10.022372 10.173373 10.288421 10.0768385 10.330144 10.282254 10.243404 10.538389 10.223163
1367466_at 10.157545 10.089438 10.076118 10.231375 10.041363 10.172786 10.084888 10.025489 10.157778 10.1438465 10.033783 10.120793
1367467_at 11.421916 11.41077 11.386677 11.263609 11.321521 11.354324 11.173853 11.531278 11.578924 11.48167 11.549274 11.4876585
1367468_at 9.779308 9.830414 9.628237 9.776867 9.608269 9.771624 9.707133 9.874446 9.868991 9.7052555 9.912503 9.556116
1367469_at 11.906504 11.896147 11.914441 11.880798 11.841331 11.715754 11.765718 11.860918 11.740949 11.811375 11.740071 11.755369
1367470_at 10.26252 10.208613 10.052287 10.222214 9.928844 9.995119 10.060789 10.1386175 9.984104 9.965762 10.085784 10.075464
1367471_at 8.914315 9.061998 8.850427 8.725531 8.817597 8.897428 8.8516245 8.840935 8.92457 8.804504 9.133804 8.901304
1367472_at 10.050131 10.062159 9.841786 9.982496 10.044322 10.079795 10.061371 9.961121 10.011292 10.026861 9.909363 9.846977
1367473_at 9.821581 9.825923 9.948573 9.822906 9.782437 9.744107 9.855019 9.749697 9.83587 9.861058 9.782894 9.9624405
1367474_at 9.539923 9.359367 9.529347 9.510022 9.353182 9.630505 9.448937 9.515046 9.283842 9.482519 9.326875 9.400521
1367475_at 10.618687 10.677865 10.661454 10.587073 10.547486 10.62583 10.5132885 10.61663 10.627465 10.504793 10.508726 10.597731
1367476_at 11.102073 11.082601 10.930865 11.064801 10.862221 10.97897 10.986122 11.128838 11.217264 11.067079 11.10491 11.301051
1367477_at 10.011755 9.9506 9.923797 9.858124 9.843742 9.953978 9.897365 9.929101 10.167601 9.964639 9.997365 9.862572
1367478_at 7.7752542 7.8009753 7.851764 7.857384 7.918331 8.009148 7.7147408 7.811212 7.673491 7.7719994 7.8129587 7.8771424
1367479_at 11.095535 11.246431 11.272986 11.150478 11.114358 11.137805 11.116726 11.193114 11.228199 11.046284 11.411861 11.204641
1367480_at 9.444733 9.411226 9.383224 9.39491 9.292085 9.25679 9.239316 9.40999 9.356251 9.304055 9.31296 9.201426
