ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 30 30 30 100 100 100 300 300 300
1367452_at 10.491519 10.40957 10.392681 10.503672 10.463037 10.334851 10.274764 10.347783 10.296698 10.395202 10.397964 10.334876
1367453_at 9.707638 9.585011 9.577942 9.723125 9.576986 9.590374 9.739689 9.742719 9.672241 9.732337 9.592681 9.605627
1367454_at 10.180475 10.146095 10.108579 10.143226 10.266742 10.158099 10.234498 10.28797 10.235474 10.2571125 10.244577 10.396041
1367455_at 11.7292185 11.645703 11.604753 11.520123 11.513011 11.571902 11.473937 11.646144 11.526134 11.660344 11.534338 11.581891
1367456_at 12.039512 11.995923 11.946277 12.025203 11.945211 11.947805 11.974047 12.00288 11.94347 12.039689 11.99928 11.943188
1367457_at 9.37907 9.222884 9.302074 9.257528 9.240081 9.142872 9.320838 9.355067 9.36156 9.340072 9.286656 9.361856
1367458_at 8.340232 8.237765 8.259939 8.270716 8.25798 8.32174 8.264636 8.204627 8.16283 8.2979 8.267879 8.266301
1367459_at 12.110089 12.163506 12.034859 12.1611395 12.199702 12.121909 12.085966 12.101162 12.081481 12.165852 12.184258 12.188907
1367460_at 11.497162 11.584284 11.514367 11.59706 11.474863 11.498033 11.566112 11.578032 11.62507 11.638511 11.678132 11.599799
1367461_at 10.529496 10.6287365 10.502617 10.600067 10.500783 10.512655 10.389324 10.506133 10.41039 10.585329 10.655149 10.683912
1367462_at 10.885893 10.348153 10.551225 10.540108 10.262881 10.472857 10.641954 10.770317 10.656981 10.401952 10.873761 10.556131
1367463_at 10.976724 10.953071 11.005697 10.967968 11.251301 10.940998 11.208614 11.004874 11.3169 10.9552965 10.985883 10.931399
1367464_at 9.710562 9.58451 9.584724 9.553192 9.529643 9.634016 9.684535 9.66047 9.621821 9.739712 9.64009 9.668796
1367465_at 10.273275 10.23483 10.13774 10.246278 10.367732 10.266552 10.061374 10.139721 10.303573 10.24078 10.23165 10.2900715
1367466_at 10.40627 10.369949 10.288255 10.41329 10.507788 10.450534 10.313209 10.353904 10.367898 10.379677 10.413768 10.406288
1367467_at 11.502177 11.61312 11.573975 11.709258 11.560146 11.511643 11.695024 11.697078 11.682585 11.63365 11.62957 11.621366
1367468_at 9.872308 9.649267 10.003767 9.833539 9.97965 9.767893 9.943076 9.963764 9.984794 10.181026 10.051464 9.837334
1367469_at 12.174184 11.918135 12.124448 12.103041 12.05727 12.095656 12.06387 11.839691 11.919872 12.15186 12.177422 12.114328
1367470_at 10.33092 10.546791 10.453101 10.298481 10.348624 10.436987 10.217944 10.299881 10.192439 10.413471 10.396004 10.413399
1367471_at 8.921535 8.887966 8.9974375 8.931882 8.968742 8.93532 8.937092 8.89392 8.9836645 9.004017 9.032141 8.974125
1367472_at 10.469944 10.270111 10.321923 10.327325 10.379251 10.304107 10.390877 10.301552 10.308028 10.315495 10.333934 10.284244
1367473_at 10.069992 9.996086 10.216057 10.11322 9.901032 9.981054 10.003764 9.993153 9.981325 10.086449 10.058423 9.905027
1367474_at 10.021314 10.071166 9.903933 9.973632 9.868553 10.115229 9.963966 9.988395 10.015947 10.090418 10.108839 9.983525
1367475_at 10.67388 10.573106 10.652546 10.659864 10.630084 10.638588 10.5976305 10.743986 10.638458 10.665926 10.680179 10.608164
1367476_at 11.121634 11.196461 11.171563 11.196889 11.318028 11.184638 11.203566 11.272132 11.259099 11.2544365 11.370678 11.2776985
