ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 15 15 15 50 50 50 150 150 150
1367452_at 10.500709 10.437249 10.391285 10.301743 10.411429 10.404682 10.497364 10.407737 10.473767 10.461294 10.370993 10.43641
1367453_at 9.605084 9.537691 9.487493 9.543716 9.609815 9.508985 9.618548 9.567865 9.559421 9.49385 9.588131 9.564162
1367454_at 9.980669 9.987386 9.881434 9.959867 9.895342 9.917365 9.987925 9.987924 10.055441 9.989024 9.955617 9.997095
1367455_at 10.959735 11.05998 11.024992 11.127064 11.099941 11.006957 10.96387 10.850857 11.073298 11.150403 11.150861 11.172905
1367456_at 12.201248 12.07994 12.175865 11.930767 12.186905 12.157397 12.135306 12.129416 12.262511 12.203702 12.205004 12.237873
1367457_at 8.9847555 8.9219885 8.874729 8.948765 8.801548 8.913284 9.037953 9.021581 8.79145 8.903783 8.986058 9.054276
1367458_at 8.214088 7.970287 7.9778543 8.241398 8.05133 7.913339 7.954023 7.9439397 7.996768 7.9543085 8.170265 7.9922414
1367459_at 12.086497 12.224144 12.173615 12.030575 12.073146 12.089436 12.092215 12.092417 12.177474 12.204774 12.072453 12.112926
1367460_at 11.500435 11.488995 11.478346 11.476504 11.518824 11.503472 11.364335 11.493278 11.552193 11.459972 11.4250765 11.56555
1367461_at 10.866764 10.71499 10.762367 10.5984 10.715318 10.667512 10.750024 10.686361 10.8709755 10.813557 10.75703 10.683161
1367462_at 9.749133 10.037502 9.92101 9.983268 9.59384 9.673757 9.786992 9.929118 9.758798 9.902741 9.311475 9.636094
1367463_at 11.197454 11.125301 11.232368 11.144139 10.904847 11.035745 10.943623 11.222486 11.240039 11.22937 11.414117 11.74017
1367464_at 8.921524 8.99065 8.805816 9.137296 8.965991 8.879345 8.865006 8.985535 9.096161 8.979425 9.071859 9.180641
1367465_at 9.994825 9.77523 9.760791 10.077064 9.721245 9.804218 9.637582 9.900631 9.671547 9.542526 9.462248 9.55291
1367466_at 10.582779 10.500933 10.563109 10.475789 10.620029 10.50003 10.53305 10.581108 10.619707 10.5017185 10.409525 10.486537
1367467_at 11.338319 11.219692 11.383471 11.477541 11.479515 11.376921 11.321746 11.450329 11.3180275 11.365351 11.353414 11.363583
1367468_at 9.448825 9.6452465 9.756817 9.699357 9.677645 9.634621 9.725307 9.700292 9.534698 9.659114 9.615269 9.576092
1367469_at 12.21307 12.16747 12.18425 11.887687 12.072749 12.019823 12.195722 11.885406 12.000142 12.399978 12.172288 12.26012
1367470_at 9.973817 10.00226 10.081337 9.958722 10.003852 9.87327 10.010466 9.852821 10.049308 10.062902 9.921475 9.9209585
1367471_at 8.837805 8.89741 8.859858 8.936934 8.832361 9.034984 9.019027 8.969152 8.96633 8.886078 8.793725 8.858638
1367472_at 9.744772 9.941305 9.614985 9.850167 9.75352 9.706043 9.745813 9.719346 9.689604 9.74417 9.786921 9.622789
1367473_at 10.191864 10.033546 10.003059 9.911031 9.982137 10.000355 10.048248 9.991554 9.850455 10.098867 10.244487 10.27155
1367474_at 9.404172 9.144985 9.325358 9.380568 9.241755 9.25851 9.257227 9.25444 9.222599 9.330294 9.4346 9.375595
1367475_at 10.447498 10.694096 10.539305 10.415045 10.408798 10.514042 10.506417 10.47112 10.499461 10.361111 10.363056 10.418569
1367476_at 11.358474 11.311437 11.432214 11.2841015 11.274078 11.328231 11.353558 11.3494005 11.407816 11.2836685 11.273716 11.506155
1367477_at 10.177384 9.946485 10.054023 10.09249 10.040424 9.928758 10.262527 10.070474 10.146024 9.932681 9.917304 10.111569
1367478_at 8.063604 8.128 7.8814917 8.043255 7.9488354 7.8114815 7.87879 7.9252048 7.8198023 7.8399076 7.9397483 8.024565
1367479_at 11.349149 11.11715 11.316868 11.29187 11.297267 11.192017 11.291724 11.371052 11.318572 11.279093 11.187056 11.311661
1367480_at 9.732233 9.8181095 9.80013 9.449492 9.794102 9.7016325 9.75386 9.699911 9.767254 9.752832 9.759476 9.793556
1367481_at 9.648122 9.468372 9.535271 9.551345 9.500262 9.593765 9.643285 9.60116 9.550146 9.713455 9.753978 9.695917
1367482_at 9.2408695 9.278004 9.138834 9.295464 9.224428 9.472468 9.353914 9.291559 9.22789 9.300331 9.435643 9.319614
1367483_at 8.836815 8.679871 8.819297 8.992292 8.872469 9.045047 8.861884 8.921492 8.881245 8.605091 8.783926 8.9288025
1367484_at 9.452723 9.51067 9.29432 9.243262 9.243321 9.366185 9.296541 9.219289 9.477572 9.389502 9.442926 9.47104
1367485_at 10.289483 10.262183 10.098629 10.205743 10.152169 10.169995 10.222346 10.314579 10.247311 10.316897 10.311187 10.395758
