ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 3 3 3 10 10 10 30 30 30
1367452_at 10.436817 10.437503 10.485505 10.338244 10.478124 10.398861 10.446441 10.416015 10.432654 10.495296 10.401985 10.495426
1367453_at 9.943175 9.896023 9.944044 9.845448 9.799488 9.890987 9.832773 9.860963 9.909935 9.802992 9.750315 9.771338
1367454_at 10.046799 10.08642 9.994397 10.120654 10.119295 10.0845785 9.99782 10.143666 10.06948 10.043586 10.102563 10.285529
1367455_at 11.568603 11.43594 11.398748 11.4547205 11.569489 11.384068 11.510011 11.5975485 11.378268 11.464054 11.317064 11.515708
1367456_at 11.898478 11.932515 11.992738 11.96611 12.060384 11.983004 12.069862 11.958021 12.151683 12.023685 12.036829 12.02248
1367457_at 9.054654 9.070503 8.943709 9.001984 9.0715885 9.148855 9.039808 8.986315 9.123099 8.937831 9.00443 9.028767
1367458_at 8.533592 8.4367895 8.558022 8.487897 8.27893 8.333511 8.308163 8.400906 8.240564 8.396791 8.292042 8.303884
1367459_at 12.208645 12.289777 12.271937 12.267714 12.155638 12.379756 12.215785 12.212854 12.163038 12.325216 12.18492 12.287892
1367460_at 11.377621 11.377345 11.4100685 11.454647 11.412787 11.399911 11.399912 11.415511 11.510122 11.406119 11.440132 11.513658
1367461_at 10.375956 10.592158 10.658948 10.536583 10.624795 10.645513 10.548629 10.517848 10.690348 10.630282 10.589607 10.538967
1367462_at 10.834684 10.592651 11.0267 10.765091 10.423374 10.816245 10.562044 10.671936 10.72504 10.917512 10.541253 10.895048
1367463_at 10.971047 11.398519 11.059789 11.066777 11.190853 10.955597 11.276085 11.291915 11.242423 11.132982 10.966881 10.975177
1367464_at 9.579794 9.555186 9.529437 9.530918 9.412194 9.368178 9.460923 9.550808 9.495344 9.551679 9.398107 9.633913
1367465_at 10.350402 10.1819105 10.374649 10.301531 10.230008 10.232521 10.207118 10.474933 10.197475 10.261857 10.306083 10.452323
1367466_at 10.448923 10.483822 10.332979 10.411302 10.400451 10.398588 10.45384 10.342669 10.377876 10.447269 10.428039 10.461497
1367467_at 11.696189 11.645297 11.644722 11.580832 11.679877 11.608847 11.697077 11.709052 11.55515 11.552914 11.626213 11.563648
1367468_at 9.907175 9.861161 9.986296 10.002389 9.810631 9.861889 9.781736 9.988558 10.109499 9.927386 9.908345 9.780162
1367469_at 11.818719 11.838669 11.828838 11.917011 11.881129 11.798116 11.893972 11.891022 11.959138 11.884081 11.85707 12.006266
