ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 20 20 20 60 60 60 200 200 200
1367452_at 10.286334 10.330838 10.250533 10.351146 10.296106 10.331237 10.395428 10.327137 10.347824 10.367652 10.2337055 10.189695
1367453_at 9.831439 9.82174 9.941858 9.886813 9.736497 9.837838 9.866334 9.768954 9.842548 9.855683 9.854177 9.819294
1367454_at 10.0001955 10.060617 9.9900055 10.007514 10.030417 10.030958 10.070775 10.01592 10.0610895 10.145037 10.101414 10.183538
1367455_at 11.472377 11.572444 11.587625 11.471217 11.665739 11.466133 11.375178 11.574132 11.588775 11.558262 11.563378 11.356891
1367456_at 11.936599 11.854528 11.922722 11.985831 11.969295 11.994862 12.019828 11.97545 11.935011 11.896149 12.009545 11.854833
1367457_at 9.2224045 9.209835 9.199701 9.203246 9.072384 9.23911 9.121599 9.158743 9.105591 9.05449 9.053307 9.235453
1367458_at 8.236379 8.313728 8.213631 8.254488 8.207421 8.15679 8.119452 8.225589 8.302852 8.365677 8.378233 8.206685
1367459_at 12.072818 12.158606 12.117685 12.135714 12.209604 12.184987 12.1897955 12.103737 12.142553 12.1760645 12.192482 12.257615
1367460_at 11.429087 11.550608 11.4697 11.510313 11.432523 11.468778 11.55196 11.51888 11.574749 11.483168 11.541385 11.556671
1367461_at 10.348509 10.439998 10.328836 10.362889 10.507832 10.42435 10.340051 10.329704 10.25953 10.343823 10.325823 10.271831
1367462_at 10.5938425 10.999759 10.346721 10.706894 10.801382 10.5113535 10.569964 10.630797 10.7001095 10.174923 10.095529 10.489549
1367463_at 11.272718 10.832702 10.842543 10.949863 11.033517 11.124532 10.95643 11.163773 11.310407 11.471023 11.379198 11.2687025
1367464_at 9.683257 9.681281 9.56908 9.628564 9.716936 9.692134 9.817432 9.777174 9.661859 9.743071 9.8519745 9.518378
1367465_at 10.178171 10.255771 10.078994 10.230122 10.107517 10.077568 10.100187 10.208317 10.44595 10.11606 9.949862 10.495976
1367466_at 10.185969 10.142458 10.143602 10.125579 10.244455 10.104078 10.140287 10.13545 10.09072 10.059874 10.087616 9.952953
1367467_at 11.693389 11.613135 11.594811 11.623113 11.571372 11.687109 11.60479 11.639813 11.641251 11.578196 11.463374 11.56206
1367468_at 9.857245 9.683629 9.674047 9.82843 9.678746 9.821516 10.054368 9.564382 9.923541 9.653949 9.592529 9.569877
1367469_at 11.736904 11.773647 11.679993 11.913708 11.719901 11.792807 11.848107 11.891449 11.788625 11.970676 11.877009 11.728297
1367470_at 10.233643 10.259542 10.206058 10.187634 10.345486 10.17468 10.192324 10.255627 10.193747 10.308121 10.2748165 10.339674
1367471_at 9.100322 8.97383 9.0341425 8.9659395 8.910841 8.943674 8.974127 8.982481 9.057012 9.09516 9.010807 9.123052
1367472_at 10.208326 10.224559 10.2274 10.277906 10.262013 10.244725 10.274989 10.317019 10.360739 10.252616 10.18003 10.173299
1367473_at 9.893993 9.78294 9.91671 9.874762 9.8557005 9.989228 9.9909725 9.987584 9.824259 10.0499325 10.035919 9.941306
1367474_at 9.639566 9.785561 9.679663 9.753409 9.791232 9.758996 9.6471405 9.83676 9.698967 9.784414 9.851252 9.661779
1367475_at 10.463229 10.553277 10.598524 10.516833 10.570694 10.548845 10.556357 10.566787 10.592421 10.443606 10.473583 10.351561
1367476_at 11.040084 11.218806 11.091455 11.143067 11.117605 11.241141 11.281814 11.11749 11.328215 11.144349 11.253416 11.250936
