ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 15 15 15 50 50 50 150 150 150
1367452_at 10.523485 10.361315 10.272201 10.2833185 10.34925 10.250787 10.334756 10.296368 10.3555 10.247386 10.188171 10.269669
1367453_at 10.339489 10.208179 10.182405 10.164362 10.209512 10.315954 10.341081 10.153357 10.362554 10.311717 10.304046 10.307791
1367454_at 10.105856 10.0694 10.164552 9.977811 10.039743 10.064281 10.096617 10.059872 10.074208 10.121923 10.136207 10.079241
1367455_at 11.629302 11.653805 11.631108 11.5508 11.566007 11.558058 11.503095 11.505279 11.438372 11.438049 11.651323 11.540701
1367456_at 11.714904 11.826891 11.755311 11.806156 11.896954 11.709 11.840365 11.903687 11.755447 11.79161 11.858226 11.694312
1367457_at 9.268176 9.4501915 9.255532 9.207669 9.425262 9.265512 9.230169 9.288055 9.301744 9.436244 9.401201 9.188321
1367458_at 8.452949 8.449383 8.384394 8.371237 8.236759 8.478173 8.419672 8.322147 8.402258 8.56369 8.4860935 8.238592
1367459_at 12.267607 12.238729 12.112599 12.172341 12.191554 12.174371 12.288243 12.229703 12.285869 12.195612 12.252614 12.200324
1367460_at 11.594781 11.666183 11.657441 11.750884 11.72354 11.691442 11.538732 11.706841 11.775792 11.639025 11.759735 11.680366
1367461_at 10.4559965 10.43994 10.39275 10.54617 10.425079 10.400372 10.202308 10.513778 10.359307 10.177577 10.434444 10.361635
1367462_at 10.5492 10.662088 10.745694 10.514239 10.585591 10.349686 10.511761 10.496313 10.58057 10.641685 10.801927 10.819666
1367463_at 11.416622 10.987775 11.371645 11.193217 11.282383 11.462207 11.215402 11.329463 10.839527 11.158938 11.195924 11.007131
1367464_at 9.679385 9.688328 9.818024 9.771608 9.874916 9.721284 9.713889 9.841906 9.887884 9.93166 9.889296 9.661156
1367465_at 10.216649 10.485097 10.366199 10.286913 10.180676 10.08742 10.415128 10.36859 10.332312 10.396221 10.450859 10.509554
1367466_at 10.20821 10.157059 10.175937 10.1903 10.240561 10.287258 10.082459 10.228546 10.159148 10.091157 10.047063 10.133647
1367467_at 11.77414 11.749234 11.733459 11.596359 11.647443 11.674723 11.730883 11.581969 11.666114 11.783924 11.733254 11.900561
1367468_at 9.837921 10.042848 9.700959 10.088678 9.810844 9.917481 9.876551 9.917576 9.636015 9.922404 9.804081 9.742479
1367469_at 11.9157095 11.737185 11.849713 11.9127865 11.934653 11.992901 11.768233 12.07991 11.823085 11.712562 11.736365 11.6902275
1367470_at 10.5921135 10.514773 10.432713 10.6262455 10.4647875 10.605879 10.480442 10.464557 10.564596 10.442394 10.657846 10.543617
1367471_at 9.149779 9.122253 8.985779 9.033505 9.064496 9.102108 8.919227 9.145483 9.154443 9.262317 9.281758 9.298001
1367472_at 10.499706 10.372354 10.381874 10.257861 10.395541 10.438546 10.341805 10.444906 10.406354 10.240743 10.371317 10.223951
1367473_at 10.001401 9.933234 9.918846 10.058454 10.202247 9.893146 10.069687 9.963571 9.9735775 9.948475 9.928355 9.99455
1367474_at 10.082613 9.81076 10.080383 9.709481 9.761964 9.701205 9.848567 9.911743 9.656504 9.739918 9.784818 9.725685
1367475_at 10.692852 10.658352 10.79911 10.677723 10.748427 10.680033 10.681802 10.734494 10.821818 10.787671 10.933761 10.6675625
1367476_at 11.034463 11.035564 11.126386 11.228636 11.070929 11.262644 11.057341 11.143545 11.232841 11.233804 11.354039 11.36744
1367477_at 10.105524 10.0383215 10.167093 9.999272 10.059691 10.118728 10.14507 10.184406 10.348417 10.395411 10.07009 10.075542
1367478_at 8.0396595 8.0698185 7.982997 8.113544 8.087006 8.151829 7.8682246 7.9948087 8.123749 8.255064 8.410418 8.13084
1367479_at 11.381111 11.346306 11.222944 11.252081 11.261408 11.267601 11.260367 11.248859 11.34624 11.34725 11.298216 11.305694
1367480_at 9.718887 9.631435 9.525725 9.68409 9.674586 9.676932 9.599254 9.750446 9.605136 9.737797 9.613943 9.636665
1367481_at 9.533003 9.519636 9.4067745 9.622113 9.496408 9.396057 9.419884 9.564558 9.592704 9.633969 9.417824 9.32359
