ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 45 45 45 150 150 150 450 450 450
1367452_at 10.446005 10.307519 10.478687 10.449674 10.4509325 10.297397 10.398821 10.459305 10.447457 10.577468 10.36837 10.374602
1367453_at 9.90682 9.875254 9.887607 9.928494 9.852317 9.948892 10.065657 9.931169 9.943985 9.881589 9.86445 10.043327
1367454_at 9.894902 9.893724 10.069685 10.081521 9.936966 10.0387745 10.013391 9.960774 10.207447 10.068664 9.971304 9.922826
1367455_at 11.2184105 11.310074 11.477843 11.350894 11.220961 11.365742 11.332169 11.41237 11.447258 11.463066 11.531866 11.522512
1367456_at 11.970092 11.883903 11.8846035 11.9951105 11.942783 11.964636 11.948688 12.054531 12.0904 11.939025 11.998514 11.990795
1367457_at 9.225956 9.306426 9.188251 9.347057 9.104879 9.08797 9.049135 9.187288 9.071276 9.0970545 9.072072 9.018269
1367458_at 8.238084 8.218943 8.310205 8.277332 8.26785 8.397731 8.2609625 8.378014 8.274461 8.486001 8.347062 8.346356
1367459_at 12.042029 12.046595 12.179008 12.181681 12.041897 12.110978 12.105346 12.082718 12.205888 12.083157 12.19398 12.164893
1367460_at 11.335366 11.442512 11.366404 11.397976 11.39275 11.325136 11.457357 11.390806 11.441136 11.400161 11.357725 11.419363
1367461_at 10.161653 10.172566 10.413015 10.290058 10.230485 10.232817 10.104179 10.292943 10.28741 10.373548 10.121938 10.249593
1367462_at 10.695417 10.628054 10.482013 10.80277 10.659825 10.56357 11.047829 10.796015 10.884916 10.869704 10.842486 11.146611
1367463_at 11.270037 11.048939 11.063025 11.451903 11.082798 10.946047 11.079085 11.209221 11.03332 11.405914 10.996783 11.374463
1367464_at 9.533171 9.521172 9.501074 9.652969 9.472101 9.590647 9.786898 9.723633 9.70014 9.756019 9.729592 9.704498
1367465_at 10.1826315 10.2743225 10.310329 10.409612 10.006281 10.144268 10.334351 10.253228 10.3539505 10.455781 10.309673 10.305298
1367466_at 10.037773 9.993708 10.139557 10.106912 9.9933195 9.989915 10.074463 10.075713 10.10056 10.0571 10.080328 9.956551
1367467_at 11.664019 11.703502 11.669725 11.653044 11.695008 11.651956 11.67076 11.573246 11.721478 11.613403 11.578868 11.649759
1367468_at 9.955684 10.1693325 10.092 10.165776 9.887149 9.8178425 10.162586 10.165092 10.126173 10.2163315 10.052373 10.147504
1367469_at 11.643747 11.510471 11.798261 11.74782 11.566484 11.653879 11.699348 11.869617 11.714438 11.869977 11.806511 11.741032
1367470_at 10.127637 10.01927 10.4122095 10.061201 10.01958 10.142299 9.958859 10.110851 10.251416 9.995076 10.125317 10.025419
1367471_at 9.096083 9.145972 9.055173 9.231567 9.1542015 9.008443 9.182326 9.190119 9.208687 9.09416 9.138629 9.180747
1367472_at 10.000031 10.303126 10.023214 10.212243 10.075555 10.029195 10.288509 10.075073 10.12203 10.23464 10.05704 10.151461
1367473_at 9.965793 9.935537 9.924984 10.02388 9.875799 9.877018 10.135566 10.079351 10.060592 10.185704 10.09367 9.949076
1367474_at 9.535347 9.460052 9.570512 9.5428915 9.45339 9.449128 9.734063 9.609133 9.663133 9.797618 9.654591 9.78159
1367475_at 10.582346 10.6113 10.545996 10.643214 10.543933 10.554147 10.520084 10.314183 10.337679 10.313595 10.279015 10.38691
1367476_at 11.181199 11.397804 11.31723 11.312384 11.280185 11.170728 11.253557 11.281939 11.313942 11.351605 11.30191 11.33237
1367477_at 10.2471695 10.181158 10.434743 10.397246 10.255163 10.229613 10.29112 10.297477 10.433961 10.502469 10.279791 10.282706
1367478_at 8.0949955 7.807557 7.945493 8.059643 7.9665847 7.9208813 7.8116465 8.077518 8.084404 8.166324 8.034283 8.0453415
1367479_at 11.209636 11.326084 11.365971 11.371698 11.280285 11.287075 11.14883 11.329396 11.367384 11.40357 11.290389 11.336844
1367480_at 9.570664 9.321865 9.6133795 9.623566 9.457444 9.482256 9.529557 9.682147 9.70115 9.765512 9.621497 9.605728
