ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
Dose 0 0 0 3 3 3 10 10 10 30 30
1367452_at 10.6271715 10.572469 10.713899 10.476127 10.6196 10.606803 10.235119 10.4758835 10.332874 10.392316 10.334694
1367453_at 9.746022 9.664312 9.63579 9.814257 9.666143 9.834406 9.826807 9.612315 9.771391 9.821647 9.729432
1367454_at 9.916592 10.082496 9.823323 10.069324 9.95519 10.021463 10.011929 9.870738 9.973043 10.111051 10.002728
1367455_at 11.071386 11.106853 10.990689 10.954164 10.858139 10.974448 11.154893 10.866941 10.853512 10.720558 10.744331
1367456_at 12.147701 12.088912 12.113827 11.976768 12.158864 11.966187 11.854911 11.982612 11.912051 12.087873 11.924608
1367457_at 9.1263485 9.087469 9.1175 9.17292 9.137618 9.2588215 9.269929 9.146861 9.276363 9.338109 9.293042
1367458_at 8.08379 8.066908 7.9534097 7.953656 8.025639 7.970837 8.04017 7.948642 7.9640193 8.083135 8.00284
1367459_at 12.276882 12.240189 12.139412 12.217079 12.167495 12.172472 12.127491 12.056766 12.184683 12.277521 12.127491
1367460_at 11.46247 11.44099 11.518879 11.498895 11.418039 11.494738 11.472226 11.352015 11.467767 11.466257 11.396817
1367461_at 10.785442 10.621551 10.500407 10.627091 10.627273 10.405804 10.215002 10.372815 10.558758 10.453562 10.449661
1367462_at 9.959441 10.049043 9.746966 9.8627615 10.074171 10.254052 10.581148 9.926033 10.038273 9.999277 10.090584
1367463_at 11.474045 10.97993 11.444864 11.150694 11.306046 11.365384 10.989032 11.117235 10.880254 10.961364 10.884583
1367464_at 9.254288 9.125721 9.033831 9.208852 9.0766945 9.116484 8.986665 9.058793 8.889417 8.841169 9.100712
1367465_at 10.096427 10.162889 9.986389 10.240451 10.155496 10.168391 10.20762 10.007344 10.095863 10.166487 10.210569
1367466_at 10.454969 10.451969 10.380896 10.37911 10.445945 10.30909 10.093686 10.327669 10.347033 10.260043 10.282084
1367467_at 11.528467 11.533888 11.476052 11.501795 11.583052 11.611584 11.601995 11.561312 11.569065 11.451497 11.550887
1367468_at 9.918625 9.872899 9.941169 9.800629 9.864639 10.051571 9.93485 9.724144 9.945664 10.000933 9.772723
1367469_at 11.98772 11.8655815 11.776498 11.8975 12.009069 11.854798 11.651452 11.81448 11.797537 11.793122 11.841061
1367470_at 10.075921 10.092419 9.932955 10.103992 10.190897 9.999238 10.026917 10.029961 10.021005 9.858035 10.027872
1367471_at 9.130288 9.022277 9.110495 9.232201 9.101755 9.197759 9.104722 9.151205 8.911824 9.118035 8.94873
1367472_at 9.801921 9.859343 9.759654 9.778128 9.856259 9.768681 9.830318 9.719639 9.693626 9.885763 9.882152
1367473_at 10.113548 10.023687 9.946388 10.056724 10.018886 10.21361 9.926309 10.024575 9.911445 10.132198 10.116477
1367474_at 9.356746 9.313112 8.983501 9.380652 9.3533325 9.450662 9.155778 9.1232 9.320343 8.910299 9.443206
1367475_at 10.84811 10.703935 10.856075 10.710685 10.78176 10.740605 10.749834 10.71989 10.651518 10.79002 10.621365
1367476_at 11.615971 11.674638 11.486916 11.7637205 11.74074 11.709555 11.782533 11.529345 11.679445 11.778551 11.64028
1367477_at 10.247043 10.382539 10.261877 10.536132 10.539336 10.533161 10.575383 10.572702 10.347949 10.479742 10.515469
1367478_at 8.072546 7.8456388 8.109896 7.9704747 7.648316 8.025183 7.923672 7.972001 7.811511 7.9840474 8.259249
1367479_at 11.380655 11.476551 11.382696 11.46661 11.523929 11.533642 11.445306 11.473468 11.609884 11.53517 11.524288
1367480_at 10.009275 9.816636 9.867504 9.9194 9.996803 9.814524 9.581124 9.730342 9.759679 9.605425 9.766043
1367481_at 9.72642 9.726594 9.762543 9.742544 9.811673 9.867121 9.783931 9.668998 9.747965 9.916639 9.785984
1367482_at 9.583773 9.524141 9.579777 9.537891 9.494314 9.642498 9.440929 9.34972 9.454022 9.563572 9.404252
1367483_at 9.081959 9.225626 9.11415 9.130095 9.027546 9.159887 9.173843 9.0967045 9.088413 8.731263 8.936039
1367484_at 9.484191 9.510285 9.47047 9.504798 9.556998 9.521792 9.354298 9.363723 9.5414095 9.467493 9.361417
1367485_at 10.365362 10.256775 10.301374 10.113398 10.3382225 10.117152 10.08206 10.268618 10.122198 10.088529 10.180555
1367486_at 9.279264 9.213658 9.170218 9.248668 9.241025 9.284572 9.374501 9.241822 9.287135 9.188277 9.227437
1367487_at 7.4085283 7.460293 7.5846405 7.1499944 7.524413 7.5080347 7.5907393 7.6534376 7.428353 7.3297033 7.4569254
1367488_at 7.981332 7.9479628 8.043783 8.12014 8.2128 7.830519 7.9167795 8.161949 7.853096 8.057426 8.266832
1367489_at 6.448228 6.3852863 6.3093433 6.27628 6.2572384 6.369428 6.3310337 6.408145 6.186337 6.5907955 6.508239
1367490_at 7.3879094 7.351787 7.131416 7.260965 7.359573 7.384863 7.236476 7.2378154 7.1843724 7.0547433 7.249487
1367491_at 9.640963 9.582381 9.488175 9.609055 9.584941 9.534394 9.386498 9.417701 9.490589 9.511391 9.505472
1367492_at 9.168248 9.07764 8.938123 9.17912 9.166675 9.164088 9.234308 8.986532 9.166794 9.025887 9.185579
1367493_at 9.560957 9.419498 9.393547 9.434055 9.620805 9.350504 9.168013 9.421948 9.316394 9.386773 9.420135
1367494_at 10.4359665 10.554458 10.639419 10.364752 10.640695 10.463499 10.278592 10.478872 10.48933 10.558351 10.49822
1367495_at 8.080832 7.974366 7.966396 7.8930254 7.988201 7.88668 7.5386147 7.65034 8.02703 7.9517183 8.028133
1367496_at 11.170215 11.095572 11.039024 11.100066 11.09668 11.06997 11.206833 11.028661 11.159494 11.326722 11.169298
1367497_at 8.676558 8.667417 8.508837 8.540979 8.502989 8.651765 8.62234 8.590071 8.619295 8.418949 8.572756
1367498_at 8.860638 8.837539 8.931812 8.857836 9.231781 8.836309 8.692742 8.915541 8.663804 8.701569 9.046984
1367499_at 8.097099 7.7815757 7.9622483 7.844995 8.05344 7.981408 8.093327 8.116121 8.140543 8.062948 8.161667
1367500_at 10.22258 10.207664 10.212027 10.252726 10.273287 10.429832 10.310029 10.298707 10.303247 10.316937 10.2476225
1367501_at 8.260309 8.287905 8.208126 8.242921 8.285607 8.244861 8.228116 8.088102 8.136597 7.9631877 8.269617
1367502_at 8.76849 8.816948 8.861266 8.891669 8.802902 8.875445 8.78644 8.784357 8.804853 8.754193 8.719992
1367503_at 11.141508 11.22187 11.300964 11.271051 11.279715 11.218759 11.131353 11.330986 11.14968 11.046563 11.151231
1367504_at 8.287617 8.357336 8.0690155 8.332453 8.296583 8.254837 8.288096 8.022316 8.158554 8.357081 8.281553
1367505_at 8.464747 8.455097 8.681522 8.451507 8.387138 8.225986 8.316226 8.214666 8.192167 8.398668 8.416857
1367506_at 10.015897 10.156072 9.926865 9.954098 9.907716 10.091522 9.937762 10.018089 9.816697 10.036523 9.985275
1367507_at 7.6280212 7.551065 7.6999283 7.556661 7.5753207 7.480157 7.2613153 7.2656555 7.314155 7.3712516 7.0706697
1367508_at 8.983919 8.957916 8.952207 9.038015 9.010822 9.1393795 8.953913 8.927958 8.857109 8.908634 8.776224
1367509_at 9.556201 9.691714 9.637589 9.806734 9.630871 9.852632 9.786109 9.645696 9.746604 9.695395 9.785042
1367510_at 9.65159 9.550146 9.508673 9.580439 9.463064 9.784281 9.78087 9.561101 9.59858 9.656895 9.678084
1367511_at 8.880643 8.860752 8.832194 8.75941 8.764423 8.800661 8.472818 8.680448 8.772582 8.908523 8.703874
1367512_at 11.184386 11.113203 11.175918 11.270477 11.154834 11.314984 11.085773 11.108973 11.164023 11.192373 11.137018
1367513_at 8.346367 8.416421 8.042826 8.225369 8.102015 8.112602 8.337233 8.115103 8.116855 8.45295 8.27118
1367514_at 7.939734 8.131114 7.8958726 8.079191 8.184139 8.042041 7.9158783 8.10656 8.04016 8.016434 8.192553
1367515_at 8.401724 8.337572 8.34995 8.425161 8.535414 8.258789 8.057655 8.313535 8.412796 8.182415 8.312952
1367516_at 8.86809 8.830253 8.859653 8.822215 8.840116 8.813007 8.758022 8.996056 8.736638 8.692079 8.864493
1367517_at 7.70456 7.674437 7.3285832 7.6820583 7.7129116 7.6065125 7.606979 7.373578 7.6479974 7.45351 7.5763054
1367518_at 8.534389 8.539191 8.459914 8.548418 8.467097 8.60847 8.679156 8.589171 8.498889 8.319757 8.658765
1367519_at 8.651703 8.631325 8.621731 8.624733 8.503392 8.53453 8.6217165 8.4491415 8.393738 8.456474 8.429646
1367520_at 10.032687 9.985873 10.239726 10.2921915 10.287591 10.307188 10.487951 10.354013 10.393262 10.455174 10.454935
1367521_at 6.9494686 6.8346195 7.1660132 7.2328224 7.1803513 7.177208 6.9999413 6.973001 7.113091 6.7584815 7.241332
1367522_at 9.299194 9.255363 9.317531 9.066825 9.112517 9.176337 9.226573 9.214262 9.262811 9.170154 9.271542
1367523_at 9.245516 9.248991 9.43023 9.183598 9.310328 9.33453 9.038931 9.192871 9.299044 9.37653 9.195067
1367524_at 7.083417 7.016337 7.111477 7.1248183 7.1180363 7.0323167 7.4149027 7.2114034 7.316211 7.244743 7.2263775
