ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 20 20 20 60 60 60 200 200 200
1367452_at 10.466185 10.529145 10.684076 10.536284 10.639081 10.520821 10.653422 10.605159 10.592239 10.507801 10.66193 10.665306
1367453_at 10.042769 9.96651 9.97702 10.007279 9.926752 9.977563 10.009344 10.013604 10.060057 10.126738 10.103621 9.958307
1367454_at 10.146984 9.934593 10.067836 10.085721 10.081735 9.990838 10.176365 10.006396 10.1213045 10.091146 10.042725 10.179342
1367455_at 11.392794 11.227398 11.187569 11.361209 11.237449 11.129615 11.304705 11.222749 11.280034 11.274631 11.278242 11.464044
1367456_at 11.804701 11.806543 11.961908 11.889351 11.960539 11.852677 11.997327 11.958232 11.835202 11.737577 11.8094225 12.112476
1367457_at 9.222721 9.234888 9.08324 9.243052 9.073268 9.175192 9.204388 9.068764 9.218725 9.245644 9.250893 9.134511
1367458_at 8.186337 8.115156 8.164218 8.188343 8.134296 8.164637 8.109506 7.9343357 8.074192 8.109991 7.974621 7.945152
1367459_at 12.120149 12.110805 12.147779 12.145514 12.164741 12.003056 12.064804 12.039604 12.084705 12.021699 12.055373 12.134249
1367460_at 11.292776 11.320575 11.342062 11.3875065 11.295782 11.235696 11.3945265 11.393163 11.314913 11.260662 11.238578 11.377262
1367461_at 10.348733 10.3846035 10.3596525 10.406683 10.532207 10.392611 10.397555 10.313646 10.378844 10.051242 10.135806 10.383904
1367462_at 10.514184 10.29994 10.652149 10.3536215 10.337805 10.6088915 10.646816 10.37851 10.537444 10.710017 10.772657 10.284879
1367463_at 11.351761 11.072139 11.244634 11.163057 11.222104 11.240971 11.382061 11.220545 11.125356 11.195702 11.379199 11.358501
1367464_at 9.541208 9.423831 9.422529 9.479379 9.402001 9.262635 9.47064 9.463891 9.485161 9.494003 9.465405 9.443308
1367465_at 10.450536 10.445368 10.3333435 10.339855 10.163479 10.424907 10.25145 10.16787 10.344027 10.352131 10.259292 9.868906
1367466_at 10.163402 10.185906 10.034864 10.214697 10.264493 10.100844 10.142795 10.211897 10.050895 10.126915 10.109343 10.394227
1367467_at 11.717475 11.739264 11.761863 11.74549 11.633126 11.702531 11.788375 11.84138 11.864861 11.922195 11.896591 11.662403
1367468_at 10.062183 10.207249 9.930596 10.034079 9.928228 10.059795 10.227768 10.258859 10.286508 10.101821 10.234766 10.10508
1367469_at 11.711032 11.67478 11.689484 11.731052 11.7823515 11.493798 11.7330475 11.732033 11.584676 11.634938 11.6309805 11.934329
1367470_at 10.117105 10.143327 10.116759 10.21138 10.203277 10.070449 10.080823 10.149779 10.110463 9.95882 10.029386 10.17437
1367471_at 9.36913 9.440033 9.444133 9.372935 9.3232155 9.448358 9.568936 9.561772 9.39163 9.595783 9.729197 9.59786
1367472_at 9.882991 9.77428 9.804492 10.004823 9.984999 9.829898 9.969492 9.686983 9.75828 9.737616 9.654403 9.862321
1367473_at 10.09931 10.221195 10.079843 10.086743 10.132781 10.194529 10.152584 10.097039 10.154671 10.217745 10.23627 10.160057
1367474_at 9.705694 9.448659 9.44011 9.407963 9.500436 9.48202 9.464277 9.385529 9.521764 9.476874 9.393434 9.413761
1367475_at 10.5947895 10.591838 10.663181 10.750864 10.680787 10.619362 10.616805 10.758077 10.721059 10.680876 10.636949 10.732136
1367476_at 11.56747 11.530802 11.696207 11.629603 11.486643 11.4918785 11.648385 11.586921 11.667494 11.744659 11.814662 11.627737
1367477_at 10.322816 10.4952345 10.512924 10.504046 10.307962 10.662691 10.442219 10.397465 10.659728 10.549986 10.519783 10.264593
1367478_at 7.9212084 7.8787556 7.95705 8.002344 7.9388676 8.110588 7.9777656 7.9320283 8.016741 8.099371 8.101278 8.046398
1367479_at 11.275528 11.468603 11.493252 11.412707 11.385195 11.536693 11.339953 11.307829 11.351993 11.334106 11.248535 11.116639
1367480_at 9.776716 9.785017 9.894865 9.81576 9.86355 9.846944 9.957559 9.911606 9.8581705 9.963168 9.943329 10.072615
1367481_at 9.780783 9.813915 9.7652025 9.807712 9.915864 9.7429905 9.833714 9.920863 9.918558 9.772669 9.934147 9.866983
1367482_at 9.855574 9.817355 9.940138 9.738505 9.773636 9.867859 9.666328 9.835998 9.686614 9.628944 9.639981 9.341815
1367483_at 9.30064 9.370825 9.514923 9.219606 9.241846 9.197359 9.356815 9.411966 9.366701 9.560381 9.537437 9.279427
1367484_at 9.633436 9.520579 9.707976 9.561801 9.493235 9.547787 9.465911 9.527352 9.504027 9.383841 9.480143 9.253461
1367485_at 10.136958 10.155555 10.240745 10.214332 10.215611 10.055949 10.138729 10.123821 10.184055 10.070777 10.140581 10.374453
1367486_at 9.738343 9.545297 9.562358 9.693571 9.49904 9.4836 9.651776 9.64302 9.531149 9.6764965 9.656236 9.695558
1367487_at 7.2752743 7.2442875 7.446527 7.322814 7.306104 7.3635178 7.197331 7.331514 7.527146 7.4178014 7.301032 7.333342
1367488_at 8.134595 8.169352 8.021732 7.915841 7.960699 8.014473 7.8934765 7.790358 7.926159 7.9872727 7.938391 8.252617
1367489_at 6.2372265 6.3213854 6.3686357 6.1436453 6.3365946 6.3333993 6.2769914 6.2806644 6.0465765 6.3769317 6.6964846 6.3636894
1367490_at 7.4911275 7.437721 7.3581924 7.3396616 7.282468 7.2627764 7.4612217 7.473418 7.2639914 7.4892282 7.5191336 7.807976
1367491_at 9.351765 9.322543 9.382817 9.39081 9.425345 9.195696 9.475526 9.353596 9.333693 9.25849 9.296338 9.627439
1367492_at 9.298727 9.264765 9.258619 9.364796 9.083522 9.223164 9.174433 9.214572 9.163219 9.339781 9.396644 9.206843
1367493_at 9.609669 9.647235 9.692903 9.70705 9.533107 9.62243 9.600061 9.4714775 9.553456 9.645886 9.641882 9.713224
1367494_at 10.315154 10.547875 10.593245 10.4887495 10.494482 10.604581 10.524533 10.774621 10.621554 10.586592 10.760897 10.555996
1367495_at 8.179069 8.157224 8.427792 7.9316735 8.115964 7.968162 8.152959 8.188482 8.098219 8.167308 8.464686 8.155985
1367496_at 11.2852745 11.056208 10.963903 11.146125 11.143322 10.892401 11.116199 11.101303 11.113267 11.069648 11.00204 11.204857
1367497_at 8.613844 8.626209 8.465018 8.4800625 8.539072 8.437886 8.530764 8.59058 8.444211 8.489933 8.3003 8.302892
1367498_at 8.875201 8.904434 8.996431 8.704003 8.74223 8.95896 8.605832 8.752796 8.805758 8.751697 8.594991 8.726744
1367499_at 7.900733 8.185539 8.084164 7.9630613 7.9571056 7.918977 7.9534216 7.664236 8.110609 7.9074025 7.6642003 8.014917
1367500_at 10.450881 10.594309 10.532682 10.431973 10.341049 10.497622 10.333627 10.402777 10.592913 10.544303 10.573791 10.1909075
1367501_at 8.57056 8.5529375 8.40704 8.508456 8.4179535 8.461832 8.521236 8.3571415 8.570837 8.44523 8.491127 8.271192
1367502_at 8.929996 8.986376 8.962426 8.987005 8.816692 8.827374 8.967102 8.908802 9.053342 9.229215 9.308622 8.821777
1367503_at 11.326137 11.244553 11.202347 11.281693 11.293666 11.36148 11.332268 11.433274 11.2942705 11.361007 11.3245 11.272627
1367504_at 8.131445 8.267978 8.256115 8.07435 7.9591165 8.229519 8.049871 8.128969 8.1506405 8.4909 8.202725 8.194892
1367505_at 8.322055 8.3253765 8.299107 8.431251 8.480686 8.281608 8.284686 8.23196 8.405244 8.18758 8.218531 8.09244
