ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 30 30 30 100 100 100 300 300 300
1367452_at 10.1865015 10.279514 10.183694 10.170395 10.176915 10.171882 10.185157 10.266885 10.234979 10.339086 10.272599 10.069943
1367453_at 9.992076 9.982782 9.892241 9.922709 9.909978 9.860589 9.965569 9.842814 9.993659 10.050574 9.894664 10.0401
1367454_at 10.037273 10.122642 9.968394 9.953421 9.973902 9.842459 10.046405 10.162369 9.983711 10.017667 10.070575 9.830901
1367455_at 11.530038 11.389332 11.337665 11.460118 11.436162 11.316747 11.551946 11.506337 11.472879 11.560049 11.49634 11.488497
1367456_at 11.785873 11.847538 11.885897 11.754537 11.822248 11.847863 11.800258 11.874863 11.908948 11.891946 11.9106655 11.737311
1367457_at 9.010818 9.164845 8.988364 9.142579 9.125728 8.993931 9.076414 9.096514 9.052241 9.115736 9.0863 8.934933
1367458_at 8.300697 8.439182 8.174809 8.109387 8.218074 8.483265 8.180508 8.192146 8.362517 8.038883 8.190516 8.567756
1367459_at 12.099301 12.105114 12.103916 12.063286 12.086407 12.038678 12.123674 12.059003 12.125831 12.122812 12.065282 12.009353
1367460_at 11.356523 11.302272 11.254001 11.274446 11.347235 11.230974 11.317438 11.440929 11.340637 11.37685 11.320709 11.187557
1367461_at 10.488517 10.533908 10.504122 10.3230505 10.190909 10.277091 10.20057 10.162268 10.220784 10.193048 10.2943325 10.169357
1367462_at 10.457081 10.400392 10.389032 10.312963 10.613414 10.437067 10.66181 10.703318 10.503043 10.363249 10.301983 10.44848
1367463_at 11.191102 10.890037 11.063411 11.046852 11.04829 10.96604 11.144256 11.226668 10.965455 11.008276 11.139117 11.188631
1367464_at 9.430805 9.428127 9.407327 9.325579 9.403354 9.36693 9.440593 9.465468 9.476472 9.420978 9.403248 9.516883
1367465_at 10.141915 10.3019705 10.083187 10.027501 10.026115 10.131502 10.144396 10.040169 10.115983 10.088295 10.056902 9.857832
1367466_at 10.333013 10.312472 10.40989 10.443254 10.427151 10.187846 10.4140215 10.430472 10.422054 10.395148 10.280571 10.345306
1367467_at 11.519735 11.6384115 11.589779 11.597822 11.695757 11.587134 11.708754 11.726954 11.571365 11.679675 11.69965 11.76864
1367468_at 9.89871 10.079838 9.952408 9.913847 9.913564 9.826585 9.951853 9.7311735 9.864855 10.039261 9.918932 9.767577
1367469_at 12.010331 11.921035 11.943082 11.9253845 11.867255 11.943474 11.950857 11.994825 12.150555 12.075208 12.041329 11.937111
