ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 30 30 30 100 100 100 300 300 300
1367452_at 10.649475 10.55822 10.583991 10.46518 10.499676 10.423357 10.496228 10.599671 10.683668 10.626989 10.439959 10.404635
1367453_at 9.858268 9.858284 9.837555 9.867199 9.840613 9.808768 9.888609 9.922006 9.948626 9.909034 9.966167 9.827051
1367454_at 10.00948 9.935859 9.988931 9.970749 9.894604 9.970245 10.132911 9.92823 10.038826 10.17156 10.135381 10.095798
1367455_at 11.183956 11.267551 11.277851 11.263446 11.116054 11.229581 11.204645 11.288555 11.428436 11.333729 11.319603 11.328722
1367456_at 12.005514 11.849968 11.91131 11.8933325 11.896413 11.833481 11.985679 12.010703 12.08952 12.0329 12.097477 11.969966
1367457_at 9.202098 9.127141 9.232725 9.13278 9.205676 9.222137 9.19116 9.305535 9.261441 9.284229 9.264885 9.095304
1367458_at 8.035768 8.189735 8.182928 8.29875 8.06941 8.0080185 8.068705 8.2674675 8.093742 8.235485 8.030309 8.006454
1367459_at 12.150211 12.028398 12.172897 12.052512 12.02864 11.985344 12.083505 12.149195 12.179682 12.228988 12.122052 12.095292
1367460_at 11.574989 11.456161 11.514889 11.434732 11.403912 11.426604 11.507024 11.542697 11.50292 11.487767 11.455038 11.420139
1367461_at 10.47527 10.376861 10.491571 10.347814 10.313799 10.388318 10.380703 10.340459 10.464411 10.553167 10.416157 10.386919
1367462_at 10.283733 10.36552 10.363168 10.614596 10.28049 10.263267 10.1685915 10.151252 10.17657 10.432915 10.253385 10.416851
1367463_at 11.321963 11.285773 11.016535 10.888538 11.427252 11.344204 11.029148 11.349291 11.130514 11.491643 11.277545 11.102742
1367464_at 9.386969 9.319776 9.393518 9.355878 9.231501 9.206924 9.334471 9.38901 9.453405 9.304373 9.323252 9.413621
1367465_at 10.121164 10.355865 10.239266 10.367938 10.271223 10.228537 10.303244 10.338523 10.292408 10.382856 10.2490635 10.282925
1367466_at 10.2656975 10.184315 10.2546835 10.211294 10.15748 10.141607 10.237865 10.272704 10.219091 10.275726 10.155247 10.171017
1367467_at 11.616492 11.79526 11.587937 11.630472 11.651665 11.723709 11.663379 11.692337 11.611988 11.630822 11.609066 11.664334
1367468_at 10.01085 10.060521 9.990573 9.938853 10.187494 10.211457 10.163922 9.9801035 9.899906 9.775215 10.006157 9.835578
1367469_at 11.951379 11.772779 11.938687 11.965073 11.817866 11.718617 11.905911 11.825761 11.89338 11.825039 11.854288 11.597901
1367470_at 10.002768 9.926518 10.011165 9.998195 9.973511 9.953919 10.080834 10.042241 9.874287 10.055223 10.022886 9.936537
1367471_at 9.353106 9.297589 9.141976 9.376953 9.392699 9.327569 9.283953 9.345207 9.486996 9.54951 9.578789 9.353612
1367472_at 9.871261 9.865578 9.99991 9.89751 9.746979 9.773793 9.813747 9.935093 9.906927 9.7821455 9.830351 9.671263
1367473_at 10.278981 10.183549 10.129256 10.117045 10.056282 10.160895 10.230101 10.2336235 10.19695 10.161449 10.271514 10.156255
1367474_at 9.501822 9.38825 9.58471 9.556639 9.611046 9.548843 9.370363 9.566269 9.550785 9.75698 9.682907 9.673975
1367475_at 10.444111 10.374641 10.366475 10.431702 10.364446 10.548018 10.402624 10.382617 10.512935 10.401704 10.366731 10.38455
1367476_at 11.609991 11.45736 11.546399 11.500353 11.488378 11.559427 11.475875 11.502926 11.513926 11.716577 11.670555 11.582833
1367477_at 10.388834 10.45755 10.217473 10.1789875 10.3323555 10.227951 10.325436 10.377631 10.276213 10.336403 10.375265 10.385692
1367478_at 8.092139 8.110136 8.063824 8.267031 7.980984 8.0197315 8.312412 8.179239 8.077742 8.177191 8.231386 8.099653
1367479_at 11.341976 11.29286 11.310028 11.302176 11.384613 11.369442 11.39891 11.370302 11.376199 11.361769 11.297146 11.31578
1367480_at 9.775654 9.650321 9.785208 9.797195 9.6640215 9.707982 9.799781 9.715151 9.87967 9.905859 9.777074 9.765313
1367481_at 9.770126 9.787474 9.726204 9.676133 9.796968 9.8394375 9.703127 9.756562 9.768784 9.65242 9.649999 9.625914
1367482_at 9.684126 9.788689 9.613754 9.5686865 9.744474 9.62278 9.611315 9.638056 9.719464 9.438696 9.501566 9.57857
1367483_at 9.072792 9.280472 9.043093 9.141932 9.269199 9.169587 9.078378 9.074186 9.089296 9.138015 9.060019 9.121395
1367484_at 9.652731 9.570923 9.471629 9.523211 9.555338 9.551655 9.565451 9.483714 9.570139 9.567479 9.700888 9.719624
1367485_at 10.109455 10.055209 10.093701 10.150549 9.988894 10.062144 10.224476 10.172931 10.307379 10.193591 10.203748 10.145279
1367486_at 9.443658 9.501527 9.487903 9.589867 9.379435 9.346423 9.48559 9.488314 9.403545 9.605987 9.5653715 9.512774
1367487_at 7.301237 7.3471365 7.419535 7.341767 7.4133987 7.3967156 7.2261915 7.256493 7.459338 7.4421883 7.3280563 7.229766
1367488_at 8.033916 7.9198527 8.023921 8.26447 7.997522 8.031107 8.06633 8.026162 8.194786 8.22065 8.14586 8.085878
1367489_at 6.4531083 6.4939375 6.4753003 6.1129284 6.4034142 6.282369 6.2850924 6.3813834 6.390883 6.4910736 6.379692 6.564049
1367490_at 7.398614 7.156921 7.167459 7.2474995 7.3088436 7.282822 7.2954683 7.2991934 7.3076534 7.547422 7.3500495 7.3091917
