ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 2 2 2 6 6 6 20 20 20
1367452_at 10.499521 10.560148 10.646492 10.559014 10.605236 10.490184 10.549454 10.44751 10.406214 10.53428 10.517117 10.5281925
1367453_at 9.925607 10.2272 10.277144 10.129923 10.199567 10.134541 10.238909 10.161206 10.162729 10.218344 10.235499 10.285666
1367454_at 9.977467 9.97049 9.927652 10.013085 10.006868 9.887093 10.168147 10.11573 10.037767 10.182784 10.188233 10.027702
1367455_at 11.228658 11.276673 11.252775 11.272233 11.389921 11.187596 11.29491 11.413873 11.434976 11.365467 11.241493 11.208918
1367456_at 12.191146 11.902749 11.825654 11.880784 11.86807 11.862144 11.95132 11.942431 11.922305 11.865272 11.855869 11.83794
1367457_at 9.047646 9.138582 9.245166 9.307673 9.2488 9.169158 9.242822 9.271199 9.231153 9.38483 9.258757 9.276666
1367458_at 8.156701 8.365995 8.190405 8.188286 8.412209 8.067502 8.359941 8.2621565 8.307742 8.319773 8.387563 8.385998
1367459_at 12.177876 12.037637 12.1023445 12.035184 12.073317 12.09713 12.077623 12.209026 12.159904 12.151644 12.139675 12.105185
1367460_at 11.431921 11.5737 11.548034 11.53966 11.532527 11.402153 11.489995 11.564124 11.640476 11.608526 11.514809 11.493327
1367461_at 10.751267 10.468373 10.389696 10.448438 10.457271 10.442803 10.519522 10.396653 10.489213 10.507149 10.436624 10.356162
1367462_at 10.320877 10.651916 10.592289 10.76051 10.596804 10.41919 10.401144 10.876927 10.368107 10.406642 10.523609 10.637946
1367463_at 11.444335 11.623248 11.442898 11.478393 11.228408 11.399027 11.4883795 11.220349 11.286235 11.269545 11.463176 11.265755
1367464_at 9.31072 9.658752 9.465745 9.626526 9.505032 9.460916 9.530713 9.467573 9.649385 9.588291 9.460626 9.383583
1367465_at 9.873833 10.35396 10.568067 10.510205 10.443256 10.608995 10.430235 10.433227 10.38494 10.434221 10.558341 10.514226
1367466_at 10.587871 10.043152 10.025055 10.135605 10.098738 10.017832 10.126153 10.188401 10.089217 10.2219305 10.028755 10.024068
1367467_at 11.624471 11.945735 11.91042 11.923807 11.950661 11.9528055 11.954768 11.858713 11.983184 11.937211 11.989023 11.951645
1367468_at 9.777973 10.369037 10.395487 10.411144 10.380118 10.412349 10.499265 10.432709 10.30666 10.302981 10.348247 10.402135
1367469_at 11.913739 11.658712 11.550912 11.585888 11.65321 11.740454 11.671086 11.646092 11.553343 11.732129 11.577065 11.488534
