ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 10 10 10 30 30 30 100 100 100
1367452_at 10.216024 10.221632 10.281971 10.2518015 10.210715 10.2698965 10.410344 10.3123 10.267019 10.274586 10.310447 10.196805
1367453_at 10.008422 10.013963 9.977654 10.037233 10.137993 10.05851 10.072262 10.125866 9.954768 9.963563 10.023882 10.112841
1367454_at 10.014026 9.92551 9.96092 10.013875 10.125996 10.031904 10.006661 9.922593 10.064513 10.070609 9.941773 10.084935
1367455_at 11.5034 11.453103 11.564339 11.608616 11.55257 11.470802 11.510522 11.579128 11.588071 11.584517 11.451774 11.613759
1367456_at 11.830212 11.844731 11.7817 11.849929 11.795723 11.875193 11.860666 11.9816065 11.854833 11.953254 11.91149 11.941018
1367457_at 9.299726 9.232967 9.233184 9.141463 9.193898 9.198873 9.232659 9.120919 9.207916 9.211052 9.188456 9.126109
1367458_at 8.307517 8.264499 8.271579 8.351518 8.266891 8.272048 8.416326 8.353607 8.315472 8.257876 8.340921 8.210775
1367459_at 11.896414 11.993188 12.018092 12.015887 12.002039 12.126943 12.0152445 12.037813 11.971919 12.01076 12.011278 11.965856
1367460_at 11.565016 11.523321 11.436724 11.533144 11.542954 11.541175 11.592601 11.495589 11.645391 11.522877 11.576229 11.446464
1367461_at 10.152683 10.3851185 10.31718 10.322436 10.196332 10.219775 10.404151 10.351008 10.491125 10.462878 10.458735 10.399113
1367462_at 10.453192 10.282251 10.642369 10.411657 10.702548 10.562984 10.373806 10.802906 10.464229 10.232455 10.348841 10.352437
1367463_at 11.280063 11.14335 11.035307 11.326767 11.039824 11.050187 11.111022 11.214537 10.893336 11.226317 11.379928 11.484696
1367464_at 9.57791 9.507482 9.425853 9.515193 9.406139 9.614503 9.706706 9.434832 9.712991 9.766977 9.679948 9.625013
1367465_at 10.34664 10.1175375 10.156183 10.257265 10.250708 10.272951 10.179992 10.09897 10.231796 10.097096 10.284262 10.066145
1367466_at 10.152658 10.158492 10.162875 10.108274 10.308578 10.109963 9.999005 10.312449 10.30154 10.228393 10.027002 10.260574
1367467_at 11.5553 11.606344 11.480705 11.582047 11.480132 11.511171 11.333295 11.447529 11.362066 11.394435 11.522961 11.468007
1367468_at 9.88346 10.014766 10.055489 9.952193 9.79633 10.0255575 9.923139 9.563063 10.068753 9.876814 10.113337 9.840169
1367469_at 11.930914 11.893794 11.935564 11.981832 11.756256 11.929967 11.981946 11.823297 11.95468 11.958618 11.776897 11.878654
1367470_at 10.018325 10.226634 10.167706 10.202495 10.139553 10.194006 10.199632 10.092028 10.165058 10.011739 10.197071 10.183613
1367471_at 9.128118 9.148987 9.071284 9.119961 9.015523 9.184511 9.206598 9.056287 9.101286 9.108699 9.2859 9.097186
1367472_at 10.224916 10.224969 10.248348 10.142169 10.31122 10.117861 10.156196 10.415927 10.118067 10.178111 10.06343 10.184651
1367473_at 9.884209 9.8084345 9.890922 9.89188 9.795412 9.95613 10.032988 9.995339 10.018622 10.076574 10.038419 9.970406
1367474_at 9.536692 9.6450405 9.6951475 9.533737 9.479284 9.734694 9.590995 9.434129 9.658907 9.656832 9.587221 9.569339
1367475_at 10.685304 10.637764 10.661018 10.703254 10.665868 10.665143 10.737786 10.742286 10.662781 10.6716385 10.696528 10.62388
1367476_at 11.217128 11.130057 11.029323 11.0513 10.996242 11.188638 10.99524 10.912714 11.047654 11.079795 10.893227 10.915031
1367477_at 9.941916 10.014139 9.793921 9.7735615 9.840478 9.959032 9.8125725 9.922831 9.790107 9.962458 9.81326 9.7922325
1367478_at 7.859716 7.914618 7.863794 7.8670583 7.904428 7.7952824 7.940275 7.9890323 8.005323 7.8432517 8.018192 7.8822055
1367479_at 11.140941 11.239733 11.1451645 11.280706 11.185709 11.135593 11.128644 11.17149 11.068333 11.017406 11.16422 11.161572
1367480_at 9.473364 9.512455 9.439944 9.555285 9.338724 9.438065 9.535662 9.460631 9.648351 9.647567 9.533409 9.426663
1367481_at 9.37731 9.324407 9.322378 9.35808 9.312118 9.3663225 9.490256 9.233864 9.311958 9.41694 9.382051 9.293554
1367482_at 9.596061 9.507455 9.538259 9.507855 9.722029 9.680067 9.665437 9.341626 9.583529 9.691489 9.824386 9.828771
1367483_at 8.877363 8.910103 8.799216 8.939367 8.752356 8.736231 8.747034 8.621706 8.929777 8.971853 8.867897 8.905727
1367484_at 9.416508 9.388456 9.490778 9.148117 9.251292 9.524561 9.658333 9.07322 9.432448 9.522462 9.548547 9.399536
1367485_at 10.096232 10.134134 10.181585 10.347961 10.209609 10.181119 10.322802 10.156574 10.190265 10.30693 10.21765 10.213282
1367486_at 9.759281 9.674744 9.788474 9.756726 9.890093 9.69577 9.806937 9.740867 9.647958 9.856262 9.780564 9.590168
1367487_at 7.283206 7.6317253 7.578109 7.4000297 7.5140533 7.3239126 7.4012346 7.6249037 7.447839 7.449937 7.570621 7.59503
1367488_at 8.184424 8.167147 8.187744 7.999096 8.264435 8.022945 8.385266 8.366387 8.544165 8.180118 8.087402 8.076118
1367489_at 6.3365602 6.579299 6.6633115 6.524727 6.794996 6.7161307 6.386 6.647725 6.706365 6.555636 6.6704965 6.8146033
1367490_at 7.3072596 7.3448534 7.0595684 7.2161813 7.149455 7.2283835 7.326187 7.1578264 7.3368616 7.237487 7.417636 7.645541
1367491_at 9.366849 9.43268 9.313253 9.202893 9.134915 9.320464 9.579918 9.264516 9.493434 9.522437 9.371445 9.381345
1367492_at 9.099313 9.191368 9.054304 9.185334 9.025492 9.076541 9.0554085 9.046425 9.073312 9.12105 9.130993 9.048316
1367493_at 9.475376 9.564429 9.47598 9.51285 9.347012 9.46237 9.63478 9.644146 9.474347 9.510631 9.607965 9.496688
1367494_at 9.908289 9.985835 9.837398 9.9223585 9.846122 9.756301 9.855715 9.735922 9.904158 9.989037 10.078877 9.883123
1367495_at 7.5064325 7.5688925 7.3903904 7.6946535 7.279628 7.5642343 7.723372 7.300704 7.622768 7.786105 7.689682 7.487687
1367496_at 11.45624 11.348865 11.350295 11.302397 11.442255 11.514652 11.353388 11.29662 11.389157 11.457615 11.202373 11.318241
1367497_at 8.8669815 8.841698 8.818655 8.863272 8.925975 8.829882 8.826137 8.912295 8.76349 8.7504425 8.716603 8.67431
1367498_at 8.84749 8.851635 8.877594 9.09388 8.835509 8.87998 8.96832 8.721962 8.945705 8.688916 8.939422 8.864637
1367499_at 8.320971 8.159704 8.400101 8.223938 8.202972 8.2434635 8.244875 8.196436 8.400995 8.210957 8.475599 8.284317
1367500_at 10.302591 10.137454 10.153303 10.21482 10.208123 10.328258 10.224237 9.955031 10.201188 10.34856 10.269247 10.133507
1367501_at 8.662471 8.750287 8.531683 8.611306 8.463178 8.701172 8.711812 8.708639 8.824528 8.666733 8.705453 8.792926
1367502_at 8.6234865 8.554095 8.318 8.452851 8.367178 8.484095 8.350115 8.371045 8.488255 8.450935 8.539516 8.346783
1367503_at 11.013527 11.180564 10.986679 11.02757 11.128522 10.892521 11.10648 11.097178 11.056278 10.956649 11.062837 10.986375
1367504_at 8.0213375 8.065092 7.85436 8.004034 7.9050946 8.267872 8.317692 7.864012 8.276667 8.219891 8.245441 8.099873
1367505_at 8.239937 8.382854 8.365592 8.367447 7.915062 8.271442 8.475629 8.24775 8.273597 8.272261 8.185376 8.30386
1367506_at 9.867662 10.017865 9.890532 10.017692 9.823265 9.7490015 9.74038 9.940208 9.804922 9.839381 9.833304 9.791054
1367507_at 7.3609986 7.308878 7.328478 7.4328637 7.191681 7.1732497 7.535503 6.994916 7.392972 7.1935563 7.5427575 7.5084305
1367508_at 8.814471 9.080586 8.82576 8.705975 8.81522 8.852421 8.833474 8.816138 8.829 8.736961 8.801058 8.710529
1367509_at 9.76769 9.718378 9.544808 9.632037 9.556054 9.557158 9.67378 9.378193 9.549814 9.62248 9.635376 9.559945
1367510_at 10.018556 9.922879 9.805236 9.882866 9.84589 9.885948 9.97437 9.758103 9.910497 9.916345 9.84444 9.761075
1367511_at 8.516019 8.61751 8.598506 8.59642 8.599173 8.642316 8.613083 8.57289 8.521236 8.665667 8.560091 8.411093
1367512_at 11.026833 11.082218 10.979706 11.082613 10.971462 10.984648 11.0416565 10.925508 11.13939 11.020249 11.109993 10.97528
1367513_at 8.321947 7.7358313 8.191347 8.154531 8.177055 8.3708725 8.329045 8.27681 7.918026 8.138105 7.953174 7.767958
1367514_at 8.045895 8.111771 7.738224 7.9736314 7.9944544 7.9593563 8.002076 7.8822765 7.8779707 7.9653277 8.12994 7.8938828
1367515_at 7.970886 7.8320017 7.617992 7.445036 7.5113416 7.8010616 8.178961 7.557142 8.077822 8.165525 8.122388 7.862168
1367516_at 9.092558 9.131246 9.033814 9.258521 9.069181 9.033041 9.241814 9.000683 9.046963 9.256489 9.230291 9.140807
1367517_at 7.9282475 7.896065 7.9028826 7.5010843 7.96655 7.989828 7.795298 7.914925 8.067441 7.945301 7.570446 8.026634
1367518_at 8.7821045 8.772601 8.83509 8.721434 8.877588 8.785343 8.752194 8.8075285 8.859688 8.7835655 8.847276 8.814131
1367519_at 8.591492 8.567748 8.718409 8.63085 8.683375 8.558074 8.593866 8.614303 8.535437 8.536337 8.604671 8.606627
1367520_at 10.060037 10.048212 9.919584 9.977854 9.945119 9.886665 9.904703 9.950631 9.930775 9.952296 9.85426 9.794319
1367521_at 6.8569255 6.994569 6.7785296 6.778983 6.768155 6.7545204 7.11372 6.846418 7.0365434 7.2395177 7.3193936 7.371706
1367522_at 9.321389 9.240001 9.119628 9.334872 9.147054 9.46835 9.418028 9.233807 9.397429 9.225814 9.458024 9.314677
1367523_at 8.457388 8.467085 8.523148 8.709436 8.398241 8.53974 8.594937 8.422277 8.568124 8.584003 8.74754 8.584161
1367524_at 7.299007 7.4984064 7.465051 7.6792455 7.434702 7.7132134 7.605939 7.5569468 7.3342853 7.422623 7.5136604 7.773969
1367525_at 9.187378 9.103927 9.1664505 9.15191 9.271753 9.215677 9.230295 9.254865 9.138928 9.331322 9.131063 9.286467
1367526_at 9.004255 9.088774 8.86627 8.991427 9.055775 8.84615 9.010392 9.00922 9.031618 9.096304 9.077232 9.099025
1367527_at 8.610299 8.385143 8.449434 8.356294 8.495697 8.493988 8.50218 8.480632 8.386389 8.610541 8.324392 8.4559965
1367528_at 8.922017 8.96178 8.925483 9.063918 9.256582 9.109779 8.930171 9.002479 8.916803 8.9554 8.781479 9.160843
1367529_at 9.262912 9.1415825 9.181635 9.13167 9.113436 9.413009 9.246852 9.256403 9.327501 9.217348 9.3515215 9.112632
1367530_at 7.573576 7.5748787 7.5746317 7.2753325 7.55459 7.5959406 7.2819943 7.5418863 7.471949 7.5122247 7.4011927 7.441547
1367531_at 10.583402 10.561456 10.616216 10.62471 10.603656 10.652332 10.809035 10.665366 10.624697 10.755543 10.724032 10.680278
1367532_at 11.271378 11.241432 11.368548 11.211371 11.321899 11.274378 11.2899275 11.319426 11.348774 11.443026 11.4192705 11.352545
1367533_at 8.684181 8.719506 8.698344 8.584305 8.743585 8.628691 8.736615 8.647932 8.604943 8.760172 8.603486 8.575119
1367534_at 7.6509466 7.512765 7.515477 7.608368 7.7233806 7.2457685 7.380806 7.6125684 7.5046515 7.65383 7.3362284 7.6704903
1367535_at 8.79932 8.7673235 8.741862 8.879522 8.923891 8.752546 8.814063 8.85493 8.731765 8.801469 8.94965 8.916357
1367536_at 7.684911 7.748962 7.6831536 7.772948 7.563784 7.5511527 7.7774267 7.671756 7.834872 7.82761 7.8606234 7.8044763
1367537_at 7.9790072 8.008508 8.117185 7.803039 7.9443665 7.9699025 8.141581 7.727897 8.162858 8.264627 8.103855 7.9982715
1367538_at 7.310116 7.1081295 7.4948287 6.9065323 7.2548537 7.241439 6.927268 7.1512375 7.3147497 7.323617 7.0213017 7.2144547
1367539_at 8.752807 8.683235 8.578871 8.519079 8.650674 8.628531 8.615134 8.22211 8.816202 8.560693 8.639069 8.362439
1367540_at 7.8660593 7.741242 8.042777 7.740535 7.8158245 7.6224284 7.914375 7.6679525 8.242565 8.019196 8.062176 8.159674
1367541_at 8.072708 7.7333636 7.861327 7.725978 7.739057 7.6493816 7.84797 7.5773044 8.103329 7.9250126 7.677664 7.9789314
1367542_at 8.329722 8.27334 8.250141 8.30859 8.229921 8.215879 8.52693 8.266225 8.444927 8.24073 8.430206 8.504646
1367543_at 8.581674 8.540194 8.459667 8.754217 8.581368 8.657031 8.606129 8.717967 8.845867 8.457119 8.605754 8.560624
1367544_at 7.2486534 7.1855245 7.1957464 6.9399924 7.236455 7.2014256 7.2276335 6.946495 7.357298 7.592951 7.245019 7.2782674
1367545_at 7.5372715 7.577962 7.4557424 7.366965 7.465317 7.261121 7.302921 7.181829 7.3731527 7.48058 7.4380364 7.410441
1367546_at 10.218468 10.497993 10.592014 10.219193 10.174208 10.43556 10.503955 10.516923 10.466454 10.418079 10.638679 10.183107
1367547_at 8.099014 8.203489 8.29911 8.133167 8.055243 8.158218 8.1392765 7.9249682 8.106804 8.01147 7.9096904 8.07205
1367548_at 8.592944 8.549391 8.452269 8.42272 8.6341095 8.535988 8.896448 8.597249 8.593388 8.554196 8.695574 8.380287
1367549_a_at 10.712607 10.820253 10.920892 10.74085 10.887048 10.758698 10.675671 10.938648 10.890473 10.8167095 10.767993 10.785141
1367550_a_at 8.756001 8.693178 8.3699045 8.486438 8.576467 8.875871 8.724585 8.296162 8.744904 8.901539 8.928989 8.634004
1367551_a_at 9.357665 9.158252 9.189804 9.165709 9.239894 9.28594 9.279788 8.796356 9.418148 9.42629 9.367593 9.271021
1367552_at 4.180346 4.3320055 4.327443 4.3191543 4.5572915 4.3757586 4.3723 4.283946 4.3248672 4.355192 4.4782677 4.310462
1367553_x_at 11.719402 12.042388 11.901052 11.846773 12.3218155 12.035008 12.157379 12.21779 12.132053 11.786601 12.146847 12.208787
1367554_at 4.033167 4.120077 3.9943492 4.079223 4.1404347 3.8824947 4.023733 4.0485525 4.080559 3.8692508 4.0117903 3.873681
1367555_at 14.733719 14.73272 14.73272 14.718243 14.68323 14.72809 14.747564 14.707607 14.747418 14.743664 14.728721 14.717045
1367556_s_at 14.570192 14.588124 14.56383 14.543697 14.591468 14.570192 14.567668 14.559159 14.582297 14.573405 14.54803 14.582297
1367557_s_at 13.124618 13.034968 13.06438 13.112108 13.077027 12.97207 12.990334 13.181489 13.024586 13.07578 13.064016 13.012756
1367558_x_at 3.2183945 3.3299687 3.2759886 3.1047041 3.2395222 3.0526445 3.253246 3.0915234 3.0580912 3.1110327 3.1516256 3.2717752
1367559_at 13.063083 13.0078745 12.959775 12.915369 12.845999 12.9540205 13.145334 12.792771 13.066142 13.116997 12.965048 12.966386
1367560_at 12.17444 12.34405 12.16491 12.136279 12.173084 12.1832285 12.189997 12.087627 12.169991 12.202677 12.406024 12.307571
1367561_at 12.560228 12.55302 12.57852 12.530821 12.538948 12.590567 12.581749 12.622954 12.561848 12.577603 12.658911 12.610175
1367562_at 9.088639 8.809101 8.847382 8.819199 8.870084 9.058356 9.069095 8.708763 8.896673 9.00031 8.662553 8.529387
1367563_at 8.823832 8.823594 8.821874 8.888401 8.7453575 8.920064 9.02655 8.6208315 8.816192 8.864319 8.776326 8.645108
1367564_at 5.6239243 5.976697 5.7396727 6.1506343 6.029225 5.8830037 5.7359242 6.182579 5.6332617 5.802264 5.9525623 5.813286
1367565_a_at 13.874143 13.861263 13.871131 13.825031 13.860071 13.867998 13.804862 13.874568 13.836347 13.8599415 13.8960905 13.868035
1367566_at 4.0683527 3.9936266 4.0701447 4.3372602 4.2378845 4.123888 4.013467 4.431779 3.9695632 4.102316 3.9434507 3.8702037
1367567_at 11.976679 12.129474 11.993446 11.9478035 12.029913 12.030327 12.0185175 12.1193495 12.009163 12.044729 12.137853 12.104332
1367568_a_at 9.246578 8.957174 8.968192 8.769826 9.24686 9.019486 9.00278 9.095495 9.12278 9.451872 8.925803 8.950052
1367569_at 11.687745 11.925644 11.626394 11.553733 11.572609 11.692304 11.751311 11.703316 11.56592 11.6204195 11.779393 11.582422
1367570_at 6.813074 6.7912626 6.774095 6.8829837 6.980464 6.9449553 7.1587405 6.63121 7.0248785 6.7539616 6.879526 6.9891844
1367571_a_at 5.200239 5.0656567 5.1731043 5.312505 5.296237 5.3720713 4.705434 5.4930687 5.152377 5.322381 5.252043 5.368581
1367572_at 4.995783 5.1176763 5.148288 5.0718 5.0753565 4.996133 4.848551 5.3116946 4.8793635 4.910577 4.9536004 4.9331937
1367573_at 12.371739 12.398997 12.324772 12.314342 12.383139 12.264402 12.367516 12.307016 12.352366 12.351089 12.344716 12.397474
1367574_at 8.600016 8.6151 8.945873 8.351022 8.578432 8.907553 8.738804 8.5903015 8.493577 8.801845 8.554785 8.156998
1367575_at 11.692079 11.530554 11.39284 11.67001 11.573301 11.432742 11.596302 11.881979 11.405421 11.383453 11.438228 11.498432
1367576_at 13.710849 13.716966 13.700188 13.813665 13.696697 13.60727 13.756479 13.716501 13.656485 13.755953 13.60727 13.750717
1367577_at 7.4635653 7.6173277 7.522918 6.9302945 7.1476173 7.7133756 7.6318216 6.8434825 7.2474265 7.3495636 6.7792883 6.9391775
1367578_at 10.353211 10.367825 10.359698 10.438731 10.470326 10.305503 10.422447 10.374233 10.412499 10.38207 10.455486 10.399784
1367579_a_at 11.236433 11.315176 11.158535 11.074827 11.097065 11.460475 11.4413185 11.529283 11.295471 11.151133 11.253909 11.217062
1367580_at 11.415927 11.607649 11.310454 11.363303 11.402008 11.3509445 11.374328 11.337975 11.378114 11.446077 11.523956 11.4707
1367581_a_at 5.6226034 6.0572205 5.7370605 6.056673 6.3227277 5.7524056 6.2474523 5.9623976 6.165794 5.7110186 5.687248 5.9080877
1367582_at 11.696424 11.8128605 11.637109 11.658514 11.754817 11.677774 11.774227 11.576875 11.72298 11.731535 11.777676 11.736376
1367583_at 13.417952 13.35665 13.37569 13.336508 13.342759 13.4029255 13.488066 13.301725 13.419752 13.363677 13.465076 13.394899
1367584_at 8.163057 8.281181 8.118137 8.115871 8.402017 8.142079 8.249538 8.233899 7.8592324 8.089472 7.972579 7.7745037
1367585_a_at 11.094767 11.080219 11.262798 11.0516205 11.540623 11.08826 10.986696 11.084706 11.181708 11.226668 11.107638 11.155221
1367586_at 13.006392 12.768688 12.844367 13.037328 12.980717 12.851686 12.855984 13.06789 12.997083 12.647638 12.57785 12.447299
1367587_at 3.5771937 3.4846988 3.4497225 3.4441059 3.5410976 3.4445958 3.51711 3.5804367 3.3305633 3.2972376 3.615724 3.6749465
1367588_a_at 11.608757 11.699188 11.541566 11.470527 11.410718 11.642496 11.66484 11.362339 11.6188 11.693941 11.619827 11.518217
1367589_at 9.499547 9.614242 9.60267 9.483821 9.55141 9.478471 9.516224 9.67297 9.632549 9.650057 9.751675 9.591226
1367590_at 10.982441 10.982043 10.900967 11.010106 10.876241 10.905715 11.1766615 11.03356 10.899476 10.954594 10.878974 10.808198
1367591_at 10.209507 10.244987 9.979363 10.236675 10.165827 10.052197 10.06083 10.069414 10.038906 10.01135 10.0048485 10.119227
1367592_at 3.3526673 3.4254742 3.3767455 3.5876362 3.2510285 3.257704 3.22982 3.342619 3.6133974 3.522042 3.3463979 3.3530374
1367593_at 8.36823 8.851305 8.632375 8.511511 8.653553 8.862504 9.370502 8.340376 8.349 9.196888 8.660368 8.769011
1367594_at 9.347628 9.259958 9.255066 9.192907 9.409733 9.28648 9.467701 9.291996 9.21089 9.3057995 9.228268 9.271282
1367595_s_at 13.752292 13.664746 13.7453375 13.6877165 13.7280855 13.718053 13.681094 13.686743 13.672432 13.55952 13.72514 13.5293455
1367596_at 12.413708 12.473019 12.35316 12.338579 12.336987 12.377908 12.338717 12.212217 12.320203 12.388081 12.448175 12.402654
1367597_at 12.05432 12.121559 12.017394 11.906791 11.99102 11.937862 12.042733 12.067283 12.019784 12.002816 12.070988 12.078049
1367598_at 14.159914 14.168176 14.141448 14.188114 14.178823 14.159067 14.199784 14.200357 14.192454 14.1685 14.171716 14.129457
1367599_at 12.226133 12.416184 12.331804 12.391912 12.349993 12.201941 12.174371 12.31179 12.03749 12.100275 12.26774 12.114887
1367600_at 5.353001 5.5863953 5.44336 5.3794074 5.262518 5.443281 5.6532726 5.8273115 5.50802 5.5177784 5.656123 5.7307963
1367601_at 8.981335 8.350172 8.897615 8.750145 8.842609 8.278339 8.345737 8.103006 8.273954 8.236315 8.370161 7.929881
1367602_at 10.025972 9.395114 9.937858 9.942979 10.077513 9.360179 9.37233 9.424155 9.397181 9.335039 9.4367895 9.141623
1367603_at 11.539084 11.578598 11.5672865 11.487272 11.672348 11.425477 11.491139 11.510523 11.374216 11.382579 11.471571 11.431393
1367604_at 11.090874 11.240667 11.191887 11.205531 11.206643 11.381936 11.243495 11.155486 11.023879 10.975805 11.09861 11.056416
1367605_at 11.087399 11.022312 11.084577 11.131195 11.101757 11.156911 11.235378 11.189582 10.987146 11.097454 11.019596 10.863894
1367606_at 12.274539 12.401005 12.27434 12.275986 12.333467 12.240586 12.318662 12.359211 12.28527 12.35171 12.344417 12.359115
1367607_at 12.729198 12.718454 12.703546 12.66899 12.665665 12.615304 12.705731 12.562317 12.732898 12.6300125 12.732916 12.623876
1367608_at 5.0883904 4.984479 5.1616077 5.462347 5.15265 4.8844376 4.9032726 5.0840273 5.160448 5.0903635 5.0620785 4.9979343
1367609_at 11.753571 11.792022 11.724526 11.87026 11.779704 11.4415455 12.041992 11.6568575 11.711144 11.113821 11.16697 12.109165
1367610_at 12.467649 12.574484 12.4639635 12.517192 12.558814 12.468053 12.500335 12.503633 12.483241 12.4941025 12.52181 12.486151
1367611_at 5.033865 5.481322 5.0515485 5.6774526 5.44993 5.3900785 5.075054 5.42932 5.07362 5.1953497 5.107018 5.2007194
1367612_at 14.154793 14.0534 14.0572 14.127832 14.043887 14.074897 14.128221 14.053146 14.074897 14.107985 14.063866 14.047162
1367613_at 12.95761 12.985031 12.985276 12.956988 13.003455 12.982756 13.066213 13.015046 12.91841 12.978877 12.926713 12.93055
1367614_at 7.733567 7.7367153 7.355321 6.820717 7.4702845 7.3380365 7.673894 7.436511 7.499283 7.5133724 7.070205 7.103057
1367615_at 4.0710845 4.0969543 4.2918854 4.555664 4.3784313 4.3057666 4.2152834 4.3820457 4.293917 4.0996675 4.220595 4.537575
1367616_at 4.4068527 4.3998394 4.3908186 4.436822 4.5898495 4.46297 4.367073 4.3249245 4.371293 4.3974056 4.4771595 4.344055
1367617_at 9.605556 9.69141 9.72011 9.748797 9.663826 9.6358 9.92286 9.939887 9.727114 9.836768 9.993379 9.816233
1367618_a_at 11.206252 11.286387 10.739372 11.1167755 11.149604 11.167239 11.270311 11.217362 11.172932 10.826131 11.226205 11.195027
1367619_at 13.0837755 12.977158 12.876209 12.932777 12.795563 12.972299 13.007519 12.903716 12.991448 12.892649 13.029528 13.045177
1367620_at 12.838772 12.803225 12.791526 12.779376 12.798576 12.752946 12.784055 12.900648 12.680564 12.698122 12.696307 12.645388
1367621_at 8.604718 8.864855 8.608835 8.471466 8.485714 8.660664 8.527128 8.415439 8.630203 8.646469 8.672704 8.606266
1367622_at 12.478197 12.477657 12.37509 12.503694 12.397366 12.340811 12.382931 12.50118 12.433627 12.3777275 12.432443 12.372574
1367623_at 12.212747 12.245078 12.213022 12.125435 12.254533 12.225477 12.230358 12.143265 12.1153 12.136547 12.143119 12.185226
1367624_at 10.524645 10.902131 11.15405 11.084894 10.631025 10.805418 11.072956 10.956009 10.757208 10.701175 11.020672 10.825955
1367625_at 13.197116 13.287982 13.248221 13.210615 13.318762 13.215191 13.317525 13.244944 13.334348 13.289332 13.365604 13.295104
1367626_at 4.644717 4.904601 4.84659 5.2032595 5.22058 4.912497 4.7697344 4.9519615 4.740902 4.9329724 5.281469 4.993612
1367627_at 8.592839 8.126152 8.290088 8.224907 7.920923 8.558794 8.753465 7.822619 8.500125 8.091406 8.131932 7.9159536
1367628_at 6.6245146 6.67675 6.7080126 5.847818 6.4851484 6.053641 6.812696 6.2250605 6.321381 6.626493 6.4914317 6.030005
1367629_at 12.347 12.372238 12.256887 12.335182 12.272729 12.191218 12.18605 12.370434 12.294643 12.27521 12.428585 12.3194065
1367630_at 12.383206 12.4491825 12.328998 12.309848 12.374653 12.308139 12.300279 12.206117 12.212898 12.33513 12.329002 12.325018
