ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 1 1 1 3 3 3 10 10 10
1367452_at 10.355342 10.389997 10.418431 10.444362 10.241519 10.449242 10.319482 10.306914 10.334225 10.440092 10.390283 10.31324
1367453_at 10.24223 10.317363 10.10322 10.217027 10.177386 10.180679 10.061009 10.084198 10.331003 10.27882 10.307148 10.221164
1367454_at 10.235807 10.318761 10.342702 10.327915 10.234558 10.187373 10.26073 10.409297 10.417515 10.330086 10.388773 10.347118
1367455_at 11.7298975 11.653082 11.720805 11.609119 11.683689 11.662782 11.578228 11.744212 11.753011 11.681344 11.786869 11.67511
1367456_at 12.066196 11.959807 12.069856 12.063355 11.994212 12.00247 12.051309 12.127511 12.0918865 12.1337805 11.978842 11.992229
1367457_at 9.238325 9.232113 9.341883 9.283455 9.244583 9.333921 9.3534355 9.254915 9.387744 9.377623 9.215708 9.286941
1367458_at 8.339733 8.321948 8.262969 8.326214 8.203773 8.219129 8.185408 8.229759 8.138936 8.343633 8.156072 8.170759
1367459_at 12.340337 12.363573 12.327201 12.291181 12.282595 12.291183 12.1881075 12.255928 12.273162 12.22887 12.385451 12.207737
1367460_at 11.649589 11.594941 11.689402 11.636602 11.697838 11.586175 11.560173 11.752015 11.616992 11.557506 11.369347 11.47397
1367461_at 10.76289 10.61082 10.84444 10.742014 10.785634 10.728492 10.653207 10.869848 10.820335 10.801906 10.874401 10.669795
1367462_at 10.639043 10.595069 10.11838 10.280565 10.327057 10.429835 10.291214 10.301365 10.13373 10.225176 10.279683 10.399601
1367463_at 11.270648 11.325627 10.948467 11.307502 11.389315 10.826724 11.433036 11.488775 11.382112 11.052559 11.358474 11.354223
1367464_at 9.621809 9.539846 9.642775 9.599885 9.618277 9.498005 9.525012 9.567878 9.601304 9.678304 9.764888 9.618811
1367465_at 10.16584 10.184585 10.088375 10.137567 10.197192 10.245545 10.025939 10.151457 10.151563 10.134251 10.154223 10.043021
1367466_at 10.385176 10.431491 10.395583 10.453108 10.448995 10.35594 10.433217 10.411787 10.490807 10.515238 10.375134 10.469262
1367467_at 11.619346 11.804727 11.584131 11.582272 11.550203 11.674968 11.593555 11.635873 11.523284 11.603879 11.633872 11.693979
1367468_at 10.22195 9.976824 10.039734 10.158207 10.010458 10.190646 9.915487 9.926749 10.15569 10.220799 10.038585 9.861853
1367469_at 12.001796 11.928345 12.037033 11.99929 12.110501 12.006148 11.971551 12.038031 12.041333 11.969233 11.902721 11.939289
1367470_at 10.3742075 10.289352 10.508625 10.338237 10.387358 10.294305 10.357652 10.383253 10.498888 10.433471 10.650422 10.310949
1367471_at 9.27886 9.320653 9.304459 9.327913 9.418811 9.228346 9.374989 9.283188 9.321868 9.531479 9.689717 9.325986
1367472_at 10.2581835 10.205594 10.226362 10.231237 10.186504 10.180039 10.13646 10.248311 10.2663145 10.232591 10.133435 10.140364
1367473_at 9.879401 9.95625 9.837072 9.92929 9.965016 10.026933 9.92695 9.996804 9.913528 10.027669 10.086874 9.916351
1367474_at 9.794332 9.531633 9.6713085 9.902165 9.875462 9.7416935 9.7143755 9.82586 9.8161335 9.764202 9.888505 9.856023
1367475_at 10.580384 10.515199 10.511211 10.449027 10.530839 10.502521 10.535693 10.513649 10.496288 10.622813 10.573634 10.48965
