ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 50 50 50 150 150 150 500 500 500
1367452_at 10.137775 10.193942 10.104576 10.093853 10.054221 10.143591 10.205238 10.123635 10.181686 10.133432 10.039834 9.949183
1367453_at 9.9834 10.109723 10.093539 10.168014 10.252988 10.17096 10.095345 10.084193 9.959287 10.260692 10.154549 10.071135
1367454_at 9.653416 9.6016035 9.767032 9.902094 9.27389 9.595654 9.495766 9.683661 9.62133 9.466671 9.510697 9.408572
1367455_at 11.519382 11.515497 11.386632 11.479674 11.383818 11.24151 11.475112 11.408202 11.48882 11.505201 11.347129 11.396167
1367456_at 11.873081 11.667289 11.673112 11.699432 11.673951 11.709451 11.760831 11.875336 11.693456 11.783838 11.67232 11.647746
1367457_at 8.710722 8.6625185 8.631535 8.607113 8.435021 8.6049 8.657827 8.478725 8.740506 8.649014 8.663927 8.539516
1367458_at 8.653866 8.779329 8.739077 8.953329 8.663111 8.803663 8.815115 8.84676 8.731937 8.829334 8.7416115 8.816231
1367459_at 12.347563 12.325581 12.359741 12.305122 12.39643 12.362474 12.419785 12.431488 12.366743 12.412465 12.375184 12.432847
1367460_at 11.560884 11.544922 11.465558 11.407538 11.350297 11.506744 11.559439 11.509704 11.480979 11.622175 11.622847 11.561911
1367461_at 10.187778 9.957363 10.169868 10.0151615 10.009701 10.166697 10.124617 9.977856 9.984707 10.228668 9.952372 10.025536
1367462_at 10.799503 10.803375 10.833853 10.875738 10.612018 10.632937 11.207245 10.809676 10.912226 10.943943 11.210945 11.325283
1367463_at 10.779056 10.503905 10.800887 10.823266 10.880524 10.7402315 10.908681 10.939056 10.933949 11.168612 11.024566 10.752784
1367464_at 9.20422 9.246965 9.282259 9.086992 9.159106 9.106943 9.082494 9.206429 9.182026 9.293165 9.117872 9.047741
1367465_at 10.360435 10.313429 10.287042 10.542742 10.485832 10.47847 10.729449 10.517304 10.542396 10.667507 10.731732 10.727083
1367466_at 9.981298 9.775468 9.904666 9.940121 9.676352 9.630354 9.827164 9.765318 9.723755 9.734287 9.727919 9.695915
1367467_at 11.490552 11.4277315 11.497297 11.541814 11.584397 11.519434 11.60755 11.529742 11.662519 11.623851 11.588794 11.55789
1367468_at 9.447798 9.710087 9.762873 9.737085 9.410185 9.978299 9.675646 9.767451 9.639135 9.586578 9.615648 9.18241
