ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 3 3 3 10 10 10 30 30 30
1367452_at 10.536006 10.3989315 10.4334135 10.38869 10.36834 10.324936 10.359169 10.341694 10.301169 10.361723 10.31279 10.406027
1367453_at 10.085533 10.047301 10.106258 10.074491 10.118657 10.164687 10.090205 10.115609 10.016033 10.076169 10.116792 10.037859
1367454_at 10.1666765 10.066841 10.137175 10.145229 10.090151 10.060572 10.186389 10.042627 10.010353 10.105463 10.107945 10.031949
1367455_at 11.496543 11.488991 11.511688 11.483829 11.431066 11.470345 11.68099 11.503094 11.413383 11.405704 11.347728 11.547062
1367456_at 12.087553 11.850481 11.901699 11.852976 11.861924 11.96938 12.0313835 11.87995 11.911996 11.853203 11.9203415 11.985959
1367457_at 9.145333 9.15213 9.251657 9.249102 9.198383 9.227806 9.279762 9.2003 9.163663 9.231298 9.170991 9.258483
1367458_at 8.362178 8.422043 8.374496 8.288715 8.305603 8.4375 8.4125 8.417194 8.387338 8.363183 8.51633 8.316893
1367459_at 12.24187 12.181015 12.193674 12.143644 12.131281 12.081366 12.1909485 12.140409 12.106464 12.002041 12.151309 12.074225
1367460_at 11.635441 11.6970625 11.660357 11.665391 11.672945 11.608663 11.663851 11.678057 11.6848 11.551084 11.694966 11.727526
1367461_at 10.671488 10.487051 10.583828 10.426667 10.392525 10.357922 10.400591 10.366843 10.3837595 10.360276 10.248471 10.356855
1367462_at 10.920567 10.405138 10.770874 10.805851 10.580087 10.612202 10.163098 10.481406 10.444345 10.554968 10.511411 10.410059
1367463_at 11.135061 11.193502 11.153318 11.285215 11.080551 11.267848 11.210469 10.961835 11.095488 10.9229965 11.01447 11.105059
1367464_at 9.603492 9.704622 9.47542 9.638433 9.4822 9.539499 9.599413 9.654116 9.552717 9.591135 9.664229 9.626484
1367465_at 10.189851 10.411963 10.317222 10.275494 10.369403 10.301455 10.217457 10.302249 10.227634 10.276958 10.294042 10.258922
1367466_at 10.370048 10.214739 10.167371 10.179996 10.004484 10.073574 10.147925 10.157754 10.124917 10.164139 10.258075 10.1898575
1367467_at 11.591577 11.600993 11.678486 11.490057 11.636787 11.604348 11.554996 11.606429 11.681874 11.571511 11.723042 11.623609
