ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 4.5 4.5 4.5 15 15 15 45 45 45
1367452_at 10.732948 10.602183 10.6612215 10.70222 10.698706 10.708872 10.589006 10.641278 10.576974 10.488822 10.461112 10.481777
1367453_at 10.056082 9.901738 9.968349 9.886582 10.085766 9.961023 9.952896 9.97768 9.926281 9.950036 10.024548 10.073633
1367454_at 10.172079 10.209632 10.19426 10.154497 10.166866 10.060915 10.124088 10.13673 10.08387 10.00161 10.222168 10.186996
1367455_at 11.599037 11.40401 11.525625 11.376636 11.355966 11.44334 11.523565 11.276779 11.381281 11.354231 11.364251 11.512076
1367456_at 12.053963 11.958046 12.066917 11.971835 12.049046 11.96934 11.895882 11.880485 11.91588 11.827293 11.981972 11.861241
1367457_at 9.149451 9.218914 9.116103 9.091257 9.081802 9.172359 9.031684 8.938091 8.918821 8.89469 8.981361 8.9399395
1367458_at 8.325574 8.228939 8.269831 8.221735 8.259888 8.306669 8.322102 8.192806 8.209629 8.210137 8.284592 8.278097
1367459_at 12.335199 12.288268 12.299852 12.247452 12.306152 12.309565 12.232911 12.216669 12.230029 12.1687355 12.222544 12.3030815
1367460_at 11.617897 11.597859 11.634071 11.479262 11.641169 11.492254 11.526365 11.46339 11.549931 11.494417 11.532336 11.454899
1367461_at 10.492815 10.587379 10.57354 10.499237 10.526241 10.441137 10.257546 10.416519 10.338972 10.260502 10.4627495 10.3792305
1367462_at 10.415297 10.488056 10.468855 10.583382 10.55621 10.541363 10.163025 10.357624 10.367358 10.051254 9.725755 10.235291
1367463_at 11.4826 11.440556 11.419085 11.109257 11.244355 11.192035 11.117992 11.195105 11.332153 11.267285 11.378198 10.96197
1367464_at 9.4665985 9.470465 9.320995 9.302849 9.379803 9.441082 9.486244 9.293781 9.411095 9.294347 9.215139 9.488325
1367465_at 10.479076 10.69105 10.402643 10.43742 10.466217 10.557207 10.4399395 10.560019 10.435545 10.473378 10.285652 10.412547
1367466_at 10.1063 10.156276 10.23174 10.106341 10.106946 10.069012 10.045392 10.153895 10.026729 10.027406 10.05026 10.115113
1367467_at 11.850167 11.869558 11.762038 11.843293 11.681513 11.872643 11.865196 11.873104 11.898181 11.871114 11.805286 11.775424
1367468_at 10.161309 10.113945 10.025156 10.135151 10.267752 10.402304 10.103151 10.244297 10.228851 10.057873 10.325974 10.2600355
1367469_at 12.176467 11.823575 12.017752 11.928587 12.1591215 12.106335 11.8509245 11.908797 11.88022 11.751983 11.597529 11.684527
1367470_at 10.287352 10.114912 10.335791 10.232536 10.28306 10.241272 10.11018 10.223892 10.166407 9.91177 10.201139 10.080219
1367471_at 9.446101 9.573037 9.478469 9.424548 9.461006 9.503976 9.502247 9.658616 9.4418745 9.537864 9.506063 9.442636
1367472_at 9.917367 9.901459 9.879535 9.800734 9.995747 9.931583 9.754247 9.800903 9.785575 9.752887 9.931389 10.027521
1367473_at 10.297623 10.268206 10.154217 10.17172 10.313239 10.280897 10.218529 10.218454 10.252795 10.162646 10.068863 10.04559
1367474_at 9.70278 9.626978 9.623099 9.698387 9.61287 9.753915 9.665226 9.569617 9.621286 9.629511 9.624802 9.903232
1367475_at 10.625078 10.694618 10.760638 10.645853 10.706699 10.66428 10.562813 10.575769 10.532253 10.575359 10.5424595 10.449617
1367476_at 11.776127 11.709836 11.626014 11.745175 11.659046 11.755506 11.827886 11.740829 11.630769 11.818346 11.633035 11.509382
1367477_at 10.686028 10.463547 10.449152 10.43652 10.510708 10.557146 10.414555 10.738453 10.646105 10.553654 10.371876 10.688099
1367478_at 7.9718704 7.913956 7.907243 7.9581413 7.983429 8.054583 8.000015 7.9902678 7.912611 7.9808826 7.890608 8.003878
1367479_at 11.457098 11.420313 11.401148 11.360547 11.391824 11.466675 11.3540325 11.425316 11.457896 11.380047 11.293714 11.385746
1367480_at 9.950782 9.77372 9.8574915 9.780483 9.96572 9.916405 9.669392 9.911973 9.864545 9.597188 9.597307 9.698127
1367481_at 9.804639 9.87738 9.768816 9.729431 9.901789 9.842344 9.710459 9.9158535 9.809338 9.801065 9.95448 9.77156
1367482_at 9.738497 9.849171 9.78973 9.694183 9.813721 9.883608 9.820319 9.794798 9.673672 9.707467 9.727154 9.816879
