ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 100 100 100 300 300 300 1000 1000 1000
1367452_at 10.376809 10.362115 10.20475 10.370612 10.214175 10.350124 10.335255 10.316017 10.463928 10.283496 10.22001 10.2922325
1367453_at 9.5812435 9.561596 9.473314 9.458007 9.535383 9.402308 9.526622 9.498232 9.52704 9.390178 9.447039 9.431815
1367454_at 9.971976 10.096896 10.044518 10.102924 10.165431 9.970578 9.960326 10.029119 10.017938 10.083635 10.004719 10.019231
1367455_at 11.17429 11.425029 11.36281 11.362089 11.317546 11.398051 11.190296 11.338997 11.282444 11.261449 11.272424 11.243762
1367456_at 11.723254 11.753184 11.675281 11.828382 11.689883 11.835665 11.732048 11.774851 11.883189 11.782546 11.738995 11.82302
1367457_at 9.090945 9.151002 9.242341 9.253748 9.225617 9.172702 9.164988 9.048748 9.32166 9.190418 9.134391 9.074548
1367458_at 8.135323 8.179136 8.06336 8.042687 8.140312 7.966724 8.000098 7.8273563 7.9413443 8.096543 8.217325 8.001227
1367459_at 12 12.039571 12.093829 12.14901 12.087672 12.10721 12.148558 12.121344 12.189994 12.142173 12.076864 12.096799
1367460_at 11.312285 11.406451 11.332518 11.432355 11.38992 11.286019 11.4158125 11.403841 11.401695 11.459496 11.40606 11.340925
1367461_at 10.258241 10.478583 10.535848 10.4752245 10.396142 10.522577 10.500635 10.5570135 10.644149 10.504447 10.391593 10.381039
1367462_at 9.988249 10.070656 10.062082 9.917698 10.118618 9.928111 10.380575 9.914508 9.778174 9.798439 10.047245 9.844407
1367463_at 11.195547 10.982698 11.276671 11.060716 11.137756 11.172673 11.232445 11.147282 11.160307 11.25891 11.316464 11.276812
1367464_at 9.287078 9.077169 8.993455 9.109613 9.075731 8.935015 9.124805 8.91087 9.0666485 9.112681 8.9138775 9.177985
1367465_at 9.971106 10.005904 10.017078 10.030084 10.1078615 9.9481 10.044595 10.180715 10.035373 9.900419 9.91953 9.895402
1367466_at 10.299446 10.414027 10.368779 10.35118 10.37774 10.346808 10.364824 10.367346 10.373672 10.26838 10.105841 10.300606
1367467_at 11.504812 11.561879 11.601311 11.617834 11.614109 11.691362 11.650487 11.658113 11.612547 11.671731 11.656439 11.507963
1367468_at 9.629569 9.389759 9.58024 9.463839 9.498008 9.578673 9.717673 9.734568 9.50675 9.41921 9.620999 9.725778
1367469_at 11.881771 11.702419 11.81572 11.814761 11.763851 11.905823 11.934678 11.808309 12.057416 11.836504 11.59166 11.959115
1367470_at 10.080002 10.11818 10.18562 10.007516 10.101027 10.297935 10.260364 10.202836 10.264176 10.059549 10.120995 10.007614
1367471_at 9.060784 9.155853 9.0813265 9.110773 9.1280985 9.068915 9.185959 9.088597 9.062548 9.06501 9.043019 8.991186
