ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 100 100 100 300 300 300 1000 1000 1000
1367452_at 9.802905 9.86185 9.767205 9.757727 9.854852 9.846776 9.753866 9.802067 9.871546 9.83062 9.810581 9.811839
1367453_at 9.814648 10.021173 9.841578 9.895623 9.884985 9.944636 9.936894 9.912671 9.91724 9.857833 9.886853 9.841853
1367454_at 9.4481735 9.296995 9.441751 9.360436 9.66226 9.543726 9.477638 9.516522 9.672396 9.451746 9.459793 9.402433
1367455_at 11.037857 10.960803 11.001915 11.123539 11.107179 11.0387945 11.084628 11.021452 11.065286 11.136975 11.20953 11.162381
1367456_at 11.545709 11.670052 11.607389 11.660972 11.607251 11.580629 11.540786 11.435973 11.683756 11.581437 11.788025 11.722785
1367457_at 8.443894 8.478349 8.355394 8.5526495 8.587518 8.505495 8.471499 8.560796 8.493698 8.565575 8.490051 8.600406
1367458_at 8.710797 8.77152 8.714199 8.698244 8.760268 8.564126 8.7523575 8.65941 8.8199835 8.751669 8.650601 8.649863
1367459_at 12.151535 12.124669 12.000762 12.132226 12.165895 12.0729685 12.124524 12.06964 12.188784 12.071085 12.069988 12.074361
1367460_at 11.112946 11.183738 11.057342 11.245265 11.200809 11.098213 11.276779 11.071352 11.277338 11.236994 11.190519 11.092955
1367461_at 9.712954 9.867976 9.857408 9.80148 10.036607 9.942277 9.932291 9.708561 9.910884 9.937167 9.876667 9.767629
1367462_at 10.4985 10.575374 10.868226 10.634676 10.687075 10.415359 10.279329 10.463826 10.559177 10.3867855 10.426912 10.81222
1367463_at 10.702503 10.776664 10.646626 10.551284 10.913239 10.8617115 10.644066 10.32371 10.691398 10.83413 10.606527 10.849525
1367464_at 8.897982 9.17819 8.999659 9.047844 9.023094 9.156004 9.07029 9.143278 9.172193 9.21254 9.020871 9.166557
1367465_at 10.2501335 10.2400055 10.00197 10.141637 9.970342 9.93414 10.108538 10.221969 10.11459 9.997221 10.021658 9.998842
1367466_at 9.766335 9.327343 9.635851 9.762318 9.967501 9.946977 9.918043 9.839684 9.90305 9.752275 9.898067 9.916937
1367467_at 11.291525 11.415894 11.193357 11.329954 11.290372 11.123654 11.34883 11.309469 11.272411 11.184573 11.303989 11.2820425
1367468_at 9.263774 9.593423 9.676405 9.74846 9.577173 9.517604 9.36636 9.481082 9.636733 9.444802 9.488074 9.464095
1367469_at 11.34258 11.594504 11.560418 11.572037 11.776011 11.710016 11.515951 11.564897 11.646832 11.8406315 11.7156725 11.636425
1367470_at 10.005845 10.126162 10.11469 10.156909 10.24815 10.168883 10.206979 10.12794 10.186358 10.298355 10.196617 10.241947
