ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 30 30 30 100 100 100 300 300 300
1367452_at 10.155163 10.173958 10.364019 10.325305 10.371962 10.280164 10.376539 10.375778 10.3577 10.529492 10.326591 10.356983
1367453_at 9.893576 9.8231945 9.763131 9.685724 9.791242 9.687672 9.770826 9.753154 9.77198 9.685817 9.856469 9.838774
1367454_at 10.079763 10.027868 10.008453 10.059369 10.078649 9.970383 10.083343 10.095282 10.069867 10.172258 10.013478 10.127131
1367455_at 11.292836 11.224459 11.260668 11.28093 11.232185 11.329082 11.391332 11.411921 11.292046 11.582246 11.529061 11.314023
1367456_at 12.033814 11.948728 11.942355 11.942434 11.828007 12.008689 11.91294 11.92371 11.894728 11.863644 11.854667 11.780385
1367457_at 9.06382 9.089069 9.072395 9.0251045 9.091609 9.152486 9.017051 9.149829 9.13794 9.07413 8.966566 8.990836
1367458_at 8.310705 8.429582 8.265219 8.281831 8.152308 8.29348 8.374548 8.279869 8.296483 8.176845 8.374859 8.131735
1367459_at 12.081459 12.013333 12.095789 12.104811 12.165676 12.071416 12.013533 12.061197 12.060862 12.203752 12.05959 12.098615
1367460_at 11.315343 11.360503 11.330843 11.244822 11.294118 11.313319 11.257512 11.323326 11.34075 11.49295 11.346176 11.288705
1367461_at 10.273812 10.345152 10.436645 10.447708 10.450667 10.337893 10.066827 10.404678 10.263368 10.17241 10.149546 10.176695
1367462_at 10.898677 10.526078 10.721431 10.463425 10.797664 10.295391 10.742745 11.162874 10.379857 10.749384 10.875622 10.646925
1367463_at 10.893932 10.806606 10.933134 10.932047 10.733599 11.13608 11.207426 11.085039 10.769236 11.3405485 11.018652 11.354061
1367464_at 9.447781 9.303806 9.4820385 9.388802 9.320441 9.401333 9.45567 9.321231 9.331523 9.327354 9.491217 9.295396
1367465_at 10.215228 9.874281 10.024272 10.122699 10.268889 10.001683 9.973384 9.965897 10.250214 10.110431 10.244609 10.342871
1367466_at 10.249159 10.26745 10.205211 10.179517 10.119486 10.264715 10.088616 10.134224 10.259686 10.295497 10.2531595 10.181308
1367467_at 11.5410185 11.525813 11.562668 11.512469 11.551024 11.522725 11.553111 11.564635 11.597127 11.616411 11.700215 11.622435
1367468_at 9.887426 9.61257 9.771249 9.74637 9.644146 9.754913 9.904527 9.859981 9.843586 10.04297 10.029104 9.957704
1367469_at 11.665967 11.688116 11.663705 11.7862835 11.75761 11.803055 11.798715 11.9731455 11.808348 11.922029 11.692439 11.778459
1367470_at 10.091099 10.095035 10.246278 10.185989 9.952547 10.1131525 10.033241 10.185954 10.243585 10.166625 10.023166 10.038063
1367471_at 8.94442 8.803283 8.937929 8.760402 8.91521 8.854357 8.945363 8.998236 9.117339 9.430407 9.121016 9.353755
1367472_at 10.189972 10.081253 10.058157 10.127731 10.104775 10.127459 10.015363 10.131208 10.08718 10.14707 10.070063 10.098711
1367473_at 9.922903 9.894372 9.911072 9.779993 9.765972 9.879665 9.806715 9.857665 10.041008 10.162562 10.025452 10.069457
1367474_at 9.631632 9.415563 9.586645 9.683302 9.537966 9.580219 9.476773 9.626748 9.64363 9.722319 9.676134 9.673994
1367475_at 10.554113 10.506086 10.642264 10.526392 10.553441 10.582652 10.491504 10.505287 10.5440035 10.475052 10.612809 10.486538
1367476_at 11.227232 11.002479 11.141178 11.23756 11.1497555 11.125218 11.133323 11.3000345 11.214404 11.645631 11.510083 11.582941
1367477_at 10.131712 9.966663 9.965037 10.042192 10.146092 10.083485 10.227134 10.17662 10.207338 10.293134 10.319025 10.485081
1367478_at 8.022404 7.9048343 8.010414 7.957345 8.123843 7.992889 7.8737035 8.130161 8.217707 8.296312 8.257172 8.4416275
1367479_at 11.290673 11.278864 11.167667 11.185129 11.172211 11.250065 11.133656 11.173373 11.12989 11.031837 11.109123 11.157004
1367480_at 9.360587 9.641296 9.677693 9.726809 9.58215 9.357938 9.630054 9.543189 9.47208 9.731033 9.668676 9.532034
1367481_at 9.331114 9.324088 9.3073845 9.245069 9.1810465 9.326019 9.386617 9.382092 9.446408 9.624049 9.385379 9.554099
1367482_at 9.39324 9.344845 9.381708 9.296901 9.450587 9.364718 9.188305 9.243926 9.383648 9.042403 9.1729145 9.139445
1367483_at 8.933196 8.814878 9.018402 9.02924 8.987284 8.978926 8.996151 8.943226 9.050438 8.866756 9.114774 9.047869
1367484_at 9.183928 9.102217 9.397878 9.400102 9.222395 9.071978 8.867895 9.103921 9.370097 9.342359 9.2959 9.212838
1367485_at 9.957091 10.008125 10.08155 10.120243 10.025485 10.021896 9.97671 10.100873 10.112155 10.057956 10.020827 9.908901
1367486_at 9.70679 9.484287 9.482636 9.695572 9.452726 9.449753 9.529191 9.604194 9.582435 9.688673 9.7114725 9.69928
1367487_at 7.2119956 7.419133 7.3585467 7.2129874 7.144371 7.129046 7.1308618 7.248211 7.056047 7.1600475 7.3824115 7.0716233
1367488_at 7.793284 7.820318 7.8412385 7.633064 7.653371 7.845796 7.715145 8.134589 8.3970585 8.178007 8.082338 8.298319
1367489_at 6.4770374 6.1292944 6.561684 6.345714 6.532211 5.9788384 7.057544 6.206952 6.365394 6.5511384 6.483808 6.449662
1367490_at 7.1622977 7.3014445 7.1162753 7.1223407 7.0266423 7.0639257 7.270282 7.1848145 7.373814 7.2891893 7.157248 7.4370155
1367491_at 9.342833 9.411367 9.571081 9.239848 9.315101 9.145486 9.301133 9.268146 9.361983 9.485492 9.166175 9.295703
1367492_at 9.142207 9.074147 9.185359 9.165288 9.165786 9.109491 9.080243 9.140377 9.110794 9.380251 9.327805 9.4001875
1367493_at 9.516035 9.628622 9.567725 9.699356 9.39269 9.459683 9.59581 9.613216 9.70729 9.48356 9.484296 9.478409
1367494_at 10.1804285 10.262704 10.216333 10.188571 10.138287 10.055895 10.360136 10.322289 10.207707 10.515637 10.297738 10.395513
1367495_at 7.373097 7.474085 7.469752 7.562793 7.2310085 7.368005 7.460589 7.5845895 7.5499477 7.6706324 7.511242 7.7719064
1367496_at 11.263751 11.186155 11.192256 11.201209 11.210078 11.17415 11.090847 11.181045 11.169848 11.190338 11.110308 11.2097645
1367497_at 8.727183 8.579428 8.552607 8.592764 8.685583 8.584706 8.530137 8.466551 8.527449 8.382503 8.464281 8.517188
1367498_at 8.699339 8.76308 8.745124 8.506275 8.660597 8.673511 8.438218 8.942828 9.079963 8.734376 8.795111 8.972738
1367499_at 7.9421077 7.94336 8.099184 8.097555 7.9014435 7.734817 7.6734776 7.910288 8.220795 7.8337646 7.9057994 8.180946
1367500_at 9.961432 9.817458 9.968904 9.8564005 10.207583 10.079329 9.816385 10.113468 10.1328745 10.19542 10.27581 10.247512
1367501_at 8.670668 8.4333725 8.541392 8.424519 8.701517 8.370163 8.539803 8.7152405 8.693962 8.427322 8.520633 8.378211
1367502_at 8.402524 8.469681 8.481247 8.500674 8.498144 8.431865 8.688947 8.579115 8.632055 8.926561 8.67751 9.058157
1367503_at 11.073077 11.053949 10.842464 10.917166 10.9720545 10.857668 11.03884 11.053764 10.997527 10.976005 11.000044 11.029787
1367504_at 7.9445233 7.9753995 8.270462 7.9710135 8.016977 8.062513 7.9655366 8.037228 8.240046 8.192852 8.05142 7.868554
1367505_at 8.270331 8.051056 8.105793 7.94311 8.108959 8.128798 7.8727994 8.137494 8.192989 8.207192 8.2519245 8.177107
1367506_at 10.036386 9.88713 10.035479 9.966039 9.909288 10.0983715 10.091275 9.982945 10.012608 10.271183 10.062185 10.279529
1367507_at 7.3156266 7.221004 7.5172267 7.420202 7.023518 7.1040406 7.726332 7.275825 7.4386406 7.4807644 7.6686397 7.588227
1367508_at 8.765196 8.686901 8.753305 8.842733 8.486767 8.687004 8.427954 8.665679 8.762313 8.917377 8.737703 8.771086
1367509_at 9.512545 9.458963 9.504569 9.537342 9.4978895 9.450001 9.605951 9.522267 9.660048 9.779001 9.702197 9.876171
1367510_at 9.664326 9.495766 9.584006 9.669947 9.655434 9.71552 9.749126 9.579861 9.785675 9.671712 9.769031 9.671345
1367511_at 8.517969 8.538982 8.323179 8.470396 8.410036 8.376661 8.386632 8.587313 8.247587 8.274994 8.197012 8.207307
1367512_at 10.951407 11.060538 11.0558405 11.0009985 11.09448 11.058847 10.906252 10.998652 11.080502 11.01775 11.025892 10.98309
1367513_at 8.017956 7.8175397 8.390469 8.284847 7.9901094 8.015101 8.304734 7.8243523 8.128155 8.569704 8.130561 8.4145155
1367514_at 7.8815303 7.8764777 7.8617444 7.837927 7.810272 7.7301593 7.83932 7.9627023 8.052663 8.243683 8.173168 8.301634
1367515_at 7.083623 7.5380764 7.639181 7.3730054 7.502235 7.1813517 6.8193865 7.5048714 8.024466 7.8125167 7.521351 7.660977
1367516_at 9.139718 9.17009 9.247048 9.125302 9.119466 8.991403 9.201397 9.126031 9.202825 8.975177 8.930803 8.932253
1367517_at 7.39923 7.3884454 7.4864125 7.68243 7.6422253 7.7290354 7.5026956 7.616145 7.4526157 7.2434278 7.5207653 7.260696
1367518_at 8.586813 8.524344 8.626508 8.577976 8.403482 8.468063 8.518768 8.493479 8.567763 8.737501 8.690442 8.777314
1367519_at 8.561891 8.422145 8.5350065 8.530913 8.424097 8.307573 8.427218 8.590882 8.482209 8.460282 8.597946 8.451052
1367520_at 10.0269575 10.041728 9.894589 9.983873 10.033854 10.05898 10.120582 9.898128 10.07635 10.08938 10.0734215 10.244143
1367521_at 6.7063093 6.952309 7.278852 6.7092824 6.9304867 7.254857 6.494668 6.7604737 7.0513277 6.4376454 6.9244585 6.460782
1367522_at 9.43477 9.356553 9.52888 9.295298 9.311803 9.256749 9.379419 9.3921795 9.3631 9.0203705 9.343668 9.171695
1367523_at 8.3836355 8.5386715 8.6342945 8.6421385 8.4546795 8.362049 8.47239 8.496034 8.4638 8.789642 8.528478 8.594766
1367524_at 7.3207083 7.7535205 7.6611485 7.486753 7.4097977 7.5435524 7.069794 7.339167 7.3940544 7.4336696 7.431507 7.2035174
1367525_at 9.225765 9.238719 9.2422085 9.099109 9.181696 9.202517 9.258633 9.27507 9.141213 9.272486 9.270937 9.216806
1367526_at 8.921686 9.032921 9.058566 9.188663 9.105966 9.070735 8.954664 9.039685 8.986255 9.153027 9.136007 9.228046
1367527_at 7.8682075 7.607106 7.963757 7.891534 7.92999 7.7412505 7.92431 7.9145503 8.025429 8.061329 8.048985 7.8299503
1367528_at 8.85557 8.919048 8.8315325 9.119777 8.671952 8.758009 8.902168 9.21438 8.928926 8.849218 9.028105 8.955729
1367529_at 8.933218 8.892569 8.933552 9.100592 8.985578 8.921195 8.96683 9.002327 9.030518 9.054613 9.064297 9.252849
1367530_at 7.539022 7.4915924 7.371328 7.430602 7.527688 7.5764413 7.3895473 7.3718896 7.511768 7.5025053 7.4886737 7.558539
1367531_at 10.884315 10.779579 10.946898 10.964567 10.846449 10.8686695 10.878152 10.937949 10.915195 11.027457 10.918568 11.007878
1367532_at 11.302016 11.209599 11.3209305 11.328299 11.269698 11.26842 11.230053 11.224059 11.292045 11.440475 11.374604 11.295363
1367533_at 8.697007 8.518945 8.539825 8.350685 8.6503525 8.452877 8.347839 8.687101 8.356285 8.769098 8.393457 8.598851
1367534_at 7.383162 7.315588 7.3991313 7.195425 7.490849 7.5093975 7.1847205 7.6134458 7.567423 7.338552 7.6031904 7.525477
1367535_at 9.021396 8.863168 8.900524 8.896145 8.955352 8.954636 8.851684 8.867306 8.869963 8.544885 8.825532 8.759689
1367536_at 7.9005275 7.7200437 7.8561177 8.066679 7.855292 7.8580875 8.169559 7.786986 7.97396 8.569235 8.201199 8.440291
1367537_at 7.665418 7.768769 7.6857753 7.5487356 7.647825 7.715857 7.543567 7.9592505 7.8288097 7.8474636 7.8650155 7.696292
1367538_at 6.6883187 6.7784405 7.0678353 6.7407517 6.6644893 6.7622995 6.7367573 6.502016 6.647779 7.086368 6.8466635 7.0823817
1367539_at 8.432856 8.318451 8.08012 8.493478 7.9857 8.006007 8.300087 8.3427725 8.582651 8.530194 8.4704685 8.465288
1367540_at 7.406684 7.471256 7.5470686 7.2258863 7.522654 7.362802 7.493857 7.7778354 7.5013843 7.837506 7.953689 7.89824
1367541_at 7.9140453 7.8285303 7.776885 8.04508 7.687449 7.776822 7.5879445 8.031439 7.9318094 8.024504 7.744881 7.8583302
1367542_at 7.885865 7.63957 7.94805 7.649353 7.756274 7.646659 7.430185 7.826446 7.930612 7.5112906 7.693198 7.486607
1367543_at 8.733566 8.754727 8.722004 8.76652 8.571151 8.611563 8.530259 8.763977 8.528375 8.733078 8.700047 8.800397
1367544_at 6.335884 6.232895 6.3475733 6.493041 6.427447 6.6523886 6.206562 6.6123104 6.3826895 6.666248 6.6946416 6.5865684
1367545_at 7.186297 7.2073936 7.3823586 6.8923354 7.1709123 7.3679357 7.279629 7.452126 7.605538 7.3498716 7.467086 7.449102
1367546_at 10.226086 10.423903 10.225468 10.116455 10.221643 10.179855 10.404519 10.5158 10.443083 10.608598 10.308559 10.597809
1367547_at 7.8408484 7.760883 7.756967 7.960898 7.882752 7.686869 7.679176 7.695893 7.691373 7.8346643 7.8244224 7.5820203
1367548_at 8.501696 8.445181 8.451464 8.545573 8.473432 8.241869 8.565676 8.527438 8.661027 8.7357435 8.676841 8.617634
1367549_a_at 10.681075 10.725819 10.806584 10.892463 10.694158 10.507556 10.564254 10.830518 10.691307 10.672937 10.627405 10.586397
1367550_a_at 8.575432 8.519827 8.620329 8.640552 8.851297 8.883367 8.645963 8.704078 8.7545185 8.834971 8.940368 8.8630295
1367551_a_at 9.191401 9.171743 9.263882 9.209692 9.339594 9.239881 9.310012 9.501355 9.469637 9.4118395 9.518573 9.57815
1367552_at 4.6343327 4.894717 4.541175 4.509391 4.4826155 4.4579163 4.429408 4.435826 4.352989 4.234334 4.5365257 4.279613
1367553_x_at 12.203445 12.475872 12.0394745 11.972376 12.155791 12.150006 11.848451 12.111869 12.144968 11.945713 12.0568695 11.340023
1367554_at 4.347068 4.149434 4.1905813 4.0278263 3.8595967 4.0770288 4.1014166 4.208573 3.9977055 4.042601 4.129298 4.060548
1367555_at 14.686079 14.718243 14.72266 14.706564 14.733719 14.720774 14.708343 14.697931 14.730532 14.709865 14.733719 14.698438
1367556_s_at 14.574572 14.576824 14.542209 14.559159 14.559159 14.569642 14.583615 14.559159 14.556362 14.515762 14.559159 14.559159
1367557_s_at 13.064298 13.022721 13.015737 12.993827 13.111471 12.909153 13.134397 13.119048 13.05665 13.242105 13.249048 13.383627
1367558_x_at 3.1252902 3.2714343 3.203559 3.2381878 3.0502357 3.1121013 3.056564 3.1199582 3.2477913 3.1332495 3.1993809 3.1927774
1367559_at 12.884505 12.974247 13.037087 12.917705 13.040551 13.093321 12.99208 13.009047 12.93771 13.171522 12.989477 13.05999
1367560_at 12.106245 12.185221 12.174018 12.122507 12.050181 12.181146 12.181348 12.068194 12.127511 12.204744 12.182805 12.353169
1367561_at 12.47824 12.494787 12.442715 12.505425 12.482246 12.591428 12.6434555 12.47174 12.60997 12.655205 12.652586 12.775486
1367562_at 8.443056 8.446735 8.397324 8.476015 8.69639 8.853383 7.993357 8.4606905 8.186038 7.95163 8.173504 7.9732823
1367563_at 8.36972 8.686172 8.476845 8.634539 8.719006 8.672893 8.620044 8.525464 8.395489 8.3094635 8.520087 8.4929695
1367564_at 6.4914417 6.206936 6.1327925 5.922717 6.2297 6.3172135 6.3145413 6.011625 6.228365 6.2059636 6.148961 6.027615
1367565_a_at 13.828818 13.855543 13.835967 13.788397 13.808584 13.858959 13.887717 13.890506 13.863867 13.877137 13.910686 13.942898
1367566_at 4.245284 4.119624 4.129566 4.263507 4.216177 4.262866 4.631776 4.0065393 4.159683 4.0951834 4.050788 4.1427326
1367567_at 11.990297 12.101633 12.029926 12.153543 12.030634 12.115599 12.177797 12.158169 12.123332 12.35275 12.233884 12.324495
1367568_a_at 8.89598 9.112797 9.052544 9.233836 9.30599 8.710424 8.968939 8.633387 8.783826 8.784592 8.476861 8.585096
1367569_at 11.966577 11.973933 11.929239 11.948668 11.909007 11.970611 11.975298 11.800835 11.843855 12.053049 11.917264 12.155585
1367570_at 6.869833 6.711632 6.9167013 6.785149 6.8562183 6.433314 7.0241885 6.1700573 6.638315 6.630189 6.860217 6.80157
1367571_a_at 5.508232 5.90538 5.488618 5.8996572 5.494774 5.6656256 5.4621286 5.7223625 5.20628 5.6132555 5.324527 5.2781553
1367572_at 5.4775314 5.310933 5.06015 5.121869 5.2333555 5.1450505 5.6479735 5.0919247 5.1852093 5.068168 5.143614 5.1708336
1367573_at 12.363548 12.366971 12.364556 12.4521475 12.288107 12.457635 12.486002 12.360712 12.418072 12.546243 12.445739 12.613948
1367574_at 8.08654 8.026043 7.8345933 8.029937 8.489124 8.18295 8.237508 7.741329 7.762476 8.198984 8.204289 8.254139
1367575_at 11.524406 11.367046 11.442765 11.486585 11.45403 11.212455 11.500186 11.487522 11.449446 11.66821 11.698519 11.729609
1367576_at 13.748507 13.790725 13.665811 13.685888 13.587265 13.728293 13.597985 13.556556 13.699486 13.434143 13.475087 13.600377
1367577_at 7.415304 6.9821343 7.318007 7.197741 8.414413 8.305479 9.453282 9.968401 8.757191 10.587539 10.470798 10.344465
1367578_at 10.43084 10.437178 10.289221 10.367072 10.418009 10.364559 10.395377 10.31856 10.309353 10.428402 10.48088 10.581824
1367579_a_at 11.185632 11.073045 11.182756 11.097506 11.332003 11.266995 11.24569 11.3665695 11.023044 11.607777 11.379547 11.590423
1367580_at 11.468565 11.493698 11.406267 11.486956 11.441892 11.488598 11.760675 11.4878025 11.469693 11.757373 11.624088 11.884803
1367581_a_at 5.707227 5.993225 5.9491253 5.892039 6.507892 6.3261147 5.581697 5.9631553 6.357862 6.3183603 6.2422185 5.817887
1367582_at 11.584852 11.742298 11.611915 11.65183 11.713233 11.812142 11.841045 11.747056 11.7857485 11.93437 11.894896 12.032443
1367583_at 13.322177 13.310798 13.257524 13.363728 13.431766 13.454128 13.39895 13.500548 13.448379 13.434039 13.48637 13.498848
1367584_at 7.9373713 8.009681 7.779144 7.888613 8.372723 8.041958 8.078941 7.6964808 7.6019363 8.156973 7.806544 7.966654
1367585_a_at 10.988545 10.805962 10.887312 11.075752 10.783362 10.79418 10.579851 10.781028 10.784573 10.766338 10.890465 10.948545
1367586_at 12.989335 12.940192 12.915268 12.971622 13.026316 12.767023 13.23069 13.102467 12.91214 13.386528 13.063064 13.426498
1367587_at 3.3809533 3.497509 3.436891 3.3085442 3.3435185 3.6818986 3.572881 3.6104083 3.4902394 3.4661942 3.3728423 3.3348243
1367588_a_at 11.402333 11.384418 11.48513 11.425131 11.545361 11.63064 11.464368 11.520291 11.563608 11.706829 11.704649 11.787611
1367589_at 9.656385 9.570085 9.597667 9.798827 9.676501 9.556507 10.101062 10.19764 9.846579 10.538601 9.994942 10.612041
1367590_at 11.110989 11.066303 10.992974 11.035396 11.107181 11.20307 11.20791 11.17396 11.129021 11.9036045 11.401109 11.683558
