ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 10 10 10 30 30 30 100 100 100
1367452_at 10.513046 10.552979 10.258196 10.308074 10.637685 10.562221 10.639001 10.258358 10.592391 10.61186 10.369341 10.519751
1367453_at 10.06437 10.198267 9.741093 9.738758 10.1029 10.17595 10.305586 9.790044 10.211411 10.224374 9.878805 10.22877
1367454_at 9.904622 9.753201 9.923134 9.789373 9.860064 9.990313 9.88524 9.667407 9.957301 10.043105 10.0035095 9.856455
1367455_at 10.813357 10.718982 10.748175 10.790351 10.753195 10.827991 10.776146 10.582883 10.682073 10.728812 10.728509 10.632755
1367456_at 12.138417 12.046806 11.650919 11.710919 11.94045 12.202152 12.093714 11.748206 12.185845 12.119071 11.838089 12.066725
1367457_at 9.371103 8.944816 8.97608 8.918568 9.164806 9.262677 9.1367235 8.800738 9.149867 9.08511 9.027006 9.0111685
1367458_at 8.054835 8.132291 8.208154 8.204241 8.234442 8.247355 7.966808 8.40581 8.092262 8.262518 8.39126 8.033126
1367459_at 12.309879 12.375579 12.107117 12.0386305 12.445713 12.3845215 12.317005 12.015626 12.434254 12.552874 12.201066 12.28301
1367460_at 11.42249 11.38718 11.14566 11.121891 11.27615 11.468198 11.4244175 11.112633 11.353384 11.213047 11.092522 11.393212
1367461_at 10.596638 10.467671 9.922513 9.85033 10.522873 10.706179 10.588886 9.739685 10.60925 10.534798 10.07717 10.474168
1367462_at 10.24214 10.447179 10.491048 10.411716 10.630832 10.012189 9.80318 10.2131195 10.017932 10.172096 10.518297 10.333864
1367463_at 11.590688 11.25374 11.056308 11.011263 11.499715 11.378377 11.295647 11.047241 11.639875 11.585546 11.559643 11.449453
1367464_at 9.37663 9.348495 9.329125 9.389806 9.13272 9.523067 9.442568 9.194777 9.305565 9.365922 9.397406 9.4296055
1367465_at 10.21517 10.183398 10.4677725 10.581473 10.250306 10.021414 10.127159 10.284381 10.341982 10.21862 10.57873 10.310053
1367466_at 10.17076 10.295146 10.090799 9.849158 10.239193 10.276038 10.260778 9.850012 10.240195 10.120678 9.960362 10.11519
1367467_at 11.49198 11.543763 11.638632 11.683914 11.700526 11.49762 11.581749 11.620027 11.596425 11.639296 11.723866 11.613472
1367468_at 9.983069 10.208537 10.022477 10.103419 9.837159 9.9448805 9.884208 10.067152 9.848379 9.812251 10.192602 10.235367
1367469_at 11.799966 11.675784 11.480534 11.549706 11.608177 11.789234 11.907291 11.354367 11.718286 11.774133 11.618466 11.700554
1367470_at 9.827227 9.97679 9.738559 9.822096 10.104787 10.02271 9.827719 9.795549 9.942789 9.936388 9.824284 10.034224
1367471_at 9.316724 9.413562 9.222511 9.16038 9.238759 9.114562 9.270764 9.067466 9.341612 9.403749 9.423697 9.508295
1367472_at 9.854415 9.75479 9.808884 9.836131 9.737721 9.718884 9.702932 9.602763 9.927059 9.789419 9.927286 9.79267
1367473_at 10.125963 10.265215 10.132461 10.070444 10.229071 10.126292 10.351695 9.887626 10.122475 10.373695 10.180593 10.352589
1367474_at 9.408224 9.216981 9.487889 9.515369 9.270456 9.378864 9.299175 9.421721 9.36051 9.269617 9.5938425 9.251377
1367475_at 10.778411 10.759775 10.268776 10.338899 10.706219 10.611199 10.559791 10.107747 10.559593 10.469306 10.292303 10.541262
