ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 0.5 0.5 0.5 1.5 1.5 1.5 5 5 5
1367452_at 10.452136 10.57408 10.534301 10.401074 10.222143 10.343621 10.70624 10.512577 10.499036 10.637545 10.490987 10.5853615
1367453_at 10.30046 10.138373 10.155968 10.344644 9.98593 9.968289 10.178626 10.271406 10.166021 10.320571 10.183797 10.230387
1367454_at 10.129298 10.068742 10.164783 10.047177 10.059158 10.017718 9.9375 10.129684 10.022566 9.947818 9.953327 10.022384
1367455_at 11.536018 11.511736 11.59173 11.734833 11.45891 11.426681 11.441335 11.472653 11.292209 11.41152 11.475088 11.371928
1367456_at 11.962106 11.895318 11.965604 11.913488 11.842611 12.067858 12.010425 12.014785 11.990785 12.051595 12.004667 12.040101
1367457_at 9.240478 9.254885 9.276634 9.164329 9.033811 9.090218 9.170938 9.177143 9.185139 9.231318 9.010127 9.0966625
1367458_at 8.528953 8.642066 8.589913 8.285416 8.494069 8.540841 8.445244 8.496405 8.537613 8.558397 8.55507 8.39776
1367459_at 12.270274 12.259467 12.260247 12.212545 12.087769 12.162416 12.247057 12.2256565 12.242393 12.274581 12.265954 12.263007
1367460_at 11.6208 11.728691 11.765175 11.451687 11.387959 11.330501 11.610762 11.683568 11.702722 11.867902 11.650422 11.668304
1367461_at 10.42296 10.387471 10.272572 10.472104 10.464068 10.371655 10.357789 10.295431 10.347499 9.970308 10.256677 10.476251
1367462_at 10.684736 10.93082 10.80171 11.002429 11.020429 10.872232 11.087207 10.81074 10.8925495 10.994061 11.165819 10.954685
1367463_at 11.262094 11.203766 10.924526 11.204042 11.259345 11.38204 11.458672 11.287351 11.202689 11.239523 11.335399 11.039824
1367464_at 9.706246 9.743372 9.872817 9.782502 9.658033 9.595058 9.642215 9.783943 10.019419 9.6815405 9.927067 9.909738
1367465_at 10.376475 10.461002 10.321557 10.31199 10.417593 10.213802 10.369466 10.169267 10.558834 10.502686 10.540562 10.568526
1367466_at 10.094787 9.854387 10.027411 10.042035 10.23369 10.159065 9.617152 9.752965 9.604713 9.381912 9.753954 9.484043
1367467_at 11.727155 11.744321 11.803889 11.704538 11.622571 11.703664 11.600998 11.844128 11.666013 11.889704 11.645221 11.641903
1367468_at 9.966154 10.04715 10.154009 10.082425 10.268001 9.908294 10.113709 10.084854 10.195349 10.153029 9.872015 10.191115
1367469_at 11.904334 11.909905 11.930932 11.949957 11.824343 11.990344 11.968265 12.001095 11.860444 11.788859 11.878834 11.951759
1367470_at 10.435235 10.476862 10.318148 10.581014 10.319022 10.214095 10.2362795 10.44606 10.153817 10.444268 10.372674 10.310546
1367471_at 9.060359 9.242769 9.217009 9.052437 9.161749 9.138299 9.306764 9.184884 9.242218 9.298487 9.015298 9.227062
1367472_at 10.357985 10.388088 10.308184 10.456115 10.242598 10.095011 10.218626 10.230612 10.123244 10.138099 10.360355 9.957591
1367473_at 10.059558 10.076267 10.090097 9.86272 10.085275 10.114292 10.260178 10.199114 10.2599125 10.133858 10.06638 10.068965
1367474_at 9.919577 9.952043 9.990736 10.134452 9.858227 9.764782 9.720477 9.905382 10.049363 9.852654 10.09509 9.898643
1367475_at 10.726492 10.725203 10.786971 10.593487 10.567296 10.410431 10.963216 10.943266 10.914805 11.007247 10.962958 11.0461445
1367476_at 11.046212 11.107637 11.055445 11.110909 11.332801 11.21638 11.221052 11.160282 11.104779 11.318154 11.136683 11.4286585
1367477_at 10.2364025 10.412638 10.414314 10.236883 10.424453 10.198751 10.434741 10.391111 10.598846 10.751615 10.272465 10.662225
1367478_at 7.998263 8.180801 8.123638 7.9928737 8.159538 8.03372 8.255856 8.187212 8.145313 8.279963 7.9938054 8.22566
1367479_at 11.360682 11.443567 11.470793 11.303054 11.369799 11.391754 11.371656 11.467452 11.453308 11.486942 11.432515 11.624688
1367480_at 9.757349 9.934708 9.786083 9.948724 9.738945 9.753782 9.994488 9.928736 9.948032 9.938074 9.888676 9.968822
1367481_at 9.569984 9.60588 9.698063 9.494059 9.515506 9.378338 9.678661 9.568365 9.780518 9.715353 9.672818 9.736799
1367482_at 9.88106 9.856291 9.894295 9.823589 9.730409 9.49619 10.041882 9.945012 10.177411 10.059238 10.054189 10.13285
1367483_at 8.954234 9.03936 9.192806 8.973207 8.804832 8.866495 9.092052 9.15881 9.257881 9.106844 8.895964 9.258106
1367484_at 9.34559 9.575948 9.516202 9.135972 9.308984 9.156211 9.5784 9.660919 9.707712 9.508667 9.300534 9.716057
1367485_at 10.119084 10.153777 10.128112 9.948766 9.86084 10.002166 10.041783 10.069081 10.037143 9.97607 9.859477 10.054794
1367486_at 10.094762 9.766942 9.776489 10.0967 9.572929 9.577847 9.82829 9.958314 9.7122 9.91177 9.895373 9.731504
1367487_at 7.2414203 7.6694026 7.514271 7.031131 7.5198045 7.6561112 7.270436 7.393974 7.3311687 7.7016587 7.553515 7.445744
1367488_at 8.233343 7.9530272 8.168142 7.947023 8.144281 7.894596 7.66591 7.8297033 7.9396844 7.2110095 7.6929193 7.9468045
1367489_at 6.335137 6.5281568 6.707907 6.37987 6.507265 6.413791 6.0672984 6.6320295 6.20504 5.9414406 6.570945 6.4399204
1367490_at 7.402642 7.4612494 7.587199 7.5844083 7.478032 7.329245 7.831909 7.543609 7.6150093 7.6647077 7.6036687 7.70011
1367491_at 9.455497 9.453155 9.335126 9.505779 9.297042 9.153807 9.401092 9.481598 9.363203 9.43652 9.202932 9.323398
1367492_at 9.285788 9.233753 9.268017 9.022173 9.059088 9.0915785 9.338534 9.361367 9.307957 9.255573 9.000982 9.276329
1367493_at 9.7556505 9.697793 9.763015 9.926309 9.679711 9.673454 9.775406 9.731515 9.714514 9.767181 9.730423 9.686959
1367494_at 10.071334 10.201374 10.166306 10.10443 10.14173 10.030642 10.177086 10.234315 10.184714 10.155817 9.867312 10.2817335
1367495_at 7.850942 7.922572 8.281202 8.030264 7.8601813 7.703136 8.034942 7.957549 8.003996 8.216642 8.035398 8.314316
1367496_at 11.363878 11.224064 11.229615 11.193409 11.118388 11.023195 11.078168 11.168482 11.231247 11.06086 11.219527 11.030198
1367497_at 9.107859 9.066205 9.03697 8.879268 8.64092 8.540764 8.850096 8.990822 9.156578 8.993326 8.963127 8.955827
1367498_at 9.052471 9.340291 9.285334 9.058041 9.095329 8.992169 9.096673 9.078359 9.284214 8.899613 8.883757 9.232474
1367499_at 8.435764 8.26609 8.450771 8.224823 8.121252 8.034573 8.335533 8.307208 8.098192 8.288719 8.217564 8.368052
1367500_at 10.371133 10.429601 10.483544 10.263212 10.291006 10.222722 10.529301 10.369303 10.774969 10.455038 10.461043 10.656969
1367501_at 8.637654 8.899216 8.619669 9.17002 8.873911 8.653322 8.576595 8.774018 8.854124 8.480442 8.551859 8.678858
1367502_at 8.612474 8.647024 8.691613 8.443746 8.621366 8.655743 8.566492 8.770599 8.807851 8.826485 8.835205 8.886654
1367503_at 11.087523 10.989583 11.10467 10.97835 11.121107 10.954269 10.996544 11.008968 11.042775 11.014117 11.101947 11.047295
1367504_at 8.169485 8.468834 8.356974 8.1006565 8.211597 7.975084 8.340265 8.294064 8.292767 8.004316 8.051054 8.211462
1367505_at 8.600494 8.52414 8.422884 8.382894 8.197212 7.907959 8.225022 8.386488 8.471928 8.36593 8.318673 8.198062
1367506_at 10.149296 10.073601 10.212909 10.001033 10.149464 10.095875 10.243523 10.160618 10.328993 10.064104 10.158234 10.25019
1367507_at 7.756588 7.667142 7.6132197 7.835853 7.4995613 7.3722343 7.63686 7.863286 8.038721 7.760605 7.643503 7.8355393
1367508_at 8.962887 9.132636 8.924803 9.149538 9.195293 9.018335 9.017264 9.085834 9.015319 9.091494 8.813221 9.03278
1367509_at 9.738322 9.848416 9.8343115 9.6817 9.638945 9.433555 9.897488 9.845541 9.879239 10.037406 9.836055 9.899702
1367510_at 10.001084 10.055486 10.081833 9.9248 9.860821 9.718983 9.769792 10.117039 10.20678 10.251702 10.207944 10.051263
1367511_at 8.796758 8.617709 8.742659 8.695852 8.274965 8.227645 8.544656 8.620346 8.606921 8.643942 8.77362 8.499903
1367512_at 11.008271 11.050654 11.028217 10.767232 11.050366 10.882949 10.985152 10.856316 11.064406 10.946642 10.964221 11.031908
1367513_at 8.389039 8.394066 8.327808 8.12639 8.2014475 8.115364 7.9756474 8.17988 8.239908 7.797597 8.282034 8.198621
1367514_at 8.236841 8.364482 8.221298 8.500648 7.77894 7.6451263 8.146857 8.397112 8.161113 8.375781 8.323585 8.424208
1367515_at 7.244245 7.8313704 7.772808 7.288092 7.546059 7.348121 7.688849 7.5985093 8.062609 7.4007955 7.36384 7.8999906
1367516_at 9.211332 9.212537 9.233942 9.04968 9.070152 9.000438 9.338413 9.2522135 9.307047 9.103585 9.131445 9.2125435
1367517_at 7.941736 7.8999176 8.005746 8.402861 8.049042 7.900162 7.6235013 7.692403 7.6617584 7.7367296 7.979263 7.5348215
1367518_at 8.655259 8.76578 9.048797 8.784309 8.715238 8.73169 8.645781 8.457185 8.77074 8.791495 8.885104 8.756351
1367519_at 8.915492 8.831207 8.959807 8.9440565 8.651964 8.466813 8.839941 8.916619 8.876266 9.002242 8.876276 8.827288
1367520_at 10.251932 10.103535 10.163833 9.994372 10.04584 9.944792 10.272179 10.018971 10.240383 10.388365 10.365379 10.225817
1367521_at 7.1801844 7.671061 7.261892 7.121139 6.8502655 6.7547946 7.0879374 7.2713327 7.4882565 6.937057 7.253212 6.9202332
1367522_at 9.455366 9.32004 9.502344 9.685493 9.427852 9.360512 9.493264 9.281512 9.422697 9.051976 9.472579 9.669209
1367523_at 8.737363 9.038244 8.972296 8.844852 8.996749 8.622023 8.865833 9.085635 9.079519 8.979683 8.918657 9.094444
1367524_at 7.473959 7.554999 7.6535106 7.442865 7.2096944 7.5769095 7.4678116 7.3911366 7.475045 7.3016763 7.535207 7.317369
1367525_at 9.32022 9.143766 9.195484 9.312298 9.529537 9.504041 9.149314 9.302864 9.137522 9.142768 9.250418 9.127574
1367526_at 9.168107 9.194983 9.084216 9.104617 9.242813 9.158783 9.531746 9.262791 9.168851 9.3597975 9.075878 9.10268
1367527_at 8.646596 8.468506 8.467848 8.52486 8.210833 7.956597 8.159627 8.274492 8.398924 8.277507 8.451076 8.116077
1367528_at 9.104427 8.960529 9.079165 8.889223 9.066259 8.826584 9.144841 9.011722 9.026332 9.205453 9.564748 8.9511385
1367529_at 9.353469 9.339686 9.36272 9.43705 9.255927 9.130061 9.319617 9.367533 9.669661 9.596934 9.47955 9.6580305
1367530_at 7.5355463 7.5943685 7.5734935 7.6557617 7.6809654 7.62005 7.328492 7.542135 7.3248053 7.654651 7.5081263 7.5161996
1367531_at 10.70281 10.716322 10.638936 10.706156 10.920995 10.796828 10.714446 10.677871 10.753504 10.689582 10.708475 10.786626
1367532_at 11.342147 11.34242 11.401864 11.295026 11.194516 11.124339 11.173324 11.385166 11.397019 11.232398 11.312188 11.336414
1367533_at 8.894819 8.791702 8.803936 8.687368 8.549476 8.27645 8.661867 8.6891775 8.555389 8.676782 8.750881 8.54366
