ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 15 15 15 50 50 50 150 150 150
1367452_at 10.580657 10.649851 10.596718 10.66933 10.455797 10.2527 10.027695 10.578853 10.61794 10.459698 10.446652 10.511232
1367453_at 9.99582 9.996465 9.901542 9.933098 9.856465 9.4540615 9.373273 9.8463125 10.015325 9.899179 9.932863 9.96784
1367454_at 9.899866 9.936741 9.893741 9.900659 9.809358 10.155392 10.498478 9.798151 9.861907 9.939124 9.850909 9.954155
1367455_at 11.2878065 11.260136 11.200484 11.14131 11.200139 11.746781 11.998024 11.157339 11.157726 11.256809 11.276467 11.4125
1367456_at 11.976165 11.893323 11.85072 11.9944515 11.941388 11.9324255 12.125377 11.988752 11.863699 11.926335 11.906129 11.943479
1367457_at 9.122468 9.1667 9.066258 9.179956 8.921229 9.16694 9.192115 9.031303 9.056798 9.031034 9.033157 9.0852785
1367458_at 8.38681 8.408257 8.208643 8.40718 8.344911 8.262875 8.281106 8.467089 8.4848585 8.434894 8.41553 8.330177
1367459_at 12.107319 12.158317 12.004927 12.103771 12.10701 12.278556 12.510505 12.104572 12.114762 12.276229 12.209139 12.30373
1367460_at 11.385934 11.37251 11.304625 11.401996 11.419653 11.579328 11.835341 11.421032 11.360756 11.439313 11.411293 11.56262
1367461_at 10.165497 10.103564 10.190111 10.073046 10.133087 10.460431 10.589158 10.145615 10.132938 10.21002 10.185186 10.179372
1367462_at 11.0726385 10.712864 10.714791 10.751348 10.832378 10.338183 10.298742 10.768108 11.129033 11.17514 11.233561 10.85794
1367463_at 11.292589 11.354551 11.255618 10.842248 11.1676855 10.669364 10.883186 11.0078535 10.858846 11.014645 10.995186 11.036201
1367464_at 9.560884 9.657438 9.497964 9.480772 9.534773 9.572537 9.581016 9.5659685 9.427997 9.483047 9.456374 9.703091
1367465_at 10.594849 10.6208315 10.728795 10.722034 10.676704 10.209947 10.1634245 10.890053 10.937527 11.044652 11.159749 11.129079
1367466_at 9.873167 9.816119 9.892461 9.893832 9.926405 10.260342 10.564696 9.86975 9.815884 9.818019 9.799276 9.827206
1367467_at 11.79028 11.720076 11.8470955 11.668919 11.823474 11.489615 11.169446 11.765776 11.740634 11.791778 11.784909 11.590041
1367468_at 10.099541 10.093577 9.910182 10.084137 9.999483 9.463127 8.89385 10.1988735 10.084027 10.058703 10.343569 10.02073
1367469_at 11.7582035 11.682062 11.577294 11.773932 11.477721 12.048848 12.407645 11.577354 11.575478 11.426959 11.460117 11.701248
1367470_at 10.064479 9.995482 10.042098 10.050245 10.112273 10.357628 10.626819 10.112637 10.069076 10.320096 10.257685 10.264372
1367471_at 9.264376 9.1756115 9.222652 9.334139 9.304925 8.762734 8.621765 9.288637 9.2944975 9.330894 9.541763 9.508667
1367472_at 10.099432 10.107553 10.203978 10.160314 9.9363 10.393269 10.732278 10.175503 10.161889 10.266864 10.2096195 10.367242
1367473_at 10.192699 10.2285385 10.194623 10.290781 10.177185 9.791251 9.676133 10.235065 10.255221 10.207734 10.284671 10.156587
1367474_at 9.538373 9.528835 9.546625 9.563116 9.664266 10.189972 10.385171 9.451118 9.657559 9.612296 9.578674 9.848546
1367475_at 10.49241 10.491787 10.459471 10.440498 10.315129 10.455351 10.213352 10.423848 10.521703 10.398451 10.395369 10.488619
1367476_at 11.438737 11.485345 11.326615 11.398843 11.4085 11.005986 10.764271 11.491041 11.5235815 11.557691 11.566149 11.492321
1367477_at 10.424561 10.470538 10.576446 10.38025 10.511495 9.876009 9.620676 10.447941 10.590637 10.557701 10.683554 10.449792
1367478_at 8.153889 8.287121 8.170485 8.223524 8.19245 8.249033 8.292828 8.509594 8.438976 8.597544 8.532461 8.713978
1367479_at 11.424618 11.401557 11.46701 11.40751 11.511869 10.89126 10.434625 11.562435 11.557112 11.565476 11.655404 11.502469
1367480_at 9.662329 9.660889 9.579509 9.67258 9.615473 9.4253645 9.370753 9.577368 9.635525 9.573923 9.640396 9.654498
1367481_at 9.7446165 9.672423 9.60182 9.617494 9.66407 9.145779 8.894492 9.803704 9.711446 9.474164 9.720166 9.7525215
1367482_at 9.856613 9.794119 9.690466 9.772186 9.723364 9.170507 8.790513 9.6928215 9.871844 9.763325 9.70862 9.529425
1367483_at 9.079222 9.224956 9.29137 9.095465 9.304962 8.702692 8.141918 9.243107 9.264597 9.116326 9.296707 9.305525
1367484_at 9.596812 9.738576 9.618855 9.55151 9.58032 9.488357 9.2673025 9.609909 9.576123 9.577353 9.554585 9.652579
1367485_at 10.035945 10.015484 9.9106655 9.961067 9.867539 10.161508 10.344682 9.83486 9.827469 9.962003 9.983893 9.973004
1367486_at 9.701821 9.6303835 9.662493 9.742422 9.638911 9.644117 9.749441 9.641947 9.422006 9.362058 9.338059 9.505301
1367487_at 7.2913117 7.3745775 7.472637 7.4588437 7.415431 7.278305 7.5039463 7.465149 7.1940203 7.5827665 7.3801847 7.5756884
1367488_at 8.130467 8.167221 8.032248 7.967838 7.9504375 8.812099 8.975615 8.1399975 7.9833255 7.994277 8.012762 8.1345825
1367489_at 6.45541 6.3273864 6.306396 6.505307 6.155136 6.400254 6.8596087 6.412807 6.2685394 6.630268 5.858141 6.485261
1367490_at 7.4354696 7.2384644 7.088229 7.3702574 7.4702206 7.606029 7.821259 7.581395 7.370018 7.2250714 7.431929 7.413803
1367491_at 9.170893 9.193432 9.255265 9.24714 9.279124 9.689929 9.709328 9.127964 8.991801 9.197205 9.066306 9.270334
1367492_at 9.196368 9.34623 9.376223 9.175438 9.287186 9.060051 8.9681835 9.277116 9.278351 9.336994 9.408325 9.404856
1367493_at 9.565178 9.613104 9.510591 9.611017 9.535028 9.479825 9.383733 9.680279 9.68055 9.675538 9.717865 9.478633
1367494_at 10.350897 10.314065 10.280159 10.242122 10.253449 9.631558 9.32645 10.327064 10.330264 10.253702 10.328357 10.269678
1367495_at 7.876418 7.959316 7.9162326 7.860817 7.8937917 7.3080297 6.715459 8.009205 8.128487 7.8955927 8.046496 8.054071
1367496_at 11.229798 11.189669 11.072772 11.261506 11.211049 11.457807 11.754773 11.2045765 11.150127 11.245622 11.198855 11.311742
1367497_at 8.735801 8.557071 8.6515045 8.69598 8.885745 8.791086 9.089101 8.731802 8.706892 8.840547 8.866545 8.921503
