ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 1.5 1.5 1.5 5 5 5 15 15 15
1367452_at 10.349297 10.431455 10.444669 10.427211 10.4005785 10.42536 10.338398 10.305351 10.309794 10.301335 10.389621 10.456652
1367453_at 9.722441 9.792949 9.738922 9.731051 9.686622 9.833088 9.741085 9.799549 9.667587 9.734953 9.754152 9.8289585
1367454_at 10.066174 10.050707 10.022711 10.057171 10.054297 10.078036 10.116234 10.029362 10.010725 10.21201 10.094689 9.996218
1367455_at 11.2468195 11.192023 11.258498 11.296241 11.276981 11.332912 11.324226 11.282197 11.245322 11.279295 11.213388 11.046133
1367456_at 11.780776 11.850534 11.744069 11.881233 11.885692 11.804343 11.844884 11.841868 11.820082 11.846238 11.905899 11.994732
1367457_at 9.246558 9.323728 9.297901 9.308412 9.2186 9.0965805 9.121336 9.224477 9.25883 9.333496 9.142307 9.232303
1367458_at 8.031764 8.061088 7.9741745 8.136179 8.000511 8.134119 8.282363 7.9670587 7.904071 8.031021 8.161791 8.185861
1367459_at 12.084909 12.054152 12.020415 12.152678 12.084035 12.053696 12.04981 12.0780525 12.063886 11.9883585 11.97639 12.1119995
1367460_at 11.478843 11.44734 11.412584 11.488255 11.341182 11.311612 11.467981 11.49051 11.381157 11.286047 11.23041 11.395678
1367461_at 10.389644 10.478945 10.4125185 10.553589 10.440252 10.36967 10.588753 10.463838 10.453659 10.491212 10.442104 10.59147
1367462_at 10.252697 10.153141 10.430712 10.095371 10.116487 10.740523 10.314161 9.986313 10.164932 10.079869 10.055141 10.028236
1367463_at 11.252894 10.998914 11.395877 10.858906 11.10279 10.9507885 11.281001 11.159188 11.405294 10.852 11.399481 11.201427
1367464_at 9.505496 9.467035 9.408051 9.343706 9.410785 9.393389 9.492401 9.488424 9.306742 9.49527 9.370272 9.391048
1367465_at 10.139753 10.382282 10.263428 10.029509 10.0328245 10.270548 10.109804 10.160227 10.120578 10.144682 9.927162 9.873182
1367466_at 10.02841 10.137151 10.075102 10.211898 10.115587 10.1282625 10.199336 10.19332 10.114419 10.146702 10.104709 10.224256
1367467_at 11.498922 11.666638 11.663406 11.457643 11.499469 11.765182 11.651062 11.636385 11.585531 11.463429 11.546545 11.548416
1367468_at 9.893897 10.018254 9.977212 9.803699 9.816248 9.949318 9.901507 10.05821 9.842612 9.757888 9.973777 9.803616
1367469_at 11.730524 11.804316 11.6880245 11.993733 11.899934 11.655575 11.919961 11.820461 11.836381 11.759261 11.706967 12.065263
1367470_at 9.989496 10.021872 10.037754 10.058645 10.126284 9.987968 10.074391 10.022992 10.055092 10.065086 10.126623 9.940882
1367471_at 9.280696 9.339343 9.259749 9.107427 9.2604065 9.326377 9.211626 9.152738 9.204093 9.287993 9.387845 9.223699
