ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 10 10 10 30 30 30 100 100 100
1367452_at 10.0710335 10.06779 10.088796 10.093022 10.116126 10.141183 10.122813 10.186431 10.2573395 10.062667 10.072461 10.264622
1367453_at 9.940303 9.855397 9.890447 9.763494 9.945853 9.879342 9.870257 9.867693 9.916182 9.890801 9.856323 10.078885
1367454_at 10.205392 10.045473 10.124785 10.032995 10.145171 10.224687 10.047162 10.022733 9.962736 10.111611 10.2583 10.219396
1367455_at 11.410688 11.46589 11.483834 11.458635 11.606139 11.58005 11.535944 11.521995 11.388183 11.5305 11.437514 11.599656
1367456_at 11.981291 11.745258 11.858139 11.773206 11.885006 11.901048 11.798458 11.938329 11.924991 11.939734 12.106568 12.037168
1367457_at 9.110144 9.193964 8.990543 9.260256 9.0697365 9.062988 9.043268 8.984299 9.165508 9.038008 8.907598 9.154173
1367458_at 8.454224 8.517871 8.640811 8.2632265 8.458645 8.454762 8.43095 8.300231 8.2218275 8.4703245 8.408194 8.338001
1367459_at 12.236473 12.061244 12.134569 12.026381 12.218416 12.159511 12.052831 12.079591 12.278038 12.243107 12.294976 12.252373
1367460_at 11.425815 11.317013 11.337548 11.423332 11.430115 11.305633 11.3888855 11.2885 11.16899 11.299773 11.402872 11.577132
1367461_at 10.428573 10.272276 10.322154 10.226474 10.287767 10.298573 10.152051 10.092889 10.082304 10.519307 10.35916 10.499481
1367462_at 10.451011 10.442679 10.603442 10.696253 10.828233 10.65335 10.806937 10.687589 10.868978 10.189617 10.540188 9.827108
1367463_at 11.0641985 11.254153 11.195569 11.080513 10.985867 11.229881 10.980379 10.987121 11.060478 11.518455 11.495433 11.520363
1367464_at 9.566571 9.454962 9.476871 9.542123 9.480486 9.368514 9.509591 9.358505 9.442153 9.404921 9.392273 9.549136
1367465_at 10.040741 9.9453535 10.040189 9.976956 10.086823 9.921909 9.925593 9.919952 10.116668 10.171893 10.265878 9.844447
1367466_at 10.488657 10.323697 10.281676 10.392974 10.4118595 10.334604 10.293016 10.377323 10.257466 10.434286 10.396831 10.335072
1367467_at 11.469054 11.468995 11.508851 11.423846 11.391075 11.375725 11.528082 11.5554285 11.612922 11.548474 11.594677 11.478822
1367468_at 9.926511 9.749381 9.583015 9.664251 9.812361 9.73233 10.028127 9.957105 9.893389 9.602314 9.86996 9.732667
1367469_at 12.074681 11.817944 11.890753 12.077857 12.080348 11.939753 11.899159 12.007732 11.961337 12.008064 11.867297 12.171293
1367470_at 10.178757 10.109374 10.248752 10.0095825 10.212467 10.226105 10.028 9.992223 10.020435 10.38811 10.195745 10.426515
1367471_at 8.954389 8.939018 8.811519 8.947494 8.911331 8.742603 9.04923 8.981899 9.007761 9.095566 9.152908 9.281949
1367472_at 10.335504 10.315973 10.186413 10.155763 10.262269 10.130885 10.228253 10.05322 10.000286 10.206675 10.044297 10.139368
1367473_at 9.892664 9.84301 9.691934 9.835142 9.780887 9.919692 9.766458 9.78385 9.711317 9.837619 9.819633 9.968019
1367474_at 9.815672 9.779029 9.766015 9.907083 9.736345 9.716053 9.784101 9.536918 9.5303135 9.7422 9.728675 9.818247
1367475_at 10.380729 10.179104 10.342899 10.341751 10.188623 10.307842 10.151396 10.264478 10.2137375 10.183867 10.127431 10.3631935
1367476_at 10.954429 11.048059 10.946951 10.968402 11.111411 10.813571 10.978867 10.850186 10.972886 11.252663 11.162766 11.224174
1367477_at 9.996939 10.17365 10.063182 10.293622 10.095122 10.229155 10.170608 10.1539545 10.170861 10.097429 10.268688 10.045024
1367478_at 7.9437547 7.996452 8.034959 8.0226555 7.908023 8.074577 8.135786 7.8637547 7.9898577 7.8596745 8.005695 7.8804336
1367479_at 11.277964 11.18582 11.179833 11.12156 11.299716 11.2625475 11.157187 11.3057575 11.191292 11.110732 11.259717 11.111891
1367480_at 9.622577 9.452518 9.481749 9.458052 9.590417 9.519053 9.481567 9.400248 9.3128195 9.547796 9.458677 9.643011
1367481_at 9.379124 9.442405 9.167321 9.193902 9.33575 9.335527 9.333016 9.296162 9.256313 9.252641 9.375788 9.339242
1367482_at 9.179577 9.311791 9.157618 9.269711 9.40534 9.322532 9.24641 9.377036 9.264359 9.305192 9.304403 9.147477
1367483_at 8.720006 8.756846 8.763173 8.65432 8.805725 8.904751 8.842886 8.9147415 8.712381 8.809359 8.700415 8.894212
1367484_at 9.034459 9.19067 8.983844 9.194886 9.04267 8.977004 9.236643 9.012913 8.899376 9.021638 8.895324 9.159022
1367485_at 9.896457 9.739435 9.957795 9.943323 9.991798 10.010174 9.98553 9.84476 9.906255 10.060996 9.891546 10.055025
1367486_at 9.843428 9.794241 9.938476 9.66443 9.682602 9.627189 9.80018 9.591757 9.709768 9.770146 9.677582 9.891898
1367487_at 7.4879394 7.4980984 7.3512335 7.708701 7.669951 7.639878 7.684022 7.712413 7.4956794 7.5373235 7.559194 7.5336056
1367488_at 7.9151535 7.939102 7.903953 8.336929 8.148329 8.103881 8.287838 8.0391445 7.925651 7.967023 7.882584 8.01631
1367489_at 6.403115 6.5610356 6.271208 6.619176 6.327398 6.2626524 6.442361 6.4874554 6.728226 6.273497 6.6860037 6.342014
