ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 25 25 25 75 75 75 250 250 250
1367452_at 10.502158 10.530559 10.529461 10.64468 10.506583 10.565187 10.499665 10.559683 10.576273 10.65148 10.533178 10.568746
1367453_at 9.854216 9.935388 9.924115 9.953874 9.938576 9.953098 9.946932 9.936386 9.8625765 9.88902 9.952527 9.885369
1367454_at 9.98962 10.044726 10.131643 10.015248 10.163914 10.021846 10.119839 10.2711 10.208647 10.060768 10.116086 9.989661
1367455_at 11.258833 11.431049 11.407616 11.294503 11.389572 11.186521 11.306003 11.359439 11.361988 11.094866 11.092203 11.019424
1367456_at 12.088581 12.052031 12.1647415 12.152291 12.142099 12.026612 12.010257 12.224432 12.114872 12.168301 12.112833 12.136481
1367457_at 9.189377 9.237116 9.150172 9.22417 9.24571 9.176079 9.257502 9.207212 9.198283 9.1538725 9.2187 9.171043
1367458_at 8.176249 8.041197 8.194307 8.138658 8.148795 8.077332 8.157708 8.091231 8.091917 7.984165 8.139554 7.9656377
1367459_at 12.218046 12.228273 12.355014 12.236161 12.309386 12.1309595 12.157979 12.2768545 12.260092 12.190586 12.21886 12.087638
1367460_at 11.460472 11.450961 11.512754 11.508124 11.490613 11.437723 11.486497 11.543257 11.533308 11.505381 11.4875965 11.55023
1367461_at 10.730199 10.631461 10.762245 10.69507 10.791876 10.709836 10.596978 10.7224245 10.864858 10.607249 10.733608 10.670668
1367462_at 10.234404 10.229082 10.107133 10.142931 10.051003 9.926685 10.340843 10.385613 10.062143 9.978389 10.127924 10.044943
1367463_at 11.192279 11.246971 11.46563 11.107488 11.371252 10.97841 11.05003 11.225872 11.152296 11.185627 10.939829 11.103641
1367464_at 9.411796 9.524711 9.475626 9.44961 9.427492 9.308164 9.435541 9.356781 9.353047 9.210861 9.324457 9.12574
1367465_at 10.082853 10.235987 10.086975 10.144956 10.051393 10.027548 10.202661 10.0111685 10.018441 10.195527 10.307913 9.9491415
1367466_at 10.541687 10.421435 10.522391 10.563869 10.432121 10.3144865 10.396197 10.485174 10.43894 10.377768 10.507542 10.526027
1367467_at 11.535836 11.607728 11.526221 11.552222 11.497111 11.488671 11.601296 11.550381 11.502813 11.525111 11.569568 11.443983
1367468_at 9.749337 9.761142 9.875171 9.838103 9.787751 9.77798 9.64649 9.69405 9.775708 9.949374 9.721474 9.864123
1367469_at 11.895123 12.04297 12.12322 11.860483 12.014394 11.932759 11.836706 12.041811 12.02161 12.016538 11.855587 11.925807
1367470_at 10.196053 10.2264185 10.332595 10.16602 10.189842 10.150436 10.145454 10.282883 10.233003 10.194274 10.123297 9.993503
1367471_at 9.132619 9.182274 9.103848 9.078546 9.051702 9.187984 9.278523 9.146337 9.150152 9.260877 9.156832 9.13269
1367472_at 10.058522 10.1716585 10.050459 10.096964 10.074289 10.016718 10.047439 10.094177 9.952037 9.851456 9.957541 9.968258
1367473_at 10.000198 9.9739065 10.015263 10.011106 10.067122 10.0450115 10.12754 10.101889 10.113231 10.094193 10.106414 9.939288
1367474_at 9.632233 9.57836 9.577183 9.464853 9.503656 9.329346 9.540676 9.412724 9.4861355 9.417357 9.434531 9.4829645
1367475_at 10.818179 10.877073 10.812249 10.861744 10.792545 10.800603 10.709415 10.779469 10.710392 10.5954275 10.830622 10.860984
1367476_at 11.401495 11.491509 11.424973 11.381793 11.437498 11.4715805 11.59845 11.390242 11.390963 11.360145 11.3861685 11.41043
1367477_at 10.029077 10.106266 10.208325 9.942923 9.976172 10.010832 10.089884 10.157798 10.100461 10.126597 10.162403 10.16354
1367478_at 8.027454 8.182142 7.9079657 8.014938 7.91682 7.967513 8.031326 7.8816314 8.117453 8.053181 8.077997 7.9213576
1367479_at 11.250485 11.266065 11.198124 11.291358 11.208194 11.265709 11.197921 11.245505 11.197403 11.342234 11.332222 11.284887
1367480_at 9.8680315 9.755874 9.808933 9.702393 9.878398 9.550585 9.678427 9.867719 9.693611 9.692896 9.809229 9.652459
1367481_at 9.6557455 9.673696 9.697112 9.637609 9.665433 9.571519 9.657773 9.647322 9.603822 9.69292 9.736974 9.683974
1367482_at 9.73753 9.7374115 9.6415825 9.738778 9.58499 9.620543 9.642542 9.58006 9.455092 9.602589 9.543349 9.377937
1367483_at 9.042423 9.019739 9.012243 8.8752365 8.867521 9.1070595 8.907354 8.985296 9.049709 9.079622 8.95841 8.99687
1367484_at 9.519648 9.462555 9.37898 9.444158 9.376543 9.342485 9.560154 9.375655 9.361696 9.417222 9.542735 9.426906
1367485_at 10.257913 10.256582 10.40509 10.279538 10.368456 10.215842 10.260519 10.363571 10.293826 10.197606 10.313287 10.11057
1367486_at 9.827691 9.841648 9.69188 9.810552 9.650502 9.681735 9.768073 9.653193 9.641178 9.713016 9.688335 9.641539
1367487_at 7.6102076 7.4641094 7.732016 7.477004 7.5630717 7.478878 7.5131865 7.618898 7.5134306 7.6493406 7.56948 7.528278
1367488_at 8.097571 8.226557 8.306081 8.052149 8.057053 8.044433 8.267138 8.035528 8.3377495 8.361857 8.08123 8.207972
1367489_at 6.4473357 6.335659 6.345502 6.6601567 6.208658 6.4753366 6.4730086 6.6066275 6.289219 6.4957275 6.479122 6.2947536
1367490_at 7.4376764 7.32844 7.429945 7.385865 7.3837614 7.3034306 7.3391657 7.3847485 7.4199905 7.4159894 7.3569965 7.4381313
1367491_at 9.590348 9.563433 9.695807 9.606115 9.630947 9.504259 9.58348 9.662898 9.560156 9.556361 9.549719 9.417851
1367492_at 9.08951 9.056943 9.038445 9.064289 9.106387 9.103736 9.31106 8.986789 9.097249 8.997202 9.090853 9.129764
1367493_at 9.652865 9.695106 9.724798 9.626796 9.458726 9.469083 9.545478 9.58584 9.55566 9.530054 9.527899 9.392347
1367494_at 10.215085 10.215051 10.235136 10.199527 10.233927 10.182388 10.258183 10.239571 10.1583805 10.245542 10.411873 10.262766
1367495_at 7.7735105 7.7720404 7.8669596 7.778387 7.6857424 7.542255 7.8873005 7.731246 7.537495 7.80649 7.7019515 7.801025
1367496_at 11.305469 11.381142 11.386864 11.310016 11.437092 11.386934 11.378656 11.3860445 11.494355 11.458501 11.319906 11.331638
1367497_at 8.7105 8.800697 8.718241 8.645912 8.721468 8.653529 8.869085 8.674669 8.635094 8.540584 8.677683 8.558806
1367498_at 8.881873 8.95162 9.211949 9.03179 8.818806 8.894641 8.942661 9.073727 9.056793 9.166277 8.713843 8.920916
1367499_at 8.0582905 8.011921 8.049885 8.002348 7.969647 7.9729614 8.004992 7.931245 8.076632 7.856478 8.058594 7.833248
1367500_at 10.137582 10.244718 10.166382 10.079899 10.063879 10.234935 10.126779 10.06738 10.089226 10.129375 10.158747 10.07156
1367501_at 8.524073 8.752967 8.432604 8.550009 8.646449 8.517503 8.664608 8.437553 8.42874 8.246466 8.567682 8.45046
1367502_at 8.502082 8.673153 8.560114 8.620746 8.567315 8.450246 8.726431 8.685491 8.606024 8.541233 8.779273 8.465494
1367503_at 11.321149 11.327341 11.249652 11.309008 11.256754 11.165026 11.2628 11.262875 11.249375 11.279764 11.413788 11.173638
1367504_at 8.352512 8.281471 8.371931 8.184046 8.015148 8.257079 8.405754 8.273223 8.251123 8.269352 8.227768 8.386307
1367505_at 8.493603 8.668206 8.585337 8.54303 8.342285 8.416405 8.222863 8.263854 8.261396 8.318739 8.307101 8.374076
1367506_at 9.961412 10.115366 9.928756 10.036047 10.016242 9.969119 10.030396 10.143123 9.884623 10.062837 10.0341015 9.90502
1367507_at 7.5835433 7.5738206 7.5505233 7.4931264 7.467208 7.264486 7.6758947 7.6298966 7.3223195 7.393864 7.658753 7.2813334
1367508_at 9.100232 9.21277 9.250433 9.12067 9.01386 9.025354 9.166691 8.922335 8.959193 9.22934 9.132966 8.938858
1367509_at 9.401621 9.541073 9.41536 9.5015545 9.532935 9.554463 9.736696 9.412504 9.399883 9.471562 9.514318 9.674206
1367510_at 9.84288 9.884817 9.755284 9.627236 9.745301 9.685284 9.821442 9.663804 9.778385 9.77681 9.720214 9.618747
1367511_at 8.859695 8.674617 9.020359 8.7657 8.959932 8.866509 8.705507 8.683261 8.865785 8.980999 8.8684845 8.976937
1367512_at 11.103832 11.188806 11.191584 11.0529175 11.177426 11.133504 11.173759 11.15448 11.119587 11.071837 11.307093 11.225131
1367513_at 8.066603 8.419859 8.409503 8.080999 8.393844 8.217306 8.260346 8.3660555 8.510143 8.244047 8.0076475 8.380608
1367514_at 8.11321 8.0147505 8.096289 8.1922035 7.9304504 8.107914 8.007899 8.182558 8.02614 8.134544 8.23195 8.098316
1367515_at 7.8883853 7.963043 8.1664505 8.130133 8.115278 8.115715 8.103867 8.177614 8.247507 8.243883 8.136545 8.341982
1367516_at 8.918528 8.887096 8.764089 8.8636055 8.81823 8.610179 8.900056 8.85349 8.687734 8.800231 8.713331 8.42455
1367517_at 7.9703674 7.689689 7.60907 7.7129855 7.605258 7.6737037 8.0913515 7.634812 7.548912 7.5899534 7.5477467 7.634774
1367518_at 8.617319 8.596038 8.597206 8.585224 8.526721 8.531107 8.640184 8.6699505 8.544474 8.462765 8.532006 8.445154
1367519_at 8.763506 8.713028 8.803049 8.720198 8.528955 8.681173 8.795557 8.756502 8.680938 8.64788 8.722736 8.565202
1367520_at 10.073518 10.164559 10.017774 10.220054 10.150718 10.202747 10.233123 10.147663 10.09226 10.137352 10.257152 10.190313
1367521_at 6.7896824 7.0766253 6.627421 7.338614 7.3856397 7.331629 7.14298 6.6278033 6.931866 7.119862 7.1844997 7.193953
1367522_at 9.192194 9.293275 9.3712225 9.19965 9.126425 9.234642 9.247079 9.356355 9.247256 9.160016 9.344897 9.167232
1367523_at 8.97291 8.886965 9.038862 8.992313 8.966179 8.964785 9.056969 9.058094 8.956402 9.059181 9.149981 9.2038
1367524_at 7.2254286 7.391855 7.2201796 7.2829123 7.300396 7.3308625 7.2786326 7.2648363 7.333508 7.4474816 7.134981 7.3471265
