ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 1 1 1 3 3 3 10 10 10
1367452_at 10.314774 10.237533 10.19486 10.334563 10.24274 10.397209 10.399889 10.269942 10.384943 10.429165 10.194324 10.3831215
1367453_at 10.175814 10.07504 10.07315 10.181185 10.042022 10.038341 10.096231 10.066459 10.188644 9.862099 10.088314 10.0867815
1367454_at 9.944744 10.08206 9.819806 10.1197605 10.0669155 9.911357 9.857615 9.958335 9.837803 10.03563 9.81615 9.969896
1367455_at 11.472679 11.534098 11.237911 11.469555 11.489642 11.433799 11.407104 11.40898 11.340388 11.038889 11.312802 11.188197
1367456_at 11.86659 11.87995 11.770736 11.866034 11.8940935 11.918875 11.92163 11.909923 11.923689 11.899325 11.790817 11.901065
1367457_at 9.224478 9.251567 9.087046 9.19695 9.141863 9.16029 9.20483 9.090906 9.069323 9.107049 8.876446 9.079726
1367458_at 8.386274 8.533405 8.465255 8.530895 8.530436 8.464775 8.4092245 8.518207 8.254517 8.037364 8.305616 8.3234005
1367459_at 12.086196 12.150327 12.118357 12.17741 12.14901 12.191304 12.1006 12.134829 12.14991 12.28574 12.055724 12.107624
1367460_at 11.457006 11.445411 11.354804 11.401578 11.3408165 11.3433 11.394057 11.217741 11.388028 11.499803 11.260867 11.356108
1367461_at 10.350615 10.33635 10.174781 10.3617735 10.366138 10.38582 10.306091 10.355606 10.133492 10.176468 10.180431 10.268569
1367462_at 10.683638 10.608259 10.614489 10.689814 10.591431 10.674525 10.973447 10.610915 10.720674 10.127134 10.662089 10.501381
1367463_at 11.090252 10.812939 11.126824 10.915369 10.728942 11.166608 11.094573 11.324178 11.269887 10.882799 11.089131 11.02812
1367464_at 9.5456085 9.579384 9.418489 9.635581 9.399531 9.603312 9.719503 9.503083 9.520921 9.485035 9.341224 9.368668
1367465_at 9.945583 10.276691 10.026119 10.140547 10.088588 10.311721 10.22477 10.2086735 10.357091 10.601031 10.074203 10.327498
1367466_at 10.039931 10.093784 10.1673155 10.170933 10.163918 9.96475 9.984952 10.032768 9.957893 9.524343 9.923599 10.003382
1367467_at 11.586736 11.570222 11.680505 11.578433 11.573244 11.630857 11.538656 11.581687 11.641668 11.303124 11.645431 11.535203
1367468_at 9.853314 10.122493 9.88554 10.150461 9.927804 9.94107 10.186537 10.141532 10.033118 9.929488 9.919955 10.062456
1367469_at 11.854292 11.622354 11.611201 11.83401 11.638537 11.587957 11.633642 11.604491 11.563818 11.82265 11.600047 11.370931
1367470_at 10.150935 10.232889 10.14437 10.192494 10.204783 10.197368 10.054896 10.151149 9.969868 10.106026 10.017631 9.919506
1367471_at 8.851052 8.995544 8.813329 8.976509 8.926468 9.05743 9.237657 9.122108 9.203031 9.170884 9.183214 9.142515
1367472_at 10.277515 10.237029 10.162324 10.182451 10.291169 10.090451 10.205313 10.086452 9.99563 10.008052 10.140277 10.140679
1367473_at 9.8952675 9.909897 9.687192 9.877616 9.657319 10.064166 9.99727 9.891679 9.99411 9.951093 9.948445 9.923146
1367474_at 9.513394 9.604901 9.569734 9.484912 9.602837 9.521205 9.674502 9.500203 9.473788 8.987013 9.319509 9.478932
1367475_at 10.658827 10.508041 10.59842 10.545109 10.565355 10.4719 10.618399 10.520488 10.646676 10.4073515 10.516957 10.5555315
1367476_at 11.086743 10.970371 10.998742 10.910675 11.062636 11.15623 11.035162 11.133644 11.1723585 11.213969 11.128986 11.088555
1367477_at 10.129135 10.11336 10.02307 10.014192 9.9166155 10.226785 10.218512 10.198745 10.387886 9.672375 10.216061 9.996784
1367478_at 7.844617 7.6940064 8.040869 7.9350953 7.9274597 7.82837 8.056101 7.8717256 7.9177365 7.492344 7.8384647 7.926442
1367479_at 11.28992 11.23548 11.291357 11.272001 11.297991 11.375779 11.35117 11.346376 11.448118 10.988534 11.244408 11.403845
1367480_at 9.455656 9.470606 9.388008 9.374734 9.5566225 9.503509 9.517779 9.567045 9.446603 9.293744 9.412729 9.396102
1367481_at 9.250795 9.253244 9.198998 9.218615 9.164502 9.344394 9.402815 9.443506 9.490713 9.493496 9.292888 9.443871
1367482_at 9.440795 9.52615 9.506474 9.584809 9.51582 9.715459 9.816558 9.670271 9.7763405 9.952008 9.807555 9.663435
1367483_at 8.845482 9.006046 8.735386 8.830511 8.931959 8.87245 9.115248 8.992784 9.053072 8.874554 9.030149 8.950533
1367484_at 9.180237 9.169182 9.135137 9.031231 9.1984005 9.241929 9.384723 9.008827 9.195817 8.792881 9.271156 9.2974205
1367485_at 10.121695 9.876335 9.802968 9.991757 9.980004 9.995161 9.913827 9.958119 9.909534 9.640107 9.802387 9.775711
1367486_at 9.717422 9.534107 9.723891 9.604202 9.760129 9.489276 9.577623 9.488962 9.400255 9.782768 9.359339 9.504331
1367487_at 7.357086 7.454823 7.3336306 7.3647757 7.3463254 7.328354 7.3731275 7.3989472 7.47504 7.5849724 7.712278 7.4019103
1367488_at 7.7295156 8.053257 8.070943 7.679187 7.982624 7.802106 7.5692935 7.894868 7.8617268 7.989832 7.718999 7.8306017
1367489_at 6.5602417 6.7439027 6.628411 6.5212703 6.5408244 6.4783816 6.347772 6.390692 6.4734125 6.4344273 6.681126 6.3877954
1367490_at 7.283342 7.280825 7.364906 7.2365932 7.1377325 7.179673 7.3107724 7.2410145 7.1993046 7.332784 7.2165604 7.283884
1367491_at 9.378977 9.251185 9.120389 9.270975 9.132009 9.085394 9.281753 9.147729 9.172622 8.799461 8.816562 8.994456
1367492_at 9.095358 9.0829935 9.052335 8.921595 9.098793 9.1530285 9.197203 9.111984 9.291071 8.926169 9.177587 9.064414
1367493_at 9.542932 9.5109 9.559324 9.579156 9.43395 9.70729 9.570421 9.631714 9.240712 9.375844 9.313431 9.30272
1367494_at 9.9401655 9.8701725 9.951602 10.03393 10.011915 10.211101 10.068611 9.984154 10.09458 9.643056 10.036264 10.050886
1367495_at 7.226451 7.314431 7.2127857 7.293462 7.2229743 7.8340716 7.515977 7.3052616 7.4225144 7.4002557 7.3604 7.283884
1367496_at 11.34732 11.346111 11.255162 11.326917 11.311888 11.0173 11.24554 11.201202 11.222342 11.527997 11.138503 11.1810255
1367497_at 8.59292 8.605375 8.551861 8.700301 8.633211 8.428151 8.742583 8.682875 8.658586 8.545962 8.639932 8.359541
1367498_at 8.600735 9.154796 8.952774 8.802176 8.905169 8.925808 8.676218 8.790404 8.792175 8.400476 8.43408 8.405365
1367499_at 8.104189 8.203344 8.295206 7.8217015 8.198837 8.293562 8.17824 8.306339 8.152515 8.206472 8.060389 8.1918745
1367500_at 10.180959 9.980148 9.947573 9.982181 9.838663 10.223518 10.297904 10.067454 10.250012 10.3747225 10.29082 10.190522
1367501_at 8.557086 8.592461 8.460279 8.575842 8.600874 8.490913 8.658129 8.632284 8.576643 8.711945 8.653121 8.42093
1367502_at 8.366845 8.233269 8.230268 8.577085 8.37216 8.509887 8.575799 8.359666 8.372779 8.160142 8.393365 8.47295
1367503_at 11.0614195 11.058344 11.107961 11.026194 11.066464 11.053481 11.034536 11.045582 11.150806 10.619452 10.930331 11.074852
1367504_at 8.188032 7.935739 8.007635 8.124565 7.9564924 7.982095 8.172945 8.0453415 8.18004 8.262894 8.16869 7.979769
1367505_at 7.6685143 8.506619 8.058366 8.313637 8.137719 8.156907 8.023699 8.149334 8.279146 7.6815023 7.8509707 8.034882
