ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
Dose 0 0 0 0.1 0.1 0.1 0.3 0.3 0.3 1 1
1367452_at 10.110457 10.200816 10.212844 10.049955 10.163835 10.124461 10.178073 10.127947 10.133332 10.260434 10.183063
1367453_at 9.649084 9.726396 9.645938 9.603361 9.535366 9.563043 9.588609 9.591029 9.5318365 9.568142 9.397636
1367454_at 9.937082 10.016553 10.0779 9.927913 9.852187 9.955588 9.980725 9.970513 10.052573 10.272352 10.177613
1367455_at 11.253316 11.356638 11.242964 11.287743 11.233057 11.197932 11.265962 11.457731 11.418288 11.2015085 10.849047
1367456_at 11.962824 12.020008 11.935312 11.90652 11.952924 11.950736 11.898883 12.018066 11.867191 11.950525 11.970646
1367457_at 9.174839 9.132988 9.088709 8.991705 8.848266 8.942095 8.955944 9.009714 8.949046 8.901699 9.021777
1367458_at 8.476041 8.39484 8.316961 8.169772 8.237922 8.198661 8.373546 8.300418 8.193944 8.197383 8.250122
1367459_at 12.049639 12.085151 12.103804 11.92946 12.009474 11.99227 12.053853 12.053174 12.047706 12.079423 12.107553
1367460_at 11.286097 11.26316 11.256277 11.196587 11.166542 11.230079 11.189517 11.238806 11.325042 10.896793 10.936453
1367461_at 10.075015 10.24462 10.274467 10.096176 10.221687 10.227916 10.304972 10.328806 10.285808 10.494524 10.291409
1367462_at 10.118099 10.507487 9.968709 10.209203 10.118919 10.283135 10.352885 10.031676 10.025003 9.679188 9.313995
1367463_at 11.168922 11.093529 11.196895 11.267255 11.19092 11.035097 11.047748 11.072239 10.8800955 10.803227 11.5578165
1367464_at 9.392223 9.4446745 9.399581 9.258691 9.2663765 9.163811 9.308363 9.36183 9.404683 9.436191 9.454559
1367465_at 10.1081505 10.012791 10.005294 9.901324 10.004235 9.931023 10.07685 9.941978 10.064285 10.265895 9.936595
1367466_at 10.129 10.278523 10.2415085 10.339628 10.307407 10.284408 10.384884 10.292573 10.411278 10.344954 10.100302
1367467_at 11.55458 11.439106 11.397149 11.443313 11.5040245 11.441145 11.5769005 11.410566 11.381692 11.354005 11.22563
1367468_at 9.559628 9.564929 9.553017 9.756838 9.657277 9.642103 9.5829315 9.513322 9.6357155 9.459612 9.424788
1367469_at 11.696475 11.779164 11.9103775 11.754114 11.922029 11.755538 11.76645 11.946768 11.9610195 11.793315 11.844397
1367470_at 10.02313 9.870072 10.245889 9.890193 10.179501 9.951494 10.147933 10.176131 10.105219 10.070056 10.006247
1367471_at 8.778626 8.826002 8.656802 8.86862 8.714824 8.699386 8.768833 8.663727 8.763639 8.839077 8.654823
1367472_at 10.053991 10.132138 10.141893 9.9616585 10.0312805 9.813667 10.086575 9.9536085 10.013845 9.997257 9.824851
1367473_at 9.662267 9.866456 9.858094 9.822786 9.974133 9.97187 9.9082155 9.7821865 9.89736 9.934444 9.918735
1367474_at 9.405769 9.526243 9.512283 9.52076 9.490488 9.429686 9.63111 9.662416 9.6872425 9.42806 9.81523
1367475_at 10.329998 10.289925 10.290396 10.262978 10.301249 10.423621 10.372774 10.226779 10.182483 10.140805 10.092529
1367476_at 10.982253 11.168478 11.075724 11.047867 11.062614 11.03563 11.072105 10.9818125 10.987104 11.04723 10.713651
1367477_at 10.05263 10.102128 9.875469 9.926436 9.913634 9.879484 9.974248 9.995019 10.023492 10.132609 9.796757
1367478_at 7.8956714 7.898088 8.042974 7.7804832 7.812552 7.653692 8.009251 7.943254 7.9423327 7.7219424 7.970229
1367479_at 11.301797 11.33881 11.141339 11.082136 11.144976 11.1679325 11.16992 11.148174 11.245902 11.186411 10.812234
1367480_at 9.179411 9.396087 9.435453 9.1954 9.376771 9.261915 9.356938 9.506236 9.470385 9.552963 9.374044
1367481_at 9.325444 9.292967 9.128872 9.257091 9.108529 9.136959 9.128485 9.114263 9.068776 9.277145 9.280527
1367482_at 9.353737 9.221163 9.3444195 9.308169 9.16174 9.159417 9.153257 9.113953 9.116732 9.414827 9.101211
1367483_at 8.947779 9.028959 8.850122 8.798952 8.868631 8.919447 8.685373 8.689667 8.994572 8.484236 8.6283045
1367484_at 8.902935 9.231472 9.057798 9.078649 9.00083 9.013563 9.192431 8.973507 8.901274 8.912054 8.823688
1367485_at 9.926089 9.999679 10.017581 9.90173 9.963138 9.846012 9.969209 9.9811945 9.851414 10.054027 10.023193
1367486_at 9.491605 9.607317 9.646714 9.412854 9.452344 9.452439 9.485457 9.727384 9.593957 9.467566 9.652939
1367487_at 7.4225993 7.4460335 7.4513197 7.554155 7.490833 7.867526 7.596611 7.7532005 7.447558 7.7016726 7.6222086
1367488_at 7.5547605 7.7019086 7.934588 7.8886385 8.203171 7.8129907 8.128379 8.160076 8.355408 7.907539 8.301451
1367489_at 6.513523 6.677188 6.7041993 6.4633703 6.548694 6.418542 6.2385077 6.4659767 6.6357574 6.7535515 6.6618276
1367490_at 7.112586 7.1440415 7.1731505 7.2460933 7.2591305 6.811118 7.3996534 7.21587 7.3280973 7.09084 7.464333
1367491_at 9.2229805 9.449194 9.387659 9.212795 9.215592 9.165105 9.269557 9.361426 9.2903595 9.50194 9.484434
1367492_at 9.00602 9.085613 9.019104 8.911209 8.941032 9.00206 8.999549 9.051168 8.959766 9.006324 8.797743
1367493_at 9.282385 9.354345 9.49599 9.182749 9.377879 9.276715 9.324326 9.495621 9.341095 9.473972 9.108455
1367494_at 9.771054 10.076743 9.848209 9.767309 9.812071 9.792066 9.861533 9.937642 9.857388 10.0501995 9.794485
1367495_at 6.87967 7.42572 7.376431 7.079237 7.289652 6.8976774 7.2909 7.580142 7.366814 7.4490547 7.3858886
1367496_at 11.374581 11.312758 11.258769 11.262996 11.268399 11.261192 11.204298 11.335718 11.139014 11.396972 11.402458
1367497_at 8.549428 8.604335 8.444909 8.564594 8.524364 8.640554 8.391821 8.299917 8.263465 8.243098 7.9796352
1367498_at 8.414634 8.550451 8.859781 8.676696 8.956268 8.462625 8.901421 8.8476925 8.879978 8.702578 8.646357
1367499_at 7.9309464 8.159813 8.083005 8.012548 8.179409 7.9571123 8.1234 8.272486 7.9467254 7.899992 8.08083
1367500_at 10.157692 9.98391 9.9175005 10.065032 10.008226 9.926317 10.114746 9.918402 10.072075 9.91308 10.225364
1367501_at 8.413152 8.475224 8.342151 8.376725 8.4672985 8.264917 8.447647 8.601939 8.409183 8.577427 8.447254
1367502_at 8.339213 8.35784 8.413426 8.345065 8.173193 8.1807375 8.329735 8.196237 8.315046 8.21783 7.861528
1367503_at 10.983825 10.989525 10.89837 10.763089 10.698859 10.7209215 10.774033 10.967321 10.671523 10.712934 10.246513
1367504_at 7.781547 8.065123 7.889934 7.964996 8.165516 8.051334 7.9936695 8.0842 8.025703 8.43877 8.377869
1367505_at 8.103596 7.9519076 8.173843 8.059884 8.173981 7.942544 7.9205585 8.040938 8.101011 8.035384 7.896806
1367506_at 10.0488 9.97257 9.773307 9.879709 9.745703 9.819542 9.829409 9.824922 9.929879 9.7462435 9.817284
1367507_at 7.112943 7.2739677 7.2020464 7.0178957 7.0114326 6.9387403 7.0986667 6.9647355 7.10156 7.085101 6.9659367
1367508_at 8.536606 8.667234 8.613722 8.500541 8.398163 8.420726 8.589344 8.562536 8.569528 8.406285 8.339114
1367509_at 9.49993 9.479362 9.396935 9.583193 9.468482 9.376387 9.581484 9.42934 9.516491 9.469641 9.482726
1367510_at 9.770863 9.695356 9.431776 9.628571 9.451839 9.494644 9.572537 9.519436 9.543568 9.385137 9.237839
1367511_at 8.323842 8.514544 8.275097 8.354824 8.306951 8.226068 8.34606 8.3164015 8.291294 8.337847 8.446323
1367512_at 10.985193 11.001398 10.98799 10.889068 10.855589 10.926397 10.799224 10.963368 10.85564 10.951797 10.7647705
1367513_at 8.345448 8.039812 7.735528 7.9227314 8.244016 8.279993 7.4433064 7.703992 7.651734 7.3767147 8.216124
1367514_at 7.5719705 7.8616867 7.7229433 7.8036804 7.611389 7.6135383 7.826561 7.8325796 7.830666 7.7097316 7.598047
1367515_at 7.517402 7.473246 7.635424 7.685944 7.5842943 7.469205 7.572791 7.6094265 7.768465 7.8706107 8.065607
1367516_at 9.006037 9.010421 9.023958 8.83328 8.890863 8.836146 9.00082 8.866477 8.9721985 8.735893 8.7139
1367517_at 7.7752447 7.7175226 7.3880143 7.594419 7.3838067 7.4687595 7.6106367 7.716221 7.6565742 7.469409 7.3086543
1367518_at 8.654142 8.481146 8.594149 8.64105 8.525911 8.510342 8.520286 8.445377 8.458425 8.609096 8.608699
1367519_at 8.469988 8.564445 8.471511 8.404526 8.515076 8.332342 8.486451 8.447287 8.498296 8.266132 8.254951
1367520_at 9.971712 9.808622 9.872466 9.938776 9.8025675 9.927626 9.859673 9.823918 9.848228 9.886326 9.577751
1367521_at 6.675699 6.6762576 6.655531 6.886338 6.7366166 7.005127 6.952035 6.791704 7.159711 7.3908377 7.5924697
1367522_at 9.01382 9.33996 9.174949 9.008212 9.219672 9.250998 9.376605 9.253025 9.135195 9.427663 9.281436
1367523_at 8.333945 8.544373 8.257722 8.487873 8.258755 8.1472025 8.220335 8.3401985 8.3461485 8.396383 8.313171
1367524_at 7.377555 7.3227434 7.382856 7.4837165 7.5605574 7.462912 7.48999 7.4593225 7.560083 7.270325 7.412043
1367525_at 9.081445 9.239262 9.221239 9.184516 8.984299 9.043929 9.112531 9.096267 9.274547 9.223664 9.280619
1367526_at 8.818122 8.819439 8.868235 9.0252075 8.77238 8.888052 8.888139 8.833444 8.93958 8.978956 9.031717
1367527_at 8.047826 8.273454 8.062043 7.8309107 7.80574 7.922374 7.8869762 7.8672843 7.8265066 7.600402 6.9745007
1367528_at 8.623193 8.775374 8.593653 8.971659 8.676039 8.712717 8.810989 8.7399235 8.799184 8.905836 8.617947
1367529_at 9.097479 9.102716 9.110938 9.038034 9.181028 9.073253 9.139847 9.0936575 9.084134 9.195118 9.212074
1367530_at 7.5343447 7.599711 7.7212067 7.7004924 7.506543 7.8154793 7.7478094 7.570189 7.6722374 7.649802 7.648332
1367531_at 10.6753435 10.78075 10.69809 10.726701 10.650427 10.658366 10.921769 10.788515 10.788896 10.683476 10.908177
1367532_at 11.346976 11.365019 11.262615 11.315752 11.295386 11.283096 11.2899275 11.246237 11.263402 11.30045 11.421722
1367533_at 8.2968645 8.371414 8.417525 8.308582 8.299904 8.213106 8.362666 8.483774 8.294268 8.59171 8.304146
1367534_at 7.2918224 7.5031743 7.335909 7.528553 7.326018 7.526078 7.516967 7.55804 7.258567 7.418036 7.1671453
1367535_at 9.005495 8.924884 8.975563 9.04721 9.224989 9.033149 9.154282 9.088558 8.9682865 8.94635 9.189416
1367536_at 7.6885676 7.785726 7.707649 7.5625367 7.73173 7.7327147 7.8005443 7.671909 7.778571 7.5490823 7.45279
1367537_at 7.5299273 7.634182 7.777048 7.761002 7.722585 7.4685864 7.966176 7.681959 7.857185 7.730581 7.574179
1367538_at 6.966766 6.893252 6.93729 6.816399 7.0192733 6.621326 6.9205346 6.8451605 7.0713935 6.635021 6.716589
1367539_at 8.228826 8.438262 8.529527 8.489069 8.6270075 8.292802 8.246784 8.515248 8.478838 8.253931 8.501472
1367540_at 7.343679 7.69454 7.3877096 7.543027 7.5476046 7.30453 7.583315 7.685108 7.48145 7.5595303 7.547826
1367541_at 7.6982903 7.9331574 7.750184 7.588569 7.5630975 7.480575 7.4710135 7.598611 7.5793843 7.5835185 7.211597
1367542_at 8.033424 8.11961 7.9498596 8.133943 7.8682704 7.817837 7.9966135 8.0609455 8.012747 7.6921663 7.758449
1367543_at 8.551338 8.532313 8.500273 8.374107 8.465306 8.155853 8.586086 8.423156 8.548019 8.471604 8.360331
1367544_at 6.618472 6.769447 6.942203 7.078354 6.841606 6.785927 6.8468304 6.5912356 6.8464365 6.3298526 6.829857
1367545_at 7.0711823 7.1987348 7.2252874 7.5925326 7.2028136 7.3115907 7.3759756 7.163323 7.054505 7.4342213 7.12338
1367546_at 10.207868 10.075692 10.087948 10.028586 10.310931 10.18991 10.659455 10.377948 10.333032 10.02635 10.2615595
1367547_at 8.013257 8.053028 8.039392 8.170067 7.8585854 7.9634433 7.92617 7.7207265 7.9570546 7.622022 7.8047514
1367548_at 8.539658 8.529796 8.641096 8.485233 8.594164 8.45503 8.548614 8.806634 8.670548 8.549486 8.395246
1367549_a_at 10.573072 10.767909 10.740141 10.569359 10.595833 10.445963 10.560029 10.654089 10.70206 10.488696 10.505413
1367550_a_at 8.382505 8.40687 8.242432 8.446131 8.543305 8.4533 8.432809 8.377737 8.348846 8.494748 7.8227243
1367551_a_at 9.016617 9.1455345 8.912085 8.9862995 8.962191 8.822633 8.920356 9.075756 8.983343 9.082119 8.841072
1367552_at 4.459763 4.4859996 4.6046205 4.56678 4.54727 4.617488 4.3264556 4.612279 4.613595 4.3460317 4.534766
1367553_x_at 11.813538 12.183839 12.229662 12.32745 11.794814 11.786675 12.004292 12.128388 11.776649 7.804122 8.505621
1367554_at 4.0365524 4.2582774 4.0652766 3.9803386 4.0911455 3.9379625 4.0258093 4.1958323 3.9596179 4.4010844 4.3786736
1367555_at 14.717045 14.692379 14.709088 14.739397 14.692231 14.703031 14.677416 14.694537 14.739397 14.718243 14.706835
1367556_s_at 14.565738 14.553747 14.547753 14.548628 14.548628 14.5832205 14.559159 14.568548 14.559159 14.629152 14.548136
