ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 60 60 60 200 200 200 600 600 600
1367452_at 10.505863 10.5652685 10.368047 10.471337 10.460131 10.517108 10.318636 10.548531 10.573029 10.466916 10.648008 10.573851
1367453_at 10.204631 10.13317 10.205954 10.10696 10.099027 10.134101 10.132345 10.141658 10.05284 10.108057 10.201903 10.164837
1367454_at 9.937466 9.871493 9.903868 9.832271 10.00537 9.894539 9.935965 9.998655 9.658221 9.952857 9.76289 9.900738
1367455_at 11.217282 11.322282 11.515112 11.209243 11.4311695 11.213792 11.390776 11.437511 11.095226 11.213868 11.300116 10.999606
1367456_at 11.771166 11.883603 11.831703 11.815344 11.845789 11.792752 11.787795 11.833169 11.755447 11.902222 11.838499 11.673041
1367457_at 9.127717 9.25934 9.20998 9.128065 9.194848 9.243443 9.085181 9.277191 9.175413 9.18788 9.192837 9.0950575
1367458_at 8.441092 8.477989 8.389576 8.435301 8.371712 8.400878 8.41793 8.374716 8.576288 8.637685 8.40573 8.442975
1367459_at 11.972292 12.068527 12.066491 12.042963 12.048122 12.000421 11.995752 12.029837 11.899301 12.028595 12.007851 11.896543
1367460_at 11.301027 11.547002 11.470306 11.422737 11.504867 11.534893 11.3946905 11.462873 11.38406 11.51327 11.379665 11.225975
1367461_at 10.222447 10.294392 10.381217 10.266634 10.496525 10.26313 10.490632 10.369976 10.292512 10.373357 10.355661 10.253501
1367462_at 10.799209 10.779902 10.842521 10.923564 10.53245 10.385662 10.698224 10.586911 10.611808 10.540402 10.684975 10.939717
1367463_at 11.100046 10.915846 11.273679 11.136531 11.005506 10.99245 11.168207 11.086816 10.980255 11.449883 11.385548 11.299109
1367464_at 9.553953 9.773592 9.686117 9.572631 9.576254 9.706285 9.600425 9.725113 9.65022 9.766873 9.749268 9.591906
1367465_at 10.474008 10.315939 10.243088 10.497029 10.3359995 10.327479 10.422187 10.473161 10.545387 10.557777 10.494328 10.653027
1367466_at 9.878227 9.988403 10.169665 9.923032 10.114495 10.007016 10.111382 10.008692 9.828572 10.05173 9.991727 9.952919
1367467_at 11.841663 11.626893 11.649106 11.740522 11.568886 11.626356 11.631551 11.615183 11.687311 11.611507 11.702718 11.829665
1367468_at 10.096319 9.945944 9.966656 9.842801 9.731732 9.855227 9.91477 10.036935 10.064195 9.604627 9.816427 9.979598
1367469_at 11.794014 12.0228 12.075341 11.69859 12.026489 11.794367 11.966485 12.085596 11.7347145 11.893335 12.021702 11.549867
1367470_at 9.951067 10.129028 10.289352 10.162349 10.229226 10.056334 10.121826 10.044885 9.912984 10.071245 10.104767 9.907975
1367471_at 9.161173 9.19091 9.11344 9.159175 9.048181 8.994356 9.188812 9.073316 9.1846695 9.024958 9.064844 9.292836
1367472_at 9.967379 10.197966 10.289049 10.12096 10.185768 10.098272 10.165825 10.258658 10.029044 10.215559 10.11014 9.985212
1367473_at 10.130911 10.130892 10.101492 10.340872 10.087909 10.143763 10.100054 10.233187 10.235009 10.229042 10.229388 10.240292
1367474_at 9.559444 9.642214 9.711662 9.568677 9.610039 9.583353 9.832939 9.5900345 9.457834 9.644159 9.584759 9.688969
1367475_at 10.646099 10.591026 10.648725 10.614634 10.564768 10.485123 10.470454 10.549547 10.482984 10.612062 10.567802 10.567925
1367476_at 11.375747 11.215443 11.217612 11.382652 11.259816 11.299829 11.19612 11.3442135 11.294516 11.321208 11.277191 11.42715
1367477_at 10.47768 10.245369 10.175838 10.513848 10.167816 10.394211 10.445234 10.347805 10.368198 10.387935 10.286606 10.598271
1367478_at 7.9920177 7.911881 8.06719 7.987199 8.06217 8.029011 8.0208025 7.975264 7.9268126 8.0933895 8.008127 8.097711
1367479_at 11.562845 11.41044 11.318579 11.5372505 11.39777 11.348209 11.474585 11.413769 11.622536 11.464033 11.390426 11.670001
1367480_at 9.464891 9.547238 9.576813 9.368551 9.652565 9.527154 9.451216 9.569 9.53434 9.524503 9.53366 9.427256
1367481_at 9.6031 9.453644 9.398378 9.521494 9.325037 9.422785 9.418297 9.434456 9.646129 9.420225 9.52352 9.600357
1367482_at 10.051195 9.856232 9.779747 9.82754 9.771158 9.759461 9.590487 9.902572 10.016586 9.804429 9.866117 10.188371
1367483_at 9.203012 8.895699 8.900755 9.130363 8.919845 8.971163 9.020206 8.846422 9.181049 9.040361 9.118513 9.061178
1367484_at 9.40654 9.585877 9.446503 9.385364 9.435219 9.44352 9.460874 9.443504 9.538063 9.515825 9.394124 9.461598
1367485_at 9.964368 10.05609 10.04415 9.880202 10.055893 9.9710045 9.921307 10.069662 10.06865 10.118435 10.043104 9.792132
1367486_at 9.59978 9.625913 9.622494 9.592449 9.663599 9.508256 9.741416 9.548825 9.371517 9.620349 9.457422 9.556276
1367487_at 7.4073553 7.4320045 7.4615746 7.5457892 7.451921 7.625102 7.3833656 7.408667 7.692992 7.2931666 7.4549356 7.2253566
1367488_at 7.9853373 8.20936 8.245697 7.6029897 8.044216 8.077406 8.065681 8.096664 7.810969 7.9935417 8.287161 7.9809837
1367489_at 6.3263087 6.653324 6.798309 6.6100736 6.5537 6.65457 6.5011806 6.5388207 6.8493214 6.54259 6.713009 6.5683055
1367490_at 7.366952 7.1905794 7.3697586 7.143699 7.2735114 7.266991 7.1760345 7.4547997 7.0292077 7.400442 7.295981 7.2072754
1367491_at 9.061583 9.257194 9.243612 9.1336 9.32938 9.277889 9.234783 9.354932 8.924967 9.249316 9.150292 9.063155
1367492_at 9.235502 9.221272 9.04015 9.259368 9.207787 9.084349 9.266369 9.19834 9.144114 9.269648 9.3405 9.227102
1367493_at 9.459385 9.531343 9.553851 9.540849 9.584976 9.5434065 9.568425 9.51082 9.394066 9.603438 9.493627 9.347506
1367494_at 10.200796 10.042967 9.960241 10.093496 9.901966 9.916252 9.980126 10.04249 10.282599 10.037012 10.077319 10.282394
1367495_at 7.8704677 7.932477 7.618391 7.719537 7.800308 7.781941 7.600871 7.9239216 7.998432 7.8763494 7.984862 7.9320054
1367496_at 11.23119 11.284389 11.321079 11.249963 11.430412 11.329467 11.265196 11.317163 11.169413 11.152321 11.277898 11.13398
1367497_at 8.754186 8.810601 8.874762 8.84322 8.920625 8.7792 8.815149 8.829817 8.6106615 8.910226 8.829059 8.611615
1367498_at 8.9139805 9.044268 9.082463 8.513227 8.855635 8.863125 8.78976 8.889818 8.737889 8.824447 9.026279 8.762539
1367499_at 8.396309 8.28335 8.410128 8.139299 8.257731 8.1369705 8.301441 8.283007 8.243986 8.269534 8.35919 8.358227
1367500_at 10.582956 10.421295 10.267437 10.497839 10.236891 10.317192 10.340541 10.524849 10.679239 10.482768 10.521241 10.639058
1367501_at 8.433361 8.602583 8.59215 8.540591 8.648866 8.546419 8.623829 8.590879 8.540717 8.623121 8.418198 8.592983
1367502_at 8.654616 8.673503 8.393684 8.772884 8.567289 8.627675 8.633613 8.795646 8.925358 8.869962 8.7808275 9.0015745
1367503_at 11.126948 11.134696 11.015294 11.123543 11.153602 11.156586 11.059918 11.079021 11.177746 11.21602 11.056581 11.084893
1367504_at 8.244098 8.296961 8.494838 8.303453 8.317753 8.324441 8.371773 8.156902 8.131975 8.132847 8.419416 8.349268
1367505_at 8.2589 8.305714 8.247167 8.194019 8.4076185 8.233972 8.140263 8.545139 8.399106 8.15513 8.379772 8.204121
1367506_at 10.3689375 10.038245 10.089847 10.229016 10.0627575 10.08288 10.049924 10.194796 10.196787 10.188303 10.134067 10.199862
1367507_at 7.423243 7.552831 7.4117813 7.5145397 7.3116727 7.4222255 7.334617 7.3230166 7.521473 7.496958 7.461546 7.5845237
1367508_at 8.985928 9.026993 8.985165 9.089659 8.939669 9.11063 8.982377 8.920387 9.134054 9.168777 9.134085 9.200397
1367509_at 10.022311 9.706053 9.740635 9.895726 9.650385 9.694909 9.796603 9.77989 9.886228 9.917197 9.716235 9.979411
1367510_at 9.795446 9.927827 9.928756 9.813982 9.9928055 9.89614 9.792777 9.940577 9.873086 10.003404 9.906074 9.825729
1367511_at 8.140699 8.485275 8.410191 8.203204 8.4462385 8.50215 8.332799 8.465134 8.37438 8.439655 8.517306 8.177366
1367512_at 11.142253 11.0961685 11.048102 11.116324 11.133465 11.067162 10.955901 11.084862 11.153968 11.119173 11.094175 11.162823
1367513_at 7.954045 8.180214 8.325771 8.298724 8.070493 8.040663 8.1870575 8.369281 7.8187346 8.211905 8.230419 7.8902464
1367514_at 7.6732974 7.7593737 7.871677 7.790394 7.8734117 7.9952946 7.7505703 7.824356 7.5580883 7.8093185 7.883626 7.6856947
1367515_at 7.539049 7.8964553 7.6853337 7.6455092 7.955423 8.117112 7.734919 7.8030725 7.7260556 7.659223 7.820155 7.3535247
1367516_at 9.178626 9.285596 9.023547 9.075631 9.227425 9.023454 8.982516 9.074085 9.244935 9.04102 9.15545 9.039954
1367517_at 7.907587 7.8530984 7.7893534 8.100401 8.024696 7.624555 8.051981 7.8346806 7.809822 7.6823845 7.774662 7.7676334
1367518_at 8.619802 8.856055 8.841734 8.675352 8.803003 8.585544 8.72607 8.784468 8.489128 8.685175 8.486082 8.585793
1367519_at 8.700954 8.676218 8.693427 8.65946 8.681205 8.748715 8.5475855 8.579262 8.552725 8.767555 8.644861 8.691429
