ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 100 100 100 300 300 300 1000 1000 1000
1367452_at 10.404339 10.338012 10.200824 10.236632 10.306624 10.27169 10.311123 10.306841 10.338228 10.430686 10.3823395 10.215147
1367453_at 10.040063 9.994513 9.97946 9.950279 9.967033 10.088755 9.99506 10.022263 10.024478 10.110689 10.030078 10.004909
1367454_at 9.964615 9.936526 9.864432 10.00616 10.0334635 9.957014 9.934719 9.953213 10.129734 9.816995 10.047607 9.997967
1367455_at 11.481354 11.530787 11.253852 11.5713 11.373739 11.501685 11.398443 11.375359 11.418275 11.3259735 11.174507 11.398865
1367456_at 11.916107 11.914259 11.88233 11.869446 11.818037 11.913864 11.850528 11.941775 11.839504 11.890064 11.882431 11.791863
1367457_at 9.337691 9.090603 9.219605 9.1700535 9.07365 9.109036 9.178845 9.405828 9.338284 9.287534 9.344253 9.177458
1367458_at 8.466298 8.37757 8.355327 8.392911 8.34723 8.450605 8.426963 8.34223 8.319621 8.451106 8.327396 8.33934
1367459_at 12.035599 11.965955 12.039493 11.96949 12.040094 12.002416 12.074961 12.108924 12.037067 12.149807 11.951392 12.096829
1367460_at 11.527154 11.380915 11.421684 11.495542 11.438273 11.509442 11.586199 11.548889 11.615637 11.56009 11.504085 11.475808
1367461_at 10.338191 10.495532 10.39193 10.461042 10.463983 10.465243 10.4144535 10.407912 10.336984 10.226822 10.429841 10.45004
1367462_at 10.522913 10.676978 10.608004 10.657383 10.592112 10.747274 10.905843 10.7767725 10.466129 10.734175 10.345912 10.356623
1367463_at 11.146349 10.934869 11.074487 11.052642 11.058558 11.031852 11.079277 10.85876 10.893789 10.911981 11.085359 10.9571295
1367464_at 9.510602 9.441367 9.445223 9.633259 9.419816 9.542127 9.649294 9.533463 9.678649 9.525806 9.502724 9.595016
1367465_at 10.320294 10.143243 10.236981 10.350703 10.267873 10.221725 10.384589 10.367969 10.319211 10.324189 10.247796 10.144647
1367466_at 10.213235 10.1616335 10.15191 10.167255 10.172741 10.153238 9.939008 10.135397 10.118062 10.127524 10.155785 10.146076
1367467_at 11.611662 11.599292 11.563614 11.588225 11.691316 11.502545 11.6176815 11.620485 11.58167 11.571513 11.545367 11.578845
1367468_at 9.977457 9.726506 9.839875 10.061218 9.921247 9.945032 9.869657 9.934316 9.855243 9.992864 10.08082 10.0118475
1367469_at 11.888165 11.816571 11.907674 11.861673 11.825508 11.959606 11.978701 11.859388 11.912424 12.00197 12.01945 11.958423
1367470_at 10.250486 10.384371 10.284967 10.335168 10.336664 10.406421 10.258556 10.205762 10.118665 10.286113 10.273294 10.265375
1367471_at 9.023056 8.95716 8.919131 9.174314 8.923749 9.087501 9.162792 9.065111 9.019601 9.053176 9.126274 8.86224
1367472_at 10.1920395 10.03772 10.049437 10.178031 10.033577 10.152372 9.9239025 10.049812 10.242681 10.163486 10.100445 10.074968
1367473_at 9.860354 9.924588 9.969824 10.055912 10.01668 9.971954 9.944937 9.979357 9.866131 9.910782 9.9559355 9.758374
1367474_at 9.632467 9.597399 9.52331 9.575881 9.632279 9.689671 9.5273 9.644417 9.763491 9.536365 9.61179 9.709778
1367475_at 10.634345 10.566336 10.596932 10.630921 10.518137 10.520505 10.609702 10.618812 10.627551 10.600002 10.671855 10.489281
1367476_at 11.148283 11.197511 11.352205 11.389964 11.082308 11.289697 11.187232 11.369762 11.183944 11.230106 11.26154 11.033647
1367477_at 10.182391 10.139914 10.220854 10.146803 10.240734 10.17825 10.207304 10.14729 10.194653 10.087001 10.244721 10.169217
1367478_at 7.8434 7.9467006 7.8257027 7.83857 7.838002 8.014562 8.079775 7.840054 8.021727 7.914891 7.7369823 7.9291334
1367479_at 11.291166 11.19616 11.260313 11.204251 11.347829 11.216244 11.330371 11.150225 11.206315 11.320966 11.295362 11.174877
1367480_at 9.401223 9.54334 9.64686 9.619952 9.519921 9.5321665 9.585949 9.551941 9.511431 9.441126 9.490253 9.477757
1367481_at 9.420374 9.332273 9.308413 9.436007 9.40216 9.367166 9.490795 9.509372 9.470388 9.4706745 9.48459 9.275113
1367482_at 9.684747 9.662437 9.509339 9.66632 9.842915 9.647741 9.652577 9.739237 9.663145 9.726946 9.821102 9.659674
1367483_at 8.784819 8.871379 8.547879 8.9244 8.938887 8.899698 8.849131 8.831087 8.884485 8.907968 9.025139 8.721488
1367484_at 9.455959 9.418576 9.388441 9.584219 9.394571 9.477491 9.485786 9.594352 9.416448 9.313377 9.358475 9.266822
1367485_at 10.177847 10.074971 10.091887 10.11864 10.003084 10.06881 10.163461 10.092796 10.044869 9.935072 10.090089 9.965682
1367486_at 9.524583 9.463179 9.473184 9.470472 9.408056 9.386174 9.550136 9.614202 9.493571 9.340489 9.535849 9.50651
1367487_at 7.512304 7.609587 7.4629183 7.525719 7.624476 7.3696933 7.6983995 7.458341 7.3213787 7.487014 7.509747 7.524373
1367488_at 8.079853 8.515774 8.144762 8.248781 8.253901 8.194611 7.9463077 8.495098 8.2853775 8.044193 8.059002 8.086712
1367489_at 6.6795034 6.6975965 6.8052354 6.771953 6.6794324 6.645257 6.6206193 6.762609 6.544541 6.868606 6.6500235 6.5994964
1367490_at 7.121415 7.359447 7.342931 7.25544 7.222042 7.271788 7.178463 7.4663377 7.4045615 7.1410766 7.2132573 7.367768
1367491_at 9.2066 9.196414 9.1453905 9.335412 9.128857 9.309461 9.295429 9.15622 9.216788 9.17746 9.130305 9.128372
1367492_at 8.923061 8.9213085 9.048433 9.042296 9.007298 9.205025 9.166497 9.053741 8.968409 8.995726 8.951715 8.908236
1367493_at 9.576971 9.550595 9.413053 9.543799 9.563703 9.351971 9.456422 9.467812 9.303483 9.409341 9.45858 9.477081
1367494_at 9.966098 9.972678 10.083146 9.933412 9.9048605 9.906138 9.957412 9.935228 9.945983 9.849253 9.911958 9.713424
1367495_at 7.667485 7.7825947 7.678778 7.699613 7.752919 7.490063 7.730674 7.763731 7.782045 7.678549 7.6694255 7.5894556
1367496_at 11.433337 11.274279 11.123408 11.468659 11.326029 11.367234 11.278337 11.287253 11.411637 11.386139 11.398256 11.335189
1367497_at 8.856254 8.6494665 8.709643 8.804683 8.521528 8.588875 8.730617 8.832859 8.711285 8.57423 8.721572 8.510031
1367498_at 8.82704 9.248814 8.979452 8.878162 9.003524 8.723245 8.8119755 9.148707 9.108766 8.836318 8.876709 8.937066
1367499_at 8.167734 8.314434 8.300575 8.396543 8.252201 8.201443 8.169443 8.421286 8.277609 8.267977 8.14587 8.292795
1367500_at 10.266918 10.235764 10.292786 10.5625725 10.410833 10.413962 10.3205595 10.377808 10.3487 10.315763 10.362548 10.371602
1367501_at 8.563067 8.647952 8.537471 8.742222 8.594468 8.406037 8.568134 8.717487 8.551989 8.444513 8.592237 8.38434
1367502_at 8.538551 8.477604 8.714627 8.766382 8.659343 8.580605 8.646874 8.828892 8.769975 8.57377 8.601878 8.521318
1367503_at 11.012404 11.1059265 11.060683 11.02229 10.932418 10.992978 10.973345 11.114281 10.957277 11.027881 11.043537 10.898655
1367504_at 8.172785 8.09523 7.984935 8.294142 8.306847 8.159508 8.255287 8.068949 8.166607 7.9216986 8.066208 8.100531
1367505_at 8.220631 8.318156 8.209265 8.190799 8.106889 8.314483 8.128926 8.389981 8.2102375 8.117537 8.121515 7.9893885
1367506_at 9.8459 9.75985 9.878415 10.003735 9.7546835 9.920837 10.017154 9.819979 9.876374 9.872514 9.933764 9.7755575
1367507_at 7.38274 7.4182916 7.468187 7.399055 7.4470134 7.19632 7.5133133 7.6339493 7.4428434 7.2909174 7.273956 7.2334576
1367508_at 8.902794 8.972319 8.913936 9.025578 8.952066 8.894335 9.074825 9.029022 8.882619 8.884212 8.918562 8.787455
1367509_at 9.5592165 9.508051 9.579202 9.767014 9.696707 9.651415 9.824842 9.859916 9.8080435 9.621117 9.70044 9.661706
1367510_at 9.872968 9.730795 9.828074 9.968278 9.701779 9.969663 9.941016 9.936004 9.8344965 10.072067 9.931722 9.763972
1367511_at 8.44429 8.411753 8.433186 8.59298 8.3922415 8.533279 8.50585 8.636299 8.58944 8.730053 8.504271 8.598916
1367512_at 11.030066 11.088212 11.240523 11.210521 11.178352 11.039614 11.184018 11.195097 11.222098 11.176568 11.199769 11.077016
1367513_at 8.150658 7.942893 7.839978 7.74616 7.585374 8.048498 8.029066 8.209416 8.0234375 7.9852734 8.124994 7.8818154
1367514_at 7.622383 7.7088113 7.7297993 7.7407975 7.6283503 7.7376547 7.7299247 7.749091 7.7990274 7.7584963 7.85373 7.601167
1367515_at 7.830073 8.092041 7.774484 8.172056 8.0248165 8.045813 7.965424 8.172977 8.120022 7.7692046 7.84408 7.901648
1367516_at 9.131059 8.964102 9.034541 9.030949 9.0391655 8.991045 9.004656 9.183382 9.011625 8.974323 8.977417 8.853626
1367517_at 8.029745 7.9227867 7.757818 7.739483 8.046287 7.6581182 7.747883 7.93348 8.076984 7.8100553 8.036886 7.8130403
1367518_at 8.729808 8.531574 8.568538 8.726454 8.640644 8.8139105 8.722449 8.879056 8.664974 8.5602865 8.782459 8.745836
1367519_at 8.594133 8.622812 8.474055 8.465195 8.362562 8.4839325 8.575232 8.616192 8.469605 8.482676 8.490675 8.338966
1367520_at 9.919602 9.985342 9.83618 9.935646 9.940151 9.872426 9.980734 10.017538 10.094744 9.949767 10.049635 9.938971
1367521_at 7.066117 6.757201 6.8607025 6.872081 7.001642 6.748809 7.2195983 7.1241198 7.534724 7.312465 7.1724644 7.3854322
1367522_at 9.371225 9.172288 9.189029 9.353445 9.4284 9.325668 9.280989 9.198651 9.377938 9.229889 9.250824 9.277681
1367523_at 8.53924 8.467755 8.737431 8.694273 8.566912 8.444543 8.660779 8.877765 8.7942295 8.712817 8.796666 8.533526
1367524_at 7.4819717 7.5121245 7.53042 7.4693365 7.335099 7.4728823 7.283711 7.430944 7.194134 7.657648 7.3732142 7.473798
1367525_at 9.233078 9.274984 9.127444 9.306038 9.331039 9.341328 9.032849 9.231321 9.406754 9.156499 9.235927 9.211599
