ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 400 400 400 1200 1200 1200 4000 4000 4000
1367452_at 10.702211 10.781053 10.76 10.595611 10.704171 10.800854 10.659665 10.733305 10.664257 10.7858305 10.763373 10.748958
1367453_at 10.243133 10.280353 10.278543 10.320829 10.211751 10.174829 10.192658 10.280148 10.349247 10.309768 10.266359 10.126165
1367454_at 10.007733 9.980575 10.047959 9.961185 10.022681 9.900084 9.93969 10.0347395 9.969022 10.215451 9.900481 10.052421
1367455_at 11.122437 11.063768 11.1242485 10.979095 11.072618 11.007553 11.094786 11.031878 11.211693 11.072906 10.967263 11.101771
1367456_at 11.787247 11.828891 11.904406 11.79667 11.761367 11.82302 11.860675 11.841034 11.831874 11.919314 11.896362 11.881668
1367457_at 9.115944 9.005729 8.980951 8.9120655 8.848489 9.129916 8.978517 9.032312 8.970022 8.982207 9.051973 9.022513
1367458_at 8.248304 8.429451 8.336038 8.2897005 8.315891 8.173926 8.222504 8.2685585 8.127302 8.334795 8.439284 8.08551
1367459_at 12.1914425 12.23013 12.206236 12.205536 12.120666 12.223516 12.104129 12.235856 12.21594 12.223186 12.195612 12.172094
1367460_at 11.422143 11.402711 11.449983 11.412524 11.479514 11.430512 11.411435 11.4709425 11.4902935 11.544335 11.572853 11.523523
1367461_at 10.334364 10.413838 10.40519 10.372013 10.139066 10.23809 10.25768 10.2357235 10.375955 10.4907 10.081892 10.249575
1367462_at 10.601102 10.999049 10.8721075 10.895435 11.038782 10.868562 10.883922 10.891764 10.965835 10.827231 10.664546 10.887104
1367463_at 11.490944 11.599912 11.48615 11.684699 11.549196 11.440316 11.674409 11.739269 11.46523 11.339061 11.522059 11.778777
1367464_at 9.8025 9.827433 9.892181 9.712205 9.539379 9.544549 9.746143 9.773718 9.755695 9.7664585 9.835433 9.64493
1367465_at 10.608396 10.588114 10.52248 10.675935 10.603496 10.536082 10.648669 10.619923 10.684771 10.439274 10.807364 10.656027
1367466_at 9.851388 9.884461 9.767589 9.679945 9.840347 9.96078 9.895916 9.771223 9.982408 9.974701 9.739894 9.8754015
1367467_at 11.76502 11.856763 11.775595 11.916783 11.931729 11.787576 11.724629 11.754867 11.687509 11.709345 11.814725 11.86271
1367468_at 10.460415 10.656246 10.578335 10.736417 10.668152 10.449832 10.5645 10.640091 10.714093 10.543758 10.610618 10.506757
1367469_at 11.782673 11.564943 11.664413 11.475157 11.471502 11.585861 11.645825 11.628216 11.521981 11.669141 11.60973 11.6609
1367470_at 10.228972 10.191572 10.165596 10.179469 10.180165 10.159575 10.126599 10.250606 10.15681 10.253965 10.105995 10.2562065
1367471_at 9.656672 9.646424 9.903742 9.897527 9.761247 9.689184 9.689866 9.7981 9.799848 9.67135 9.715684 9.666477
1367472_at 10.173486 10.056797 10.074031 9.983157 10.047922 9.966134 10.109468 10.050896 10.049639 10.258606 10.110746 9.879806
1367473_at 10.273769 10.214119 10.285001 10.24738 10.203765 10.249464 10.307657 10.17758 10.161347 10.152932 10.275661 10.266756
1367474_at 10.083831 9.9187565 9.823347 9.948473 9.922625 9.779329 9.845448 10.03502 9.7322855 9.999605 9.679946 9.992198
1367475_at 10.602453 10.541502 10.568471 10.617543 10.512386 10.641835 10.542425 10.6003275 10.464695 10.473204 10.5976305 10.424201
1367476_at 11.627173 11.462133 11.607781 11.749235 11.583939 11.631525 11.453139 11.590893 11.437107 11.554772 11.712946 11.584399
1367477_at 10.7237 10.675969 10.743607 10.907707 10.789701 10.603033 10.829612 10.898825 11.052187 10.727421 10.969732 10.741879
1367478_at 7.8905716 8.061408 8.2083 8.1339855 7.9400096 8.015074 7.8965697 8.242939 7.944701 8.195245 8.153017 7.932449
1367479_at 11.552639 11.5371895 11.531613 11.678262 11.591274 11.543399 11.613497 11.565874 11.605142 11.636806 11.69253 11.66504
1367480_at 10.235766 10.21226 10.351209 10.370063 10.073291 10.284378 10.278349 10.328789 10.233633 10.279739 10.265527 10.210697
1367481_at 9.953801 10.037025 10.128882 10.27838 10.084684 9.90719 10.0399275 10.108336 10.111184 10.189846 10.113462 9.982251
1367482_at 9.895883 9.906215 10.008342 10.163398 10.11563 9.816433 10.066801 10.073356 10.075503 10.0113945 10.011375 10.017225
1367483_at 9.424004 9.393795 9.617016 9.606148 9.543266 9.460253 9.395952 9.49407 9.461582 9.341978 9.546687 9.555922
1367484_at 9.874426 9.812757 9.948275 9.8497505 9.862485 9.912471 9.936725 9.994265 9.711771 9.897005 9.99282 9.788095
1367485_at 9.883271 9.8727255 9.877237 9.95375 9.783811 9.817164 9.7562065 9.8590555 9.725444 9.89542 9.791773 9.905906
1367486_at 9.411368 9.43836 9.271015 9.484091 9.271418 9.154127 9.133676 9.270877 9.177089 9.266109 9.348341 9.110094
1367487_at 7.2351737 7.273217 7.323814 7.1077924 7.3701468 7.2157063 7.019141 7.030161 7.067307 7.0892286 7.276952 7.1646204
1367488_at 7.651983 7.77798 7.6401544 7.562576 7.282888 8.050051 7.536942 7.893381 7.594194 7.3024516 7.389259 7.6145196
1367489_at 6.6176205 6.5899673 6.338192 5.855914 6.3525763 6.7014837 6.419906 6.2419844 6.5680847 6.621504 6.515258 6.279209
1367490_at 7.3726573 7.2031507 7.5011573 7.421881 7.322377 7.1192303 7.3415446 7.351246 7.4890814 7.3131514 7.3467216 7.1447177
1367491_at 9.283475 9.174632 9.245874 9.132301 9.116974 9.088737 9.19396 9.174438 9.153666 9.199645 9.280149 9.184776
1367492_at 9.534881 9.4533615 9.547886 9.61352 9.519189 9.525606 9.501646 9.596781 9.51093 9.5115185 9.500927 9.42972
1367493_at 9.8299055 9.763141 9.783605 9.823298 9.644506 9.617428 9.759383 9.6881895 9.752407 9.80446 9.616221 9.643121
1367494_at 10.7192 10.70799 10.706157 10.77787 10.688985 10.713488 10.655994 10.787155 10.72029 10.793044 10.801887 10.588972
1367495_at 8.355967 8.514152 8.588323 8.768449 8.462231 8.434052 8.574004 8.629357 8.594012 8.470832 8.479781 8.60867
1367496_at 10.880308 10.837479 10.920697 10.740455 10.941009 10.855148 10.766022 10.802843 10.873134 10.936305 10.791903 10.904228
1367497_at 8.929621 8.836945 8.779467 8.887873 8.807085 8.919724 8.877585 8.784777 8.83746 8.831999 8.879911 8.827067
1367498_at 8.886062 8.930794 9.030239 8.856711 8.714887 9.198682 8.676929 8.742268 9.025291 8.719772 8.9810505 8.557605
1367499_at 8.077465 7.9451704 7.9854755 7.9102707 7.6695614 7.876447 7.987932 8.149078 7.8733115 7.972479 7.943688 8.093807
1367500_at 10.480162 10.418992 10.502724 10.56789 10.659792 10.594147 10.537224 10.740773 10.541924 10.495613 10.66448 10.676991
1367501_at 9.268261 8.946319 8.906707 9.160141 8.938197 8.947468 9.039279 9.043996 8.963659 9.19071 9.0147505 9.0911455
1367502_at 8.966862 9.000987 9.141102 9.32377 9.052261 8.899184 9.044516 9.143568 9.267379 9.172174 9.176175 9.083951
1367503_at 11.311523 11.383505 11.465911 11.34483 11.443189 11.370392 11.340834 11.339245 11.346045 11.3843155 11.400704 11.277289
1367504_at 8.259718 8.128309 8.295128 8.389011 8.030048 8.256844 8.0497055 8.348509 8.214615 8.279106 8.334881 8.145642
1367505_at 8.757405 8.694571 8.700183 8.629383 8.712048 8.791236 8.523283 8.626672 8.58752 8.650098 8.682338 8.775656
1367506_at 10.25551 10.314633 10.326331 10.417889 10.29509 10.289317 10.403432 10.431165 10.442334 10.429855 10.431233 10.288988
