ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10
Dose 0 0 0 30 30 30 100 100 100
1367452_at 10.239439 10.162342 10.3226385 10.245521 10.201394 10.249751 10.221385 10.286938 10.19606
1367453_at 10.1825075 10.014846 10.071924 9.998988 10.093325 10.031939 10.116045 10.140335 10.098495
1367454_at 10.17664 10.10971 10.09336 10.098529 10.2362385 10.038642 9.961359 10.00262 10.148926
1367455_at 11.413146 11.313691 11.341066 11.381598 11.398633 11.459605 11.354764 11.438213 11.388232
1367456_at 11.968314 11.963376 12.023877 11.953638 11.833485 11.893368 11.926543 12.064104 12.078817
1367457_at 9.219394 9.20954 9.163904 9.154823 9.210055 9.147062 9.106122 9.247372 9.200811
1367458_at 8.248969 8.345342 8.218795 8.23422 8.383734 8.257954 8.180286 8.120329 8.189139
1367459_at 12.211603 12.141032 12.188209 12.1779785 12.236757 12.213194 12.063738 12.121278 12.205497
1367460_at 11.486132 11.426287 11.449301 11.527366 11.307684 11.437912 11.403718 11.512606 11.443484
1367461_at 10.65518 10.5561075 10.5622015 10.426504 10.442864 10.356726 10.265518 10.45872 10.511258
1367462_at 10.39296 10.391298 10.530577 10.332815 10.624569 10.330079 10.713508 10.421416 10.244251
1367463_at 11.355432 11.154009 11.034245 11.299616 11.444358 11.33258 11.166325 11.154163 11.376551
1367464_at 9.424475 9.376096 9.446955 9.264614 9.388293 9.173596 9.211745 9.2010975 9.330519
1367465_at 10.165762 9.835342 10.289586 10.126475 10.243867 10.133732 10.308469 10.449581 10.406214
1367466_at 10.25761 10.250389 10.113449 10.212604 10.216195 10.141126 10.028604 10.260428 10.16825
1367467_at 11.656215 11.590024 11.569484 11.6581745 11.73602 11.667563 11.572748 11.457103 11.586122
1367468_at 9.96729 10.092213 9.831862 9.966775 9.780385 9.926775 9.907086 10.145787 9.854601
1367469_at 11.847292 11.916696 12.013234 11.865248 11.802867 11.880302 11.855309 12.029801 12.084707
1367470_at 10.396328 10.133951 10.153391 10.19845 10.305407 10.217569 10.056847 10.235151 10.157709
1367471_at 9.234189 9.328808 9.271716 9.210999 9.20435 9.288466 9.357277 9.473875 9.343921
1367472_at 9.710014 9.602349 9.638434 9.68778 9.79017 9.63786 9.661986 9.765914 9.885384
1367473_at 9.987672 9.98759 10.002293 9.977807 9.816369 9.874022 9.952297 10.114009 10.091997
1367474_at 9.6114645 9.534332 9.37834 9.620745 9.519977 9.531749 9.2498455 9.453796 9.590661
1367475_at 10.556216 10.484038 10.449369 10.49837 10.426498 10.466495 10.451945 10.450657 10.442238
1367476_at 11.256494 11.222951 11.256948 11.216567 11.235118 11.283741 11.304124 11.329009 11.356316
1367477_at 10.317189 10.205752 10.151173 10.35484 10.187025 10.362199 10.37616 10.372964 10.450701
1367478_at 7.785728 7.662286 7.841151 7.8419704 7.8765054 7.80498 7.9101405 7.92077 8.014486
1367479_at 11.298138 11.254635 11.317969 11.243476 11.386094 11.437506 11.326792 11.321087 11.332371
1367480_at 9.883046 9.736651 9.682493 9.727625 9.689327 9.659898 9.532782 9.7234335 9.802072
1367481_at 9.557041 9.516685 9.480143 9.566764 9.52114 9.579269 9.584186 9.5774555 9.607542
1367482_at 9.668703 9.474647 9.443082 9.274611 9.404252 9.567396 9.531759 9.476789 9.215566
1367483_at 9.094988 9.028229 9.116137 9.016893 8.914677 9.137299 8.773364 8.985627 8.762864
1367484_at 9.359064 9.326583 9.342378 9.331309 9.0409775 9.151181 9.327618 9.37865 9.31509
1367485_at 10.270163 10.018404 10.231009 10.13185 9.948832 10.013211 9.831819 10.148192 10.123067
1367486_at 9.760332 9.545828 9.317039 9.495391 9.557913 9.503827 9.506196 9.423404 9.556837
1367487_at 7.437342 7.3126216 7.514033 7.3568 7.315342 7.614578 7.8115306 7.590729 7.4760537
1367488_at 7.6875033 7.9470625 7.7122326 7.7493234 8.130144 8.196238 7.661869 8.111084 7.6759367
1367489_at 6.144409 6.30443 6.3755035 6.1809077 6.237429 6.4583855 6.3167453 6.454726 6.5861387
1367490_at 7.373788 7.2256103 7.274515 7.2483582 7.284153 7.3742423 7.167506 7.3864384 7.2562356
1367491_at 9.463062 9.324811 9.341617 9.279479 9.200221 9.245039 9.122706 9.242346 9.377429
1367492_at 9.148476 9.170358 9.331083 9.113453 9.111397 9.147414 8.959759 9.051213 9.201215
1367493_at 9.613991 9.451724 9.5715885 9.534962 9.6506 9.409936 9.404876 9.571051 9.510663
1367494_at 10.244376 10.213483 10.306107 10.218543 10.274625 10.235492 10.003653 10.271701 10.25337
1367495_at 7.8557215 7.787406 7.6920643 7.5844193 7.6765933 7.803213 7.530099 7.8682537 7.735708
1367496_at 11.254859 11.313693 11.192064 11.244382 11.127812 11.122176 11.298913 11.283223 11.2956505
1367497_at 8.825617 8.575811 8.6849375 8.67412 8.247327 8.604399 8.766039 8.691132 8.569652
1367498_at 8.7214575 8.687734 8.859853 8.771542 8.940519 8.671728 8.727743 9.189301 8.797501
1367499_at 8.039705 8.018339 7.9697223 7.9333315 7.9380736 7.884446 8.007626 8.213667 8.179464
1367500_at 10.077739 10.150534 10.21633 10.171957 10.061603 10.147761 10.211168 10.136473 10.040372
1367501_at 8.753694 8.510434 8.653235 8.532076 8.524578 8.60482 8.460964 8.550211 8.467229
1367502_at 8.755959 8.561497 8.817675 8.650438 8.7460165 8.558517 8.816692 8.854762 8.769427
1367503_at 11.278297 11.25025 11.22443 11.1564245 11.218239 11.224834 11.331977 11.215638 11.184257
1367504_at 8.077717 8.205105 8.067169 8.172848 7.88305 7.912148 8.038805 8.101157 8.138975
1367505_at 8.270894 8.044759 8.084609 8.000448 7.8983254 8.19672 8.076005 8.550624 7.8747363
1367506_at 10.288078 10.137603 10.2660675 10.07037 10.304859 10.207516 10.241633 10.160095 10.25148
1367507_at 7.4263697 7.314929 7.4277234 7.388149 7.3692985 7.3989186 7.1326704 7.5168624 7.2957664
1367508_at 9.173265 8.938075 8.978509 9.050373 8.987715 8.966946 8.900879 9.037618 9.151378
1367509_at 9.613845 9.69275 9.64937 9.729782 9.667216 9.7915125 9.716036 9.849111 9.820785
1367510_at 9.632166 9.696772 9.684993 9.718555 9.554959 9.678938 9.82749 9.784748 9.802452
1367511_at 8.470852 8.314641 8.344089 8.242357 8.147392 8.33643 8.359163 8.579183 8.359276
1367512_at 11.153549 11.077017 11.200191 11.160192 11.111767 11.095925 11.129977 11.0617485 11.1448555
1367513_at 8.056101 7.962406 7.8113055 7.9910088 7.9940076 7.835121 7.80199 7.6427155 7.73769
1367514_at 7.769242 7.538384 7.5848923 7.717639 7.566806 7.643276 7.6643605 7.7224264 7.752157
1367515_at 7.510347 7.808933 7.710093 8.006676 7.385019 7.375303 7.696686 7.8704996 7.8384166
1367516_at 8.974889 8.944934 8.843272 8.87981 8.740898 8.770821 8.967703 8.892092 8.869249
1367517_at 7.774442 7.4847097 7.542839 7.8090305 7.7091737 7.583138 7.6694746 7.490343 7.5267224
1367518_at 8.49721 8.2434 8.498575 8.509567 8.529643 8.488883 8.501556 8.28187 8.558624
1367519_at 8.768792 8.556127 8.521425 8.69251 8.73136 8.636179 8.645289 8.805519 8.64547
1367520_at 9.967622 10.014092 9.93817 10.049401 10.022675 9.926096 10.103189 10.109416 10.11831
1367521_at 6.482951 6.721924 6.836203 6.7840333 6.6608844 6.3967605 6.6282916 6.3098717 6.3244977
1367522_at 9.1816 9.373833 9.328795 9.256831 9.351333 9.177754 9.145039 9.218736 9.283827
1367523_at 8.894434 8.654469 8.818582 8.770304 8.681017 8.751945 8.747831 8.99629 8.923998
1367524_at 7.190006 6.993235 7.5127964 7.354848 7.333976 7.3333373 7.4511867 7.4549003 7.619768
1367525_at 9.277829 9.239822 9.114102 9.310568 9.373309 9.326759 9.013513 9.18535 9.372418
1367526_at 9.146813 8.990439 9.002689 9.191234 8.979995 9.05751 9.038758 9.015256 9.075188
1367527_at 8.168267 7.934257 7.717048 8.0255995 7.930744 7.895126 7.8843827 8.130469 7.918625
1367528_at 9.142859 8.776821 8.815993 8.944704 9.014559 8.812435 8.760696 8.774276 8.959634
1367529_at 9.128843 9.012916 9.251261 9.234791 9.090395 9.182737 9.003001 9.142498 8.992166
1367530_at 7.6061544 7.5090246 7.60233 7.586921 7.5679116 7.582476 7.4397354 7.5485277 7.522926
1367531_at 10.654758 10.640038 10.74604 10.646466 10.511698 10.584765 10.4818125 10.649219 10.626613
1367532_at 11.225665 11.2581005 11.208823 11.211254 11.214988 11.283484 11.097465 11.08723 11.079489
1367533_at 8.845894 8.474871 8.589112 8.493261 8.737816 8.560814 8.666799 8.733959 8.596826
1367534_at 7.5806766 7.720026 7.316884 7.3734217 7.2514434 7.53079 7.726028 7.585472 7.637643
1367535_at 8.78879 8.732991 8.669102 8.836535 8.90512 8.65175 8.666496 8.865052 8.873478
1367536_at 8.227459 7.990007 8.00498 7.8962564 7.9608545 7.9590716 7.953984 8.034418 8.175474
1367537_at 7.3556476 7.1211934 7.427108 7.3293962 7.339155 7.32488 7.070262 7.4457474 7.346821
1367538_at 7.3064265 7.239066 7.186213 7.027251 7.078347 7.167975 6.9890165 7.469536 7.147311
1367539_at 8.523609 8.441143 8.374516 8.635342 8.607284 8.534879 8.028217 8.534499 8.335827
1367540_at 7.4041433 7.386901 7.7039814 7.4521904 7.4802356 7.3036513 7.4394884 7.580037 7.4711123
1367541_at 7.9226346 7.928686 8.096004 7.916056 7.5877323 7.7622766 7.787529 7.998763 7.9290385
1367542_at 7.741184 7.6904273 7.7445207 7.603372 7.570767 7.6611204 7.584241 7.8190985 7.528267
1367543_at 8.598792 8.264331 8.568186 8.165045 8.43051 8.25541 8.23226 8.556875 8.575738
1367544_at 6.709019 6.54755 6.915461 6.8375416 6.710512 6.9284577 6.6616683 7.1466284 6.874425
1367545_at 6.531804 6.9037056 7.0501943 6.8002534 6.870703 6.814504 7.1098685 6.982097 6.8836102
1367546_at 10.405046 10.435743 10.466251 10.322124 10.312329 10.361277 10.559357 10.353137 10.26879
1367547_at 7.6274214 7.388259 7.486788 7.7972326 7.409452 7.5931215 7.6263885 7.8223186 7.6791105
1367548_at 8.293988 8.302814 8.278797 8.499046 8.435399 8.116553 8.1065445 8.381677 8.332
1367549_a_at 10.732233 10.682591 10.61385 10.678949 10.536114 10.568513 10.425211 10.638528 10.555644
1367550_a_at 8.283665 8.296948 8.434139 8.215427 8.17801 8.311152 8.305817 8.285363 8.191971
1367551_a_at 9.2551 9.186872 9.207519 9.447557 9.271317 9.080999 9.315321 9.307519 9.487335
1367552_at 4.25319 4.565892 4.2169914 4.599935 4.538782 4.2466707 4.7015996 4.4479 4.4311423
1367553_x_at 12.027897 12.190603 12.221374 12.914149 12.00899 12.711618 12.459367 12.453689 12.182762
1367554_at 3.9647074 4.085821 4.1374288 3.8628008 4.1618166 4.023317 3.9867523 4.0372066 4.2403655
1367555_at 14.673064 14.727129 14.649273 14.729549 14.696352 14.739185 14.750815 14.763247 14.707483
1367556_s_at 14.511734 14.526268 14.451454 14.559159 14.514299 14.501869 14.538676 14.516786 14.514299
1367557_s_at 12.963281 12.782063 12.971288 12.940116 13.19381 13.12566 12.867171 12.927197 13.287378
1367558_x_at 3.3366086 3.2775636 3.0669127 3.268921 3.245625 3.1178944 3.2754145 3.1506722 3.107872
1367559_at 12.805508 12.9222765 13.000209 12.946691 12.917702 12.974299 13.058625 13.114091 13.213425
1367560_at 12.296518 12.172073 12.201511 12.175429 12.346027 12.314637 12.377223 12.421379 12.634674
1367561_at 12.602313 12.549589 12.588644 12.58359 12.639076 12.684417 12.785632 12.775784 12.762152
1367562_at 8.291086 7.7177663 7.6955447 8.177439 7.8032393 7.5793543 8.065202 7.709033 7.0225353
1367563_at 9.262372 9.222262 9.30797 9.270816 9.36922 9.189202 9.319627 9.288442 9.118586
1367564_at 5.974798 6.070331 6.1756067 6.2891703 6.241313 6.119862 6.4186707 6.2792425 6.3170996
1367565_a_at 13.815038 13.770971 13.793116 13.772969 13.757575 13.8067875 13.779974 13.7989855 13.805746
1367566_at 4.5507345 4.4321575 4.35093 4.4016814 4.419056 4.13472 4.292927 4.4917183 4.4264307
1367567_at 12.225212 12.248187 12.274329 12.206816 12.538261 12.411656 12.374317 12.526926 12.523283
1367568_a_at 8.969581 9.024033 9.196172 9.021655 9.1834345 9.141027 9.411362 9.2612705 9.002981
1367569_at 12.136675 12.055495 12.028301 12.0123205 12.126555 12.115281 12.169425 12.102366 12.300602
1367570_at 7.336019 6.993235 6.6565433 6.939264 7.363978 7.0296807 6.980656 6.8610044 6.83983
1367571_a_at 5.572236 5.8351927 5.732416 5.1954145 5.7754107 5.659957 5.64966 5.382225 5.432822
1367572_at 5.1956277 5.580018 5.308376 5.28974 5.3267803 5.2521806 5.1160736 5.2093406 5.328122
1367573_at 12.536763 12.477271 12.591387 12.51358 12.576976 12.50044 12.679554 12.700753 12.920511
1367574_at 8.427937 8.168301 8.018475 7.997121 8.192136 8.217562 8.084213 8.056778 8.251305
1367575_at 11.846737 11.453334 11.590254 11.517696 11.847879 11.685143 11.409996 11.633987 12.041201
1367576_at 13.681995 13.709831 13.759944 13.769491 13.618966 13.690768 13.72526 13.749473 13.844371
1367577_at 8.124403 6.9463515 7.557911 6.4533834 7.3057895 6.776748 9.138701 8.229979 7.6240172
1367578_at 10.599647 10.447325 10.539714 10.488622 10.650537 10.490204 10.60068 10.605967 10.618333
1367579_a_at 11.19876 10.920979 11.171477 11.029516 11.338939 11.197232 11.123887 11.149329 11.250761
1367580_at 11.745476 11.552625 11.622587 11.629498 11.804171 11.762583 11.819087 12.028696 12.215807
1367581_a_at 6.4420805 6.325566 6.16216 5.4657154 6.263799 6.7044325 6.379176 6.47517 6.197919
1367582_at 11.92578 11.86847 11.911605 11.954316 12.094935 12.019916 12.089374 12.197391 12.375421
1367583_at 13.077988 12.979408 12.974473 13.025822 12.979427 13.045422 13.039945 13.075773 13.22387
1367584_at 8.534556 8.200904 8.061132 8.424513 8.465261 8.231886 8.721392 8.559377 8.384222
1367585_a_at 10.867785 10.801799 10.743257 10.779238 10.858051 10.804385 10.676755 10.595728 10.559216
1367586_at 13.007781 13.011461 13.214234 13.057449 13.177517 13.094576 12.9585085 13.0438175 12.922755
1367587_at 3.3496 3.4982147 3.5357654 3.4668422 3.5991771 3.5354311 3.5539522 3.6005933 3.732546
1367588_a_at 11.500155 11.533996 11.512997 11.479617 11.452134 11.550634 11.728259 11.799934 11.795492
1367589_at 9.833694 9.621116 9.589018 9.429029 9.644829 9.671284 9.516492 9.624346 9.75233
1367590_at 11.149101 11.002429 11.182836 11.0551405 11.139526 11.0542555 11.35047 11.388406 11.323996
1367591_at 10.35385 10.179071 10.230571 10.203802 10.256866 10.327381 10.297809 10.245045 10.292584
1367592_at 3.681085 3.4603562 3.3937726 3.476773 3.5550027 3.5256534 3.3650255 3.390462 3.4293144
1367593_at 8.587743 8.681284 8.2112055 8.101643 8.189174 8.675117 8.56881 8.395435 8.673429
1367594_at 8.980782 8.983971 9.06324 9.031103 9.003172 8.932453 8.96265 8.82353 8.58786
1367595_s_at 13.732499 13.752111 13.760814 13.717339 13.703818 13.742192 13.665239 13.64526 13.616171
1367596_at 12.391665 12.432381 12.442999 12.441666 12.530429 12.495487 12.603282 12.663299 12.7727375
1367597_at 12.177901 12.042926 12.130772 12.085851 12.255927 12.212437 12.295032 12.323444 12.441189
1367598_at 14.0972185 14.082459 14.081642 14.073655 14.06875 14.136602 14.103102 14.092448 14.076553
1367599_at 12.373113 12.094863 12.154125 12.121641 12.450368 12.410235 12.069317 12.080417 12.6973715
1367600_at 5.317194 5.5383396 5.5131197 5.5555196 5.330433 5.613595 5.8168316 5.5868373 5.3304853
1367601_at 7.7655525 8.175304 8.053432 8.432732 7.828122 8.333288 7.704398 8.118177 7.042839
1367602_at 8.727855 9.351282 9.085584 9.429965 8.881671 9.48305 8.863225 9.2746315 8.459665
1367603_at 11.588244 11.449386 11.504879 11.505099 11.726757 11.490644 11.530234 11.463756 11.545034
1367604_at 11.129064 11.044466 11.160058 11.165956 11.157705 11.183425 11.121806 11.154611 11.072744
1367605_at 10.745451 10.615376 10.686601 10.739101 10.65323 10.735295 10.796192 10.756212 10.624531
1367606_at 12.705265 12.457707 12.581159 12.52843 12.612759 12.56563 12.684066 12.718726 12.8129425
1367607_at 12.637851 12.703333 12.766627 12.75264 12.74806 12.750013 12.748767 12.791584 12.79478
1367608_at 5.2389755 5.090763 5.212986 5.183509 5.570718 5.2974296 5.2864685 4.884737 5.197132
1367609_at 11.951548 11.359781 11.684837 11.84842 12.089201 11.903994 12.03372 11.815914 12.219389
1367610_at 12.538426 12.483279 12.533614 12.499728 12.594145 12.565512 12.6331 12.626695 12.764999
1367611_at 5.032436 5.3562922 5.40891 5.3522964 5.7970185 5.4896827 5.4897585 5.3497043 5.570883
1367612_at 13.994138 14.035196 14.066075 14.086155 14.04848 14.093797 14.092504 14.131113 14.119201
1367613_at 12.985431 13.05247 13.123306 13.033675 13.066011 13.002143 13.12669 13.031479 13.004781
1367614_at 7.9545813 7.9118223 7.650811 7.880698 7.385019 7.4742723 7.3844595 7.474767 7.776158
1367615_at 4.3889666 4.2826405 4.32233 4.454931 4.3042364 4.3368144 4.07695 4.1823196 4.4548807
1367616_at 4.404436 4.696436 4.4939404 4.460161 4.683838 4.6621733 4.6605005 4.5224695 4.633375
1367617_at 9.207733 8.986135 9.057679 8.855989 9.28962 9.0651655 9.116744 9.141939 9.227239
1367618_a_at 11.370144 11.107471 11.23093 11.158962 11.312398 11.279571 11.436637 11.470299 11.546386
1367619_at 12.90635 13.022397 13.04141 13.083083 12.975333 12.995934 13.124526 13.044662 12.973622
1367620_at 12.811229 12.793385 12.816211 12.758355 12.895054 12.902208 12.828878 12.809281 12.871918
1367621_at 8.653832 8.490393 8.61214 8.498785 8.559894 8.498518 8.369143 8.568472 8.501908
1367622_at 12.5517645 12.471263 12.491198 12.475174 12.567652 12.476821 12.456668 12.507858 12.574974
1367623_at 12.51843 12.273656 12.351603 12.324775 12.381624 12.359023 12.483803 12.4809265 12.500993
1367624_at 10.771839 10.41863 10.681426 10.848309 11.044791 11.035915 10.909133 11.224038 11.061764
1367625_at 13.259554 13.224238 13.228383 13.24842 13.271572 13.267128 13.303761 13.377779 13.3484
1367626_at 4.883007 4.9758625 4.8351893 4.9973607 5.036672 5.120474 5.0391717 4.9418488 4.888486
1367627_at 8.006701 8.111769 8.197918 8.54421 8.006389 8.405685 8.201945 8.196838 8.003536
1367628_at 7.398424 6.9773793 6.8566017 6.419227 7.0573006 7.047785 6.8392863 6.733681 6.58387
1367629_at 12.452353 12.333597 12.377582 12.299442 12.427143 12.373771 12.347578 12.34622 12.421077
1367630_at 12.671186 12.625034 12.67335 12.673542 12.782748 12.715198 12.777264 12.828289 12.977768
1367631_at 5.420678 5.8912506 6.3416395 4.6429634 5.7722406 4.669935 5.2576294 5.1166496 4.998703
1367632_at 9.908291 10.0698805 9.80274 9.96788 9.483243 9.7894 9.654737 8.913167 8.672801
1367633_at 9.60944 9.490464 9.383094 9.385945 9.127236 9.196051 9.47046 8.680429 8.8746
1367634_at 12.5624695 12.368849 12.49706 12.428912 12.633188 12.59107 12.671161 12.668959 12.890141
1367635_at 12.695518 12.695714 12.734078 12.796887 12.76909 12.844305 12.892911 12.965461 13.028518
1367636_at 7.7871714 7.7250986 7.7727365 7.8440104 7.780693 7.791936 8.1532345 8.103358 7.9274273
1367637_a_at 11.18933 11.142455 11.1017885 11.155695 10.892672 11.024669 11.091423 11.200812 11.091074
1367638_at 9.638144 9.524515 9.618773 9.523504 9.641114 9.527006 9.747157 9.686597 9.767147
1367639_a_at 12.804376 12.828019 12.792219 12.820163 12.746237 12.83191 12.863924 12.925554 12.893656
1367640_at 12.7904215 12.713732 12.693624 12.762898 12.879862 12.825256 12.983996 13.000251 13.229501
