ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 25 25 25 80 80 80 250 250 250
1367452_at 10.257858 10.377886 10.338213 10.28317 10.491918 10.447499 10.381398 10.491073 10.320912 10.597227 10.494237 10.568217
1367453_at 9.95275 9.948722 9.966932 10.008739 10.007476 9.784413 9.880547 9.839014 9.932008 10.070792 9.788395 9.837098
1367454_at 10.089827 10.070738 10.229347 10.07835 10.107303 10.127324 9.933364 10.009184 9.970383 10.019758 9.947745 9.83823
1367455_at 11.459813 11.489252 11.341434 11.463786 11.43147 11.275322 11.396239 11.454966 11.407196 11.402857 11.357829 11.586445
1367456_at 12.062062 12.045476 11.938319 11.82497 11.890642 11.860669 11.843716 11.912204 11.809007 11.956869 12.0064945 11.943957
1367457_at 9.173603 9.328243 9.233805 9.073736 9.177175 9.145982 8.867459 8.950621 8.852695 8.686252 8.605717 8.614646
1367458_at 8.318384 8.413858 8.34084 8.337358 8.358736 8.255218 8.140817 8.187882 8.268895 8.220682 8.22613 8.230396
1367459_at 12.035998 12.149195 12.099759 12.200728 12.22779 12.173618 12.300221 12.313816 12.291604 12.498712 12.456618 12.6049185
1367460_at 11.639743 11.512077 11.476384 11.57965 11.510387 11.471982 11.490437 11.612968 11.42319 11.519353 11.4594145 11.417252
1367461_at 10.546282 10.544052 10.425999 10.375265 10.395941 10.294594 10.259457 10.290035 10.434115 10.291267 10.276864 10.151986
1367462_at 10.414126 10.75405 10.464672 10.656549 10.314761 10.516901 10.265052 10.389342 10.383988 10.099981 10.414821 10.191459
1367463_at 11.004542 11.16564 11.053583 10.904496 11.15738 11.044781 11.147232 10.813843 11.15459 11.440961 11.254006 11.316227
1367464_at 9.599459 9.616006 9.56833 9.570259 9.677324 9.793173 9.645769 9.793014 9.653927 10.250689 9.972513 9.876806
1367465_at 10.100203 10.14846 10.177587 10.116412 10.145353 10.183562 10.084371 10.013255 9.946945 10.071135 10.102608 10.142539
1367466_at 10.301556 10.168391 10.236925 10.2397175 10.271273 10.255439 10.302984 10.4073515 10.288705 10.454684 10.376737 10.373755
1367467_at 11.539325 11.453228 11.648559 11.753185 11.669578 11.603606 11.631304 11.622876 11.57116 11.778774 11.7012415 11.875126
1367468_at 9.871126 9.891418 9.854767 10.096832 9.91932 9.989939 10.045262 10.028961 9.907023 10.15484 9.977552 10.067419
1367469_at 11.792545 11.843214 11.784099 11.679897 11.650303 11.706053 11.578793 11.767112 11.337473 11.565765 11.433909 11.699516
1367470_at 10.4441595 10.385871 10.314254 10.401329 10.220911 10.202004 10.224465 10.1575 10.182086 9.944735 10.024887 10.053894
1367471_at 8.884775 8.983015 8.998665 9.09205 9.163949 9.075261 9.05949 9.248809 9.167233 9.62018 9.564735 9.499565
1367472_at 10.277244 10.427707 10.255434 10.355411 10.214767 10.283973 10.109651 10.275796 10.16942 10.140658 10.193259 10.153144
1367473_at 9.889406 9.882364 9.915944 9.718362 9.933709 9.790066 10.020445 10.026239 9.921947 10.36945 10.239431 10.381601
1367474_at 9.809543 9.965508 9.746654 9.889495 9.652263 9.8793955 9.710439 9.832621 9.753019 10.025244 9.869013 9.91667
1367475_at 10.626932 10.787889 10.655926 10.521438 10.51386 10.634483 10.571496 10.793161 10.509718 10.662109 10.671271 10.6789255
1367476_at 11.18499 11.228637 11.191766 11.126111 11.273291 11.1877985 11.438394 11.423533 11.423097 11.6912775 11.604476 11.673903
1367477_at 10.203249 10.310481 10.317076 10.527054 10.615226 10.503937 10.887296 10.837135 10.931963 11.324106 11.257938 11.103903
1367478_at 7.9205337 8.156544 8.078917 8.274456 8.042332 8.253319 8.068083 8.082893 8.04739 8.009394 8.00271 8.131779
1367479_at 11.180622 11.18935 11.259199 11.2874 11.268345 11.096906 11.069027 11.024476 11.068797 11.162041 11.100716 11.129164
1367480_at 9.698746 9.942593 9.773563 9.834665 9.701225 9.659435 9.657653 9.844326 9.746817 9.9616585 9.85855 9.819339
1367481_at 9.207312 9.362209 9.594406 9.389907 9.454004 9.338048 9.331589 9.389838 9.33827 9.243881 9.333888 9.262821
1367482_at 9.41921 9.445622 9.592149 9.6830435 9.707415 9.680983 9.312945 9.514918 9.371523 9.24409 9.354796 9.439567
1367483_at 8.996085 8.891405 8.945286 8.932838 9.047449 8.946577 8.892706 8.832079 8.793234 8.884785 8.788638 9.032885
1367484_at 9.429143 9.634698 9.424087 9.532478 9.525183 9.580846 9.405034 9.652418 9.199528 9.324271 9.517012 9.36364
1367485_at 10.09745 10.15265 10.133431 9.905825 10.073774 10.013723 9.809897 10.113289 9.864254 9.943777 9.982432 9.974884
1367486_at 9.972126 9.715665 9.570408 9.627425 9.748951 9.670871 9.662923 9.752117 9.520354 9.889911 9.61098 9.465717
1367487_at 7.0219865 7.3063726 7.333051 7.0872474 7.261702 7.3352814 7.2185416 7.2014194 7.137062 7.270933 7.0226803 7.3136854
1367488_at 8.05471 8.133936 7.90824 8.124784 8.227332 8.439566 8.379063 8.22176 8.0582485 8.247406 8.281755 8.421213
1367489_at 6.356318 6.4720726 7.000757 6.2456226 6.41202 6.2440453 6.571979 6.3514137 6.6891913 6.196097 6.6241403 6.4500227
1367490_at 7.201859 7.6101046 7.3317165 7.4852595 7.408983 7.5004096 7.450939 7.6697865 7.526149 7.456493 7.6356673 7.549129
1367491_at 9.386593 9.569082 9.44748 9.224728 9.330719 9.404414 9.348676 9.569849 9.47013 9.865267 9.559144 9.555802
1367492_at 9.040409 9.05138 8.958746 8.933109 9.1957035 9.080673 8.997141 9.121323 8.926274 9.108239 9.108552 9.105769
1367493_at 9.802014 9.652303 9.577068 9.688914 9.492002 9.510033 9.69206 9.563273 9.550615 9.933367 9.75599 9.960425
1367494_at 10.174169 10.14297 10.114065 10.086878 10.152345 9.967038 10.143652 10.244533 10.176229 10.342823 10.295973 10.226677
1367495_at 7.4489465 7.8207073 7.675332 7.928114 7.882432 7.544541 8.003559 8.05273 7.883215 8.246758 8.068542 8.082637
1367496_at 11.169243 11.364775 11.163004 11.231732 11.314766 11.387632 11.251308 11.306399 11.153065 11.177551 11.400513 11.346615
1367497_at 8.729376 8.899727 8.709559 8.969985 9.052857 9.045105 8.834688 9.014848 9.0299015 8.928444 8.943777 8.920016
1367498_at 8.762511 8.877655 8.981556 8.835558 9.135636 9.105263 9.136842 9.038725 8.997246 8.707577 9.077839 8.914215
1367499_at 8.355753 8.338285 8.216095 8.207607 8.012463 8.13422 8.155645 8.063564 8.3798485 8.4570465 8.59153 8.359385
1367500_at 9.927079 10.058375 10.136228 9.859244 10.104487 10.009973 9.931933 10.191874 9.964111 10.119432 10.143212 10.160453
1367501_at 8.832863 8.8398 8.6326885 8.684109 8.451952 8.626233 8.33806 8.628407 8.419394 8.506136 8.512432 8.602527
1367502_at 8.101809 8.4321 8.478952 8.6051035 8.673094 8.547059 8.66312 8.790218 8.72475 9.067908 9.007101 8.727074
1367503_at 10.967645 10.885413 11.171904 10.856016 10.859394 10.801618 10.609931 10.7682295 10.585622 10.44512 10.537327 10.42856
