ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 3 3 3 10 10 10 30 30 30
1367452_at 10.471613 10.4806795 10.280034 10.448798 10.221593 10.353472 10.353791 10.415807 10.393775 10.391945 10.06328 10.320603
1367453_at 9.965485 9.944829 9.91584 10.055612 10.041098 9.910766 9.955183 10.0097475 9.982641 10.019456 9.976423 9.925222
1367454_at 10.213373 10.167321 10.275627 10.189104 9.993236 10.163774 10.1024685 10.1670265 10.20986 10.155307 10.0138 10.22774
1367455_at 11.4497175 11.484554 11.4980135 11.2255945 11.370998 11.520888 11.4855585 11.475034 11.386874 11.508055 11.273722 11.340034
1367456_at 12.046113 11.997336 11.9172735 12.006566 12.028278 11.947675 12.024867 12.07037 12.046991 12.007657 11.900462 11.960629
1367457_at 9.208702 9.113481 9.166403 9.218282 9.067924 9.108421 9.133373 9.238798 9.224142 9.142479 9.017857 9.077562
1367458_at 8.105228 8.057394 8.135502 8.309071 8.439458 8.257587 8.198256 8.186632 8.365324 8.261322 8.34969 8.213029
1367459_at 12.202366 12.300861 12.156502 12.2681675 12.205043 12.200819 12.198358 12.267812 12.174164 12.22347 12.225331 12.237574
1367460_at 11.481423 11.538964 11.458756 11.402619 11.406549 11.290204 11.367896 11.422936 11.323672 11.340683 11.233359 11.2133465
1367461_at 10.647028 10.593939 10.552115 10.459211 10.548152 10.441566 10.428926 10.601284 10.543776 10.575707 10.516766 10.49895
1367462_at 10.555045 10.452767 10.232939 10.38255 10.450445 10.402083 10.354776 10.406521 10.4788065 10.400264 10.328382 10.444397
1367463_at 11.33336 11.148837 11.376546 11.422316 11.111205 11.439136 11.1300745 11.2155695 11.183586 11.20947 10.983358 11.2600565
1367464_at 9.514707 9.442976 9.595284 9.460919 9.35873 9.284404 9.550375 9.575466 9.524153 9.428585 9.281149 9.057766
1367465_at 10.188887 10.353763 10.327493 10.05754 10.169771 10.021619 10.145351 10.267966 10.203415 10.273693 9.989279 9.904958
1367466_at 10.402726 10.230577 10.231625 10.276323 10.336282 10.325632 10.278525 10.284853 10.292488 10.351199 10.267944 10.590268
1367467_at 11.637042 11.615953 11.5859375 11.56978 11.612067 11.614934 11.594478 11.659278 11.57613 11.625342 11.743833 11.645329
1367468_at 9.94165 9.956143 10.031708 10.338905 9.880472 9.817588 10.00141 10.090788 10.073166 9.946422 9.804258 9.692268
1367469_at 11.97125 11.904334 11.720798 11.842241 11.787872 11.838161 11.861133 11.764492 11.763048 11.874029 11.592315 11.88114
1367470_at 10.111335 10.29163 10.269759 10.103871 10.155807 10.142621 10.23465 10.286645 10.190848 10.2022915 10.284972 10.052397
1367471_at 9.18667 9.247023 9.35845 9.230769 9.088933 9.249996 9.179866 9.33774 9.313646 9.236506 9.128758 8.95114
1367472_at 10.059058 10.020939 9.945875 9.96737 9.914958 9.807137 10.036166 10.029668 10.032349 10.084495 9.702413 9.741506
1367473_at 9.807583 9.972275 9.987797 10.07216 9.725468 9.791383 9.982396 9.993066 10.062145 9.9468155 9.741189 10.018969
1367474_at 9.55267 9.725243 9.710737 9.607804 9.428382 9.477939 9.713955 9.795729 9.553823 9.621404 9.358663 8.974134
1367475_at 10.461675 10.434982 10.4732065 10.559216 10.377179 10.511723 10.369977 10.470772 10.487092 10.373927 10.253496 10.363034
1367476_at 11.388975 11.458087 11.395614 11.264497 11.373519 11.265795 11.303709 11.488717 11.326297 11.392452 11.256494 11.295285
1367477_at 10.465369 10.475343 10.422938 10.746722 10.449988 10.452882 10.421306 10.6014185 10.398385 10.356008 10.473903 10.2961445
1367478_at 7.702702 7.7792487 7.952367 7.730453 7.673448 7.528154 7.860134 7.81859 7.8640647 7.814871 7.7884426 7.8389845
1367479_at 11.468635 11.51104 11.359477 11.640172 11.498846 11.385757 11.46137 11.4502945 11.471665 11.473007 11.440988 11.460304
1367480_at 9.871864 9.862878 9.859583 10.010182 9.636234 9.9291 9.954694 10.072295 9.889789 9.873279 9.661303 9.929344
1367481_at 9.75866 9.795773 9.756938 9.859693 9.613436 9.679865 9.739055 9.704562 9.755926 9.746379 9.583836 9.589435
1367482_at 9.612852 9.577114 9.680309 9.689354 9.547777 9.608039 9.605782 9.619618 9.598936 9.6086445 9.5454035 9.278118
1367483_at 9.153364 9.347567 8.982342 9.049171 8.97736 9.21041 9.18504 9.145044 9.1529255 9.129027 8.952799 8.985853
1367484_at 9.395416 9.172142 9.60268 9.211276 9.087849 9.28827 9.483814 9.475771 9.512878 9.394505 9.091106 8.824897
1367485_at 10.110757 10.041847 9.939096 9.967808 10.047931 9.957862 10.101925 10.04325 10.124287 10.113809 9.976559 10.020329
1367486_at 9.551703 9.707652 9.620726 9.729874 9.615104 9.519398 9.648631 9.567239 9.58888 9.5990305 9.677515 9.540165
1367487_at 7.575143 7.4068403 7.357837 7.531685 7.5161624 7.528331 7.3731327 7.4384923 7.4243307 7.442692 7.6234245 7.5423956
1367488_at 7.786091 7.9370284 8.116077 7.5638566 7.804677 8.067811 7.925645 8.086582 8.177904 8.00433 8.175638 7.6692166
1367489_at 6.5108705 6.005032 6.166853 6.293304 6.0269732 6.224212 6.2346826 6.1994195 6.186113 6.0112495 6.402189 6.3194776
1367490_at 7.452615 7.3710885 7.426426 7.237739 7.1169715 7.5144577 7.3658524 7.607117 7.504886 7.4258366 7.369833 7.3858976
1367491_at 9.5109 9.479427 9.46411 9.362769 9.255016 9.330921 9.442707 9.442302 9.371113 9.471654 9.205908 9.349161
1367492_at 9.146191 9.174564 9.179272 8.967735 9.159138 9.076367 9.223933 9.273736 9.01929 9.177302 8.986719 8.91658
1367493_at 9.482381 9.529492 9.493057 9.463274 9.600084 9.382308 9.554911 9.639638 9.509848 9.499981 9.464195 9.521934
1367494_at 10.349572 10.389113 10.322289 10.498309 10.3612175 10.327568 10.4503765 10.425297 10.471803 10.387253 10.317384 10.38724
1367495_at 7.978837 8.062633 8.144332 7.990282 7.5302606 7.7193017 7.834815 8.013397 7.9742637 7.882943 7.7020984 7.7349863
1367496_at 11.252547 11.2256155 11.120273 11.163928 11.114098 11.10832 11.094103 11.129411 11.241443 11.189195 11.129546 11.123995
1367497_at 8.651302 8.669274 8.730259 8.42932 8.365444 8.362616 8.420877 8.6014805 8.59084 8.527277 8.353673 8.43594
