ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 30 30 30 100 100 100 300 300 300
1367452_at 10.409016 10.285478 10.245116 10.251299 10.3222275 10.270503 10.2573395 10.320733 10.271895 10.403083 10.423703 10.476527
1367453_at 10.250565 10.0452385 10.028857 10.218392 10.070379 9.950907 10.168962 10.002625 9.959926 10.039305 10.134952 10.38099
1367454_at 9.843403 9.90641 10.059591 9.962646 9.98733 9.835914 9.808037 9.948997 9.886125 9.717801 9.998831 10.113851
1367455_at 11.279298 11.291314 11.345338 11.302444 11.200911 11.358843 11.301442 11.36488 11.345653 11.09467 11.255558 11.576643
1367456_at 11.74322 11.763855 11.732569 11.786558 11.637681 11.474564 11.735178 11.695514 11.670291 11.704467 11.768273 12.00695
1367457_at 9.152789 8.971669 9.108886 9.156838 9.009196 8.97811 8.920647 9.150531 9.021015 8.947765 9.058193 9.174506
1367458_at 8.293074 8.310619 8.425246 8.432739 8.458968 8.476585 8.432004 8.438492 8.293109 8.409106 8.479114 8.557278
1367459_at 12.1264515 12.073859 12.129955 12.064148 12.060694 11.995047 12.162693 12.058657 12.1399555 12.052941 12.151162 12.20222
1367460_at 11.2652645 11.284074 11.228679 11.263844 11.30796 11.023301 11.25273 11.209077 11.235055 11.174449 11.25801 11.536538
1367461_at 10.161746 10.182624 10.373421 10.236848 10.254484 10.142258 10.157967 10.221012 10.050661 10.185767 10.136783 10.35637
1367462_at 10.56301 10.733946 10.74598 10.482604 10.539086 10.7245035 10.519439 10.717711 10.817517 10.626762 10.778379 10.90668
1367463_at 10.894928 11.070013 11.077091 11.008421 11.133939 11.052313 11.110639 10.962296 10.926662 11.021126 11.213271 11.453058
1367464_at 9.602674 9.617834 9.618832 9.613501 9.648794 9.577454 9.772298 9.657292 9.544045 9.630289 9.745387 9.832888
1367465_at 10.420295 10.533294 10.19996 10.391618 10.293076 10.401544 10.30053 10.373455 10.318833 10.368327 10.416901 10.351485
1367466_at 9.813698 9.929288 10.263782 10.02549 10.043819 10.190027 10.076195 9.976 10.151454 10.08524 10.138073 10.181231
1367467_at 11.614611 11.638212 11.403584 11.4705 11.501295 11.443843 11.465203 11.452276 11.512861 11.415074 11.527714 11.7533
1367468_at 9.887088 9.812503 9.8764715 10.036903 9.768806 9.830366 9.841045 9.725486 9.493331 9.928781 9.70655 10.289265
1367469_at 11.827321 11.7676 11.907052 11.973652 11.80299 11.729349 11.897936 11.991998 11.972161 12.04499 11.952087 12.056254
1367470_at 10.019411 9.965507 10.167642 10.054658 10.082041 10.091603 10.095675 10.067906 9.9947605 10.050664 9.991753 10.422942
1367471_at 8.961575 9.055273 8.958975 8.971942 8.861274 8.792786 8.89651 8.835379 8.89009 8.8733635 9.123371 9.428914
1367472_at 10.026937 10.025605 10.114404 10.186835 10.114611 9.892967 10.173575 10.115342 10.114534 9.903336 10.136893 10.341628
1367473_at 10.050777 10.000658 9.925209 10.025044 10.185897 10.126529 10.035126 10.141463 10.150188 10.235552 10.230531 10.2743025
1367474_at 9.692263 9.67116 9.745528 9.729751 9.675282 9.591665 9.668233 9.686202 9.617139 9.669621 9.652461 9.817867
1367475_at 10.580034 10.589667 10.522625 10.59445 10.569544 10.680634 10.421778 10.620644 10.442976 10.4077015 10.393823 10.599453
1367476_at 11.032617 11.141516 10.938547 11.05515 11.099057 11.082494 11.110841 11.07865 10.964179 11.002465 11.119604 11.406922
1367477_at 10.070116 10.203333 9.802309 9.937605 10.230253 10.115738 10.291876 10.040347 10.04061 10.139057 10.249398 10.481436
1367478_at 7.91268 7.8258195 7.4783883 7.7530193 7.8367085 7.5155253 7.6921525 7.299072 7.479313 7.53575 7.807943 8.105101
1367479_at 11.3177185 11.554849 11.263028 11.321449 11.359625 11.237589 11.311967 11.3253765 11.314046 11.358437 11.386222 11.32589
1367480_at 9.458519 9.407171 9.328959 9.441213 9.357129 9.497463 9.461026 9.51089 9.31084 9.587797 9.609799 9.863657
1367481_at 9.3534975 9.304733 9.05697 9.222792 9.124649 9.337992 9.238611 9.421908 9.117655 9.250526 9.376358 9.5842495
1367482_at 9.782492 9.683135 9.531704 9.559961 9.806755 9.712057 9.861949 9.76144 9.492052 9.376839 9.669833 9.62114
1367483_at 8.84267 8.979135 8.465627 8.795614 8.750742 8.775866 8.780207 8.620131 8.804892 8.635119 8.760782 9.00371
1367484_at 9.271858 9.270643 9.240954 9.21843 8.982697 9.171975 9.134677 9.1669235 8.957544 9.079493 9.082183 9.207432
1367485_at 9.952835 9.799264 9.856282 9.949901 9.909601 9.7528105 9.68516 9.850617 9.782468 9.878479 9.926096 10.091392
1367486_at 9.680603 9.628891 9.632332 9.848959 9.614977 9.676236 9.484268 9.677127 9.527112 9.499594 9.57019 9.364784
1367487_at 7.3523235 7.468863 7.3704424 7.4772162 7.3899856 7.5728445 7.454921 7.504468 7.3075504 7.1280303 7.4631486 7.529184
1367488_at 7.6337066 7.632726 8.222637 7.8489695 7.676456 7.795402 7.6583824 7.8964367 7.9838805 7.5238094 7.6793437 7.834188
1367489_at 6.1072702 6.506665 6.478568 6.729541 6.6180153 6.3127303 6.4732327 6.4474044 6.193607 6.363439 6.68053 6.6259565
1367490_at 7.359977 7.429116 7.2137437 7.3256197 7.299941 7.124542 7.282625 7.2188873 6.9659367 7.410795 7.3675013 7.4295516
1367491_at 9.08968 9.050611 8.972034 9.251249 8.971726 9.094307 9.005466 9.122053 9.201581 9.188553 9.277413 9.522974
1367492_at 9.090516 9.192198 8.988513 9.101866 9.155594 9.062103 9.061792 9.150676 9.021196 9.007761 9.062125 9.103872
1367493_at 9.606003 9.347317 9.567959 9.525784 9.550362 9.51933 9.516339 9.544022 9.617695 9.622804 9.696364 9.8132715
1367494_at 9.77048 9.893661 9.71587 9.863459 9.86458 9.842666 9.729589 9.852794 9.68094 9.965368 9.828046 10.067861
1367495_at 7.55257 7.477558 7.4188447 7.4260707 7.2766404 7.3971596 7.379329 7.3026094 7.403379 7.519073 7.642149 8.066632
1367496_at 11.335254 11.159173 11.316032 11.400465 11.236805 11.125008 11.133134 11.298029 11.249262 11.200695 11.418112 11.302175
1367497_at 8.910093 8.819932 8.778044 8.847344 8.661549 8.504818 8.487746 8.679184 8.647828 8.489679 8.792556 8.923045
1367498_at 8.651857 8.654426 9.134768 8.666114 8.483655 8.537844 8.568064 8.594855 8.924517 8.498473 8.568452 8.879703
1367499_at 8.293074 7.929354 8.26265 8.12892 8.1363945 8.244823 7.9635477 8.251045 8.127335 8.283491 8.197529 8.046626
1367500_at 10.280275 10.344795 10.103076 10.295669 10.321992 10.36507 10.193003 10.322861 10.253221 10.33038 10.218903 10.186282
1367501_at 8.364064 8.6204605 8.600994 8.769311 8.614174 8.452757 8.583614 8.494743 8.417374 8.578764 8.711589 8.805561
1367502_at 8.407317 8.410994 8.19088 8.381813 8.652121 8.435145 8.63061 8.514681 8.276734 8.45059 8.459812 9.048321
1367503_at 11.040242 11.049291 11.060436 10.97559 11.015078 10.873145 10.904245 10.908597 10.877944 10.887632 11.0007305 11.243076
1367504_at 8.297422 8.042564 7.8553386 8.313763 8.260799 8.095327 8.100969 7.99527 8.207846 8.33049 8.295584 8.387529
1367505_at 8.105391 8.189057 8.330341 8.210301 8.093527 8.213573 8.224348 8.242109 8.0864 8.065065 8.14233 8.169555
1367506_at 10.146985 10.103587 9.941596 9.968337 10.065425 10.014063 10.050883 10.015403 9.956146 10.189899 10.187283 10.343001
1367507_at 7.329407 7.3364725 7.214437 7.3643737 7.1753826 7.253805 7.004106 7.0265665 7.1592317 7.197075 7.2201414 7.39251
1367508_at 8.680636 8.653648 8.590374 8.738885 8.522186 8.664773 8.566683 8.48949 8.499007 8.736428 8.771088 9.0974655
1367509_at 9.509744 9.667846 9.4654665 9.680682 9.544116 9.770881 9.6732025 9.478127 9.471721 9.501972 9.672105 9.839236
1367510_at 9.871872 9.95616 9.972074 9.912632 9.891132 9.760238 9.976553 9.977863 9.781616 9.687666 9.735356 9.950599
1367511_at 8.665281 8.403153 8.520265 8.414135 8.340695 8.194839 8.306479 8.374253 8.275338 8.2619095 8.400754 8.629583
