ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 10 10 10 30 30 30 100 100 100
1367452_at 10.536234 10.462458 10.506117 10.497537 10.455337 10.414128 10.426933 10.472393 10.545174 10.462739 10.448679 10.491793
1367453_at 10.137268 10.19003 10.22358 10.156967 10.123445 10.085368 10.045585 10.045265 10.231825 10.121025 10.0707445 10.030885
1367454_at 9.999136 10.154668 10.134752 10.022312 10.095768 10.051121 9.912749 10.031599 9.983529 9.920563 10.133406 9.836693
1367455_at 11.421853 11.401028 11.4463005 11.419966 11.469414 11.317208 11.242263 11.332822 11.294219 11.342145 11.429048 11.352771
1367456_at 11.991746 11.9890995 11.910718 11.925431 11.88605 11.866609 12.000941 11.9744625 11.940039 11.947284 11.957201 11.936598
1367457_at 9.27742 9.409455 9.226504 9.348691 9.132078 9.250842 9.281759 9.278236 9.2727 9.316483 9.337397 9.133472
1367458_at 8.3803005 8.309369 8.399363 8.336537 8.319257 8.374794 8.31894 8.222313 8.360416 8.228419 8.306695 8.3358965
1367459_at 12.229274 12.263291 12.208222 12.185833 12.176004 12.198006 12.111884 12.149369 12.203984 12.190018 12.230496 12.094898
1367460_at 11.49274 11.566177 11.552193 11.492812 11.575188 11.522058 11.539861 11.505526 11.471318 11.446745 11.564482 11.462584
1367461_at 10.5204525 10.599938 10.556745 10.466869 10.365959 10.41409 10.418917 10.321613 10.372501 10.452707 10.446673 10.448238
1367462_at 10.253986 10.693311 10.729213 10.331695 10.934655 10.63428 10.121312 10.60867 10.640747 10.882207 10.524244 10.587379
1367463_at 11.069567 11.099197 11.0842905 11.205628 11.163948 11.237398 11.066256 11.315214 11.355867 11.207199 11.327438 11.254893
1367464_at 9.7057905 9.695452 9.727212 9.621371 9.721931 9.681665 9.6517 9.595566 9.760044 9.724718 9.673564 9.615424
1367465_at 10.147243 10.280735 10.189967 10.316218 10.3545 10.320403 10.330552 10.35897 10.492144 10.290755 10.330457 10.325834
1367466_at 10.054534 10.141979 10.175902 10.108072 10.12709 10.108654 9.996616 10.070549 9.611262 9.848535 10.091563 10.067083
1367467_at 11.6743355 11.584736 11.665724 11.632746 11.655499 11.621886 11.680247 11.631793 11.72365 11.753747 11.683262 11.641328
1367468_at 9.939896 10.024196 10.006335 10.09943 9.895921 10.011664 10.341547 10.090983 10.237642 10.3972435 10.254264 10.022746
1367469_at 12.086939 11.970966 11.91191 11.82854 11.79673 11.9092245 11.897056 11.876049 11.696226 11.835688 11.867423 11.734904
1367470_at 10.37435 10.323471 10.380696 10.232905 10.265906 10.255796 10.247206 10.282798 10.267579 10.257147 10.382183 10.1502
1367471_at 9.153164 9.180843 9.227462 9.165114 9.266798 9.16288 9.259366 9.355211 9.54415 9.449571 9.362472 9.3140955
1367472_at 10.240589 10.231608 10.220698 10.243796 10.190051 10.123542 10.1515045 10.256707 9.972866 10.013434 10.19753 10.087413
1367473_at 10.033922 10.098102 9.895309 10.064362 10.113463 10.198096 10.223829 10.158712 10.375043 10.093779 10.219906 10.184186
1367474_at 9.895994 9.859913 9.788763 9.768346 9.739122 9.868479 9.862503 9.840139 9.723747 9.692308 9.709327 9.730655
1367475_at 10.461114 10.601635 10.582261 10.631633 10.596238 10.550369 10.485302 10.549996 10.596362 10.535121 10.615366 10.537925
1367476_at 11.413355 11.368402 11.31441 11.3304615 11.325908 11.329644 11.389297 11.351038 11.592095 11.4579735 11.429294 11.243183
1367477_at 10.235331 10.363052 10.3830385 10.371384 10.576345 10.266605 10.266336 10.413349 10.63975 10.490404 10.398754 10.263122
1367478_at 8.04948 7.8543477 7.983393 8.1304035 7.9330783 8.031948 8.032011 7.9746685 8.286789 8.020424 8.1786785 7.988785
1367479_at 11.276354 11.338179 11.372531 11.337754 11.416009 11.322928 11.344954 11.446578 11.598889 11.454147 11.327194 11.306882
1367480_at 9.924882 9.9101925 9.835354 9.771874 9.757705 9.80167 9.719281 9.736597 9.941113 9.910665 9.8262205 9.683359
1367481_at 9.62425 9.762381 9.62498 9.664636 9.602311 9.612488 9.590076 9.725635 9.884769 9.714254 9.7161665 9.566269
1367482_at 9.745688 9.644719 9.57223 9.760481 9.69166 9.569158 9.766235 9.628975 9.90557 9.842261 9.6607895 9.794352
1367483_at 9.102949 9.102215 9.310646 9.200874 9.417067 9.253061 9.402149 9.258629 9.539568 9.508642 9.329056 9.186159
1367484_at 9.51857 9.606683 9.526079 9.542181 9.634176 9.6106615 9.618389 9.756515 9.772779 9.759186 9.592627 9.588128
1367485_at 10.349538 10.296968 10.114726 10.223526 10.167228 10.159377 10.204353 10.228296 10.165016 10.2580385 10.199172 10.067156
1367486_at 9.628123 9.517783 9.705117 9.729959 9.58173 9.572934 9.546191 9.62185 9.610371 9.57435 9.547626 9.404362
1367487_at 7.681764 7.4871836 7.445353 7.481996 7.495246 7.3555403 7.593237 7.7304683 7.703339 7.3277845 7.1057878 7.659439
1367488_at 8.017369 7.7878175 8.061176 7.850663 7.9627748 7.959644 7.9296527 8.166552 7.4151845 8.01473 8.28034 8.362852
1367489_at 6.525202 6.5641418 6.7612915 6.4986954 6.4293485 6.671556 6.7325745 6.3419695 6.37556 6.500724 6.680584 6.7047076
1367490_at 7.617807 7.5611906 7.4829865 7.698039 7.572975 7.5137367 7.444319 7.4916277 7.564638 7.516223 7.717091 7.483966
1367491_at 9.578163 9.616609 9.5383005 9.404581 9.372098 9.447924 9.352774 9.508201 9.346179 9.4299345 9.406514 9.347709
1367492_at 9.368668 9.402357 9.270465 9.282786 9.303941 9.35237 9.147393 9.30665 9.534483 9.377288 9.327153 9.175548
1367493_at 9.652883 9.512111 9.628101 9.553136 9.476203 9.624941 9.511314 9.61179 9.729605 9.670778 9.651074 9.487833
1367494_at 10.234108 10.420256 10.296477 10.391103 10.307426 10.160717 10.304653 10.377318 10.605528 10.401087 10.325985 10.311099
1367495_at 8.105661 8.013034 8.117649 8.125827 8.277287 8.006444 8.054163 8.093684 8.509418 8.211481 7.9969554 7.989302
1367496_at 11.3784685 11.267274 11.145382 11.289752 11.1916 11.150864 11.221942 11.248978 10.99798 11.172171 11.245684 11.263767
1367497_at 9.039523 9.024773 9.055065 9.058257 8.960248 8.926654 8.95066 8.840465 8.964313 9.001624 8.913423 8.802148
1367498_at 8.94979 9.040587 8.969124 8.836063 9.294285 9.026183 9.030144 9.090266 9.012622 8.905174 9.044743 8.976428
1367499_at 8.26446 7.9442644 8.095169 8.014223 8.116579 8.187559 8.314793 7.97606 7.9068017 8.011515 8.19215 8.191963
1367500_at 10.182766 10.25774 10.309899 10.281077 10.349306 10.254112 10.305603 10.298405 10.536415 10.464594 10.313505 10.387391
1367501_at 8.626781 8.694539 8.698944 8.686333 8.615358 8.684725 8.695328 8.586083 8.511596 8.717156 8.728138 8.720301
1367502_at 8.703301 8.986756 8.693896 8.785766 8.707124 8.7936 8.785619 8.859454 9.151775 8.792428 8.74608 8.806028
1367503_at 11.127623 11.178258 11.3022995 11.306529 11.179595 11.078483 11.146795 11.146449 11.235852 11.230699 11.150168 11.240659
1367504_at 8.358761 8.446775 8.21118 8.434782 8.438044 8.472847 8.201189 8.399361 8.471714 8.286718 8.434933 8.367483
1367505_at 8.354639 8.689766 8.423602 8.634395 8.487294 8.406915 8.46758 8.630674 8.302562 8.6377325 8.469301 8.566782
1367506_at 10.188351 10.212329 10.103008 10.206131 10.302798 10.19623 10.246015 10.108327 10.336386 10.353449 10.325783 10.183936
1367507_at 7.5141616 7.596173 7.5772495 7.4588966 7.6373677 7.6065125 7.589329 7.656721 7.9783583 7.6503406 7.5029855 7.3667645
1367508_at 9.127995 9.010891 9.150264 9.070332 9.155693 9.076679 9.097422 9.194416 9.390738 9.313124 9.126435 9.052094
1367509_at 9.812885 9.771944 9.8323765 9.963202 9.884261 9.853882 9.880767 9.82602 10.141331 9.959365 9.881118 9.840484
1367510_at 9.934094 9.986211 9.878917 9.934402 9.886911 10.02337 9.920991 9.886614 10.06078 10.014225 9.904312 10.026746
1367511_at 8.729435 8.832188 8.627954 8.909752 8.601583 8.557186 8.807259 8.757677 8.48581 8.690251 8.714913 8.651484
1367512_at 11.174063 11.127059 10.989042 11.141334 11.102608 11.007736 11.090983 10.976114 11.172564 11.103415 11.060401 11.124183
1367513_at 8.435155 8.539548 8.171728 8.434709 8.196135 8.582135 8.309946 8.337488 8.012021 8.489637 8.30822 8.569144
1367514_at 8.219065 8.2333 8.161326 8.161469 8.162809 8.119085 8.116053 8.155386 8.127137 8.145172 8.268118 8.119167
1367515_at 8.036095 8.029388 7.836892 7.927278 7.8694425 8.024878 8.156622 8.01248 7.9972835 8.006512 8.163387 8.112118
1367516_at 9.468751 9.361914 9.3232565 9.297373 9.26549 9.376721 9.328449 9.395506 9.465856 9.593989 9.280442 9.33463
1367517_at 7.7471037 7.784774 7.9205728 7.9333725 8.009481 7.7879243 7.6457376 7.8088 7.728217 7.761274 7.8875885 7.5176635
