ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 100 100 100 300 300 300 1000 1000 1000
1367452_at 9.764611 9.703063 9.707408 9.842598 9.802173 9.96405 9.790831 9.966427 9.702279 9.717673 9.89804 9.516903
1367453_at 10.012203 9.861186 9.964489 9.9623375 9.8974695 10.184532 9.956593 10.093689 9.947991 10.027966 10.232737 9.919355
1367454_at 9.675559 9.520222 9.583572 9.491766 9.555439 9.652382 9.636094 9.66009 9.54844 9.540561 9.48519 9.337423
1367455_at 11.017187 11.005211 11.228687 11.013916 11.046676 11.216322 11.128505 11.103095 10.898697 10.995772 11.0453415 10.857857
1367456_at 11.496432 11.450719 11.557038 11.603163 11.580097 11.509848 11.471887 11.635484 11.468661 11.555535 11.692315 11.359232
1367457_at 8.635106 8.543529 8.498626 8.545586 8.761897 8.555955 8.608878 8.826326 8.6397915 8.870663 8.794185 8.438873
1367458_at 8.606614 8.737435 8.764529 8.80578 8.620146 8.726461 8.729 8.7378645 8.625681 8.630705 8.741625 8.510358
1367459_at 11.92582 11.76107 11.854887 11.890253 11.939928 12.067172 11.883049 12.041597 11.859938 11.907212 11.992939 11.62208
1367460_at 11.139832 11.059521 11.039471 11.3379545 11.260288 11.294577 11.013982 11.306626 11.142508 11.296205 11.297338 10.969885
1367461_at 9.753807 9.758899 9.820726 9.871677 9.803034 10.065522 9.921791 9.865353 9.778668 9.705983 9.977224 9.718763
1367462_at 10.441012 10.094907 10.451783 10.642426 10.524832 10.693567 10.397704 10.974703 10.236007 10.605371 10.627157 10.14038
1367463_at 10.584786 10.728126 10.839552 10.832688 10.803556 10.843658 10.74231 10.854663 10.82732 10.759052 11.053062 10.528496
1367464_at 9.278334 9.12126 9.229919 9.37402 9.117465 9.385931 9.190839 9.43492 9.117161 9.220151 9.338937 8.891303
1367465_at 9.944154 10.039626 9.84731 10.137012 10.213571 10.320832 10.059078 10.202083 10.179508 10.213777 10.216958 9.917876
1367466_at 10.009192 9.966353 10.099586 9.99948 10.104381 10.098007 9.804078 9.732044 9.819217 9.949866 9.807727 9.8867655
1367467_at 11.203196 11.179675 11.229817 11.254256 11.22925 11.4455805 11.326518 11.209663 11.266209 11.259251 11.357725 11.166007
1367468_at 9.316533 9.213844 9.59175 9.444607 9.530677 9.69856 9.319649 9.480867 9.378953 9.073683 9.629186 9.254206
1367469_at 11.552005 11.401066 11.491772 11.679737 11.564095 11.468465 11.380869 11.478603 11.320943 11.535382 11.587762 11.317889
1367470_at 10.039472 10.1856 10.264097 10.289009 10.151756 10.676706 10.153238 10.338405 10.168624 10.067967 10.396314 10.039538
1367471_at 8.632315 8.63353 8.904831 8.869769 8.638233 9.154759 8.674698 8.836348 8.720445 8.598689 8.882402 8.601211
1367472_at 10.008019 9.871359 9.896628 9.843423 10.01992 10.054511 10.007122 9.924769 9.806968 10.000666 9.982798 9.77188
1367473_at 9.484785 9.756893 9.6283455 9.600069 9.4853945 9.657296 9.442938 9.61694 9.658929 9.665031 9.622471 9.579084
1367474_at 9.52495 9.215498 9.425922 9.431389 9.354496 9.748776 9.31999 9.1949005 9.070548 9.275591 9.355384 8.994061
1367475_at 10.332388 10.255896 10.364591 10.3994255 10.385388 10.392545 10.239206 10.339862 10.309781 10.423332 10.422967 10.253323
1367476_at 10.750614 10.699428 10.597979 10.774989 10.924681 10.929778 10.657278 10.818368 10.786211 10.694524 11.006484 10.535606
1367477_at 9.60097 9.308463 9.419461 9.414711 9.5753 9.821475 9.460744 9.80935 9.383311 9.544169 9.807385 9.352874
