ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 3 3 3 10 10 10 30 30 30
1367452_at 9.484408 9.565518 9.767003 9.690012 9.615575 9.691171 9.640212 9.667506 9.562161 9.589217 9.603572 9.71631
1367453_at 9.502628 9.674141 9.788432 9.665291 9.601182 9.5019045 9.631771 9.617234 9.777785 9.290335 9.768883 9.870004
1367454_at 9.40724 9.260042 9.34692 9.340518 9.480705 9.324697 9.33982 9.305774 9.430313 9.539965 9.335158 9.631645
1367455_at 10.78305 11.179459 11.073475 11.048573 10.961128 11.042901 10.858161 11.016323 10.966205 10.959902 11.123364 11.430984
1367456_at 11.097036 11.262922 11.401939 11.469931 11.199391 11.347326 11.180492 11.220199 11.28246 11.310149 11.435826 11.606602
1367457_at 8.232663 8.38387 8.314024 8.390176 8.318366 8.356413 8.169779 8.473606 8.273136 8.173611 8.439928 8.657989
1367458_at 8.29324 8.369603 8.623333 8.52483 8.465989 8.477463 8.286892 8.39732 8.423858 8.320465 8.362566 8.643646
1367459_at 11.606269 11.748099 11.916796 11.89221 11.751084 11.818506 11.540428 11.647984 11.597606 11.741683 11.775081 11.922287
1367460_at 10.750121 11.002341 11.060752 11.114917 10.825233 10.987518 10.697377 10.932318 10.886498 10.940864 11.034568 11.223063
1367461_at 9.688702 9.719815 9.814152 9.882174 9.690102 9.735134 9.557486 9.81612 9.786796 9.622059 9.812383 9.946408
1367462_at 10.166473 10.28093 10.37412 10.46619 9.961802 10.377161 9.735931 10.145011 9.92205 9.752491 10.062448 10.183324
1367463_at 10.258223 10.199584 10.60345 10.64747 10.324694 10.480153 10.606194 10.545292 10.531948 10.578821 10.959331 11.13756
1367464_at 8.590284 8.805993 8.918835 9.000619 8.702925 8.691724 8.566429 8.6593 8.873665 8.528542 8.835382 8.813457
1367465_at 9.675349 9.535887 9.460762 9.796072 9.670941 9.640326 9.536331 9.698983 9.530387 9.599619 9.677565 9.482598
