ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 10 10 10 30 30 30 100 100 100
1367452_at 10.400566 10.335582 10.371748 10.368769 10.360153 10.304189 10.210457 10.3850565 10.29136 10.433142 10.392748 10.312717
1367453_at 10.136022 10.131729 10.048965 10.035596 9.940855 9.968799 10.014475 10.116189 9.956041 10.172145 10.145723 10.243273
1367454_at 10.08968 10.259578 10.0929165 10.177006 10.116825 10.019501 10.052505 10.097352 10.118418 10.220154 10.213994 10.136498
1367455_at 11.5554905 11.608965 11.491031 11.627793 11.624357 11.528011 11.565356 11.596485 11.345231 11.627038 11.596769 11.724582
1367456_at 12.037034 12.024885 11.909454 12.01947 12.040255 11.858637 11.992988 11.991047 11.897446 11.97504 11.952344 11.837813
1367457_at 9.302571 9.247701 9.257333 9.23031 9.224927 9.235048 9.263478 9.248698 9.139274 9.238952 9.287714 9.290481
1367458_at 8.371882 8.448538 8.40432 8.424587 8.27731 8.347532 8.493041 8.46208 8.240192 8.441389 8.42038 8.52325
1367459_at 12.155675 12.105346 12.028131 12.15795 12.113031 12.057164 12.097281 12.154362 12.125497 12.224759 12.373119 12.260636
1367460_at 11.65978 11.720785 11.575162 11.650124 11.565437 11.608041 11.561529 11.577603 11.682517 11.598964 11.657377 11.548892
1367461_at 10.390966 10.469836 10.442826 10.532311 10.516296 10.292865 10.32219 10.302663 10.359342 10.383294 10.220133 10.203273
1367462_at 10.482457 10.577082 10.485579 10.52058 10.295301 10.732954 10.844849 10.403595 10.195278 10.799844 10.978473 11.188392
1367463_at 11.106807 11.240578 11.071008 11.0755205 11.170284 11.180958 11.307214 11.090667 10.946644 10.932943 11.1661625 11.107189
1367464_at 9.7946615 9.8174305 9.730471 9.698445 9.551722 9.652656 9.74624 9.677699 9.398502 9.773354 9.707128 9.654489
1367465_at 10.24247 10.157812 10.347171 10.222512 10.1524515 10.1590185 10.157582 10.257026 10.048054 10.44664 10.5887165 10.538489
1367466_at 10.13861 10.334714 10.116301 10.2240715 10.194523 10.085589 10.159702 10.084682 10.067882 10.153669 10.161965 10.172123
1367467_at 11.454993 11.467598 11.541793 11.460693 11.577587 11.600141 11.576749 11.668242 11.645561 11.681117 11.726956 11.653237
1367468_at 9.900046 9.963869 9.932685 9.838291 9.840458 9.624916 9.87135 9.6573105 10.055228 9.793716 9.711363 9.64671
1367469_at 12.045202 12.082604 11.865434 12.0432005 11.929421 11.879185 12.009144 11.864382 11.706291 11.9329195 12.057099 11.851218
1367470_at 10.370251 10.3205185 10.204054 10.383397 10.392764 10.199737 10.196175 10.239954 10.06044 10.374311 10.333633 10.251777
1367471_at 9.069182 9.076237 9.000599 9.032748 9.092013 8.943357 8.966886 8.972517 9.121459 9.200835 9.161353 9.227315
1367472_at 10.353884 10.469566 10.279506 10.389589 10.325354 10.362407 10.411115 10.362625 10.0602455 10.295751 10.27301 10.331469
1367473_at 9.920498 10.035645 10.035693 10.057396 9.991558 9.822758 9.988894 9.99589 10.232365 9.843513 9.938885 9.671097
1367474_at 10.093824 9.971829 9.737772 9.955418 9.733576 9.983052 9.942823 9.807579 9.465737 9.960498 9.901086 9.9340515
1367475_at 10.55129 10.611831 10.468549 10.552569 10.64057 10.505999 10.591035 10.604244 10.60052 10.536741 10.59543 10.719371
1367476_at 11.052722 10.962575 11.095177 11.265746 11.100148 11.102246 11.185701 11.28908 11.325908 11.298153 11.256294 11.2505045
1367477_at 10.181667 10.124051 10.107977 10.109781 10.0462 9.995506 10.136223 10.189158 10.289333 10.155656 10.3061285 10.164939
1367478_at 8.025494 8.084602 7.9884677 7.8830895 7.892336 8.045496 8.086496 8.130766 7.8778787 8.188255 8.234585 8.22504
1367479_at 11.171338 11.171065 11.234079 11.136546 11.116636 11.153308 11.21791 11.162304 11.332816 11.212017 11.076919 11.220994
1367480_at 9.595782 9.662506 9.414279 9.494556 9.477918 9.35328 9.560746 9.453753 9.710008 9.49608 9.489227 9.408666
1367481_at 9.477695 9.479319 9.422863 9.5355625 9.406033 9.3525505 9.36699 9.3363 9.612072 9.381401 9.432694 9.34101
1367482_at 9.677691 9.710207 9.775507 9.631984 9.503622 9.497511 9.713813 9.573871 9.670466 9.509298 9.475347 9.638585
1367483_at 8.729762 9.03967 8.949048 8.863127 8.822084 8.914854 8.829897 8.799631 8.950764 8.988668 8.986107 8.693672
1367484_at 9.613018 9.729388 9.4043255 9.673592 9.490591 9.534261 9.624479 9.541964 9.293483 9.625602 9.553804 9.51047
1367485_at 10.2035265 10.31091 10.070254 10.28705 10.152281 10.010194 10.18023 10.227973 10.1638775 10.100183 10.063545 10.067266
1367486_at 9.819712 9.731159 9.743641 9.671646 9.616843 9.783262 9.906955 9.831475 9.559667 9.879348 9.75232 9.908388
1367487_at 7.5932364 7.39105 7.2347765 7.455796 7.6150246 7.4772367 7.5250316 7.374407 7.430803 7.2845383 7.7228403 7.5488687
1367488_at 8.294334 8.379222 8.223614 8.298811 8.224258 8.685263 8.465352 8.26005 8.063683 8.505196 8.58572 8.475756
1367489_at 6.550582 6.4674735 6.778192 6.5717564 6.659791 6.6413045 6.670644 6.5314627 6.325862 6.594004 6.6197906 6.3150573
1367490_at 7.427875 7.542992 7.7204533 7.454297 7.4713974 7.5232244 7.5946264 7.357423 7.2687554 7.5781965 7.605727 7.425174
1367491_at 9.420437 9.6334 9.434733 9.519445 9.430189 9.260358 9.402289 9.472274 9.330753 9.519245 9.572566 9.5636425
1367492_at 9.0922 9.197741 9.109737 9.181833 9.238866 9.10751 9.109366 9.193231 9.043803 9.255189 9.3409605 9.303348
1367493_at 9.481681 9.575473 9.433555 9.47198 9.360875 9.297858 9.457943 9.555535 9.419998 9.509417 9.370252 9.436508
1367494_at 9.944999 9.973897 9.941932 9.941793 9.989527 9.821033 9.896557 9.842847 10.202179 9.917099 9.810902 9.888259
1367495_at 7.464491 7.7899375 7.5669675 7.773161 7.54116 7.4972982 7.539516 7.4378705 7.752961 7.767472 7.599824 7.596568
1367496_at 11.494383 11.43563 11.4213505 11.623049 11.452849 11.535227 11.605851 11.597174 11.23867 11.668731 11.698405 11.66506
1367497_at 9.016304 9.055324 8.979112 8.9232 8.993549 9.021122 8.959799 9.000565 8.64149 9.027174 9.246912 9.147785
1367498_at 8.936671 8.91519 8.944179 8.89197 9.07216 9.1910095 9.1912985 8.93565 8.944408 8.958126 9.081266 8.835916
1367499_at 8.2695675 8.2208805 8.21497 8.390024 8.174124 8.275787 8.324949 8.198759 8.019455 8.341658 8.392277 8.278694
1367500_at 10.342391 10.451175 10.336178 10.189265 10.282472 10.404649 10.209612 10.292846 10.131649 10.362209 10.32643 10.344841
1367501_at 8.502292 8.80909 8.808916 8.73872 8.645154 8.635728 8.807087 8.568227 8.208851 8.692016 8.605981 8.748139
1367502_at 8.509802 8.641105 8.684872 8.661821 8.574986 8.432784 8.496554 8.608372 8.869885 8.587639 8.75093 8.759398
1367503_at 10.98911 11.074448 11.154793 11.056416 11.051779 11.022191 11.116439 11.225159 11.062059 11.119473 11.170161 11.1942835
1367504_at 8.298723 8.440826 7.9634714 8.253649 8.19978 8.229563 8.262154 8.314608 8.265537 8.429449 8.807841 8.184202
1367505_at 8.419463 8.623179 8.334475 8.439547 8.268372 8.2229395 8.28451 8.155206 8.194613 8.358752 8.462306 8.136918
1367506_at 9.942404 9.998102 9.868074 10.004231 9.859798 9.726611 9.794851 9.793424 10.015883 9.90118 9.780452 9.894149
1367507_at 7.4146824 7.4278245 7.4846416 7.5848546 7.179378 7.280708 7.3834176 7.432449 7.5577707 7.4638243 7.29575 7.380439
1367508_at 8.944912 8.924848 8.954085 8.84302 8.931822 8.747508 8.753211 8.811247 8.727451 8.994671 8.945604 8.930594
1367509_at 9.556271 9.5726595 9.649971 9.669059 9.630686 9.627631 9.590649 9.543443 9.696489 9.580034 9.605752 9.560799
1367510_at 9.976084 10.166707 9.993385 9.984436 9.82364 10.008896 9.951592 10.05674 9.713584 10.117831 10.055954 10.147134
1367511_at 8.800566 8.840412 8.654524 8.674484 8.722332 8.760228 8.717496 8.870493 8.705837 8.727891 8.808241 8.856466
1367512_at 11.003633 11.006058 11.082632 11.081326 11.0437 11.072963 10.97155 11.023481 11.175819 11.073023 11.031875 11.09596
1367513_at 8.176875 8.222804 8.112541 8.347715 8.433096 8.048389 8.408398 8.227324 7.875967 8.466169 8.411877 8.797181
1367514_at 8.278559 8.18799 7.9751472 8.234641 8.175052 8.115952 8.1671715 8.077171 8.043935 8.553724 8.448845 8.44786
1367515_at 8.105604 8.0943775 7.767852 7.9462667 8.086788 8.200096 7.7380986 7.722389 7.980767 7.800225 7.9298267 7.85815
1367516_at 9.222055 9.208856 9.094625 9.132135 8.977518 9.0124855 9.304049 9.255436 8.991038 9.045044 8.966849 8.913527
1367517_at 8.069647 8.307527 8.194976 7.884541 8.129181 7.9403777 7.9336376 7.848296 7.596946 8.292962 7.966835 8.154211
1367518_at 8.807323 8.87882 8.954719 8.913653 8.748605 8.81229 8.76148 8.893581 8.647538 8.915712 8.908457 8.779971
1367519_at 8.66478 8.73292 8.800615 8.776982 8.577373 8.663912 8.866525 8.817062 8.618369 8.672089 8.742001 8.714209
1367520_at 9.951404 10.059208 10.070845 9.965626 9.991085 10.005415 9.94043 10.058159 9.971999 9.960878 9.934617 9.922346
1367521_at 7.241532 7.364747 7.3307424 6.928932 7.5711474 7.696575 7.045411 7.282403 7.4050627 7.095978 7.035783 7.170472
1367522_at 9.354216 9.288982 9.255324 9.278101 9.223066 9.196731 9.417361 9.432462 9.299969 9.652101 9.41224 9.238286
1367523_at 8.786149 8.876935 8.701242 8.617203 8.598866 8.599527 8.715902 8.649618 9.14212 8.78167 8.807538 8.72615
1367524_at 7.2882266 7.365014 7.4806094 7.058702 7.3420777 7.3878407 7.271144 7.286866 7.4420376 7.2566743 7.251914 7.492907
1367525_at 9.250655 9.456184 9.336354 9.281422 9.248277 9.247964 9.184299 9.237763 9.205928 9.337936 9.274734 9.226592
1367526_at 9.116778 9.05106 9.160498 9.086304 9.119915 8.951158 8.938522 9.014802 9.019897 8.870996 8.803628 8.919294
1367527_at 8.769626 8.904598 8.771397 8.749277 8.717241 8.635872 8.549311 8.505248 8.062389 8.351483 8.610353 8.485593
