ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 20 20 20 60 60 60 200 200 200
1367452_at 9.39952 9.382607 9.845434 9.697096 9.655194 9.563387 9.633626 9.721611 9.719136 9.638242 9.555983 9.520656
1367453_at 9.864684 9.904999 10.036676 10.064014 10.048223 9.992881 10.009756 10.10141 10.094484 10.004798 9.774492 9.611527
1367454_at 9.301992 9.274102 9.681271 9.47744 9.545072 9.349953 9.54936 9.551701 9.245223 9.688331 9.69115 9.545885
1367455_at 10.775732 10.750674 11.258787 11.123806 11.077815 11.071297 11.06183 11.241265 11.146733 11.010022 10.711437 10.868133
1367456_at 11.183906 11.161182 11.584117 11.603494 11.434366 11.497574 11.396028 11.572429 11.465287 11.307984 11.0723095 11.350539
1367457_at 8.354419 8.399559 8.619625 8.393003 8.635856 8.360949 8.622821 8.544669 8.531091 8.613265 8.384189 8.61849
1367458_at 8.4179325 8.382668 8.413885 8.722595 8.550828 8.457292 8.546059 8.559462 8.485805 8.504527 8.663128 8.498293
1367459_at 11.794295 11.827026 12.0419035 12.013438 12.035092 11.971235 12.02855 11.986867 11.980881 11.991516 12.093626 11.981947
1367460_at 10.919865 10.878668 11.184208 11.227671 11.031513 10.955723 11.002446 11.021668 10.913611 10.972881 10.566672 10.829337
1367461_at 9.775171 9.630612 10.016312 9.991931 9.927182 9.935922 10.001624 10.021073 9.769721 9.655265 9.869765 9.785345
1367462_at 10.36848 10.4035425 10.2893305 10.133194 9.862552 10.333196 10.217861 10.473024 10.442321 10.467077 10.014791 9.809379
1367463_at 10.360613 10.393038 10.44031 10.610842 10.814749 10.985526 10.858639 10.680266 10.653052 10.572057 10.483567 10.812779
1367464_at 8.930276 8.881824 9.22702 9.206944 9.098098 8.990108 9.068211 9.234741 8.997646 9.2094145 8.84589 8.92656
1367465_at 9.857497 9.870019 10.202928 9.957228 10.043715 9.906554 9.971264 10.025135 9.924722 10.048672 10.251198 9.923622
1367466_at 9.814742 9.833009 10.05988 10.058026 10.017228 9.960096 9.831068 10.026073 9.7916565 9.875669 9.678616 9.86747
1367467_at 11.064296 11.062485 11.385613 11.287517 11.200244 11.290869 11.310348 11.202144 11.388301 11.084127 10.83972 11.050675
1367468_at 9.354157 9.335979 9.211294 9.110025 9.224603 8.964403 9.210023 9.191797 9.156023 8.825272 8.953945 9.161999
1367469_at 11.018555 11.034145 11.697932 11.698564 11.217492 11.146238 11.383071 11.460006 11.395226 11.561798 11.151795 11.29548
1367470_at 10.079471 10.090227 10.24039 10.032096 10.261044 10.355456 10.129075 10.308568 10.211162 10.066625 10.144814 10.074239
1367471_at 8.433939 8.401475 8.499386 8.4756155 8.497085 8.540123 8.532499 8.407368 8.555342 8.492227 8.414568 8.40197
1367472_at 9.759973 9.726163 9.922663 10.124479 9.972934 9.999808 10.01563 9.947445 9.856374 9.877834 9.579193 9.624086
1367473_at 8.932354 9.012149 9.659404 9.408463 9.3383875 9.057163 9.472881 9.419831 9.324431 9.530321 9.155131 9.298967
1367474_at 9.148706 9.170414 9.530967 9.472667 9.3409815 9.260804 9.257114 9.547181 9.336246 9.415279 8.900382 8.943179
1367475_at 9.822889 9.688116 10.225187 10.091777 10.168721 9.941395 10.282969 10.100492 10.167237 10.011666 9.818187 9.823531
1367476_at 10.212356 10.20057 10.57102 10.630128 10.593377 10.494855 10.678712 10.71341 10.667393 10.675403 10.490218 10.58795
1367477_at 9.577107 9.553454 9.482019 9.661917 9.497503 9.650973 9.6509 9.52571 9.526622 9.424419 9.134123 9.063526
1367478_at 7.3856807 7.493146 8.024353 7.992802 7.8453727 7.9782557 8.123777 8.134172 8.007313 7.9654713 7.892552 8.039674
1367479_at 10.700323 10.644183 10.638298 10.904982 10.7930155 10.572759 10.959751 10.656943 10.675938 10.8201 10.449957 10.471068
1367480_at 9.047701 9.07602 9.241459 9.163715 9.262085 9.055094 9.142034 9.158608 9.088088 9.012501 8.946768 8.782959
1367481_at 8.7144 8.702857 8.645864 8.638727 8.71141 8.447995 8.660145 8.592472 8.635588 8.784107 8.604024 8.597083
1367482_at 9.123744 9.089989 9.45801 9.423233 9.473001 9.24141 9.561369 9.554779 9.444574 9.53337 9.533507 9.440893
1367483_at 7.750968 7.8203793 8.234373 8.1841545 8.158981 7.896123 8.188595 8.272905 8.2060795 8.359938 7.9200935 8.24069
1367484_at 8.225904 8.27079 8.721511 8.651948 8.69034 8.311743 8.549184 8.693514 8.65529 8.625138 8.010735 8.246634
1367485_at 8.901081 9.009533 9.635744 9.39597 9.556945 9.289385 9.395021 9.44915 9.425026 9.328369 9.137628 9.1131
1367486_at 9.524708 9.515787 9.6036005 9.720861 9.705328 9.730467 9.723004 9.659223 9.647103 9.5851965 9.822998 9.62838
1367487_at 7.2689037 7.3092365 7.4849815 7.515306 7.5453224 7.5888076 7.421438 7.5489693 7.6925583 7.461417 7.8067904 7.7027206
1367488_at 6.723412 6.824056 7.513437 7.715417 7.7325106 7.34336 7.6302767 7.506206 7.148125 7.4178724 7.0482197 7.6538243
1367489_at 6.32525 6.4603877 6.5805426 6.704729 6.5695434 6.4706373 6.520524 6.426905 6.7677236 6.6541586 6.7246914 6.5935884
1367490_at 6.866453 6.813399 6.990883 6.8795853 7.009372 6.8320312 6.872929 6.5407443 6.734754 6.9465194 7.086898 6.796556
1367491_at 8.336778 8.297264 8.81069 8.878614 8.672671 8.647469 8.841288 8.900762 8.799059 8.658186 8.524875 8.845384
1367492_at 8.305054 8.264099 8.811059 8.645988 8.567142 8.540264 8.5687685 8.675938 8.665545 8.536923 8.466497 8.46422
1367493_at 8.996265 9.073582 9.487797 9.686066 9.507725 9.5407715 9.756543 9.612036 9.409907 9.435634 9.366011 9.597883
1367494_at 9.167163 9.257736 9.397227 9.307565 9.4601965 8.973396 9.363329 9.252855 9.181852 9.385442 8.931588 8.973438
1367495_at 6.5535374 6.5187435 6.9302564 6.6659718 6.702002 6.6207094 6.8556848 6.7264543 6.557555 6.4146624 6.0152383 5.9603043
1367496_at 10.872244 10.92933 11.142514 11.03543 11.009544 10.916034 11.087386 11.065233 11.067013 11.245391 11.119293 11.193503
1367497_at 7.7576213 7.7943287 8.521559 8.40665 8.302497 8.063428 8.291133 8.277879 8.324972 8.185057 7.85636 8.2310095
1367498_at 8.17443 8.247093 8.574392 8.235929 8.321075 8.431129 8.511258 8.529536 8.612522 8.191135 8.235247 8.005158
1367499_at 7.5475245 7.680837 8.156292 8.098051 8.051895 7.752185 7.9729066 8.067379 7.868474 7.5364137 7.66203 7.9779954
1367500_at 9.443181 9.5045595 9.899195 9.710573 9.758886 9.45418 9.878254 9.628925 9.6746 10.056415 9.646298 9.775796
1367501_at 7.9123297 7.862235 8.216667 8.281476 8.222203 7.958626 8.109567 8.111071 8.079882 8.234656 8.086904 7.980102
1367502_at 7.5871205 7.4935226 7.789215 7.7779436 7.865124 7.4371886 7.9027615 7.8333383 7.435747 7.888674 7.6000323 7.6936474
1367503_at 10.3830595 10.40091 10.496068 10.444342 10.483852 10.505581 10.632295 10.562376 10.470479 10.45555 10.408604 10.456343
1367504_at 7.347235 7.406811 8.086395 7.9024715 7.9548945 7.555848 7.7959647 7.8879085 7.76018 7.760457 7.818693 7.9633746
1367505_at 7.558907 7.557643 7.9739847 7.8927646 7.9666476 7.634634 7.9906254 7.8437557 7.7529564 7.4708767 7.5859027 7.57289
1367506_at 9.298819 9.287552 9.463028 9.316435 9.170743 9.178776 9.449594 9.240065 9.212079 9.364551 9.251882 9.123416
1367507_at 6.64444 6.787224 6.969208 7.004542 6.971933 6.9095936 6.7788463 7.037826 6.8824415 6.5506625 6.273694 6.9059205
1367508_at 7.997498 7.927907 8.250739 8.353116 8.502848 8.479304 8.404083 8.294855 8.264257 8.007099 7.8204846 8.112862
1367509_at 8.856842 8.872117 9.271307 9.073383 8.978026 8.829414 9.065284 9.218579 9.056922 9.22474 8.85944 8.989705
1367510_at 9.154629 9.185891 9.216558 9.258823 9.297577 9.084136 9.368068 9.22273 9.0732 9.351704 8.639458 9.000451
1367511_at 7.817888 7.8606796 8.272893 8.169164 8.188348 7.7820992 8.266932 8.103336 8.035401 8.208528 8.304757 8.31443
1367512_at 10.275244 10.289675 10.768445 10.677938 10.755283 10.508465 10.715574 10.725885 10.610772 10.686546 10.6261215 10.727795
1367513_at 7.6714478 7.6305494 7.498728 7.735912 7.4673505 7.2523136 7.5205765 7.83595 7.741129 7.6745095 7.200873 7.0067997
1367514_at 7.2836075 7.281056 7.5626917 7.3146734 7.360264 7.2290163 7.144129 7.1222363 7.415044 7.294564 7.0313997 7.2068567
1367515_at 5.6806827 5.8486733 7.398622 7.139129 7.20226 6.5514536 6.620552 7.215831 6.6360426 7.056805 6.525171 7.004971
1367516_at 8.117706 8.121869 8.606437 8.445015 8.604656 8.280894 8.65135 8.485971 8.439535 8.238581 8.128944 8.212936
1367517_at 7.3365192 7.393899 7.4518065 7.416272 7.5878077 7.5367174 7.5589924 7.5270796 7.4969983 7.7204676 7.163388 7.3157783
1367518_at 7.815091 7.762844 8.165141 8.072907 8.089266 8.160648 8.212686 8.1059 8.251486 8.135256 8.299484 8.079864
1367519_at 7.888491 7.7811475 7.903213 8.063439 8.076514 7.8672643 8.189358 8.138203 8.097258 7.9141674 7.964425 7.790567
1367520_at 9.262327 9.225751 9.406953 9.528113 9.673341 9.386558 9.573808 9.329827 9.442201 9.544901 9.44286 9.353003
1367521_at 6.331388 6.6916604 6.4131083 6.583798 6.7918124 6.845782 7.0360146 7.078582 7.02912 7.2723036 6.9946404 6.963616
1367522_at 8.997389 9.07943 9.024842 9.062183 8.8770275 9.196844 8.838057 8.961133 9.004202 8.949959 9.028583 9.08754
1367523_at 7.2583385 7.3080583 7.474151 7.468667 7.5393195 7.400161 7.5309944 7.5919676 7.7429047 7.428685 7.571121 7.6414194
1367524_at 7.5566654 7.54708 7.1570883 7.329998 7.375174 7.574732 7.4052 7.470273 7.4547763 7.3042426 7.3721466 7.3637896
1367525_at 8.836862 8.778412 9.221828 9.077997 9.062777 8.900484 9.073572 9.047661 9.014267 9.373493 9.071314 9.061034
