ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 10 10 10 30 30 30 100 100 100
1367452_at 10.267838 10.5201645 10.312974 10.310709 10.289605 10.407266 10.267011 10.294677 10.27137 10.305085 10.197748 10.46623
1367453_at 9.994094 9.889906 10.171783 10.072816 9.588253 9.700981 10.119721 10.154754 10.26064 10.108842 10.226097 10.178227
1367454_at 9.921696 10.385822 9.899482 10.159128 9.991116 10.071059 10.164798 10.093819 9.885057 10.062091 10.225073 10.309725
1367455_at 11.376936 11.696042 11.620353 11.440098 11.463164 11.423102 11.368202 11.512073 11.420755 11.429757 11.630452 11.688948
1367456_at 11.899505 11.986554 11.988332 12.019635 11.997965 12.068717 11.918915 11.943494 11.882673 11.880974 11.894542 11.944967
1367457_at 9.252394 9.165211 9.174797 9.354713 9.107238 9.263966 9.236618 9.332686 9.173244 9.175192 9.198751 9.343932
1367458_at 8.522198 8.031614 8.43969 8.541737 8.157806 8.311457 8.535456 8.54741 8.582117 8.342982 8.658469 8.197259
1367459_at 12.004509 12.362092 12.041827 12.0974455 12.027785 12.150725 12.008198 12.1009245 12.069912 12.099619 12.097195 12.274904
1367460_at 11.332282 11.70932 11.546768 11.521971 11.478952 11.596408 11.5022135 11.463858 11.503879 11.365449 11.37272 11.6791
1367461_at 10.356623 10.435357 10.38455 10.547546 10.519834 10.507458 10.600894 10.526603 10.300094 10.35097 10.452827 10.577804
1367462_at 10.260151 10.7475605 10.706346 10.522753 9.781823 9.9055805 10.76631 10.38822 10.70576 10.6797085 10.321761 10.623437
1367463_at 10.9091835 11.547545 11.264916 11.137429 11.2380705 11.246903 10.911061 11.052993 11.066139 10.657463 10.968314 11.52229
1367464_at 9.659865 9.826174 9.881593 9.794516 9.368713 9.480003 9.735042 9.880431 9.84881 9.939707 9.689637 9.783003
1367465_at 10.278568 10.4223175 10.126905 10.263567 10.237498 10.217026 10.376083 10.361022 10.356561 10.367105 10.285014 10.408321
