ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10
Dose 0 0 0 0.5 0.5 0.5 1.6 1.6 1.6
1367452_at 10.267456 10.175152 10.202934 10.326058 10.309351 10.212616 10.397429 10.149696 10.220499
1367453_at 9.854979 9.702274 9.826216 9.788724 9.780745 9.762723 9.801057 9.738261 9.660386
1367454_at 10.181245 10.082736 9.979751 10.143859 10.134818 10.124543 9.935297 9.976036 10.2245655
1367455_at 11.414052 11.409978 11.355583 11.310792 11.250715 11.408872 11.296059 11.412494 11.408912
1367456_at 11.918243 11.974499 11.958522 11.843481 11.913063 11.986761 12.122972 11.867522 12.033137
1367457_at 9.122003 9.205645 9.050095 9.1411 9.014193 9.120795 9.163428 9.030737 9.166217
1367458_at 8.341003 8.489507 8.192234 8.433439 8.297821 8.281364 8.184261 8.414735 8.334721
1367459_at 12.154144 12.159041 12.122415 12.199976 12.157035 12.150989 12.202359 12.121909 12.146653
1367460_at 11.363913 11.425917 11.320485 11.28766 11.280528 11.480249 11.31561 11.305057 11.478891
1367461_at 10.323726 10.319359 10.3302765 10.311655 10.432951 10.419491 10.41454 10.400107 10.313551
1367462_at 10.188332 10.2592945 10.102949 10.510538 10.503521 9.900365 10.414237 10.589872 10.263285
1367463_at 10.905463 11.014933 11.075509 11.11784 11.193116 11.064947 10.918791 10.828684 11.130617
1367464_at 9.392551 9.502449 9.147109 9.30929 9.277089 9.419375 9.328075 9.302641 9.309586
1367465_at 10.057222 10.114788 9.997991 10.193613 10.160755 9.950617 9.812693 10.124275 9.999118
1367466_at 10.274414 10.20821 10.157396 10.207346 10.2225275 10.167641 10.14659 10.231971 10.276751
1367467_at 11.495639 11.422168 11.434592 11.540327 11.502372 11.410041 11.30092 11.521379 11.512475
1367468_at 9.771342 9.709039 9.698768 9.740778 9.664926 9.751516 9.543115 9.525879 9.596704
1367469_at 11.807309 11.782996 11.765607 11.80546 11.941954 11.699954 11.904568 11.737862 11.88273
1367470_at 10.043976 10.258866 10.028557 10.076663 10.163774 9.991131 10.186359 10.228912 10.172394
1367471_at 8.883663 8.835809 8.647207 8.93138 8.926272 8.744588 8.728637 8.565401 9.011605
1367472_at 10.150999 10.021407 10.014094 9.955792 10.072837 10.049732 10.034305 9.926813 10.104396
1367473_at 9.85083 9.805272 9.803187 9.781245 9.806018 9.784262 9.674821 9.705911 9.842049
1367474_at 9.725364 9.754258 9.115521 9.437124 9.413281 9.434085 9.4411335 9.576757 9.640295
1367475_at 10.556996 10.661313 10.656173 10.525349 10.522286 10.537022 10.590513 10.498125 10.601342
1367476_at 11.053769 11.174162 11.047709 11.300132 11.150501 11.044845 11.01564 11.1817045 11.081502
1367477_at 9.999864 10.115434 9.802473 9.981907 9.997073 9.937423 9.865067 9.93339 9.950485
1367478_at 7.891198 7.8830676 7.8260636 7.9125886 7.875582 7.878922 7.9021516 7.8490825 8.194166
1367479_at 11.170283 11.20727 11.120517 11.266553 11.254767 11.115623 11.178493 11.160811 11.224216
1367480_at 9.470468 9.386244 9.415482 9.491246 9.515101 9.379976 9.422753 9.42646 9.444369
1367481_at 9.382809 9.295373 9.184724 9.2650385 9.115481 9.264336 9.187426 9.104929 9.144769
1367482_at 9.385216 9.463509 9.289106 9.341743 9.442042 9.4300585 9.549409 9.381884 9.310957
1367483_at 8.936321 9.117641 8.784382 8.862169 9.047365 8.945526 8.905387 8.68768 9.007765
1367484_at 9.128399 9.218174 8.948052 9.004798 9.172972 9.116424 9.178482 9.163502 9.291485
1367485_at 10.016802 10.1019745 10.029968 10.057338 10.128433 10.121968 10.185322 10.064979 10.2188225
1367486_at 9.659977 9.707263 9.450716 9.754308 9.557459 9.550686 9.4728985 9.628878 9.527374
1367487_at 7.282899 7.6074557 7.4814057 7.3801312 7.5962143 7.5875063 7.5433455 7.566617 7.2896476
1367488_at 7.5779805 7.782504 7.649882 7.704432 7.7637844 7.6905656 7.6088104 7.83779 7.864381
1367489_at 6.4552236 6.169573 6.4031715 6.67486 6.316847 6.095214 6.5276055 6.282477 6.3486557
1367490_at 7.1834617 7.206622 7.1404357 6.964222 7.0706525 6.9970527 7.198004 7.3470836 7.120035
1367491_at 9.424078 9.290464 9.199371 9.303187 9.351533 9.371903 9.38225 9.22407 9.493587
1367492_at 9.042716 9.1694 8.9518585 8.890091 9.162608 9.058081 9.019893 9.069464 9.156385
1367493_at 9.470575 9.432148 9.34969 9.527449 9.583128 9.390065 9.500564 9.415346 9.499037
1367494_at 9.918465 9.896382 10.018059 10.085145 9.956508 10.001582 9.795616 9.940861 9.938896
1367495_at 7.34526 7.1982374 7.0631137 7.3549466 7.5123777 7.293569 7.2165813 7.2766576 7.277938
1367496_at 11.210796 11.258301 11.142971 11.18138 11.157593 11.304406 11.30386 11.260874 11.175261
1367497_at 8.514293 8.624028 8.479262 8.516164 8.514341 8.555946 8.559957 8.494779 8.540157
1367498_at 8.671834 8.531343 8.491529 8.338313 8.4615 8.537756 8.560895 8.660499 8.736853
1367499_at 8.272083 8.329533 8.23888 8.20627 7.9906034 8.176971 8.144461 8.203852 8.2918625
1367500_at 9.951203 10.193825 9.9671135 9.928153 10.091487 9.919946 9.945676 9.922771 9.942834
1367501_at 8.440655 8.459327 8.284988 8.218145 8.27846 8.169406 8.331843 8.500329 8.396537
1367502_at 8.400753 8.296318 8.456949 8.461749 8.474955 8.237238 8.43972 8.330616 8.400002
1367503_at 10.85339 10.946768 10.977131 10.94874 10.956402 10.969919 10.992206 10.889989 10.862031
1367504_at 7.9689255 7.9628234 7.833677 7.966999 8.114702 8.087063 7.7837462 8.305553 8.224316
1367505_at 8.243272 8.220107 7.953569 7.7280564 7.9159884 7.8973436 7.937503 7.9121656 7.750631
1367506_at 9.793581 9.8098135 9.883464 9.867126 9.833596 9.760189 9.797379 9.748409 9.893313
1367507_at 7.202338 7.389528 7.2786403 7.331012 7.472008 7.0917816 7.050297 7.286474 7.2818522
1367508_at 8.671613 8.569971 8.486442 8.686945 8.703689 8.585445 8.5934105 8.653727 8.754867
1367509_at 9.591497 9.648191 9.389748 9.614335 9.433724 9.390982 9.2140665 9.2796 9.432988
1367510_at 9.722941 9.699705 9.582638 9.660871 9.598679 9.775319 9.441123 9.58264 9.577335
1367511_at 8.4346695 8.332639 8.430061 8.408928 8.361315 8.644372 8.575349 8.26602 8.469657
1367512_at 10.956241 11.037571 10.922686 10.97047 11.035817 11.039241 11.020769 10.916686 10.960463
1367513_at 8.023033 8.258369 8.054295 7.8593187 8.012461 8.158543 8.371921 7.803093 7.974801
1367514_at 7.900429 7.9220934 7.7810674 7.640011 7.8783665 7.722579 7.6145406 7.766562 7.8422804
1367515_at 7.0987935 7.6040373 7.108523 7.0772395 7.5713654 7.583086 7.247538 7.4319243 7.801601
1367516_at 8.890744 8.820508 8.745132 9.00861 9.008496 9.024238 8.880384 8.848576 8.89859
1367517_at 7.5884476 7.717855 7.3822894 7.7353206 7.5102196 7.5389233 7.598853 7.5774317 7.5338635
1367518_at 8.76071 8.684207 8.604203 8.679165 8.567468 8.300877 8.460323 8.647791 8.563423
1367519_at 8.60604 8.435314 8.541677 8.442067 8.561157 8.553959 8.580626 8.623029 8.305059
1367520_at 10.112087 10.010337 10.0991 10.028365 9.985918 9.86575 9.817384 9.818341 9.973592
1367521_at 6.8860464 6.905008 6.682807 6.869954 6.5279117 7.067992 6.7817903 7.2037754 7.03468
1367522_at 9.203072 8.940443 8.894017 9.312927 9.173474 9.193161 9.264729 9.215045 9.031826
1367523_at 8.524073 8.446993 8.398082 8.463285 8.336438 8.619865 8.323059 8.134812 8.505948
1367524_at 7.419352 7.3491173 7.499076 7.548585 7.4330177 7.4914336 7.591908 7.5507107 7.40538
1367525_at 9.068774 9.221081 9.1709 9.117557 9.168433 9.164527 9.065497 9.081196 9.231792
1367526_at 9.031868 9.149746 8.957703 9.10281 9.161953 8.99627 8.991423 9.03766 8.945685
1367527_at 7.8394303 8.281426 7.996869 7.7280564 8.096721 8.223375 7.8403883 7.895673 8.241239
1367528_at 9.127786 9.313791 9.116101 8.75949 9.093733 9.030644 9.062694 9.026201 9.392658
1367529_at 9.093119 9.178098 8.950388 9.041125 9.171894 9.234243 9.081802 9.259601 9.138436
1367530_at 7.729373 7.652739 7.292816 7.668833 7.6249905 7.7333727 7.7808166 7.5774317 7.685224
1367531_at 10.748709 10.799667 10.571316 10.7106495 10.582804 10.69996 10.7873535 10.707017 10.815805
1367532_at 11.300601 11.235457 11.328093 11.343385 11.315899 11.32231 11.2993 11.203912 11.236358
1367533_at 8.607844 8.569516 8.265379 8.498582 8.488256 8.322179 8.504146 8.384335 8.603815
1367534_at 7.412607 7.6246576 7.466438 7.524031 7.22943 7.3134856 7.2267504 7.349052 7.4995046
1367535_at 8.901149 9.023039 8.942488 8.886584 8.862947 8.800778 8.810366 9.03766 8.914861
1367536_at 7.8269854 7.9282603 7.763658 7.801958 7.7754936 7.9058375 7.6276927 7.8596663 7.8177814
1367537_at 7.682465 7.693845 7.2787957 7.299658 7.5666466 7.519379 7.291542 7.6211042 7.695133
1367538_at 6.9468813 6.9765644 6.78526 6.8598886 6.751268 6.920974 6.7785544 6.9489994 7.1529346
1367539_at 8.518581 8.515599 8.132508 8.454353 8.603979 8.276183 8.243943 8.296219 8.444319
1367540_at 7.683166 7.3973784 7.31918 7.04954 7.0214643 7.3589916 7.3937507 7.198264 7.4658647
1367541_at 7.6198874 7.689077 7.514603 7.593129 7.588359 7.505805 7.641574 7.6385646 7.9575706
1367542_at 8.046426 8.122836 7.9142556 8.099144 7.9129305 8.116287 8.088378 8.198153 8.152655
1367543_at 8.621156 8.835753 8.634969 8.633614 8.679703 8.630396 8.542849 8.594789 8.488619
1367544_at 6.7273498 6.7340775 6.102134 6.2700095 6.282482 6.6509404 6.596684 6.3865833 6.5754023
1367545_at 7.3269234 7.1483846 7.144814 6.82846 6.832451 6.9775853 6.71204 6.8234205 7.3240113
1367546_at 10.254306 10.483378 9.967478 10.463636 10.252436 10.380631 10.321916 10.405826 10.316599
1367547_at 7.9548864 8.005388 7.6981444 7.734195 7.7766814 7.9615674 7.8873553 7.7739224 8.008276
1367548_at 8.631209 8.6368885 8.3648815 8.64072 8.53486 8.450224 8.607981 8.430053 8.621251
1367549_a_at 10.690708 10.768006 10.764409 10.638549 10.533184 10.763106 10.596095 10.671155 10.747311
1367550_a_at 8.365543 8.436637 8.157575 8.167071 8.286846 8.381848 8.103228 8.536686 8.2918625
1367551_a_at 9.19695 9.239487 9.0145645 9.19878 9.155577 9.076533 8.992577 9.012147 9.217667
1367552_at 4.3953876 4.434888 4.6179996 4.2825317 4.061975 4.4183674 4.5866923 4.6558676 4.32688
