ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 6 6 6 20 20 20 60 60 60
1367452_at 10.06532 10.012478 9.954457 9.984927 9.976163 10.073186 9.990717 10.095194 10.064982 10.100866 10.052842 9.966729
1367453_at 10.214493 10.331491 10.246132 10.280058 10.273062 10.1506605 10.292373 10.244876 10.202927 10.298303 10.330772 10.015488
1367454_at 9.746918 9.686513 9.791725 9.611326 9.693362 9.740104 9.793569 9.835567 9.782141 9.588187 9.774812 9.756987
1367455_at 11.396431 11.219681 11.246027 11.349328 11.200053 11.328537 11.328397 11.292704 11.17861 11.217086 11.3365965 11.282459
1367456_at 11.688318 11.74374 11.7443 11.77141 11.69149 11.801035 11.771938 11.676019 11.754331 11.713618 11.7861805 11.691552
1367457_at 8.744978 8.583483 8.836221 8.862024 8.589737 8.71069 8.763958 8.609662 8.588048 8.684327 8.700285 8.638544
1367458_at 8.793657 8.965448 8.956359 8.900043 8.883697 8.828001 8.888807 8.872664 8.86514 8.755093 8.917668 8.764019
1367459_at 12.217079 12.142103 12.158758 12.178165 12.149715 12.283794 12.223953 12.2334585 12.183867 12.092986 12.1857815 12.124765
1367460_at 11.3616905 11.414738 11.357037 11.39648 11.347973 11.35471 11.309539 11.359997 11.380075 11.420308 11.509216 11.245633
1367461_at 10.039824 9.889731 9.929582 10.048688 9.928475 10.003669 10.183413 9.929501 9.922182 9.87121 9.841671 9.93308
1367462_at 10.771077 10.9763775 10.653683 10.836886 10.656402 10.78173 10.425548 10.774457 10.732679 10.720324 10.387852 10.180571
1367463_at 11.209043 11.007343 10.661772 10.81253 10.856045 10.871765 10.813328 11.057113 11.230695 11.019475 11.015744 11.172214
1367464_at 9.055704 9.279499 9.440389 9.566996 9.394481 9.412949 9.247907 9.436614 9.325707 9.333337 9.474155 9.284474
1367465_at 10.160671 10.260097 10.348721 10.351255 10.241063 10.211978 10.159875 10.370838 10.259462 10.195915 10.261685 9.956941
1367466_at 10.085662 9.785046 9.925039 10.034625 9.947381 9.933879 10.035498 9.8609705 9.88573 9.770519 10.074622 9.946459
1367467_at 11.527042 11.46378 11.456877 11.446871 11.596119 11.574708 11.366103 11.402934 11.467715 11.62979 11.578663 11.535108
1367468_at 10.118894 10.078597 10.129265 9.936392 9.780447 9.815104 9.889167 9.997062 9.852019 9.822118 9.895038 9.843585
1367469_at 11.8022 11.638142 11.564214 11.88627 11.613169 11.560959 11.704518 11.744497 11.587688 11.680682 11.6871 11.614336
1367470_at 10.332262 10.25831 10.195514 10.413191 10.3066635 10.272065 10.429961 10.288255 10.2929735 10.134694 10.28078 10.201628
1367471_at 8.865792 8.763873 9.03936 8.916235 8.846759 8.7569685 8.683912 8.834754 8.807705 8.843246 8.914324 8.700712
1367472_at 10.21865 10.154204 10.205762 10.331347 10.157124 10.164455 10.257784 10.226864 10.054529 10.159276 10.435155 10.243345
