ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 50 50 50 100 100 100 200 200 200
1367452_at 10.3752365 10.440262 10.344591 10.375629 10.407105 10.261055 10.500196 10.255858 10.432246 10.390897 10.538336 10.486553
1367453_at 10.177119 10.146853 10.25234 10.201414 10.172937 10.055127 10.143398 10.134421 10.181704 10.229916 10.150934 10.167014
1367454_at 10.080137 10.011184 10.178783 10.05924 9.944286 9.992209 9.937545 9.975551 9.8773 9.9745865 9.946148 10.064011
1367455_at 11.110428 11.271331 11.275729 11.49359 11.216109 11.391032 11.335773 11.441023 11.362513 11.373907 11.202045 11.453018
1367456_at 11.928498 11.951754 11.843666 11.919603 11.816968 11.865942 11.894422 11.903302 11.777809 11.863557 11.867717 12.00055
1367457_at 9.367254 9.339185 9.040661 9.243943 9.326157 9.125039 9.273418 9.230661 9.069798 9.197737 9.23121 9.318601
1367458_at 8.442157 8.29344 8.427563 8.405479 8.495774 8.2898655 8.406025 8.439148 8.404549 8.363443 8.315912 8.332265
1367459_at 12.097627 12.1670065 12.145892 12.127124 12.1027 12.118762 12.116742 12.092277 11.978765 12.116982 12.065227 12.19422
1367460_at 11.369048 11.460397 11.317285 11.46098 11.372211 11.39508 11.408087 11.35101 11.289597 11.389981 11.38295 11.436591
1367461_at 10.205089 10.262773 10.423407 10.223658 10.391633 10.330027 10.329764 10.261602 10.238189 10.283049 10.146061 10.3452425
1367462_at 10.879175 10.738397 10.817895 10.523651 10.868318 10.59113 10.5177 10.571754 10.581696 10.940026 10.933108 10.203111
1367463_at 11.165342 10.988422 10.678379 11.0552635 11.082548 10.875142 11.043895 10.977957 11.229996 11.02038 11.098432 11.04699
1367464_at 9.526738 9.662632 9.6902 9.6224785 9.531506 9.490369 9.69316 9.699727 9.759234 9.566128 9.553494 9.627989
1367465_at 10.558519 10.420027 10.28566 10.2383 10.341612 10.431711 10.507106 10.3231325 10.429822 10.497703 10.346313 10.22883
1367466_at 10.113837 9.944614 10.110149 10.100869 10.007544 10.092995 10.015732 10.04263 9.9533415 9.823531 9.990484 10.033138
1367467_at 11.573619 11.569056 11.4808445 11.522222 11.58358 11.707526 11.662508 11.570803 11.595234 11.662233 11.716025 11.412313
1367468_at 10.063431 10.0722275 10.139333 9.945382 10.115074 9.933367 9.784316 10.014049 10.167168 10.025402 10.394895 9.981622
1367469_at 11.542105 11.5986 11.499946 11.693128 11.568757 11.631848 11.840385 11.615926 11.4139805 11.525132 11.545853 11.904857
1367470_at 10.038302 10.07962 10.259258 10.316117 10.120024 10.150782 10.291428 10.107025 10.1916 10.121347 10.118667 10.353189
1367471_at 9.128701 9.257097 9.00095 9.244305 8.830634 9.151795 8.983535 9.062087 9.095984 9.202122 9.289064 9.041711
1367472_at 10.192791 10.219639 10.212196 10.264803 10.138396 10.066609 10.27308 10.162621 10.086186 10.258282 10.177622 10.347346
1367473_at 9.826639 9.924726 9.6766405 9.720646 9.973509 9.829315 9.960663 9.832874 9.89464 9.838024 10.063267 9.910055
1367474_at 9.655844 9.677596 9.646789 9.735383 9.651159 9.59837 9.622682 9.765349 9.687773 9.730424 9.563998 9.942005
1367475_at 10.581057 10.670204 10.422279 10.523814 10.562159 10.612904 10.618605 10.538917 10.598419 10.469976 10.6350975 10.658588
1367476_at 11.216574 11.273897 11.09986 11.209238 11.194096 11.316763 11.319617 11.099056 11.190707 11.151165 11.463329 11.012149
1367477_at 10.480133 10.546965 10.279103 10.453546 10.373853 10.301757 10.355593 10.344227 10.455004 10.532348 10.432196 10.225059
1367478_at 7.696215 8.023403 7.97465 7.790473 7.8022 8.009276 7.7392693 7.9352283 7.823546 8.046811 7.504638 8.0431
1367479_at 11.474286 11.414959 11.334775 11.392361 11.392493 11.424579 11.375331 11.434988 11.405904 11.394205 11.610279 11.2329855
1367480_at 9.599035 9.696958 9.686572 9.644037 9.739047 9.573915 9.55637 9.539824 9.464435 9.641766 9.559084 9.616141
1367481_at 9.379929 9.606082 9.36059 9.561665 9.456 9.405697 9.507764 9.494346 9.412195 9.666987 9.541803 9.418445
1367482_at 9.765615 9.765425 9.843622 9.626757 9.744261 9.558728 9.568631 9.605916 9.881471 9.907657 10.003607 9.5880575
1367483_at 9.108412 9.29254 9.138885 9.205879 9.039675 9.197356 9.25947 8.889133 9.376626 9.11878 9.327635 9.146663
1367484_at 9.184832 9.600976 9.089549 9.404639 9.176375 9.29995 9.437998 9.221645 9.1624 9.131909 9.183335 9.253932
1367485_at 9.993172 10.119974 9.891546 9.953662 9.939851 9.933367 10.063474 9.944775 9.8480625 9.863905 10.078238 9.888059
1367486_at 9.879666 9.750335 9.663009 9.875442 9.670431 9.723519 9.873854 9.726037 9.633908 9.644066 9.705621 9.603256
1367487_at 6.7319913 7.3164682 7.1720037 7.0101743 7.1746936 7.25859 7.0025177 6.9046946 6.9033237 6.9427013 7.1431913 7.169192
1367488_at 7.621555 7.764093 7.010993 7.2799582 6.9807096 7.830355 7.8660126 7.4264383 7.567529 7.777839 7.8110037 8.077873
1367489_at 6.454122 6.6937037 6.8262544 6.4679117 6.5015545 6.4143972 6.2170033 6.1466556 6.214333 6.2274675 6.2848234 6.111488
1367490_at 7.1462054 7.314554 7.3051777 7.4060626 7.178482 7.1298113 7.33644 7.3252907 7.4259763 7.536337 7.1782327 7.548717
1367491_at 9.432554 9.364728 9.171934 9.433012 9.117782 9.163635 9.03767 9.053962 9.152178 9.240438 8.950531 9.136212
1367492_at 9.152189 9.27324 9.1064625 9.132324 9.10737 9.16272 9.263422 9.009368 9.075757 9.02768 9.275379 9.134258
1367493_at 9.5316925 9.550365 9.75144 9.684323 9.682184 9.556213 9.657986 9.682424 9.495693 9.71843 9.699109 9.640533
1367494_at 10.260301 10.343737 10.229359 10.057411 10.227084 10.132193 10.122535 10.19333 10.170214 10.1252165 10.183038 10.08301
1367495_at 7.4146748 8.042513 7.7180243 7.556972 7.594519 7.562914 7.9007273 7.579477 7.7999964 7.7839546 8.0091095 7.582901
1367496_at 11.242062 11.165311 11.190235 11.338449 11.036904 11.255081 11.338198 11.254141 11.107065 11.35604 11.2582245 11.244853
1367497_at 8.812937 8.862954 8.4016285 8.71099 8.504674 8.758946 8.729089 8.925397 8.744564 8.697802 8.649933 8.575675
1367498_at 8.522204 8.871663 8.580438 8.695381 8.123709 8.926027 8.75987 8.463267 8.906262 8.885644 8.951631 8.853964
1367499_at 7.833004 8.044371 8.115925 7.860169 7.8702354 8.368965 8.389309 8.205273 8.332146 7.922076 8.307234 8.348846
1367500_at 10.1504755 10.464875 9.936427 10.041599 10.01828 10.275089 10.1418915 10.02994 10.017711 10.179901 10.465336 10.200095
1367501_at 8.722054 8.678942 8.833334 8.680696 8.487498 8.768676 8.671684 8.703428 8.945955 8.661877 8.847748 8.513069
1367502_at 8.255447 8.757819 8.391504 8.644456 8.386188 8.344956 8.44408 8.611016 8.595508 8.632208 8.502343 8.381571
1367503_at 11.180494 11.264732 11.2726145 11.089946 11.234869 11.01617 11.176473 11.144279 11.155624 11.086852 10.967198 11.010415
