ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 10 10 10 30 30 30 100 100 100
1367452_at 10.021921 9.765733 10.026754 9.82364 10.010456 10.026279 9.905137 9.934747 9.793823 10.041189 10.067647 9.891338
1367453_at 9.909508 9.899491 9.864821 9.760319 9.922379 9.8247385 9.859483 9.882818 9.896906 10.069726 9.991086 9.978827
1367454_at 9.681486 9.392003 9.470788 9.346714 9.389806 9.508844 9.458321 9.53806 9.52775 9.60301 9.457916 9.301353
1367455_at 11.347706 11.186379 11.370503 11.114127 11.356501 11.463669 11.293269 11.426243 11.16482 11.373644 11.52429 11.297073
1367456_at 11.487334 11.501918 11.786465 11.482913 11.661671 11.78189 11.627542 11.607446 11.514237 11.918784 11.655161 11.556285
1367457_at 8.878103 8.605747 8.731994 8.402708 8.818229 8.788986 8.647168 8.689496 8.516712 8.901004 8.869253 8.7063465
1367458_at 8.787415 8.867957 8.871294 8.606614 8.848099 8.928082 8.845753 8.771997 8.6867695 8.891162 8.864593 8.845227
1367459_at 12.191246 12.095873 12.188125 11.941767 12.151834 12.132058 12.090045 12.182002 11.964024 12.19399 12.167295 12.094662
1367460_at 11.516923 11.245533 11.311236 11.142467 11.321015 11.43874 11.304029 11.141861 11.0471525 11.435821 11.434559 11.344268
1367461_at 10.005075 9.835835 10.172335 9.771444 9.919333 10.177015 9.933153 9.865787 9.834914 9.996288 10.003133 9.825307
1367462_at 10.811069 10.845081 10.343872 10.577184 10.752521 10.570749 10.277623 11.039576 10.681591 10.670742 11.042883 10.763722
1367463_at 10.9479265 10.750305 11.00877 10.5700245 10.601964 10.824118 10.602658 10.988071 10.64542 11.031912 11.203426 10.801358
1367464_at 9.349966 9.166174 9.3559675 8.984433 9.198833 9.347239 9.262656 9.176462 9.068973 9.271349 9.203788 8.93508
1367465_at 10.362292 10.060978 10.080159 10.117408 10.141841 10.061605 9.761552 10.119374 9.972657 10.339415 10.327997 10.365058
1367466_at 9.896361 9.929289 10.050657 9.845953 9.8964615 10.067511 9.918418 9.883577 9.68501 9.819438 9.909644 9.890794
1367467_at 11.689392 11.392962 11.4864855 11.2803545 11.635344 11.38066 11.458197 11.455686 11.208477 11.537165 11.474489 11.623279
1367468_at 9.616784 9.417316 9.585888 9.315855 9.552664 9.481052 9.460154 9.251342 9.179548 9.631629 9.36118 9.53964
1367469_at 11.654672 11.656689 11.979431 11.618214 11.79916 12.039896 11.750914 11.898986 11.541958 11.818961 11.766621 11.456923
1367470_at 10.222901 9.963475 10.284375 9.9936075 10.087105 10.332593 10.021876 10.041963 9.9763155 10.193921 10.337662 10.061536
1367471_at 8.765658 8.464991 8.449248 8.420713 8.437283 8.506667 8.487512 8.327038 8.251265 8.774991 8.666821 8.663617
1367472_at 10.263175 10.08675 10.130346 9.91856 10.15027 10.178495 9.954778 9.994922 9.941886 10.154193 10.16438 10.012973
1367473_at 10.015938 9.928795 10.061243 9.681623 10.026893 10.023317 10.0660925 9.840717 9.696582 10.041907 9.940536 9.876327
1367474_at 9.898874 9.762133 9.930743 9.3794565 9.733931 9.855775 9.64638 9.63696 9.571699 9.760154 9.732225 9.59451
1367475_at 10.503992 10.34296 10.348745 10.082395 10.309794 10.48766 10.328411 10.341425 10.144496 10.561289 10.563124 10.468676
1367476_at 11.307284 10.826125 11.143367 10.706356 10.951335 10.868345 10.947595 10.902829 10.688869 11.258426 11.136434 11.14242
1367477_at 9.839109 9.58634 9.786373 9.600005 9.577316 9.6711035 9.786674 9.6145735 9.653759 9.817585 9.71015 9.981353
1367478_at 8.082172 8.192747 8.017456 7.9921017 8.073462 8.128305 8.263893 8.0798435 8.00902 8.091532 8.117233 8.189018
1367479_at 11.0924635 10.817222 10.831906 10.646194 10.970727 10.904254 10.700292 10.934859 10.676369 10.989996 10.950133 11.078307
1367480_at 9.365444 9.216363 9.321176 9.193315 9.14433 9.290508 9.3243 9.014126 9.116674 9.311594 9.276502 9.249121
1367481_at 8.991322 8.840565 8.8528385 8.707756 8.846018 8.8731985 8.824812 8.766436 8.640829 9.142299 8.980926 8.94289
1367482_at 9.689596 9.4443865 9.359559 9.1011305 9.364206 9.37129 9.123874 9.418865 9.255982 9.614664 9.3329115 9.426922
1367483_at 8.4829445 8.147856 8.407087 8.240326 8.38896 8.433308 8.323493 8.212692 8.3460865 8.666273 8.392342 8.447685
1367484_at 9.312173 8.996703 9.314571 8.933616 9.092067 9.05822 9.084545 8.944148 8.929166 9.098652 9.12971 8.889488
1367485_at 9.591902 9.422235 9.70159 9.226491 9.638013 9.619802 9.517863 9.55443 9.237285 9.671456 9.552076 9.352782
1367486_at 9.595513 9.409202 9.550986 9.301969 9.500822 9.530067 9.291612 9.386326 9.26751 9.480317 9.34368 9.339435
1367487_at 7.5920973 7.503816 7.465877 7.4775524 7.6377597 7.7285476 7.282687 7.6166162 7.5595055 7.83135 7.815509 7.6678686
1367488_at 7.5695686 7.7958407 8.147066 7.9066772 8.013395 7.8085523 7.7869663 8.082697 7.6028075 7.9827123 8.196516 7.93366
1367489_at 6.836873 6.6340985 6.6628065 6.7303977 6.7089405 6.785264 6.644229 6.705536 6.514829 6.824846 6.769563 6.5799913
1367490_at 6.9461865 6.7960277 7.034748 6.752223 6.8211265 6.733249 6.7268295 6.813561 6.6339293 7.223926 6.9999146 6.7864237
1367491_at 9.095004 8.849478 9.118898 8.802597 8.937167 9.0204315 8.936755 8.931201 8.726192 9.078984 8.994988 8.809895
1367492_at 8.901942 8.734158 8.825615 8.440632 8.665998 8.731069 8.6235285 8.694513 8.43429 8.762181 8.783553 8.6192875
1367493_at 9.517732 9.43193 9.761257 9.394392 9.661184 9.670166 9.491516 9.626393 9.472854 9.688552 9.602761 9.50472
1367494_at 9.664928 9.439002 9.6121435 9.400303 9.561921 9.548656 9.319583 9.484885 9.443737 9.519428 9.351817 9.463107
1367495_at 6.9966555 6.5068045 6.943743 6.3862433 6.7828703 7.0198617 6.706092 6.6741176 6.813993 7.166196 7.045851 6.9229946
1367496_at 11.26494 11.128521 11.143154 10.985115 11.18941 11.222724 10.978372 11.105148 10.96172 11.301373 11.332725 11.152169
1367497_at 8.616649 8.53426 8.554093 8.443768 8.629887 8.509877 8.330694 8.442133 8.199405 8.5848255 8.565491 8.565215
1367498_at 8.6835985 8.305999 8.511108 8.530975 8.486933 8.3824415 8.300456 8.627256 8.206826 8.70536 8.81836 8.8204
1367499_at 8.095734 8.220684 8.308546 8.092798 8.247379 8.166132 7.967594 8.080904 8.12129 8.257462 8.102596 8.254583
1367500_at 10.145592 9.814111 9.7702055 9.576151 9.915185 9.942105 9.717296 9.940346 9.671246 10.070759 9.758612 10.060722
1367501_at 8.572514 8.57619 8.638899 8.385949 8.604173 8.626457 8.471494 8.664725 8.516977 8.5401 8.64517 8.545738
1367502_at 8.368597 7.990258 8.173453 7.8159146 8.120045 8.1333475 7.898818 8.030066 7.7862883 8.335159 8.137067 8.263105
1367503_at 10.73412 10.626367 10.726168 10.485766 10.641851 10.667861 10.613647 10.646018 10.475557 10.873739 10.790112 10.797033
1367504_at 8.417179 8.118519 8.318296 7.92907 8.230843 8.119436 8.088434 8.249958 7.9843783 8.238705 8.384768 8.145124
1367505_at 7.9178658 7.8234854 8.025303 7.675074 7.645256 7.6689696 7.594403 7.693139 7.8266025 7.867037 7.8952384 7.51729
1367506_at 9.592649 9.391792 9.359287 9.277021 9.195819 9.253603 9.482787 9.31988 9.214889 9.542321 9.36546 9.516415
1367507_at 7.4102817 7.1454816 7.2385807 6.6900706 7.0873494 7.1785784 6.981859 7.11379 6.900129 7.1484237 7.089507 7.009134
1367508_at 8.797204 8.475756 8.595324 8.25878 8.418073 8.373161 8.450876 8.4050865 8.265965 8.799932 8.4888525 8.564014
1367509_at 9.664498 9.324464 9.383037 9.293158 9.363396 9.339098 9.303476 9.303255 9.136738 9.717194 9.499245 9.555138
1367510_at 9.792962 9.650565 9.563389 9.590833 9.538508 9.67874 9.533307 9.517282 9.427287 9.76389 9.805792 9.578291
1367511_at 8.156718 7.9563646 7.9821353 7.875882 7.9298 8.082185 7.8342566 7.981212 7.802249 8.1901045 8.193144 7.9376783
