ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
Dose 0 0 0 45 45 45 150 150 150 450 450
1367452_at 9.566746 9.775848 10.004851 9.866219 9.787333 9.824606 9.827868 9.736823 9.762736 9.871587 9.778865
1367453_at 9.6739025 9.779395 9.90318 9.901297 9.825114 9.763954 9.821789 9.829931 9.962972 9.846748 9.86862
1367454_at 9.380659 9.4445715 9.399315 9.489489 9.305749 9.386418 9.388991 9.484022 9.345272 9.37395 9.341625
1367455_at 10.55577 10.682582 10.891009 10.792138 10.701025 10.679943 10.754837 10.763906 10.651422 10.594255 10.747948
1367456_at 11.212914 11.444331 11.362325 11.463018 11.193183 11.385664 11.355325 11.414971 11.472014 11.518378 11.533462
1367457_at 8.360211 8.493462 8.579605 8.545736 8.3615675 8.370357 8.308257 8.388876 8.460417 8.160341 8.288938
1367458_at 8.398488 8.569683 8.653221 8.532659 8.504151 8.437306 8.4363365 8.512417 8.473409 8.571968 8.382479
1367459_at 11.910387 12.040441 12.093859 12.097548 12.001818 12.021292 12.052297 11.981485 11.961839 11.987435 12.061889
1367460_at 10.770739 10.969888 11.062279 10.915108 10.949025 10.962916 10.70109 10.892805 10.93648 10.591442 10.708134
1367461_at 9.629039 9.641296 9.749685 9.745244 9.596924 9.647779 9.714291 9.577553 9.585506 9.679372 9.692145
1367462_at 10.60696 10.281145 10.603307 10.346171 10.394797 10.367737 10.229052 10.205556 10.161747 10.023708 10.30377
1367463_at 10.403075 10.78372 11.168366 11.09781 10.914668 10.832065 10.734432 10.630352 10.98482 10.841885 11.000645
1367464_at 8.748854 8.952909 9.033547 8.895032 8.997795 8.805166 8.865323 8.983608 9.0245695 8.946885 9.128313
1367465_at 9.97502 9.937605 10.082869 10.008279 9.993253 9.905789 9.952553 9.792051 9.836506 9.919803 9.907913
1367466_at 9.674054 9.761005 9.711208 9.7436285 9.705464 9.81998 9.537569 9.902989 9.663492 9.701605 9.966971
1367467_at 11.191462 11.31366 11.346665 11.38069 11.244025 11.274643 11.331627 11.240314 11.238776 11.392145 11.349256
1367468_at 9.47074 9.279657 9.468225 9.640186 9.45298 9.298433 9.587504 9.270594 9.409824 9.7821665 9.461955
1367469_at 11.014564 11.222132 11.370511 11.2516365 11.021401 11.20381 10.936774 11.201792 11.19354 11.120961 11.179715
1367470_at 9.836291 10.046116 10.075079 10.023561 9.746017 10.007465 10.009625 9.897558 9.933402 10.0056925 9.991843
1367471_at 8.270755 8.518726 8.617131 8.625564 8.581773 8.556194 8.748539 8.561759 8.582767 8.667551 8.620038
1367472_at 9.64897 9.773753 9.881802 9.874814 9.633619 9.687307 9.769897 9.69982 9.71408 9.537775 9.682747
1367473_at 9.661361 9.828757 9.803465 9.786393 9.664377 9.883607 9.538086 9.655621 9.70685 9.85331 9.778371
1367474_at 9.367757 9.470268 9.57134 9.450936 9.38057 9.314888 9.441348 9.226417 9.1580925 9.223329 9.4305
1367475_at 9.927606 10.089566 10.265685 10.064901 10.076998 9.970132 9.976457 9.99 9.996853 9.82315 9.972383
1367476_at 10.659767 10.764534 10.809254 10.645615 10.716709 10.770668 10.564387 10.69007 10.733249 10.751694 10.8378
1367477_at 9.488548 9.52805 9.640121 9.600155 9.767401 9.424442 9.68714 9.502066 9.536569 9.483126 9.67644
1367478_at 7.996437 8.031695 8.18091 8.282635 8.261933 8.117706 8.320854 7.993764 8.062502 7.98883 7.9102063
1367479_at 10.836899 10.896321 10.918175 10.993885 10.919507 10.794149 10.920179 10.911079 10.907008 11.039876 10.999901
1367480_at 8.928995 9.24538 9.330018 9.336069 9.162782 9.297304 9.155467 9.223225 9.143351 9.230237 9.27451
1367481_at 8.823641 8.869606 8.899506 8.998575 8.819531 8.785352 8.736335 8.894284 8.81192 8.946394 8.9564085
1367482_at 9.441817 9.348673 9.499463 9.557041 9.479073 9.23757 9.50071 9.377283 9.428957 9.359251 9.421762
1367483_at 8.288757 8.361879 8.483957 8.520758 8.383289 8.302971 8.338318 8.401533 8.240175 8.303202 8.399317
1367484_at 8.491911 8.694626 8.554194 8.708252 8.54578 8.521413 8.620177 8.540007 8.667979 8.829562 8.755684
1367485_at 9.057003 9.097924 9.25395 9.125751 8.966471 9.049748 8.878153 9.035972 9.061834 9.110804 9.118829
1367486_at 9.084011 9.206647 9.174953 9.169258 9.176457 8.987763 9.143334 9.141993 9.263136 9.082916 9.282093
1367487_at 7.6860747 7.7341013 7.656304 7.725596 7.6387815 7.631211 7.704497 7.4769745 7.6018243 7.840153 7.3911753
1367488_at 7.095303 7.3922544 7.4733443 7.441814 7.5477505 7.4604716 7.2945023 7.2217274 7.308699 7.3544087 7.68259
1367489_at 6.4927034 6.394721 6.2304354 6.5620413 6.5857763 6.5663886 6.5264916 6.385956 6.6483326 6.5161786 6.478976
1367490_at 6.41965 6.7147064 6.8129067 6.6631656 6.281289 6.708003 6.8041253 6.6769905 6.6075134 6.3899274 6.667086
1367491_at 8.683925 8.74043 8.77097 8.7367325 8.539235 8.633974 8.7128315 8.802193 8.548579 8.651279 8.80048
1367492_at 8.566066 8.560027 8.637269 8.604082 8.60553 8.384254 8.630978 8.513265 8.614044 8.628227 8.650396
1367493_at 9.381764 9.414443 9.499028 9.368665 9.365219 9.501734 9.531715 9.41219 9.419354 9.471156 9.494713
1367494_at 9.6102705 9.41859 9.679062 9.539076 9.496577 9.648479 9.495015 9.482197 9.518359 9.225596 9.330554
1367495_at 6.429128 6.452112 6.537764 6.729838 6.509777 6.728471 6.725411 6.4286456 6.583117 6.5833287 6.4414425
1367496_at 10.740773 10.945646 10.942638 10.812749 10.72063 10.692621 10.762871 10.781819 10.718885 10.8256645 10.773868
1367497_at 8.116008 8.130393 8.234597 8.293104 8.039792 7.9126797 8.060482 8.183477 8.139038 8.132589 7.9536066
1367498_at 8.09382 8.199462 8.137634 8.052956 7.9846635 8.29619 7.891959 8.025382 8.116386 8.095795 8.143888
1367499_at 7.8163767 7.6574655 8.008608 7.7627225 7.7608776 7.8103123 7.725524 7.6971054 7.7521763 7.8509593 7.7964983
1367500_at 9.517518 9.56418 9.756091 9.749906 9.761779 9.604543 9.672695 9.620096 9.610475 9.515076 9.538555
1367501_at 8.427577 8.42725 8.585549 8.409468 8.507907 8.453174 8.437902 8.435244 8.425531 8.244245 8.416578
1367502_at 7.8542295 7.899137 7.9314957 8.0791855 7.918115 7.9810576 7.7946424 7.913191 7.977177 7.9459 7.959709
1367503_at 10.494679 10.549487 10.724525 10.652533 10.614542 10.641845 10.472903 10.554948 10.595683 10.398115 10.446677
1367504_at 7.8771334 7.8477316 7.8848753 7.9095016 7.8974247 7.885399 7.8990192 7.788592 7.7208886 8.044579 7.8766036
1367505_at 7.5500927 7.5140405 7.7466583 7.9046392 7.5747633 7.7704678 7.691141 7.7174444 7.602174 7.7737164 7.7581863
1367506_at 9.574711 9.67628 9.6383915 9.696101 9.925557 9.692161 9.7075 9.62772 9.670605 9.6562 9.712644
1367507_at 6.876897 6.883025 7.0061913 7.0389886 6.9807925 6.8663163 7.0732713 6.7338877 6.9302945 6.899182 6.932708
1367508_at 8.2904825 8.469367 8.472708 8.543522 8.450502 8.386794 8.397711 8.346508 8.416365 8.389447 8.497805
1367509_at 9.28685 9.279011 9.3776245 9.468935 9.399067 9.391485 9.25814 9.2647085 9.41127 9.329157 9.268913
1367510_at 9.253386 9.37578 9.646874 9.485009 9.4793825 9.230017 9.307566 9.315883 9.393155 9.345959 9.293479
1367511_at 7.597666 7.708398 7.8802724 7.9008408 7.6382165 7.51224 7.709582 7.756488 7.767377 7.6927557 7.637149
1367512_at 10.45964 10.538959 10.657219 10.644156 10.58141 10.586259 10.48247 10.397587 10.452669 10.459312 10.606052
1367513_at 7.72425 7.8098636 7.762943 8.081968 7.7374353 7.8926177 7.961425 7.673406 7.9416313 7.7537546 7.4885764
1367514_at 7.1876397 7.1822844 7.26611 7.177424 7.1270366 7.0804033 7.140358 7.0626793 7.170887 7.0427794 7.128808
1367515_at 6.578751 6.870433 6.4972296 6.4963717 6.466637 6.6211085 6.521765 6.3742576 6.5486026 6.8092794 6.758131
1367516_at 8.517648 8.302595 8.694374 8.578814 8.367743 8.423243 8.511347 8.576729 8.4386215 8.58584 8.376078
