ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10
Dose 0 0 0 0.3 0.3 0.3 1 1 1
1367452_at 10.24853 10.368619 10.34292 10.42701 10.287511 10.483041 10.547827 10.497546 10.4367075
1367453_at 9.971178 10.058626 10.134888 10.041058 10.062456 10.017822 10.066651 10.114135 10.015523
1367454_at 9.766737 10.022628 9.989544 9.986711 10.010895 9.96773 10.08157 9.89082 9.932802
1367455_at 11.337261 11.403432 11.404817 11.548485 11.500328 11.353138 11.190818 11.318846 11.246068
1367456_at 11.883658 12.046145 11.934262 11.953534 11.92728 11.848216 11.851478 11.791325 11.848549
1367457_at 8.945265 9.139257 9.261369 9.179913 9.2853 9.193245 9.279608 9.226428 9.206095
1367458_at 8.248209 8.26532 8.147973 8.276795 8.330769 8.277035 8.172256 8.260205 8.195946
1367459_at 11.984087 12.099848 12.114828 12.132105 12.062926 11.9975605 12.0543165 12.063651 11.952128
1367460_at 11.273429 11.458781 11.456402 11.421029 11.456178 11.515912 11.435146 11.371141 11.3431
1367461_at 10.105564 10.317783 10.381257 10.401748 10.354896 10.343035 10.4079275 10.455087 10.243935
1367462_at 10.330329 10.411191 10.255876 10.460486 10.536917 10.610059 10.699652 10.607374 10.571291
1367463_at 11.221749 10.960293 11.080726 11.246475 11.191307 11.265831 11.168585 11.267529 11.423975
1367464_at 9.512896 9.702134 9.701263 9.721706 9.703589 9.647337 9.638696 9.612264 9.477252
1367465_at 10.109213 10.04902 10.035296 10.091802 10.299379 10.488901 10.362105 10.184802 10.482973
1367466_at 10.172484 10.095859 10.139825 10.145322 10.145465 9.906775 9.986277 10.015574 9.886621
1367467_at 11.481942 11.587323 11.625576 11.759173 11.58736 11.795347 11.661868 11.606061 11.627174
1367468_at 9.625141 9.863633 9.936277 9.808392 9.933196 10.066285 10.098821 9.864901 10.083469
1367469_at 11.768484 11.895108 11.847379 11.886534 11.796303 11.797144 11.799073 11.729179 11.654077
1367470_at 10.069606 10.213049 10.188751 10.363614 10.211983 10.000677 10.086194 10.235758 10.024903
1367471_at 9.048208 8.995105 9.05371 9.147827 9.079634 9.275174 9.266971 9.141674 9.306329
1367472_at 9.991835 10.203929 10.107059 10.1346655 10.108829 9.974645 9.9944725 10.062535 9.999486
1367473_at 9.943393 9.839203 9.831567 10.015178 9.921909 10.152471 9.971851 9.944633 10.059725
1367474_at 9.654233 9.780963 9.709727 9.701048 9.813412 9.320136 9.566703 9.638758 9.731005
1367475_at 10.466911 10.379711 10.571111 10.495411 10.587053 10.54512 10.416004 10.398763 10.458046
1367476_at 11.074363 11.049123 11.051941 11.144267 11.173338 11.301841 11.293979 11.136876 11.321274
1367477_at 9.917138 10.246543 10.13726 10.19307 10.156997 10.374158 10.262146 10.239966 10.303174
1367478_at 7.8238025 7.764872 8.113993 7.9061456 7.865746 7.7602367 7.985615 7.832408 7.9065156
1367479_at 11.278357 11.311764 11.24407 11.368386 11.281942 11.560431 11.494231 11.372654 11.543145
