ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 30 30 30 100 100 100 300 300 300
1367452_at 10.399678 10.329029 10.326749 10.485534 10.410068 10.433592 10.42171 10.477195 10.37207 10.423209 10.370351 10.481845
1367453_at 10.068344 10.090896 10.139865 10.025905 9.956345 10.099884 10.142561 10.083901 10.099836 10.011171 9.969412 9.939355
1367454_at 10.179521 10.282791 10.114703 10.126838 10.180796 10.217312 10.065714 10.105877 10.040408 10.079784 10.070602 10.152583
1367455_at 11.723122 11.60673 11.582149 11.644083 11.600843 11.54764 11.322357 11.487141 11.388028 11.477949 11.463328 11.558676
1367456_at 12.002537 12.012845 12.004941 12.080525 12.119745 12.097527 12.127192 12.095636 12.1527195 12.13743 11.901231 12.021312
1367457_at 9.333759 9.308197 9.193765 9.209475 9.267014 9.156465 9.312237 9.320313 9.252196 9.113234 9.180669 9.255572
1367458_at 8.532425 8.446022 8.2823515 8.330747 8.457034 8.409194 8.416883 8.388652 8.385229 8.388704 8.331494 8.279727
1367459_at 12.16475 12.226313 12.114872 12.133335 12.144182 12.187263 12.157793 12.109122 12.150156 12.209201 12.052497 12.258421
1367460_at 11.630857 11.758881 11.658486 11.611172 11.71189 11.632946 11.714703 11.708444 11.69465 11.646536 11.427788 11.445815
1367461_at 10.373016 10.589436 10.560852 10.423408 10.523194 10.472873 10.373542 10.463388 10.391011 10.45392 10.387052 10.467144
1367462_at 10.67583 10.661704 10.823514 11.0224695 10.404117 10.827741 10.577854 10.343913 10.375957 10.430761 10.358807 10.698089
1367463_at 11.334534 11.449241 11.107003 11.407466 11.4412775 11.43941 11.366193 11.498302 11.306448 11.337071 10.89994 11.027083
1367464_at 9.767392 9.721461 9.611043 9.632476 9.731072 9.777583 9.777155 9.763053 9.609359 9.839536 9.777091 9.668358
1367465_at 10.262262 10.287327 10.330136 10.079024 10.196462 10.153762 10.278161 10.22806 10.164399 10.087759 10.083344 10.166652
1367466_at 10.220552 10.148868 10.070268 10.127035 10.107425 10.131295 9.786698 10.020498 9.916309 10.019206 9.913828 9.725865
1367467_at 11.63341 11.6913805 11.640278 11.62213 11.58389 11.739498 11.712045 11.619346 11.670832 11.712939 11.6011305 11.6297
1367468_at 9.883771 9.851728 9.891231 9.851622 9.762695 9.751276 9.894304 10.024899 9.827054 10.113746 9.938895 10.089611
1367469_at 12.026449 11.947367 11.868487 11.968724 11.92818 12.096619 11.959888 11.973794 12.01351 11.864618 11.919244 11.936272
1367470_at 10.257306 10.297476 10.409395 10.316717 10.212965 10.278338 10.178116 10.230125 10.287743 10.239629 10.196778 10.083622
