ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10
Dose 0 0 0 3 3 3 10 10 10
1367452_at 10.052454 10.119172 10.204888 10.085828 10.144717 10.09015 10.036299 10.13901 10.153268
1367453_at 10.13935 9.93676 10.02049 9.91471 10.040151 9.971018 10.040878 10.037508 10.014956
1367454_at 10.15434 10.079511 10.048948 9.956943 9.979534 10.080955 10.002351 10.014874 10.047149
1367455_at 11.476447 11.4284725 11.503716 11.307106 11.391832 11.419987 11.369577 11.4295845 11.216248
1367456_at 11.937037 11.829132 11.9066725 11.926899 11.823197 11.938312 11.971388 11.924863 11.851721
1367457_at 9.215792 9.046387 9.024186 8.950006 8.954769 9.0121765 9.080735 9.132486 9.056639
1367458_at 8.275925 8.296143 8.36886 8.311498 8.304787 8.266339 8.143216 8.221471 8.418516
1367459_at 12.167019 12.119612 12.170013 12.126496 12.071818 12.156797 12.204325 12.176232 12.096911
1367460_at 11.498123 11.376959 11.33897 11.250624 11.258665 11.272638 11.253027 11.355203 11.385251
1367461_at 10.46826 10.33876 10.643874 10.457228 10.337076 10.479884 10.635714 10.462531 10.326657
1367462_at 10.651136 10.389052 10.216957 10.215439 10.271574 9.945033 10.531841 10.45583 10.424702
1367463_at 11.2670355 11.306638 11.162246 11.149907 11.383465 11.267427 11.4089365 11.203348 11.218426
1367464_at 9.556166 9.320064 9.425272 9.225583 9.540919 9.340878 9.372235 9.429936 9.400969
1367465_at 10.215502 10.123175 10.02698 9.855067 10.019441 10.043243 9.962477 10.270355 10.173478
1367466_at 10.367293 10.393224 10.427976 10.395236 10.241229 10.487285 10.309609 10.329258 10.287629
1367467_at 11.610745 11.494183 11.432411 11.449146 11.39422 11.505646 11.595231 11.616632 11.632699
1367468_at 9.995134 9.772377 9.8477125 9.761845 9.797375 9.733646 9.826506 9.741621 9.922108
1367469_at 11.8893175 12.02581 12.123158 11.84275 12.135752 11.791326 11.980528 11.920857 11.825177
1367470_at 10.252568 10.123158 10.322226 10.248125 10.01182 10.208737 10.282679 10.170138 9.914515
1367471_at 9.201252 8.978568 9.072604 8.880635 8.877938 8.928496 8.742419 8.954359 9.125504
1367472_at 10.153323 10.040774 10.0147295 9.895403 10.000509 9.893077 9.969492 10.073339 9.934617
1367473_at 9.996754 9.924308 9.904062 9.802776 10.040716 9.908988 9.721109 9.942889 9.805518
1367474_at 9.839289 9.754539 9.464959 9.44469 9.597732 9.65231 9.547685 9.59849 9.536975
1367475_at 10.608122 10.372484 10.545158 10.318763 10.4443 10.398949 10.308509 10.453641 10.360934
