ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 100 100 100 300 300 300 1000 1000 1000
1367452_at 9.626322 9.813419 9.685749 9.899188 9.669742 9.86643 9.744927 9.697348 9.82324 9.791388 9.769199 9.573997
1367453_at 9.699574 9.794867 9.470153 9.505173 9.551662 9.733477 9.589547 9.627728 9.562389 9.509238 9.540198 9.641836
1367454_at 9.455317 9.436948 9.604588 9.712276 9.345228 9.833369 9.607265 9.638926 9.402335 9.631946 9.347767 9.787538
1367455_at 10.988874 11.131721 11.086402 11.079635 10.996359 11.150109 11.062128 11.117752 11.065134 11.078139 11.11861 10.988558
1367456_at 11.34596 11.446991 11.361096 11.537619 11.303797 11.484044 11.424664 11.329022 11.417629 11.450631 11.415676 11.3857765
1367457_at 8.38839 8.748506 8.515399 8.630519 8.251446 8.625754 8.347866 8.417316 8.441918 8.625641 8.38592 8.381917
1367458_at 8.580902 8.510189 8.502405 8.520636 8.608069 8.546636 8.663141 8.605086 8.548759 8.539213 8.624947 8.463962
1367459_at 11.931449 11.945897 11.892313 11.933742 11.768245 11.94332 11.861599 11.794847 11.902682 12.021462 11.783975 11.84729
1367460_at 10.921616 11.137885 11.121692 11.212335 10.9617605 11.185894 11.072235 11.047583 10.920619 11.123397 11.046146 10.8213215
1367461_at 9.84943 9.980094 9.883438 10.000753 9.793419 10.145034 9.854808 9.823333 9.891985 9.980716 9.799101 9.717983
1367462_at 10.233504 9.996172 9.996512 10.341489 10.13344 10.122247 10.056896 10.070155 10.192145 10.1777 9.986024 10.062562
1367463_at 10.4176445 10.862898 10.712032 10.811049 10.548964 10.7480955 10.571349 10.507592 10.576194 11.1743355 10.6045 10.559629
1367464_at 8.8769 8.944277 8.935949 8.971643 8.9208975 8.885635 8.77767 8.956249 8.839178 9.053112 9.020863 8.577997
1367465_at 9.929057 10.037454 9.890921 10.046607 9.860402 9.839471 9.838505 9.905194 9.715639 9.949087 9.737576 9.558651
1367466_at 9.7064705 9.850435 9.741666 9.8686 9.879885 10.093036 9.741398 9.899374 9.875822 9.883124 9.801084 9.92081
1367467_at 11.021488 11.159025 11.165579 11.162086 11.094853 11.231339 11.077477 11.167679 11.058373 11.299209 11.133937 11.1537895
1367468_at 9.044373 9.091497 8.936207 9.168862 9.149265 9.013847 9.201973 8.979061 8.767494 8.794611 8.871069 8.899389
1367469_at 11.389452 11.425451 11.419905 11.572604 11.469164 11.657903 11.520976 11.495092 11.314558 11.725906 11.63951 11.630789
1367470_at 9.979199 10.249718 10.203297 10.202782 9.855935 10.121935 9.970534 9.9895935 10.080114 10.15391 9.959536 9.934827
1367471_at 8.088037 8.230186 8.274007 8.381217 8.1501665 8.290848 8.043894 8.190183 7.8973174 8.105603 7.9250784 7.8054633
1367472_at 9.925291 10.094951 9.885111 9.968158 9.879056 10.062053 9.8277645 9.951652 9.969949 9.896132 9.735751 9.767613
1367473_at 9.47031 9.626486 9.669405 9.568456 9.611269 9.665922 9.623373 9.545505 9.485763 9.669672 9.6498165 9.439474
1367474_at 9.294216 9.425669 9.503056 9.544267 9.250767 9.534349 9.346901 9.420073 9.193634 9.453188 9.289399 9.241186
1367475_at 10.071473 10.166653 10.068955 10.161139 10.052596 10.17993 9.986653 10.13499 9.887975 10.036026 9.964626 9.944812
1367476_at 10.660516 10.571938 10.749065 10.797466 10.717112 10.593041 10.722696 10.682991 10.542838 10.733898 10.791597 10.754025
1367477_at 9.405456 9.551691 9.487706 9.678032 9.508965 9.560243 9.557103 9.486956 9.364278 9.444385 9.292066 9.35577
1367478_at 7.929105 8.050833 8.008713 7.9920673 8.014259 8.004496 7.907359 8.194999 7.999897 8.049625 8.00857 8.026283
1367479_at 10.717876 10.790356 10.86123 10.906456 10.7174015 10.901807 10.694273 10.721205 10.645254 10.652206 10.568455 10.711632
1367480_at 9.086394 9.203722 8.955032 9.2128105 9.071521 9.180166 8.999217 9.012358 9.080679 9.125716 9.022294 8.996989
1367481_at 8.5583 8.620584 8.559094 8.691111 8.652433 8.66642 8.675379 8.530228 8.580814 8.655135 8.65979 8.341892
1367482_at 9.164019 9.180392 9.0623665 9.231839 8.932198 9.207055 9.155908 9.150872 9.00572 8.9818125 9.132318 9.185191
1367483_at 8.009851 8.026543 8.103273 8.199654 8.20517 8.237925 8.174744 8.036301 8.015387 8.129629 7.9986305 7.9607396
1367484_at 8.540681 8.586359 8.675622 8.798992 8.454897 8.617535 8.500687 8.56236 8.36658 8.621292 8.4927845 8.360813
1367485_at 9.201581 9.346449 9.265791 9.404576 9.13776 9.427599 9.138497 9.201794 9.174378 9.361531 9.427304 9.034849
1367486_at 9.562645 9.522842 9.386246 9.543159 9.519311 9.51673 9.402937 9.294777 9.294632 9.437611 9.3593025 9.097078
1367487_at 7.7701983 7.6685963 7.5376 7.539092 7.389391 7.7132363 7.767037 7.63894 7.4804406 7.5308037 7.7669888 7.4023085
1367488_at 7.734141 7.8177996 8.006668 7.7365046 7.679189 7.8589716 7.5218043 7.7992845 7.735137 7.8295674 7.89013 7.6540213
1367489_at 6.674183 6.496144 6.6360703 6.4900045 6.552323 6.547238 6.546899 6.7365737 6.48292 6.734943 6.6175623 6.545741
1367490_at 6.583016 6.8009133 6.781903 6.927696 6.6405616 6.740209 6.457445 6.4014935 6.651263 6.4908676 6.604556 6.5662403
1367491_at 8.728645 8.736198 8.696887 8.898561 8.746264 8.955504 8.87628 8.849275 8.898157 8.876997 8.93327 8.816393
1367492_at 8.552576 8.888791 8.734032 8.799404 8.549983 8.747172 8.498735 8.644571 8.436856 8.613183 8.636518 8.490393
1367493_at 9.417208 9.5999975 9.430987 9.472099 9.37253 9.6103 9.441059 9.353027 9.432465 9.463475 9.396341 9.348296
1367494_at 9.557777 9.4793625 9.557209 9.662825 9.467869 9.632007 9.584553 9.277102 9.438192 9.438362 9.472176 9.381483
1367495_at 6.3606215 6.1209855 6.1810303 6.8810377 6.5343466 6.7168207 6.569329 6.2335 6.4948506 6.578061 6.0926485 5.865102
1367496_at 11.1979 11.250265 11.144681 11.124575 10.950351 11.286018 11.161331 10.9416065 11.097821 11.054775 11.078641 11.030448
1367497_at 8.42357 8.234454 8.358904 8.236103 8.203609 8.299747 8.145961 8.229347 8.005569 8.224188 8.187731 8.14109
1367498_at 8.154445 8.356195 8.466129 8.42021 8.225004 8.40937 8.22562 8.457538 8.335197 8.269545 8.293693 8.316334
1367499_at 7.9317794 7.844666 7.9567947 7.993915 7.7277255 7.982905 7.948544 7.8563037 8.123434 7.773568 8.054604 8.043217
1367500_at 9.403888 9.590403 9.4921 9.672934 9.39198 9.591499 9.496046 9.477254 9.301392 9.508041 9.435007 9.105473
1367501_at 8.02883 8.138748 8.27932 8.322797 8.042415 8.218709 8.188374 8.20822 8.227266 8.234304 8.2343 8.029534
1367502_at 7.515344 7.503213 7.742078 7.8405294 7.7192636 7.7561326 7.624102 7.621381 7.6407332 7.84773 7.721731 7.5852203
1367503_at 10.531563 10.575595 10.499009 10.655617 10.44087 10.614058 10.421127 10.337079 10.407468 10.484883 10.377742 10.292261
1367504_at 7.794316 7.464876 7.838081 7.9715924 7.7613945 7.93974 7.8008056 7.8430343 7.838113 7.8277593 7.9506507 7.8376355
1367505_at 7.679446 7.741886 7.594985 7.8002014 7.5045815 7.6793027 7.5606737 7.810623 7.7486877 7.628108 7.562067 7.617797
1367506_at 9.143661 9.299288 9.124508 9.230021 9.113917 9.244346 9.110296 9.155165 9.266332 9.224128 9.136166 9.145709
1367507_at 6.6445656 6.7320833 6.5718594 6.8981104 6.779133 6.7611628 6.722741 6.6977186 6.62847 6.6513205 6.6441846 6.479001
1367508_at 8.131188 8.275752 8.272531 8.432791 8.231845 8.410108 8.299074 8.31749 8.275684 8.282944 8.045255 7.981289
1367509_at 8.9997635 9.141654 9.153682 9.268712 9.180873 9.084789 8.923239 9.074339 8.917202 9.2045355 8.751146 8.699603
1367510_at 9.302968 9.274173 9.236113 9.364949 9.270369 9.221434 9.119159 9.20866 9.157346 9.028199 9.072713 8.951771
1367511_at 8.023818 8.013273 7.9046283 8.101596 7.901634 8.046957 7.921157 7.7437267 7.920817 8.0402565 7.97158 7.8028665
1367512_at 10.630526 10.680542 10.600873 10.793415 10.634726 10.603861 10.449416 10.482048 10.457475 10.821744 10.548887 10.330573
1367513_at 7.603718 7.551503 7.756922 7.5766377 7.441716 7.413137 7.7930913 7.392743 7.3195157 7.7911444 7.342838 7.4326625
1367514_at 7.3315887 7.219752 7.091611 7.4662647 7.242138 7.173661 7.201395 7.151385 7.1437426 7.3191943 7.1009007 7.206774
1367515_at 6.9406276 7.331635 7.0620265 7.5227814 7.0823445 7.229503 6.9830246 7.1106596 6.9891653 7.246382 7.3950353 7.0898547
1367516_at 8.408039 8.317717 8.4560795 8.518156 8.503507 8.360411 8.3092375 8.340115 8.338364 8.454524 8.502447 8.061937
1367517_at 7.450899 7.7269206 7.589546 7.747666 7.7193713 7.5325236 7.7525344 7.7955856 7.544969 7.604217 7.6842613 7.5534153
1367518_at 8.001706 8.179122 8.076597 8.445072 8.079425 8.447158 8.081823 8.157922 7.950888 8.087722 7.9435697 8.032743
1367519_at 8.093751 7.955704 7.9073253 8.186501 8.041386 8.134333 7.8777 8.1047945 8.10969 7.86637 7.746061 7.7905645
1367520_at 9.33166 9.366867 9.272355 9.464851 9.387295 9.332562 9.22878 9.2184725 9.257536 9.334059 9.178445 9.149642
1367521_at 6.811254 7.177301 7.173703 6.787793 6.8896723 6.847661 6.9558477 7.3448343 6.9717665 6.7788634 6.728476 6.843648
1367522_at 8.916911 8.777418 9.040171 8.948879 8.949049 9.015041 8.757243 8.7461 9.013272 8.909258 8.854728 8.734447
1367523_at 7.569561 7.4574413 7.4493794 7.819681 7.3372064 7.6532726 7.4943085 7.5648527 7.5186253 7.64958 7.4394364 7.136472
1367524_at 7.2735386 7.3766813 7.3640466 6.957821 7.0612597 7.440388 7.4312663 7.55085 7.224427 7.02077 7.3069134 7.200133
1367525_at 9.455574 9.109158 9.319068 9.234033 9.324025 9.339906 8.952152 9.3843975 9.093168 9.239501 9.11898 9.174927
1367526_at 8.188994 8.198227 8.186607 8.306465 8.212856 8.341044 8.017708 8.437808 8.132181 8.19201 8.238301 7.83193
1367527_at 7.611499 7.8774996 7.62438 7.830844 7.6425204 7.860474 7.634869 7.7455945 7.8098793 7.657305 7.6267204 7.603908
1367528_at 8.4343815 8.465707 8.579555 8.561804 8.53018 8.532475 8.549071 8.232953 8.2616825 8.395829 8.3258 8.233261
1367529_at 8.940059 9.03416 9.14897 9.180993 8.84733 9.157493 9.104603 8.849191 9.048463 9.366349 9.194443 8.91338
1367530_at 7.774833 7.6957207 7.706058 7.6583395 7.555089 7.637974 7.646057 7.6449056 7.5704546 7.6396494 7.5862365 7.62951
1367531_at 10.442627 10.350816 10.354391 10.443932 10.332152 10.471531 10.325575 10.347916 10.2706 10.459836 10.296173 10.327699
1367532_at 10.956544 11.011896 10.923852 10.9938345 10.89417 11.057442 10.88801 10.704961 10.920674 10.864964 10.882903 10.747741
1367533_at 7.917134 7.972369 7.87124 7.9611382 7.7308917 8.002528 7.6809754 7.991312 7.760765 7.831398 7.828806 7.693312
1367534_at 7.6534963 7.5451837 7.282704 7.289312 7.4936094 7.254037 7.5846424 7.81056 7.67852 7.17242 7.2495036 7.251791
1367535_at 8.51124 8.53232 8.617631 8.649984 8.753379 8.895126 8.479015 8.388229 8.612497 8.703411 8.581976 8.610428
1367536_at 7.3249707 7.283498 7.3562117 7.3292594 7.3859353 7.3295608 7.2946897 7.5384874 7.404945 7.338445 7.2155323 7.494646
1367537_at 7.294943 7.417019 7.5220976 7.5841665 7.238267 7.444827 7.317117 7.38234 7.2616057 7.4668345 7.4430532 7.290906
1367538_at 7.0094686 6.9212737 6.6655817 6.8566675 6.638295 6.7667003 6.649195 6.798231 6.634102 6.5305247 6.4888325 6.647267
1367539_at 8.439949 8.461809 8.474514 8.6171 8.211103 8.484702 8.240112 8.294785 8.126876 8.448987 8.249333 8.4037075
1367540_at 6.741354 6.988847 6.810235 7.170199 6.903738 7.061329 6.7490287 6.914158 6.780177 6.9076166 7.141819 6.9290395
1367541_at 7.126844 7.211255 7.3640466 7.3440995 7.0298266 7.3576765 7.3121457 7.120845 7.2145505 7.2974167 7.281116 6.8624835
1367542_at 7.6278634 7.7173734 7.6114016 7.4370418 7.5952916 7.693982 7.4409175 7.328408 7.603049 7.496278 7.4518247 7.3596654
1367543_at 7.92026 8.01535 8.083761 7.9856057 7.864369 8.027198 7.875726 7.9406157 7.868748 7.869048 7.757752 7.6964436
1367544_at 5.6772494 6.007087 5.859926 6.114146 5.798671 5.7005863 5.9002795 6.0347424 5.7696543 5.957229 5.867691 5.773871
1367545_at 6.86509 6.7953377 6.935296 7.2835717 7.1071873 6.8302765 6.8654327 7.058914 6.927837 6.8221536 6.8081126 6.8519716
1367546_at 9.472134 9.625599 9.5234585 9.599912 9.641108 9.690627 9.789238 9.651905 9.531142 9.416664 9.582605 9.306846
1367547_at 7.6661725 7.7673297 7.6474013 7.803272 7.611103 7.579978 7.699781 7.54107 7.4880943 7.6688433 7.3824906 7.3992953
1367548_at 8.510113 8.173746 8.315507 8.432859 8.296466 8.418985 8.242399 8.265907 8.349709 8.458577 8.353178 8.111801
1367549_a_at 10.045991 10.118738 9.931781 10.132838 9.94018 10.097719 9.891646 9.898203 10.106478 9.89307 9.904645 9.87819
1367550_a_at 8.0174465 8.200256 8.021526 8.368207 8.166607 8.180689 8.116233 8.13354 8.014723 8.368452 8.2049675 8.049187
1367551_a_at 8.009865 8.183712 8.097078 8.454152 8.1658 8.281614 8.148693 8.210907 8.309719 8.362521 8.154774 8.199303
1367552_at 4.531617 4.448124 4.2952943 4.503476 4.4395733 4.5937824 4.449741 4.337572 4.4353533 4.500863 4.7369285 4.721553
