ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 10 10 10 30 30 30 100 100 100
1367452_at 10.399671 10.198951 10.254294 10.316409 10.3782 10.32586 10.470812 10.578105 10.359858 11.075003 11.051469 10.975331
1367453_at 10.047071 10.024239 10.078391 10.0327015 10.211605 10.112125 10.238834 10.381595 10.197953 10.667307 10.586199 10.533447
1367454_at 10.1392 10.098379 10.117642 10.125231 10.184108 10.105748 10.157125 10.304002 10.140469 10.320909 10.2027025 10.240263
1367455_at 11.618649 11.589981 11.678165 11.579206 11.514377 11.524197 11.34405 11.393692 11.342716 11.332791 11.37849 11.084339
1367456_at 12.164472 12.009911 11.990924 11.993535 12.03282 12.092334 12.026269 12.157535 12.083678 12.146143 12.235907 12.339132
1367457_at 9.158237 9.291893 9.175898 9.372609 9.169516 9.204472 9.237777 9.264067 9.21398 9.18599 9.261825 9.33293
1367458_at 8.358296 8.226428 8.322453 8.148048 8.193104 8.424885 8.322798 8.526829 8.339079 7.928859 8.020595 7.8658795
1367459_at 12.165878 12.130841 12.215557 12.184338 12.132298 12.147671 12.216478 12.272715 12.158163 12.50739 12.516761 12.456102
1367460_at 11.4364805 11.623585 11.586708 11.586093 11.571906 11.615246 11.716257 11.719386 11.648705 12.1021595 12.0785 12.268918
1367461_at 10.745801 10.526493 10.513228 10.446638 10.270003 10.481262 10.444115 10.580465 10.467717 10.723575 10.461918 10.545945
1367462_at 10.664129 10.7768755 10.836122 10.859968 10.462792 10.566093 10.77817 10.846909 10.789946 10.780932 10.753355 10.939762
1367463_at 10.759278 11.148914 11.285053 11.049346 11.025762 11.078318 11.13606 11.544453 11.15908 11.6382 11.590486 11.50975
1367464_at 9.718189 9.7972145 9.774191 9.781542 9.863415 9.616898 9.828589 9.700581 9.794498 9.740168 9.730127 9.695309
1367465_at 10.103763 10.239133 10.244898 10.113704 10.244808 10.056904 10.367276 10.197951 10.285301 10.267336 9.942669 9.867054
1367466_at 10.212418 10.246253 10.328287 10.184445 10.276143 10.170427 10.199079 10.286624 10.136823 10.393168 10.162768 10.215471
1367467_at 11.281088 11.496698 11.475488 11.474076 11.527539 11.536818 11.505228 11.521071 11.529377 11.4332695 11.480691 11.475305
1367468_at 10.045003 9.892196 10.075555 10.110639 9.963399 9.873901 9.825751 9.878207 9.8635025 9.731485 9.519846 9.823639
1367469_at 12.018724 11.99204 11.806842 11.889297 11.8420515 11.998424 12.074295 11.989218 11.903845 12.320231 12.3666 12.556206
1367470_at 10.236427 10.280277 10.460359 10.215062 10.199065 10.320522 10.326639 10.295047 10.27625 10.161905 10.043223 9.938289
1367471_at 9.018319 9.104027 9.039006 8.979993 9.121033 9.055117 9.197268 9.184259 9.295901 9.9193125 9.845215 9.745107
1367472_at 10.266111 10.297508 10.34254 10.350199 10.408651 10.334745 10.492142 10.383444 10.493218 10.765392 10.525706 10.637306
1367473_at 9.953395 9.980447 9.833458 9.989904 10.065007 9.988578 10.15846 10.17866 10.016907 10.382535 10.531948 10.508102
1367474_at 9.848912 9.920747 9.817798 10.033599 9.774576 9.995508 10.077269 9.948127 10.071394 9.70876 9.618238 9.467553
1367475_at 10.590449 10.594491 10.662888 10.583219 10.531882 10.619971 10.697738 10.661872 10.614887 11.181395 11.225124 11.014525
1367476_at 10.984224 11.081006 11.087943 10.966153 11.206023 11.134934 11.270046 11.292141 11.145707 11.464609 11.289136 11.312008
1367477_at 10.230762 9.988211 10.172773 10.127783 10.455887 10.189076 10.263566 10.536169 10.447735 10.713656 10.665192 10.721819
1367478_at 7.8427777 7.756908 7.980437 7.9384604 7.9027605 8.070898 8.12252 7.982649 8.148006 8.456734 8.453806 8.464678
1367479_at 11.251636 11.126987 11.174811 11.2138195 11.357509 11.202259 11.138228 11.204699 11.060787 11.211357 10.957042 11.108403
1367480_at 9.723323 9.622687 9.871638 9.552907 9.583498 9.7216015 9.834101 9.997364 9.829024 10.47504 10.289002 10.337268
1367481_at 9.458907 9.413392 9.460268 9.470155 9.6483135 9.399766 9.486967 9.584497 9.460552 9.85707 9.600731 9.699889
1367482_at 9.537102 9.510023 9.461534 9.678166 9.648961 9.332126 9.336262 9.493679 9.33607 9.555549 9.091599 9.134389
1367483_at 8.741261 8.9063835 8.957573 9.054101 9.070461 9.062393 8.948571 9.111477 9.215422 8.796318 8.657256 8.76
1367484_at 9.402737 9.508513 9.182619 9.465436 9.415315 9.451338 9.64234 9.637938 9.655416 9.736452 9.857717 9.932519
1367485_at 10.108598 10.198904 10.139983 10.036568 10.080653 10.124159 10.070714 10.223603 10.084256 11.222697 11.050814 11.000957
1367486_at 9.705316 9.633033 9.535781 9.609602 9.645785 9.759308 9.603816 9.571481 9.6160965 9.648753 9.292834 9.244215
1367487_at 7.5063906 7.4425993 7.4661636 7.251549 7.4497757 7.407904 7.2502823 7.430275 7.4382215 8.097622 7.978689 8.116978
1367488_at 8.215332 8.454784 8.172262 8.268711 8.312786 8.360125 8.4424095 8.218035 8.469597 8.498665 8.463997 8.702415
1367489_at 6.5490746 6.991039 6.699664 6.80631 6.8206186 6.797772 6.820997 6.610877 6.786214 6.9619093 7.2506557 6.898867
1367490_at 7.632697 7.413954 7.5016966 7.58665 7.4999366 7.4365854 7.464919 7.5873003 7.638758 7.6819324 7.770171 7.6755457
1367491_at 9.653071 9.433824 9.58515 9.444247 9.307159 9.510087 9.4185505 9.513901 9.428156 9.5075 9.514979 9.599434
1367492_at 8.894154 8.991273 8.980125 8.883432 9.066371 9.14364 9.119693 9.291758 9.152168 9.429167 9.471939 9.56011
1367493_at 9.635609 8.750261 9.609991 9.467274 9.604663 9.660425 9.672018 9.7808895 9.712048 10.118847 10.251102 10.100541
1367494_at 10.136074 10.006322 10.060495 10.117118 10.148501 10.068384 9.948067 10.232737 10.155423 10.63934 10.505463 10.641513
1367495_at 7.7169604 7.7334013 7.7446404 7.8882155 7.8695745 7.9593687 7.978725 8.038637 8.163229 8.9010725 8.647318 8.718149
1367496_at 11.341614 11.436719 11.28089 11.4309225 11.461391 11.287453 11.443523 11.478508 11.393018 11.567669 11.420835 11.483256
1367497_at 8.849163 8.65867 8.851667 8.771299 8.754359 8.897457 8.855431 8.966333 8.830978 8.88993 8.850827 8.906969
