ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 10 10 10 30 30 30 100 100 100
1367452_at 9.767457 9.79146 9.846274 9.812502 9.825749 9.771154 9.791037 9.659016 9.806275 9.769103 9.759782 9.752758
1367453_at 9.849194 9.844973 9.774712 9.915608 9.936922 9.839727 9.95014 9.990916 10.056996 9.886552 9.932276 9.919362
1367454_at 9.447147 9.440444 9.499276 9.557823 9.471876 9.320461 9.521903 9.62051 9.576681 9.542181 9.40103 9.462513
1367455_at 11.273721 11.044144 11.163966 10.939878 11.16567 11.108811 10.982757 10.871581 11.088136 11.02186 10.91005 10.919064
1367456_at 11.59939 11.585311 11.736875 11.583451 11.79461 11.571916 11.702454 11.60553 11.758125 11.687975 11.652521 11.690665
1367457_at 8.474839 8.430455 8.572499 8.546268 8.529289 8.500678 8.267646 8.071402 8.450283 8.274723 8.235961 8.276692
1367458_at 8.735472 8.797337 8.635778 8.737271 8.601818 8.600524 8.588189 8.519851 8.628067 8.55953 8.491121 8.528221
1367459_at 11.956713 11.964622 11.893674 11.949932 11.958649 11.952682 11.94332 11.85959 11.864324 11.805997 11.819075 11.941142
1367460_at 11.150018 11.0807905 11.22752 10.998666 11.160068 11.090551 11.030162 10.948395 11.068896 10.955699 11.0357685 11.115183
1367461_at 9.814209 9.909282 9.844077 9.843765 9.849285 9.880456 9.634324 9.481265 9.74715 9.808587 9.531854 9.845423
1367462_at 10.497396 10.63365 10.597084 9.995502 9.917983 9.955483 9.91306 9.408201 9.880823 9.795548 9.653496 9.708607
1367463_at 10.563935 10.573661 10.832379 10.642297 10.895307 10.644615 10.715378 10.916103 11.019241 10.649507 10.703822 10.920806
1367464_at 9.123173 8.99984 9.107153 9.101099 9.202997 9.024307 9.1146145 9.093739 9.207172 9.118407 9.045757 9.13288
1367465_at 9.9780245 10.0433445 9.810803 9.887596 9.86664 9.896895 9.875266 9.580398 9.868429 9.686677 9.720664 10.032488
1367466_at 9.839109 9.673996 9.964384 9.823698 9.835075 9.793015 9.805875 9.777258 9.893282 9.76784 9.686271 9.500874
1367467_at 11.151583 11.174475 11.206111 11.031566 11.329659 11.255192 11.212168 11.307865 11.434297 11.2037735 11.251625 11.322524
1367468_at 9.207356 9.3411875 9.133267 9.021981 8.962941 9.241891 9.01866 9.081854 9.29625 9.240192 9.127095 9.389078
1367469_at 11.681619 11.536877 11.724821 11.533206 11.672113 11.631525 11.315711 11.45302 11.398623 11.070526 11.422028 11.211364
