ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 60 60 60 200 200 200 600 600 600
1367452_at 9.838544 9.768563 9.891037 9.788525 9.844966 9.911239 9.754375 9.807367 9.836362 9.82992 9.857717 9.83373
1367453_at 9.886622 10.061652 10.064325 10.00061 10.024067 10.027145 10.124379 10.022831 10.078556 10.19362 10.027733 10.233115
1367454_at 9.49279 9.571124 9.642365 9.410182 9.537541 9.650769 9.541982 9.534856 9.7002735 9.635126 9.5703535 9.61582
1367455_at 11.244431 11.233877 11.179604 11.376362 11.250253 11.327747 11.302174 11.157146 11.172357 11.44593 11.10173 11.326414
1367456_at 11.659224 11.593158 11.620477 11.620479 11.736769 11.592793 11.549606 11.597006 11.629577 11.796481 11.568627 11.718671
1367457_at 8.566759 8.525841 8.5624275 8.456684 8.622876 8.65313 8.635107 8.608769 8.678756 8.819476 8.710047 8.846969
1367458_at 8.676439 8.612007 8.63641 8.864036 8.720747 8.704098 8.598229 8.600858 8.721248 8.805972 8.810254 8.797853
1367459_at 12.036304 12.130772 12.124587 12.084746 12.071753 12.158606 12.075472 12.02712 12.008291 12.13329 12.076007 12.1331625
1367460_at 11.239821 11.177785 11.245924 11.177332 11.262212 11.203372 11.265546 11.185374 11.069712 11.403962 11.118136 11.332154
1367461_at 9.9707775 9.942749 9.947742 9.881116 10.025814 9.886486 9.868203 9.826989 9.980576 9.966642 9.883422 9.815688
1367462_at 10.428066 10.110811 10.1966095 10.591494 10.185968 10.272958 10.186973 9.853131 10.011433 10.2512245 10.137436 10.125317
1367463_at 10.756583 10.729872 10.786378 10.650809 10.99745 11.201416 11.146988 11.128797 11.148605 11.225954 11.049156 11.235969
1367464_at 9.175968 9.192827 9.056923 9.15347 9.24681 9.111444 9.150688 9.012933 9.244844 9.266514 9.11026 9.094483
1367465_at 10.0816765 10.008437 9.99253 9.9025955 9.887681 9.930735 9.894123 9.66123 9.708924 9.865423 9.9810505 9.772194
1367466_at 9.903029 9.79122 9.875276 9.922578 9.892363 9.970239 9.910945 9.877614 9.932478 9.840736 9.824771 9.90781
1367467_at 11.255411 11.350329 11.271186 11.178912 11.284196 11.313576 11.274559 11.122588 11.34673 11.269653 11.209151 11.230808
1367468_at 9.542559 9.472643 9.619568 9.593062 9.520639 9.521233 9.280189 9.666058 9.526694 9.710614 9.851598 9.671608
1367469_at 11.680129 11.47558 11.521504 11.578273 11.600008 11.63214 11.540573 11.470742 11.366172 11.699917 11.512045 11.503082
1367470_at 10.11527 10.180342 10.114189 10.399717 10.282831 10.164337 10.28154 10.327669 10.455741 10.324934 10.236444 10.310451
1367471_at 8.595505 8.679453 8.678095 8.616517 8.7030115 8.689636 8.557935 8.538753 8.676328 8.722875 8.792266 8.728611
1367472_at 10.240275 10.308772 10.212063 10.049032 10.233345 10.202468 10.191754 10.124828 10.13458 10.4409 10.082925 10.244027
1367473_at 9.73364 9.523805 9.573908 9.595346 9.646285 9.541273 9.591185 9.499888 9.553384 9.681899 9.468 9.757562
1367474_at 9.566811 9.49347 9.626566 9.574407 9.71913 9.6654 9.558818 9.38908 9.760004 9.50819 9.496321 9.715267
1367475_at 10.045524 9.977242 10.130989 10.101427 10.079707 10.283508 10.12119 10.070863 10.131219 10.204835 10.042443 10.1067095
