ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 30 30 30 100 100 100 300 300 300
1367452_at 9.944851 9.939115 9.964981 10.0398035 9.986261 10.135411 10.066971 10.121444 10.093734 9.834386 10.001879 10.03154
1367453_at 9.935388 9.990709 10.138002 10.0605 10.007653 10.102094 10.097259 10.171766 10.075775 10.127053 10.236945 10.203122
1367454_at 9.399223 9.28184 9.418663 9.521083 9.666743 9.4830675 9.63653 9.641795 9.552147 9.681638 9.610267 9.51572
1367455_at 11.288084 11.274203 11.075885 11.224538 11.514017 11.171738 10.928093 11.450452 11.363367 11.641352 11.483884 11.422842
1367456_at 11.695599 11.650173 11.638478 11.63481 11.569694 11.649724 11.848201 11.542415 11.65719 11.728098 11.6336565 11.719126
1367457_at 8.6472225 8.685122 8.678703 8.9618225 8.803736 8.856093 8.749728 9.076292 8.823416 8.878728 9.049409 8.959822
1367458_at 8.817955 8.69513 8.689455 8.790483 8.777962 8.797539 8.791444 8.758617 8.76359 8.80743 8.825079 8.817724
1367459_at 12.055704 12.009078 12.109353 12.174889 12.194463 12.156048 12.152411 12.163605 12.160944 12.245654 12.1964 12.190944
1367460_at 11.346078 11.34584 11.297424 11.355805 11.325823 11.406196 11.41049 11.4006605 11.416364 11.63054 11.550081 11.524118
1367461_at 9.909005 9.993747 10.080572 10.072737 10.012374 10.005602 10.313364 10.1757765 10.081978 10.077217 10.048113 10.110847
1367462_at 10.942893 10.926574 10.546967 10.748306 10.771678 10.77955 10.808325 10.736738 10.740869 10.442384 10.973645 11.134207
1367463_at 10.925748 11.100593 11.196595 10.999907 11.126325 10.903033 10.982542 10.684547 11.013601 11.094864 10.891752 11.176165
1367464_at 9.26518 9.168678 9.1072445 9.211969 9.279463 9.114559 9.38893 9.17986 9.31524 9.256595 9.235453 9.399151
1367465_at 10.219306 10.056401 10.237674 10.3287945 10.164185 10.426191 10.344634 10.37127 10.193602 10.117062 10.375443 10.413042
1367466_at 9.841204 9.782648 9.619001 9.865846 10.134863 9.984329 9.354741 10.200669 10.021101 10.00599 10.119474 9.81497
1367467_at 11.528417 11.505829 11.55145 11.5130205 11.461931 11.446578 11.440468 11.498552 11.420786 11.287725 11.504922 11.544549
1367468_at 9.710524 9.451287 9.442931 9.475177 9.446421 9.589182 9.605568 9.393467 9.682179 9.321627 9.41658 9.712041
1367469_at 11.861291 11.770052 11.752228 11.659704 11.950485 11.731569 11.764106 11.770244 11.914392 11.887119 11.763278 11.760616
1367470_at 10.205183 10.167988 10.18783 10.310319 10.274175 10.198904 10.229316 10.396314 10.385043 10.386841 10.333129 10.437548
1367471_at 8.673741 8.675252 8.797899 8.670882 8.464401 8.598849 9.108225 8.564087 8.734153 8.9339695 8.756282 8.842899
1367472_at 10.012872 9.994084 9.865804 10.11137 10.110812 10.176858 9.722887 10.351678 10.094084 10.297477 10.245057 10.160137
1367473_at 9.840779 9.952555 9.890165 9.931312 9.934635 9.940266 9.890424 10.014729 10.060195 9.955571 10.037066 10.118396
1367474_at 9.475503 9.565163 9.481856 9.635834 9.73688 9.684276 9.501751 9.744703 9.726695 9.767153 9.699233 9.594786
