ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 40 40 40 120 120 120 400 400 400
1367452_at 10.327551 10.485908 10.278515 10.29765 10.307515 10.236783 10.353333 10.371562 10.34065 10.328719 10.396403 10.307223
1367453_at 10.050011 10.116482 10.125623 10.050068 10.001226 10.015666 10.064207 10.136789 10.217476 10.029514 10.21261 10.081781
1367454_at 10.198273 10.155245 10.06342 10.097302 10.185205 10.143861 10.219816 10.124725 10.154943 10.150866 10.295334 10.218853
1367455_at 11.570104 11.546514 11.547062 11.49412 11.528642 11.631022 11.55626 11.546766 11.514948 11.503545 11.477847 11.514871
1367456_at 11.844093 11.970539 11.838028 11.788894 11.962799 11.901162 11.974934 11.846959 11.8365555 11.931858 11.943769 11.935992
1367457_at 9.268967 9.219003 9.266091 9.2232895 9.209012 9.247209 9.380033 9.2264185 9.162245 9.251693 9.354205 9.19528
1367458_at 8.390202 8.3900385 8.280411 8.229006 8.350276 8.499805 8.313523 8.506834 8.354727 8.365885 8.477119 8.286537
1367459_at 12.169628 12.148974 12.221359 12.101995 12.07976 12.142704 12.212185 12.077853 12.160689 12.19734 12.220848 12.233059
1367460_at 11.638301 11.66472 11.690236 11.620185 11.624473 11.651714 11.629259 11.5890465 11.572655 11.638242 11.620582 11.617026
1367461_at 10.32581 10.435717 10.302683 10.320264 10.449222 10.354175 10.428895 10.391159 10.260598 10.476968 10.557971 10.581471
1367462_at 10.459131 10.344096 10.314406 10.4666 10.409751 10.5003395 10.246624 10.090937 10.37194 10.46181 10.403058 10.396573
1367463_at 11.146728 10.963998 11.166608 11.078353 11.372447 11.232241 10.968349 11.212215 11.210392 11.454847 11.438408 11.3166
1367464_at 9.564781 9.614713 9.774555 9.671183 9.663072 9.558592 9.686908 9.687943 9.444368 9.682642 9.564885 9.817688
1367465_at 10.198654 10.057658 10.118779 10.054177 10.111827 10.116957 10.067638 10.105122 10.06655 10.113066 10.245786 10.127582
1367466_at 10.212415 10.291463 10.100583 10.2144985 10.22236 10.228662 10.237871 10.242708 10.115866 10.240957 10.290232 10.250936
1367467_at 11.505044 11.513368 11.44668 11.588546 11.612156 11.596486 11.56282 11.65797 11.681181 11.610953 11.590063 11.724794
1367468_at 10.053611 9.994141 10.025987 9.992823 9.9832535 9.884467 9.977458 9.780089 9.860863 9.794104 10.148293 9.834064
1367469_at 12.027806 12.21301 12.100087 11.907958 12.058105 12.138819 12.155141 11.93843 11.890399 12.191249 12.006838 11.964275
1367470_at 10.104146 10.371581 10.094583 10.177482 10.214672 10.260094 10.152743 10.133815 10.020298 10.287002 10.208213 10.161297
1367471_at 9.184999 9.103674 9.134192 9.058209 9.125793 9.075821 9.028845 9.18166 9.171632 9.07212 9.245964 9.022238
1367472_at 10.390896 10.309223 10.209284 10.282229 10.144142 10.094032 10.282063 10.323895 10.167758 10.171133 10.133252 10.166986
1367473_at 10.057321 10.167007 9.961977 9.949224 9.997148 9.995595 10.223376 9.921372 10.099678 10.01436 10.16755 9.927957
