ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 50 50 50 150 150 150 500 500 500
1367452_at 9.607887 9.213987 9.588227 9.787626 9.711096 9.769104 9.710506 9.555616 9.555161 9.85327 9.692869 9.724215
1367453_at 9.765356 9.676901 9.926065 9.869178 9.839502 9.837819 9.821243 9.533801 9.869532 10.029128 9.801548 9.936915
1367454_at 9.391432 9.31263 9.338639 9.322212 9.525213 9.553681 9.466002 9.535823 9.334892 9.690585 9.631993 9.737878
1367455_at 11.130854 10.858496 10.951012 11.229349 11.168678 11.192683 11.08162 11.00727 11.068702 11.242169 11.156575 11.239028
1367456_at 11.431336 11.250547 11.486904 11.6044855 11.530712 11.579827 11.559453 11.406069 11.565119 11.675169 11.450377 11.558382
1367457_at 8.420015 8.370481 8.161545 8.394895 8.4741535 8.449459 8.454314 8.430728 8.32938 8.539654 8.38829 8.379785
1367458_at 8.413451 8.430466 8.575743 8.72739 8.57665 8.633477 8.703011 8.358121 8.54841 8.772686 8.63115 8.809519
1367459_at 11.738794 11.548118 11.923958 12.000799 12.016779 12.013662 11.932096 11.835304 11.84097 12.123781 11.7924595 12.035092
1367460_at 10.747242 10.537872 11.000481 11.045869 10.946773 11.04687 10.997853 10.797345 10.853815 11.237883 10.925111 11.006345
1367461_at 9.732516 9.638605 9.6153755 9.843159 9.826202 9.683809 9.854336 9.946687 9.916048 10.023306 9.9677105 9.954797
1367462_at 10.231305 10.050708 10.413887 10.73387 10.608285 10.678032 10.222758 10.377154 10.071929 10.707388 10.172429 10.227929
1367463_at 10.79639 10.428247 10.482798 10.574351 10.532584 10.7208805 10.818803 10.49911 10.583605 10.689746 10.338153 10.517692
1367464_at 8.921694 8.630267 9.14413 9.296235 9.24098 9.110056 9.18221 8.847427 9.057844 9.085576 9.071768 9.244394
1367465_at 9.824619 9.703334 9.925086 10.099392 9.898327 10.024165 9.939395 9.932911 9.765886 10.170566 9.862459 10.027399
1367466_at 9.869257 9.673059 9.834134 10.03686 9.834329 9.973 9.980988 9.857584 9.907841 9.989014 9.946172 9.937223
1367467_at 10.930617 10.9648285 11.069244 11.136964 11.137245 11.1612425 11.077347 10.9753065 11.0477 11.279386 11.058108 11.160044
1367468_at 9.029238 9.022963 9.200722 9.53886 9.215 9.339892 9.32878 9.135825 9.284283 9.130205 9.422017 8.873528
1367469_at 11.173475 11.095072 11.165731 11.390598 11.444096 11.532669 11.32933 11.034981 11.276425 11.46944 11.255289 11.304093
1367470_at 10.151843 9.981585 9.926132 10.157835 10.143397 10.200339 10.011867 9.989423 10.121681 10.135467 10.086854 10.021395
1367471_at 8.303364 8.260062 8.423388 8.585535 8.527382 8.61929 8.441491 8.474178 8.568127 8.478193 8.530262 8.583695
1367472_at 9.911436 9.9458065 10.06694 10.116908 10.170326 10.03251 10.075309 10.053977 10.022141 10.118587 9.944854 10.109528
1367473_at 9.257329 9.205562 9.348336 9.533827 9.577062 9.270855 9.323677 9.061059 9.249966 9.478281 9.286326 9.37009
1367474_at 9.492453 9.262547 9.406401 9.472927 9.517656 9.54081 9.396185 9.475413 9.240087 9.598732 9.540865 9.50958
1367475_at 10.090667 9.9972 9.961953 10.130232 10.101126 10.109779 10.013995 9.942657 10.019903 10.197171 10.113232 10.241518
1367476_at 10.452924 10.088679 10.453092 10.750745 10.793414 10.776092 10.591264 10.5833845 10.421504 10.814088 10.640011 10.745626
1367477_at 9.239454 8.961677 9.345207 9.419642 9.389155 9.412831 9.322307 9.250162 9.228531 9.551109 9.292638 9.202045
1367478_at 7.48117 7.609349 7.8591104 8.05217 7.7396092 7.9605756 7.9043045 7.579378 7.9345865 7.786674 7.7762146 7.7043095
1367479_at 10.635109 10.7381525 10.694539 10.836042 10.908611 10.798653 10.825136 10.827754 10.747304 10.916444 10.99772 10.902131
1367480_at 8.907277 8.720161 8.996629 9.089812 9.226132 9.156727 9.094562 8.947863 9.025297 9.068631 9.057079 8.993661
1367481_at 8.664033 8.25555 8.688074 8.666979 8.654085 8.675387 8.707205 8.560238 8.406152 8.432065 8.507627 8.679968
1367482_at 9.158217 9.133085 9.449353 9.564829 9.499822 9.478343 9.398748 9.189029 9.4714985 9.549803 9.489757 9.425308
1367483_at 7.9561768 7.9803796 8.132904 8.279522 8.273863 8.299069 8.277069 8.435776 8.25016 8.5764675 8.523365 8.311447
1367484_at 8.294501 8.35989 8.563664 8.712075 8.819808 8.802853 8.764155 8.572621 8.668204 8.761354 8.7239275 8.640101
1367485_at 9.347578 9.0774355 9.256228 9.557866 9.553693 9.51755 9.542688 9.181346 9.3728695 9.4631195 9.387629 9.468224
1367486_at 9.512679 9.586539 9.469989 9.524901 9.57734 9.64806 9.504188 9.524228 9.534305 9.586993 9.452153 9.490716
1367487_at 7.3637867 7.4361362 7.576598 7.4188 7.7383018 7.537263 7.5275693 7.410169 7.6023364 7.6371856 7.44837 7.7031107
1367488_at 7.154311 7.2822723 7.42058 7.4873643 7.654791 7.709594 7.2496433 7.0929375 7.6273685 7.341104 7.5571785 7.387828
1367489_at 6.0953794 6.262786 6.768995 6.624074 6.45683 6.5528054 6.7108736 6.4530945 6.584413 6.5128474 6.5861354 6.691453
1367490_at 6.803116 6.8066154 6.790626 6.493974 6.854868 6.9459124 6.7139874 6.7739224 6.7441993 6.713428 6.752911 6.688783
1367491_at 8.681333 8.48624 8.81944 8.865334 8.875083 8.8785515 8.925247 8.735836 8.7328005 8.720166 8.871407 8.755446
1367492_at 8.152891 7.9928327 8.458124 8.553706 8.341363 8.549869 8.399874 8.29674 8.420671 8.640847 8.3817835 8.590455
1367493_at 9.244882 9.202759 9.245698 9.498008 9.374673 9.559619 9.447466 9.254641 9.502092 9.39099 9.351354 9.49891
1367494_at 9.371653 9.093414 9.357492 9.323699 9.344699 9.292935 9.560304 9.210153 9.426127 9.471034 9.418922 9.503208
1367495_at 6.5536976 6.250486 6.563316 6.4973497 6.7130847 6.7158566 6.681839 6.672037 6.5969167 6.613373 6.74892 6.52852
1367496_at 11.010624 10.7704935 10.998713 11.009628 11.087577 11.089264 11.0809965 10.945565 11.076076 11.090678 10.971696 11.165091
1367497_at 8.1744175 8.070318 8.134112 8.324937 7.8364897 8.28574 8.359753 7.944321 8.078159 8.294491 8.051507 7.9656687
1367498_at 8.3661995 8.196611 8.140076 8.403801 8.53809 8.402312 8.2727165 8.356544 8.300108 8.13787 8.467575 8.196859
1367499_at 7.8358774 7.740091 7.8513064 8.026644 7.9075856 8.087629 7.931233 7.6917543 8.139542 8.049782 7.8071284 8.110889
1367500_at 9.328824 9.420606 9.553574 9.664893 9.671101 9.647517 9.442221 9.523551 9.476557 9.58984 9.615582 9.510656
1367501_at 8.050945 7.8193645 8.428754 8.452091 8.195592 8.3194895 8.245171 8.139425 8.281067 8.399017 8.42849 8.42049
1367502_at 7.453753 7.373599 7.5822616 7.832924 7.790503 7.6644783 7.8308573 7.625844 7.5944057 7.794061 7.654251 7.527515
1367503_at 10.270392 10.315256 10.440541 10.577299 10.687082 10.506153 10.571035 10.5446 10.533267 10.758024 10.491982 10.699764
1367504_at 7.7579904 7.627542 7.895403 7.8984456 7.9104457 8.043077 8.025032 7.866377 7.913704 8.036775 8.002035 7.873017
1367505_at 7.576185 7.332146 7.708479 7.953826 7.6818438 7.65661 7.8542194 7.681957 7.7853947 7.7546463 7.86977 7.905265
1367506_at 9.306443 9.160487 9.215636 9.48586 9.343921 9.365348 9.359349 9.117785 9.286157 9.503208 9.344534 9.496193
1367507_at 6.804529 6.5283656 6.9613037 7.1897793 7.0055404 7.093271 6.957961 6.725211 6.8609424 7.059994 6.9511385 7.0147786
1367508_at 8.051356 7.881809 8.228599 8.223535 8.2150545 8.282829 8.002891 8.042682 8.139996 8.282757 8.189751 8.073308
1367509_at 8.878532 9.059966 9.155271 9.3047905 8.95498 9.227422 8.98177 9.171987 9.079321 9.362074 9.090476 9.203647
1367510_at 8.966263 8.971894 9.159298 9.371432 9.141334 9.249332 9.273502 9.145149 9.145887 9.213904 9.177171 9.332982
1367511_at 8.030702 7.774864 8.202715 8.14103 8.121928 8.209316 8.240292 8.036653 8.041778 8.182079 8.186829 8.141474
1367512_at 10.270579 9.964468 10.479426 10.614106 10.531165 10.634725 10.550802 10.524392 10.392934 10.665125 10.479848 10.604294
1367513_at 7.735318 6.881427 7.8560224 7.8032727 7.701955 7.48832 8.33486 7.3298736 7.7621155 7.7494173 7.3772655 7.802304
1367514_at 7.208871 7.2829456 7.476183 7.4604335 7.4448476 7.5448866 7.4077945 7.263541 7.315672 7.451562 7.395495 7.460575
1367515_at 6.6887226 6.1416135 6.9521484 6.957417 6.62684 6.9599104 6.9430194 6.7503877 6.6219788 6.726242 6.8838773 6.732717
1367516_at 8.332861 8.115233 8.244425 8.500416 8.448582 8.670039 8.399879 8.057181 8.570311 8.367225 8.519297 8.453585
1367517_at 7.415466 7.350589 7.621323 7.663087 7.6151705 7.7277107 7.5515575 7.6014476 7.579424 7.5909095 7.5869446 7.5710397
1367518_at 8.013824 7.922605 8.27507 8.37624 8.120794 8.276249 8.168969 8.013143 7.978359 8.106487 8.276112 8.22164
1367519_at 7.54831 7.652155 7.920784 7.899425 7.86314 8.139905 7.9044704 8.038577 8.006333 8.151456 8.020174 8.019197
1367520_at 9.169659 9.301609 9.482089 9.53239 9.405487 9.537881 9.477277 9.46236 9.417553 9.604278 9.425817 9.561034
1367521_at 6.501277 6.6659923 6.7124143 7.0161443 6.579341 6.821189 6.835052 6.306441 6.679522 7.0050406 6.8175774 6.902648
1367522_at 8.886664 8.628006 8.844513 9.138156 9.137137 9.013851 9.11128 8.90135 9.061016 8.937672 9.114284 9.000593
1367523_at 7.234993 6.6753306 7.757595 7.783542 7.723617 7.730118 7.751208 7.405381 7.363485 7.6862273 7.5835648 7.580407
1367524_at 7.1991324 7.4466796 7.306283 7.3551006 7.35595 7.3405213 7.62851 7.447092 7.318046 7.3769555 7.477983 7.4174104
1367525_at 8.994141 9.044178 9.346151 9.293973 9.280095 9.279168 9.307598 9.145189 9.281872 9.2446575 9.258731 9.321508
1367526_at 7.991477 8.154009 8.227155 8.517894 8.432195 8.344216 8.213353 8.057213 8.137529 8.427193 8.29165 8.379541
1367527_at 7.3907638 7.188548 7.560261 7.6811037 7.460637 7.6274934 7.845133 7.6358733 7.341494 7.818922 7.417541 7.6512146
1367528_at 8.362652 8.171862 8.659744 8.630191 8.434095 8.582998 8.413925 8.272203 8.396913 8.554278 8.472149 8.576717
