ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 1.5 1.5 1.5 5 5 5 15 15 15
1367452_at 10.3878145 10.497584 10.345056 10.437163 10.429041 10.473796 10.4396715 10.419408 10.486382 10.609667 10.447404 10.536178
1367453_at 10.130428 9.993814 9.9714985 10.155374 10.162779 10.034312 10.023629 9.995592 10.201357 10.037686 10.061234 10.048522
1367454_at 9.969101 10.080451 9.93546 10.040663 9.950119 9.969412 10.052884 9.91816 9.953556 10.101017 10.18227 10.098994
1367455_at 11.401278 11.526659 11.366904 11.409429 11.393145 11.381123 11.457757 11.403037 11.520209 11.586109 11.527636 11.537677
1367456_at 11.91347 11.97283 11.893231 11.9108 11.893713 11.883372 11.918479 11.934152 11.943271 11.876217 11.919284 11.912098
1367457_at 9.25095 9.254418 9.100716 9.214568 9.198999 9.189697 9.23388 9.139726 9.181923 9.168723 9.103911 9.056542
1367458_at 8.410804 8.341028 8.216677 8.34338 8.258459 8.303354 8.334987 8.315949 8.448033 8.2018385 8.275644 8.383571
1367459_at 12.085815 12.145812 12.154796 12.1880455 12.112 12.095498 12.1434765 12.092993 12.096324 12.272627 12.19618 12.28292
1367460_at 11.496613 11.484295 11.314566 11.505352 11.508645 11.380698 11.510118 11.402777 11.451342 11.619842 11.592868 11.65284
1367461_at 10.161308 10.35032 10.2126045 10.203972 10.103477 10.235849 10.22198 10.191448 10.136898 10.332407 10.420322 10.468136
1367462_at 10.768188 10.660607 10.90424 10.38771 10.542121 10.574323 10.447324 10.973645 10.757914 10.501583 10.738803 10.742729
1367463_at 10.891378 10.587675 11.001384 10.928354 11.086679 11.020027 11.057453 11.153183 11.110772 10.900935 10.656953 10.734039
1367464_at 9.73293 9.731203 9.403491 9.743537 9.6916895 9.514421 9.655123 9.582981 9.630942 9.711008 9.5379095 9.484251
1367465_at 10.318363 10.2502365 10.248326 10.257537 10.241655 10.270402 10.28254 10.301181 10.415848 10.306837 10.247754 10.451212
1367466_at 10.13762 10.171876 10.133821 10.0625305 10.159257 10.008214 10.120198 10.061851 10.055288 10.201219 10.216001 10.092202
1367467_at 11.613023 11.5446005 11.584702 11.562691 11.681506 11.553992 11.563448 11.640967 11.574454 11.50681 11.42587 11.575972
1367468_at 10.183037 10.032549 9.960724 9.994498 10.0572195 9.867769 9.886428 9.956149 10.037376 9.838149 10.01403 9.810918
1367469_at 11.687787 11.918811 11.758626 11.78688 11.699726 11.693102 11.88138 11.549955 11.839342 11.999167 11.973437 11.915569
1367470_at 9.973805 10.097324 10.176526 10.060134 10.175182 10.093615 10.095249 10.144737 10.125662 10.536629 10.595404 10.58456
1367471_at 9.114267 9.047664 9.115224 9.186339 9.195866 9.17361 9.01719 9.124389 9.064199 9.194455 9.181401 9.206207
1367472_at 10.169669 10.358801 10.175105 10.175991 10.125005 10.10107 10.227921 10.205871 10.321949 10.373236 10.186313 10.28751
1367473_at 9.992163 10.059246 10.023507 10.048878 9.939707 9.920154 10.013952 9.960179 10.039392 9.958916 10.084172 10.042308
1367474_at 9.462464 9.686436 9.69966 9.654402 9.478363 9.548687 9.863428 9.57484 9.72253 9.840025 9.82364 9.798074
1367475_at 10.640552 10.648822 10.536807 10.530223 10.693807 10.556624 10.537623 10.58421 10.642978 10.732002 10.661045 10.775582
1367476_at 11.246905 11.084488 11.0831585 11.124716 11.269003 11.209329 11.211571 11.186139 11.249493 11.210954 11.240654 11.216246
1367477_at 10.351842 10.213138 10.276161 10.240455 10.446816 10.095393 10.19028 10.20862 10.283084 10.060398 10.036309 10.036697
1367478_at 8.17011 7.96486 7.961853 8.145622 8.090122 8.11532 8.174107 8.110602 8.173914 8.22279 8.240845 8.122093
1367479_at 11.341442 11.213623 11.246773 11.202947 11.3267355 11.306478 11.166395 11.222509 11.313767 11.044437 10.959757 11.076223
1367480_at 9.626234 9.600806 9.455039 9.582995 9.540742 9.541493 9.492964 9.578208 9.60713 9.649802 9.733288 9.670785
1367481_at 9.462496 9.416134 9.391704 9.516218 9.52304 9.449095 9.364063 9.39942 9.525969 9.488142 9.344797 9.428522
1367482_at 9.783966 9.567517 9.660687 9.655643 9.611016 9.638763 9.566348 9.691505 9.859012 9.400354 9.381502 9.483361
1367483_at 8.980027 8.941324 8.978199 9.072952 9.250265 9.247215 8.850062 9.028982 8.975998 8.79232 8.891412 8.677644
1367484_at 9.410179 9.585358 9.567494 9.587466 9.445936 9.463594 9.59667 9.387795 9.49365 9.580652 9.545001 9.587231
1367485_at 10.131326 10.279758 9.939721 10.101637 10.202938 10.012076 10.129159 9.973924 10.055506 10.137587 10.108522 9.99565
1367486_at 9.464698 9.480247 9.487529 9.571 9.463002 9.568222 9.705354 9.52706 9.549714 9.615397 9.463029 9.503934
1367487_at 7.4530582 7.382127 7.364418 7.4525385 7.3857503 7.4152474 7.4336295 7.5189705 7.419117 7.7386484 7.7091823 7.958452
1367488_at 7.788548 8.083569 8.446453 7.9018927 7.9978046 8.381811 8.155384 8.053463 8.164125 8.230316 8.556389 8.552599
1367489_at 6.5258045 6.8831377 6.868723 6.6552105 6.645388 6.5403166 6.610181 6.8214984 6.5168834 6.652133 6.778829 6.7946672
1367490_at 7.228229 7.2820272 7.431546 7.290292 7.19802 7.1975317 7.4600434 7.3621516 7.308744 7.424192 7.407643 7.33807
1367491_at 9.285576 9.46019 9.255447 9.329073 9.318862 9.224095 9.349837 9.202273 9.252143 9.38757 9.339275 9.2922325
1367492_at 9.1425085 9.110443 9.139609 9.1336775 9.2079935 9.116593 9.223284 9.147041 9.216996 9.103676 9.083907 8.941013
1367493_at 9.496256 9.645371 9.462496 9.442967 9.545239 9.451946 9.494749 9.465113 9.480025 9.448207 9.685317 9.681646
