ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10
Dose 0 0 0 6 6 6 20 20 20
1367452_at 9.404867 9.683313 9.163136 9.614668 9.477695 9.650913 9.520286 9.440544 9.468024
1367453_at 9.963674 10.027246 10.003069 9.895048 9.957417 10.022527 9.993887 9.890047 9.89235
1367454_at 9.579353 9.603631 9.225625 9.587104 9.56944 9.652895 9.572984 9.43678 9.364666
1367455_at 10.862671 11.126432 10.527472 11.048809 10.893818 11.141906 11.051693 10.757851 10.951682
1367456_at 11.260066 11.562884 11.042582 11.334951 11.327376 11.484499 11.414622 11.183438 11.318534
1367457_at 8.320399 8.77759 7.7596564 8.306177 8.227892 8.338549 8.37293 8.180321 8.418299
1367458_at 8.727085 8.564049 8.148508 8.241056 8.530546 8.678146 8.453359 8.340684 8.235581
1367459_at 11.757181 12.040267 11.593344 11.8521 11.737872 11.882192 11.801354 11.611105 11.802186
1367460_at 10.896077 11.143467 10.505363 10.981813 10.667371 10.937333 10.884158 10.586641 10.793284
1367461_at 9.633121 9.94494 9.449571 9.853407 9.871766 9.82262 9.897962 9.810454 9.924666
1367462_at 10.372099 10.468398 10.045592 10.089768 10.08349 10.437466 10.0980625 10.1266985 10.521659
1367463_at 10.54919 10.299728 10.435781 10.785461 10.414995 10.6767025 10.683723 10.685928 10.566094
1367464_at 9.053386 9.120394 8.394207 8.961329 9.068448 8.985207 9.074363 8.809019 8.871536
1367465_at 9.64835 10.026969 9.515348 10.131864 9.83237 10.020701 9.806397 9.732266 9.946286
1367466_at 10.071742 10.1833105 9.864874 9.975894 10.113172 9.9206 10.020016 9.947163 9.993661
1367467_at 10.9580145 11.148139 11.055914 11.193635 10.992287 11.237964 10.969755 11.037105 11.252489
1367468_at 9.488468 9.324763 8.552265 9.202213 9.331002 9.398834 9.3578615 9.217703 9.319921
1367469_at 11.431041 11.731029 10.751101 11.4263315 11.267174 11.323855 11.561056 11.185738 11.3207245
1367470_at 9.980103 10.35871 9.86138 9.97705 10.067614 10.150383 10.051026 9.799092 10.094417
1367471_at 8.358979 8.489872 8.055288 8.546152 8.410121 8.571631 8.218539 8.24612 8.500462
1367472_at 9.933971 10.0999365 9.764242 9.877506 9.8605795 9.92774 10.065858 9.675449 10.096221
1367473_at 9.458693 9.695845 8.764553 9.5166025 9.410833 9.521677 9.443541 9.43039 9.259499
1367474_at 9.299874 9.575243 8.703281 9.420714 9.237975 9.304617 9.179119 8.902569 9.169667
1367475_at 10.081161 10.385022 9.928872 9.948592 10.120095 10.210942 10.361293 9.930905 10.023342
1367476_at 10.519068 10.952351 10.214383 10.718253 10.458308 10.656781 10.513909 10.479558 10.542646
1367477_at 9.529031 9.793844 9.04658 9.514838 9.292445 9.300192 9.151156 9.237126 9.318874
1367478_at 7.955728 7.6941915 7.5479407 7.976304 7.831742 7.7789464 7.750126 7.6229134 7.837541
1367479_at 10.787366 11.031248 10.470139 10.735894 10.771966 10.980507 10.8056 10.66921 10.856588
1367480_at 8.965544 9.175386 8.738155 9.269298 9.06264 9.05495 9.204491 8.858615 8.949719
1367481_at 8.552404 8.645689 8.173982 8.667604 8.550758 8.721989 8.65511 8.597927 8.44128
1367482_at 9.449145 9.431017 9.021788 9.374321 9.286897 9.259788 9.4683895 9.193676 9.350391
1367483_at 8.123543 8.260643 7.847686 8.232836 8.123335 8.252373 8.191439 8.131832 8.079691
