ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 10 10 10 30 30 30 100 100 100
1367452_at 10.386455 10.349346 10.350479 10.4441805 10.31906 10.495114 10.446328 10.386439 10.330842 10.248734 10.325842 10.3850355
1367453_at 9.928551 9.981624 9.750411 9.951588 9.832225 9.884347 9.890888 9.964342 9.836662 9.831699 9.862254 9.84987
1367454_at 9.869638 9.984092 9.943999 9.996878 10.002753 9.97134 10.049832 10.022263 9.927289 9.978708 10.025767 9.98653
1367455_at 11.553232 11.476499 11.499152 11.442402 11.382547 11.43458 11.346439 11.538321 11.463067 11.462711 11.468441 11.504574
1367456_at 11.837157 11.918504 11.805317 11.872643 12.021287 11.962844 11.905043 11.997001 11.964634 12.026735 12.092715 12.008252
1367457_at 9.1226015 9.052251 9.14707 9.039118 9.19283 9.009628 9.145572 9.188464 9.155739 9.170641 9.098846 9.068027
1367458_at 8.163362 8.203358 8.099676 8.054512 8.177631 8.171368 8.347595 8.13211 8.065096 8.116946 8.100462 8.013596
1367459_at 12.173951 12.203752 12.106477 12.177017 12.117895 12.22307 12.262901 12.34448 12.215658 12.17438 12.287647 12.285932
1367460_at 11.413721 11.369332 11.401769 11.33512 11.455891 11.3396225 11.383449 11.404764 11.421539 11.354664 11.494119 11.342005
1367461_at 10.435343 10.56198 10.558945 10.445371 10.630292 10.530458 10.523048 10.602681 10.531307 10.34115 10.357379 10.572805
1367462_at 10.284597 10.424944 10.306504 10.27157 10.01998 10.398986 10.511005 10.378659 10.388769 10.240875 10.300289 10.5321045
1367463_at 11.164746 10.991182 11.2593 11.34457 11.2123785 11.10501 11.329711 11.125301 11.204761 11.284168 11.423144 11.31734
1367464_at 9.623789 9.262256 9.4469595 9.264209 9.310088 9.316864 9.330938 9.423223 9.435977 9.477259 9.3085785 9.436223
1367465_at 10.161944 10.068233 10.0619335 10.023793 9.899616 9.97564 10.062673 9.916596 9.868898 9.987197 9.897853 10.161144
1367466_at 10.0696125 10.17592 10.164442 10.223091 10.154107 10.274108 10.042718 10.297439 10.324875 10.401364 10.338781 10.365623
1367467_at 11.858993 11.691759 11.730848 11.759342 11.652857 11.655944 11.664455 11.624416 11.676844 11.718835 11.685679 11.734591
1367468_at 9.6564045 9.692492 9.632871 9.644535 9.795349 9.562819 9.546541 9.474407 9.552376 9.680391 9.519395 9.633329
1367469_at 11.642319 11.712451 11.641804 11.663872 11.912639 11.789544 11.835284 12.09361 11.785366 11.815937 11.950248 11.939176
1367470_at 10.271838 10.33445 10.471986 10.186172 10.231845 10.31536 10.20997 10.471842 10.286398 10.163633 10.16024 10.242417
1367471_at 9.064678 8.921472 9.228266 9.206643 8.988094 9.0368 9.044589 8.99181 9.204004 9.179182 9.228595 9.216769
1367472_at 10.032204 10.031865 9.984011 10.008075 9.760201 9.797918 9.978188 9.967378 9.991391 9.949483 9.936132 9.984518
1367473_at 9.954211 9.746134 9.802354 9.854782 9.741681 9.902843 9.925407 9.948077 9.839127 9.967263 9.990616 10.125153
1367474_at 9.48361 9.2116165 9.415563 9.306022 9.377714 9.499365 9.421641 9.281289 9.593997 9.263197 9.4131565 9.387595
1367475_at 10.713265 10.741166 10.796138 10.810686 10.633297 10.732402 10.637284 10.797392 10.745923 10.5820465 10.801374 10.831265
1367476_at 11.364595 11.252267 11.390051 11.437919 11.297023 11.482721 11.443665 11.390146 11.407742 11.567768 11.494918 11.585247
1367477_at 10.157234 10.276058 10.307727 10.119515 9.977603 10.281173 10.162639 10.061881 10.084438 10.221671 10.33342 10.094551
1367478_at 7.9899044 7.9605274 8.028678 7.8154397 7.789045 7.8648353 7.8681064 7.9425645 7.8501515 7.7420535 7.845732 7.8138304
1367479_at 11.258698 11.107875 11.104114 11.129165 11.028109 11.210825 11.252354 10.994896 11.211031 11.226366 11.216641 11.198153
