ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 10 10 10 30 30 30 100 100 100
1367452_at 9.744626 9.7265005 9.853598 9.824759 9.697468 9.7917385 9.670552 9.603496 9.858301 9.94166 9.749032 9.840978
1367453_at 10.010172 10.067845 10.100964 9.967287 9.918975 10.018827 10.083297 9.936733 10.089557 10.082313 10.099214 10.121987
1367454_at 9.589914 9.67433 9.575778 9.617011 9.57208 9.601716 9.588642 9.742455 9.730951 9.725524 9.706987 9.7304535
1367455_at 11.090496 11.17453 11.25719 11.047547 11.052058 11.087783 11.187285 11.231786 11.137266 11.085745 10.977581 11.279384
1367456_at 11.366273 11.392542 11.435982 11.4255905 11.324876 11.537198 11.385186 11.432728 11.456589 11.782698 11.4359 11.602709
1367457_at 8.559923 8.602124 8.650356 8.453625 8.430961 8.522629 8.454153 8.72407 8.627243 8.576785 8.46883 8.524315
1367458_at 8.590368 8.649731 8.619084 8.536569 8.44746 8.468386 8.540516 8.598649 8.747837 8.685785 8.500024 8.606694
1367459_at 12.071034 12.126122 12.139542 12.013877 12.033189 11.974543 12.02426 12.157186 12.131787 12.183056 12.035953 12.179737
1367460_at 11.144517 11.2498665 11.157283 11.080731 11.073905 11.096889 11.195985 11.249643 11.226063 11.118771 10.949589 11.2078
1367461_at 9.80547 9.926025 10.143904 9.862039 9.962543 9.694164 9.884012 10.026442 10.032025 10.187603 10.10342 9.894955
1367462_at 10.440749 10.663384 10.458335 10.820644 10.291941 10.4586115 10.53328 10.389239 10.266755 10.310662 10.08107 10.126128
1367463_at 10.738115 10.7110195 10.977879 11.020451 10.851391 10.918307 10.822666 10.586771 10.956596 10.915704 10.867307 11.413752
1367464_at 8.89143 9.136015 9.243647 9.019842 8.919003 8.999853 9.003966 9.168678 9.218391 9.023507 9.060081 9.176017
1367465_at 10.087009 10.240177 10.064666 10.016387 10.138849 10.096305 10.092574 10.117025 10.17312 10.11715 9.888123 9.952667
1367466_at 9.969141 9.9808855 9.925245 9.912893 9.947114 10.010973 9.948812 9.995953 9.748904 9.775648 9.642372 9.947371
1367467_at 11.460882 11.469019 11.316088 11.419012 11.342883 11.395509 11.39099 11.490186 11.532074 11.619288 11.18933 11.342883
1367468_at 9.395015 9.680162 9.671078 9.591493 9.493666 9.188239 9.302802 9.566717 9.611389 9.8907995 9.555612 9.876764
1367469_at 11.255482 11.361959 11.5287485 11.314472 11.45541 11.467321 11.100898 11.331814 11.339659 11.2959385 11.332604 11.491811
1367470_at 10.207118 10.079799 10.244811 10.2159395 10.000495 10.147285 10.162683 10.192776 10.085705 10.25983 10.243892 10.273257
1367471_at 8.470614 8.6860285 8.454433 8.704149 8.389536 8.514656 8.395436 8.608529 8.6487255 9.109963 8.458729 8.704988
1367472_at 10.071164 10.140949 10.1387825 9.994174 9.987774 9.913348 10.060576 10.210906 10.045398 9.810132 9.914263 10.186458
1367473_at 9.609694 9.925279 9.963667 9.61663 9.884208 9.874694 9.609506 9.643838 9.959448 10.091476 9.751528 9.842242
1367474_at 9.352582 9.396573 9.649618 9.415137 9.491503 9.288768 9.47153 9.525317 9.45449 9.302674 9.278814 9.572705
1367475_at 10.255628 10.303459 10.412613 10.321156 10.236707 10.369016 10.323122 10.273908 10.331331 10.042168 10.10397 10.30559
1367476_at 10.70287 10.7448435 10.784911 10.721103 10.691639 10.663001 10.804378 10.837868 10.764399 11.020863 10.7394 10.770244
1367477_at 9.549338 9.593316 9.845663 9.689663 9.64571 9.531187 9.677639 9.768623 9.776898 9.820361 9.655107 9.537503
1367478_at 7.943304 8.118556 8.058971 8.205551 8.075553 8.234743 8.1623125 7.8855505 8.196062 8.053607 8.046352 8.124081
1367479_at 10.974246 11.035549 11.163644 10.868518 10.889968 10.882091 10.881204 10.982491 11.111657 11.049848 10.94516 11.091596
1367480_at 9.141416 9.178623 9.345714 9.3171215 9.118691 9.188943 9.215981 9.042397 9.243846 9.49366 9.35499 9.362157
1367481_at 8.797549 8.88134 8.677283 9.010313 8.827083 8.779979 8.654666 8.831593 9.068515 9.124937 8.935506 9.173917
1367482_at 9.603609 9.613329 9.525153 9.486059 9.392504 9.540091 9.463486 9.449276 9.521917 9.842645 9.620551 9.524611
1367483_at 8.308769 8.400985 8.579708 8.355232 8.49332 8.399687 8.312465 8.304401 8.590155 8.707554 8.083023 8.194902
1367484_at 8.507135 8.560308 8.652176 8.826085 8.548184 8.624723 8.708057 8.551087 8.685326 9.052375 8.522106 8.669142
1367485_at 9.324224 9.343402 9.340461 9.320609 9.231757 9.23802 9.171518 9.161705 9.314994 9.417448 9.455955 9.561921
1367486_at 9.716491 9.567972 9.720551 9.554055 9.707503 9.507178 9.540133 9.677206 9.533591 9.4629135 9.507275 9.625092
1367487_at 7.5764794 7.9243736 7.7511244 7.685806 7.7477503 7.507025 7.5156813 7.3208447 7.423419 8.000669 7.438072 7.539428
1367488_at 7.4012384 7.42146 7.822207 7.6825023 7.5519896 7.54468 7.29342 7.4521174 7.7204733 7.539541 7.2502875 7.66185
1367489_at 6.67587 6.6381063 6.7080765 6.444764 6.383661 6.925822 6.669201 6.4103546 6.596357 6.5962768 6.667869 6.6015315
1367490_at 6.7707267 6.5806217 7.099975 6.8070683 5.784167 6.6816964 6.3385835 6.7028823 7.0135083 7.2405186 6.8201528 6.799705
1367491_at 8.741163 8.808952 8.71668 8.873652 8.75726 8.804569 8.607957 8.616028 8.880923 8.78972 8.957577 9.037117
1367492_at 8.62806 8.701859 8.732905 8.757768 8.637678 8.80508 8.685768 8.669515 8.751883 8.909023 8.681693 8.893407
1367493_at 9.1688795 9.389915 9.559247 9.455598 9.293131 9.334902 9.550427 9.368683 9.495866 9.369154 9.597125 9.461358
1367494_at 9.392905 9.619142 9.62919 9.343665 9.420086 9.5765295 9.436314 9.541402 9.274481 9.721944 9.19223 9.072981
1367495_at 6.4846787 6.478758 6.98812 6.558444 6.729709 6.778722 6.339776 6.767368 6.9475164 6.934466 6.8650746 6.8567166
1367496_at 11.035179 11.161575 11.14935 11.099902 11.115377 10.986784 11.128406 11.126935 11.083176 11.256014 10.943519 11.153343
1367497_at 8.203594 8.372315 8.448751 8.301497 8.287041 8.410716 8.054243 8.376279 8.360365 8.458439 8.179037 8.377332
1367498_at 8.408068 8.572914 8.540641 8.410776 8.165367 8.389396 8.321357 8.428917 8.4576 8.286335 8.213076 8.205631
1367499_at 8.120546 8.044159 8.03372 8.062029 8.007871 8.416317 7.8059993 7.8326993 8.159967 7.9372196 8.047171 7.988501
1367500_at 9.747385 9.788178 9.720202 9.621726 9.697719 9.835824 9.6307 9.667053 9.943101 9.858834 9.67688 9.766367
