ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 40 40 40 120 120 120 400 400 400
1367452_at 10.435129 10.292367 10.36206 10.315037 10.255407 10.332041 10.416696 10.376614 10.30902 10.361793 10.353198 10.212954
1367453_at 9.998256 10.041198 10.119259 10.190237 10.178178 10.042461 10.102866 10.091711 10.2035055 10.208815 10.134422 10.271729
1367454_at 10.013948 10.098343 10.02016 10.159317 10.039479 9.984591 10.132974 10.158103 10.039774 10.212175 10.17456 10.132617
1367455_at 11.520411 11.419705 11.540206 11.401805 11.454822 11.47795 11.466229 11.348327 11.492789 11.60885 11.676187 11.651578
1367456_at 11.942245 11.914741 11.886998 11.874733 11.797385 11.905802 11.864144 11.904071 11.848068 12.04306 12.009126 11.917568
1367457_at 9.185284 9.252914 9.179296 9.179767 9.14986 9.15915 9.276874 9.132066 9.241329 9.193814 9.114173 9.136792
1367458_at 8.207385 8.347048 8.310887 8.370564 8.465277 8.204675 8.259693 8.430348 8.280645 8.376878 8.405247 8.303574
1367459_at 12.068367 12.209759 12.084261 12.111163 12.127086 12.150636 12.179272 12.176765 12.132081 12.193432 12.186088 12.207453
1367460_at 11.5347395 11.525083 11.501073 11.528651 11.450126 11.446033 11.577217 11.484793 11.5568695 11.507893 11.57065 11.590469
1367461_at 10.38623 10.399741 10.226632 10.2704 10.215038 10.361885 10.368448 10.451072 10.184559 10.39788 10.463214 10.121047
1367462_at 10.678256 10.798679 10.871845 10.7262535 10.447556 10.478499 10.585026 10.638988 10.576552 10.6096115 10.774368 10.818213
1367463_at 11.187165 11.269935 11.078187 11.162237 11.1085825 11.162616 11.148787 10.962798 10.966601 11.330309 11.115454 11.229684
1367464_at 9.614612 9.630592 9.702021 9.736052 9.751104 9.640895 9.69628 9.722962 9.679122 9.647953 9.735048 9.759182
1367465_at 10.266634 10.247389 10.15873 10.445457 10.331988 10.287233 10.26122 10.340085 10.346387 10.242979 10.396793 10.375141
1367466_at 10.108311 10.245285 10.050501 10.020811 10.065005 10.172287 10.071161 10.117579 10.065316 10.115835 10.104208 10.06434
1367467_at 11.541084 11.631877 11.61018 11.617854 11.596971 11.515913 11.480404 11.530483 11.528409 11.508566 11.571239 11.614226
1367468_at 9.935416 9.803138 10.009444 9.8777485 9.964299 9.953317 9.959681 9.898905 9.949165 9.720855 9.85582 9.949751
1367469_at 12.088337 11.922788 11.9551115 12.027326 11.872012 12.028799 11.976847 11.917554 11.921609 11.978086 12.107139 11.917124
1367470_at 10.226022 10.30725 10.150873 10.06991 10.062514 10.321322 10.211542 10.1686535 10.1048975 10.276521 10.375186 10.257768
1367471_at 8.989953 8.965447 8.987608 9.016343 9.057636 9.072463 9.031256 9.009672 9.212992 9.002466 9.037854 9.244584
1367472_at 10.184009 10.30369 10.027902 10.323371 10.168985 10.0851555 10.120128 10.236938 10.168499 10.325221 10.223153 10.129727
1367473_at 9.846148 9.836064 9.959212 10.102541 9.942389 9.954922 10.033801 9.923592 9.969403 9.811617 9.958128 9.958642
1367474_at 9.941953 9.749487 9.560285 9.916291 9.854984 9.789565 9.626048 9.747159 9.669745 9.70145 9.892421 9.75078
1367475_at 10.551145 10.448354 10.589131 10.550674 10.472976 10.571658 10.533828 10.560232 10.600598 10.450919 10.504027 10.435154
1367476_at 11.211879 11.119142 11.202852 11.12094 11.105114 11.201567 11.136593 11.163348 11.175755 11.1874075 11.232023 11.196617
1367477_at 10.152196 9.95841 9.9721575 10.044933 10.065749 10.22872 10.254181 10.016352 10.113548 10.051966 10.1408415 10.167912
1367478_at 7.7393928 7.854012 7.7948675 7.799214 7.7113132 7.8402276 8.117577 7.7574563 7.994432 7.881688 7.808046 7.902522
1367479_at 11.331506 11.297926 11.305063 11.267839 11.248884 11.316443 11.292238 11.289188 11.253018 11.117256 11.233458 11.151659
1367480_at 9.565986 9.380467 9.386865 9.406607 9.3982725 9.495298 9.468239 9.522735 9.415245 9.484929 9.528893 9.453404
1367481_at 9.270196 9.232686 9.288995 9.239446 9.292051 9.34775 9.403485 9.349462 9.299217 9.171574 9.282598 9.425884
1367482_at 9.6298685 9.555997 9.466991 9.753956 9.452155 9.511003 9.591014 9.500496 9.563965 9.55955 9.530808 9.574792
1367483_at 8.895633 8.913475 8.952749 8.832373 8.879114 8.983263 9.023827 8.944123 8.926259 8.784357 8.880594 9.039755
1367484_at 9.397543 9.308009 9.3705435 9.316473 9.156294 9.315314 9.281152 9.326861 9.365186 9.2962475 9.244653 9.149701
1367485_at 10.026777 10.078307 10.233391 9.941521 9.974115 10.099883 10.15108 10.055508 10.111403 10.103715 10.196817 10.112108
1367486_at 9.697668 9.605986 9.8179455 9.71714 9.570662 9.674674 9.614024 9.631267 9.483907 9.665961 9.70145 9.589933
1367487_at 7.52781 7.6386714 7.4369564 7.5678763 7.492971 7.5672956 7.534987 7.4824486 7.476845 7.488828 7.540181 7.501477
1367488_at 8.303949 8.078218 8.248833 7.7478843 7.8827896 8.274509 8.25279 7.9336677 8.024015 7.869721 8.3401985 7.941952
1367489_at 6.340575 6.732884 6.556026 6.432925 6.6747093 6.674364 6.5574245 6.4332256 6.6504025 6.68084 6.408098 6.365434
1367490_at 7.382082 7.3502803 7.234255 7.242443 7.3626213 7.3696404 7.382139 7.427106 7.271676 7.423551 7.3394165 7.281048
1367491_at 9.403691 9.496428 9.510553 9.301823 9.2851925 9.402667 9.520442 9.369063 9.455534 9.486169 9.593413 9.5872555
1367492_at 9.181957 9.203521 9.250327 9.049487 9.183297 9.159206 9.126003 9.201435 9.267295 9.1327 9.1296625 9.223565
1367493_at 9.5742235 9.474082 9.450241 9.541766 9.393194 9.554519 9.384926 9.389434 9.312898 9.540831 9.501263 9.425884
1367494_at 9.921878 10.035017 10.049361 9.814848 9.917163 9.972454 9.922818 10.061261 9.950223 9.875541 9.84539 9.908332
1367495_at 7.6188016 7.522807 7.7133226 7.4035788 7.569989 7.703096 7.7503247 7.595415 7.497713 7.41361 7.547659 7.552419
1367496_at 11.383746 11.533747 11.38791 11.533432 11.441485 11.37712 11.477366 11.49332 11.4111185 11.529992 11.438218 11.552173
