ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 7.5 7.5 7.5 25 25 25 75 75 75
1367452_at 10.1072 9.99048 9.935158 9.815598 10.016713 9.960384 10.126366 9.975032 9.800666 9.836198 10.021316 9.862489
1367453_at 9.954695 9.874447 9.917068 9.941414 9.98677 9.899159 9.923493 10.032862 9.778353 9.8291235 9.899477 9.826652
1367454_at 9.360251 9.238682 9.417962 9.407697 9.325339 9.345982 9.4264345 9.32815 9.445593 9.293216 9.310915 9.250589
1367455_at 11.121737 11.022318 11.113076 11.254118 10.849174 11.255872 11.057478 11.374655 11.146206 10.943627 11.322718 11.200092
1367456_at 11.758489 11.770279 11.602898 11.462285 11.825214 11.594404 11.749697 11.611787 11.543979 11.7173605 11.723231 11.644177
1367457_at 8.753881 8.534888 8.8883095 8.440141 8.757491 8.617347 8.607671 8.541934 8.347973 8.417131 8.733487 8.686944
1367458_at 8.765727 8.809807 8.748571 8.596562 8.712103 8.565762 8.823812 8.8109 8.697882 8.689361 8.849223 8.8275795
1367459_at 12.283587 12.178885 11.957415 12.004927 12.151288 12.032517 12.154973 12.05459 12.028351 11.9827175 12.123132 12.123822
1367460_at 11.388273 11.296532 11.170353 11.056813 11.328714 11.156357 11.357744 11.155698 11.065244 11.185533 11.265718 11.411002
1367461_at 10.041019 9.857547 10.059555 9.941893 9.662961 9.8480625 10.02039 9.967687 9.708903 9.7492695 10.0154295 10.035333
1367462_at 10.627916 10.51557 10.968131 10.670799 10.722587 10.741277 10.917663 11.215352 10.459469 10.511945 10.667625 10.731733
1367463_at 11.091606 10.990699 11.114554 10.785444 10.959947 11.027524 11.2696295 11.097326 10.675268 10.805494 10.818138 10.576122
1367464_at 9.116852 9.166166 9.03986 9.09671 9.193373 9.062763 9.136702 9.190795 8.996397 9.077253 9.248751 9.285654
1367465_at 10.124665 10.209165 10.027435 9.771552 10.186228 10.114041 10.129718 9.963982 9.722168 9.760841 10.117791 9.943077
1367466_at 9.667758 9.295682 9.666591 9.745679 9.094249 9.726088 9.112362 9.684508 9.597538 9.56651 9.588941 9.628835
1367467_at 11.451661 11.520877 11.366289 11.226743 11.480994 11.456877 11.468357 11.34294 11.317945 11.165328 11.507893 11.245898
1367468_at 9.57241 9.635162 9.568025 9.226445 9.955283 9.306483 9.832104 9.531936 9.409383 9.4202175 9.698953 9.573329
1367469_at 11.784848 11.718504 11.820607 11.638906 11.681852 11.679569 11.763883 11.782028 11.447981 11.769124 11.901798 11.945273
1367470_at 10.2928095 10.001173 10.030828 10.129442 9.935349 10.15208 10.0521145 10.066238 10.00097 10.04994 10.245306 10.13115
1367471_at 8.803957 8.869705 8.570806 8.393889 8.907943 8.621537 8.820544 8.681932 8.56847 8.627175 8.749987 8.73209
1367472_at 10.005083 9.767815 10.107587 10.152067 9.681283 10.223242 9.993164 10.162215 9.917975 9.896583 9.975127 9.932101
1367473_at 9.930569 9.843005 9.986106 9.677219 10.096786 9.857834 10.04057 9.898816 9.734206 9.866919 10.000683 9.85314
1367474_at 9.553325 9.402228 9.690946 9.451056 9.335646 9.479673 9.381898 9.776762 9.323726 9.341682 9.597198 9.457335
1367475_at 10.412847 10.420065 10.324105 10.164398 10.445009 10.353037 10.477719 10.402352 10.178972 10.026642 10.413647 10.309877
1367476_at 11.077577 11.160571 10.785514 10.669005 10.887976 10.720201 10.732872 10.887259 10.720822 10.672516 11.013623 10.996564
