ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13
Dose 0 0 0 100 100 100 300 300 300 1000 1000 1000
1367452_at 10.228415 10.170139 10.193566 10.317617 10.1829195 10.379899 10.351712 10.263021 10.3451805 10.147696 10.158492 10.440371
1367453_at 9.806294 9.992675 9.9477005 9.926713 9.8824835 9.906028 9.982369 9.912928 10.0142975 9.906434 9.964963 9.904174
1367454_at 10.027008 9.901519 9.954635 9.900085 10.01547 9.956217 9.8464775 9.90875 9.878237 10.019221 9.827885 9.988287
1367455_at 11.432481 11.451544 11.29243 11.250263 11.385026 11.3939 11.310506 11.304775 11.169347 11.132883 11.343401 11.274027
1367456_at 11.8828535 11.879373 11.7472725 11.897818 11.736353 11.799281 11.799184 11.814983 11.699033 11.771509 11.775508 11.861101
1367457_at 9.249147 9.020913 9.028734 8.937203 9.045503 9.1307745 9.055448 9.153255 9.191017 9.187574 9.077434 9.241322
1367458_at 8.316752 8.396152 8.450243 8.449679 8.217517 8.335116 8.379206 8.285518 8.44718 8.431222 8.356485 8.394309
1367459_at 11.892047 12.087025 12.067022 12.123997 12.040825 12.019189 11.941222 12.030643 11.993946 12.000158 11.941332 12.121278
1367460_at 11.512668 11.561317 11.470588 11.490359 11.523523 11.414987 11.330984 11.445975 11.354704 11.542426 11.311579 11.470601
1367461_at 10.328604 10.3558445 10.428514 10.348547 10.38405 10.270821 10.31102 10.2794695 10.237319 10.247143 10.344364 10.265733
1367462_at 10.471882 10.33904 10.43825 10.591092 10.582883 10.490887 10.530492 10.289755 10.682598 10.380425 10.523326 10.380939
1367463_at 11.089702 11.292382 10.920556 10.773878 11.055758 11.097237 10.837424 11.438807 11.33146 11.060554 11.203224 11.508907
1367464_at 9.667029 9.595415 9.357445 9.477442 9.530335 9.497654 9.595467 9.498978 9.460071 9.536853 9.645642 9.512218
1367465_at 10.152827 10.185341 10.233085 10.141125 10.261965 10.222236 10.103437 10.200114 10.468227 10.34367 10.194214 10.098468
1367466_at 10.096539 10.146578 10.14573 10.028392 10.135256 10.029373 10.022791 9.90543 9.993126 9.85285 10.105165 9.86059
1367467_at 11.569053 11.542295 11.40598 11.528525 11.488766 11.465171 11.498036 11.616482 11.552578 11.574836 11.561066 11.574177
1367468_at 9.727801 9.764737 9.726877 9.490121 9.757225 9.682763 9.582588 9.604366 9.730068 9.643032 9.573087 9.7312155
1367469_at 11.984191 12.089102 11.759197 11.94274 11.865968 11.924402 11.924062 11.881709 11.726512 11.667065 11.730269 11.932528
1367470_at 10.342798 10.356694 10.28445 10.11818 10.162601 10.134312 10.057839 10.093197 10.004618 9.979671 9.995187 9.984659
1367471_at 8.726093 8.848442 8.842695 8.933667 8.962509 8.858812 8.91968 8.933925 9.178067 9.186424 8.927428 9.044626
1367472_at 10.287383 9.9596815 10.011179 10.021754 10.074417 9.984429 10.069017 9.84091 9.943788 9.977484 9.905524 10.042559
1367473_at 9.9291935 10.018284 9.910199 9.984847 9.789082 9.879084 9.891282 9.860207 10.049338 9.9737625 9.846482 10.080578
1367474_at 9.850412 9.522754 9.606074 9.519892 9.532549 9.444225 9.4840145 9.43454 9.413176 9.308096 9.418726 9.491588
1367475_at 10.686533 10.4641905 10.362711 10.586523 10.515116 10.481228 10.4381895 10.541496 10.444813 10.448676 10.4229145 10.494982
1367476_at 11.029497 11.100791 10.978809 11.135576 10.977014 11.12688 11.12749 11.162183 11.206731 11.047392 10.942529 10.881121
1367477_at 9.997171 10.0732765 10.09482 9.931172 9.961752 9.898545 9.818951 10.006404 10.074929 9.951345 10.005612 9.977179
1367478_at 7.806445 7.7158113 7.934339 7.8881335 7.8732686 7.884154 7.816381 7.806973 7.8121996 7.85109 7.9147964 7.8063226
1367479_at 11.201231 11.155702 11.256252 11.268643 11.312469 11.237054 11.208983 11.243411 11.452897 11.311479 11.298925 11.394412
1367480_at 9.373788 9.332405 9.307696 9.426709 9.35235 9.312127 9.380048 9.457703 9.361075 9.394758 9.351712 9.453876
1367481_at 9.230118 9.215769 9.187996 9.223883 9.167346 9.265334 9.265264 9.33998 9.486176 9.514088 9.324115 9.419211
1367482_at 9.564759 9.488467 9.356881 9.554033 9.45841 9.5452585 9.567057 9.621431 9.776346 9.6533375 9.524434 9.688263
1367483_at 8.766951 8.838234 8.698234 8.69693 8.758461 8.952774 8.853014 8.711676 8.87196 8.982782 8.7243 8.805061
1367484_at 9.380568 9.210638 8.919387 9.242066 9.3152 9.202819 9.409637 9.475261 9.523809 9.426902 9.219272 9.507678
1367485_at 9.8138685 9.936092 9.786979 9.90868 9.9916725 10.116533 9.980878 10.035512 9.98777 9.906388 9.974707 9.994455
1367486_at 9.960501 9.510817 9.532657 9.640563 9.556956 9.474157 9.573183 9.772622 9.50047 9.523241 9.607798 9.79273
1367487_at 7.290598 7.620315 7.679592 7.659664 7.5666156 7.577414 7.6364427 7.5341153 7.594088 7.704482 7.4474287 7.6107407
1367488_at 8.3491125 7.890438 8.331157 7.8544745 8.072597 8.144758 8.047245 7.8644185 8.002182 7.899429 8.077698 7.914172
1367489_at 7.042237 6.601375 6.7512503 6.6494107 6.645852 6.612041 6.6905346 6.511424 6.385398 6.7687306 6.6475053 6.624506
1367490_at 7.2710733 7.163169 7.2966475 7.187355 7.2357874 7.1670914 7.2836175 7.127941 7.2086782 7.2016525 7.2525973 7.168487
1367491_at 9.021298 9.217541 9.019547 9.177321 9.239347 9.18326 9.189123 9.130771 8.956789 9.223469 9.283409 9.248819
1367492_at 8.83939 9.076157 8.948487 9.217605 9.091396 9.1617985 9.059967 9.073848 9.160761 9.19413 9.154518 9.01495
1367493_at 9.513576 9.389437 9.416092 9.492909 9.306109 9.35919 9.549303 9.444136 9.380395 9.312577 9.323064 9.351011
